dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.501718,18.136101,0.000040,0.003996,0.199801,9.990063,6.269017
0.020000,4.501709,18.136101,0.000049,0.000462,-0.176678,-18.823987,6.269026
0.020000,4.501688,18.136102,0.000070,0.001040,0.028898,10.278833,6.269048
0.020000,4.501651,18.136102,0.000107,0.001849,0.040443,0.577222,6.269087
0.020000,4.501593,18.136103,0.000165,0.002889,0.051964,0.576084,6.269148
0.020000,4.501510,18.136104,0.000248,0.004158,0.063449,0.574221,6.269236
0.020000,4.502339,18.136093,0.001077,0.041457,1.864993,90.077191,6.269355
0.020000,4.504749,18.136060,0.003487,0.120493,3.951787,104.339702,6.269510
0.020000,4.507799,18.136018,0.006537,0.152510,1.600830,-117.547850,6.269706
0.020000,4.511565,18.135968,0.010303,0.188300,1.789499,9.433469,6.269948
0.020000,4.516121,18.135908,0.014860,0.227867,1.978354,9.442758,6.270241
0.020000,4.521545,18.135839,0.020285,0.271215,2.167393,9.451939,6.270588
0.020000,4.527912,18.135760,0.026652,0.318348,2.356656,9.463162,6.270995
0.020000,4.535297,18.135672,0.034037,0.369273,2.546269,9.480636,6.271465
0.020000,4.543776,18.135575,0.042517,0.423996,2.736121,9.492619,6.272003
0.020000,4.553426,18.135470,0.052168,0.482524,2.926398,9.513858,6.272613
0.020000,4.564323,18.135358,0.063065,0.544866,3.117134,9.536792,6.273299
0.020000,4.576543,18.135242,0.075286,0.611032,3.308309,9.558737,6.274063
0.020000,4.590163,18.135124,0.088906,0.681034,3.500102,9.589652,6.274911
0.020000,4.605260,18.135006,0.104004,0.754884,3.692474,9.618601,6.275844
0.020000,4.621874,18.134892,0.120618,0.830707,3.791136,4.933072,6.276863
0.020000,4.640006,18.134788,0.138751,0.906625,3.795932,0.239814,6.277967
0.020000,4.659659,18.134697,0.158403,0.982648,3.801158,0.261307,6.279152
0.020000,4.680835,18.134625,0.179579,1.058786,3.806877,0.285931,6.280418
0.020000,4.703535,18.134577,0.202280,1.135045,3.812972,0.304777,6.281760
0.020000,4.727764,18.134560,0.226509,1.211437,3.819588,0.330795,6.283177
0.020000,4.753523,18.134579,0.252268,1.287969,3.826579,0.349550,0.001479
0.020000,4.780816,18.134640,0.279561,1.364650,3.834078,0.374965,0.003035
0.020000,4.809646,18.134751,0.308391,1.441490,3.841999,0.396040,0.004656
0.020000,4.840016,18.134918,0.338761,1.518498,3.850406,0.420339,0.006339
0.020000,4.871928,18.135149,0.370675,1.595683,3.859244,0.441886,0.008079
0.020000,4.905388,18.135449,0.404136,1.673054,3.868536,0.464636,0.009872
0.020000,4.940398,18.135827,0.439148,1.750620,3.878292,0.487772,0.011716
0.020000,4.976963,18.136290,0.475716,1.828390,3.888499,0.510364,0.013604
0.020000,5.015087,18.136846,0.513843,1.906373,3.899184,0.534235,0.015533
0.020000,5.054773,18.137501,0.553535,1.984579,3.910295,0.555551,0.017499
0.020000,5.096026,18.138265,0.594795,2.063017,3.921882,0.579354,0.019495
0.020000,5.138851,18.139143,0.637629,2.141695,3.933924,0.602101,0.021518
0.020000,5.183252,18.140144,0.682042,2.220624,3.946415,0.624567,0.023561
0.020000,5.229235,18.141275,0.728038,2.299811,3.959365,0.647480,0.025620
0.020000,5.276803,18.142544,0.775623,2.379266,3.972766,0.670061,0.027689
0.020000,5.325963,18.143957,0.824803,2.458999,3.986619,0.692661,0.029762
0.020000,5.376719,18.145521,0.875584,2.539017,4.000922,0.715130,0.031833
0.020000,5.429077,18.147242,0.927970,2.619331,4.015673,0.737559,0.033895
0.020000,5.483043,18.149128,0.981969,2.699948,4.030870,0.759832,0.035943
0.020000,5.538623,18.151183,1.037587,2.780878,4.046511,0.782055,0.037970
0.020000,5.595822,18.153414,1.094829,2.862130,4.062595,0.804194,0.039968
0.020000,5.654647,18.155824,1.153704,2.943713,4.079118,0.826153,0.041931
