dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.367850,5.160573,0.000112,0.011182,0.559110,27.955489,6.282597
0.020000,1.367891,5.160573,0.000152,0.002031,-0.457564,-50.833679,6.282737
0.020000,1.367982,5.160573,0.000244,0.004568,0.126864,29.221370,6.283052
0.020000,1.369385,5.160573,0.001647,0.070146,3.278889,157.601256,0.000391
0.020000,1.371947,5.160575,0.004208,0.128058,2.895623,-19.163305,0.001125
0.020000,1.375239,5.160580,0.007501,0.164635,1.828814,-53.340424,0.002069
0.020000,1.379263,5.160591,0.011525,0.201199,1.828227,-0.029361,0.003220
0.020000,1.384018,5.160609,0.016280,0.237754,1.827723,-0.025183,0.004578
0.020000,1.389504,5.160639,0.021765,0.274291,1.826868,-0.042783,0.006144
0.020000,1.395720,5.160682,0.027982,0.310815,1.826176,-0.034604,0.007914
0.020000,1.402666,5.160744,0.034928,0.347316,1.825049,-0.056326,0.009888
0.020000,1.410342,5.160829,0.042604,0.383798,1.824147,-0.045118,0.012064
0.020000,1.418746,5.160940,0.051009,0.420253,1.822713,-0.071691,0.014441
0.020000,1.427878,5.161084,0.060143,0.456681,1.821411,-0.065077,0.017017
0.020000,1.437738,5.161265,0.070004,0.493078,1.819856,-0.077780,0.019789
0.020000,1.448325,5.161490,0.080593,0.529442,1.818207,-0.082457,0.022756
0.020000,1.459637,5.161766,0.091909,0.565771,1.816421,-0.089253,0.025915
0.020000,1.471673,5.162098,0.103950,0.602056,1.814264,-0.107886,0.029262
0.020000,1.484433,5.162494,0.116716,0.638300,1.812220,-0.102177,0.032796
0.020000,1.497915,5.162961,0.130206,0.674496,1.809772,-0.122397,0.036512
0.020000,1.512117,5.163508,0.144418,0.710641,1.807269,-0.125185,0.040407
0.020000,1.527039,5.164142,0.159353,0.746730,1.804462,-0.140353,0.044478
0.020000,1.542677,5.164871,0.175008,0.782760,1.801467,-0.149739,0.048720
0.020000,1.559030,5.165704,0.191383,0.818729,1.798455,-0.150592,0.053129
0.020000,1.576096,5.166651,0.208475,0.854627,1.794904,-0.177524,0.057700
0.020000,1.593873,5.167720,0.226284,0.890453,1.791296,-0.180400,0.062429
