dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.559944,11.219073,0.000040,0.003963,0.198126,9.906317,0.044573
0.020000,5.559951,11.219074,0.000047,0.000359,-0.180199,-18.916268,0.044565
0.020000,5.559967,11.219074,0.000063,0.000807,0.022405,10.130205,0.044548
0.020000,5.559996,11.219076,0.000092,0.001434,0.031356,0.447532,0.044518
0.020000,5.560041,11.219078,0.000136,0.002240,0.040289,0.446658,0.044471
0.020000,5.560365,11.219092,0.000461,0.016251,0.700579,33.014528,0.044403
0.020000,5.562393,11.219182,0.002491,0.101467,4.260770,178.009524,0.044311
0.020000,5.565041,11.219299,0.005141,0.132523,1.552803,-135.398346,0.044190
0.020000,5.568392,11.219447,0.008496,0.167716,1.759658,10.342744,0.044038
0.020000,5.572529,11.219629,0.012636,0.207044,1.966410,10.337619,0.043850
0.020000,5.577534,11.219848,0.017646,0.250504,2.173027,10.330858,0.043623
0.020000,5.583490,11.220107,0.023608,0.298095,2.379520,10.324651,0.043354
0.020000,5.590480,11.220409,0.030605,0.349811,2.585789,10.313425,0.043039
0.020000,5.598585,11.220757,0.038718,0.405648,2.791860,10.303569,0.042674
0.020000,5.607889,11.221152,0.048030,0.465602,2.997694,10.291677,0.042257
0.020000,5.618473,11.221597,0.058623,0.529666,3.203201,10.275354,0.041784
0.020000,5.630419,11.222094,0.070580,0.597834,3.408395,10.259678,0.041252
0.020000,5.643810,11.222642,0.083982,0.670098,3.613205,10.240536,0.040659
0.020000,5.658727,11.223244,0.098911,0.746450,3.817596,10.219523,0.040002
0.020000,5.675251,11.223900,0.115448,0.826879,4.021482,10.194319,0.039279
0.020000,5.693424,11.224607,0.133634,0.909310,4.121558,5.003775,0.038488
0.020000,5.713243,11.225361,0.153468,0.991668,4.117862,-0.184766,0.037632
0.020000,5.734707,11.226159,0.174947,1.073945,4.113851,-0.200543,0.036712
0.020000,5.757814,11.226997,0.198069,1.156135,4.109498,-0.217686,0.035731
0.020000,5.782564,11.227869,0.222834,1.238231,4.104791,-0.235315,0.034689
0.020000,5.808953,11.228770,0.249238,1.320226,4.099762,-0.251483,0.033590
0.020000,5.836980,11.229695,0.277281,1.402113,4.094378,-0.269169,0.032435
0.020000,5.866643,11.230640,0.306958,1.483886,4.088654,-0.286195,0.031227
