dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.602274,10.270017,0.000040,0.003963,0.198126,9.906317,0.044573
0.020000,5.602274,10.270017,0.000198,0.011888,0.396253,9.906317,0.044565
0.020000,5.602274,10.270017,0.000555,0.023775,0.594379,9.906317,0.044548
0.020000,5.602274,10.270017,0.001189,0.039625,0.792505,9.906317,0.044518
0.020000,5.602274,10.270017,0.002179,0.059438,0.990632,9.906317,0.044471
0.020000,5.602534,10.270028,0.003606,0.083213,1.188758,9.906317,0.044403
0.020000,5.604474,10.270114,0.005548,0.110951,1.386884,9.906317,0.044311
0.020000,5.607008,10.270227,0.008084,0.142651,1.585011,9.906317,0.044190
0.020000,5.610214,10.270368,0.011293,0.178314,1.783137,9.906317,0.044038
0.020000,5.614173,10.270542,0.015256,0.217939,1.981263,9.906317,0.043850
0.020000,5.618963,10.270752,0.020050,0.261527,2.179390,9.906317,0.043623
0.020000,5.624663,10.271000,0.025756,0.309077,2.377516,9.906317,0.043354
0.020000,5.631354,10.271289,0.032453,0.360590,2.575642,9.906317,0.043039
0.020000,5.639113,10.271622,0.040220,0.416065,2.773769,9.906317,0.042674
0.020000,5.648021,10.272000,0.049135,0.475503,2.971895,9.906317,0.042257
0.020000,5.658156,10.272426,0.059279,0.538904,3.170021,9.906317,0.041784
0.020000,5.669598,10.272902,0.070731,0.606267,3.368148,9.906317,0.041252
0.020000,5.682426,10.273427,0.083570,0.677592,3.566274,9.906317,0.040659
0.020000,5.696719,10.274004,0.097874,0.752880,3.764400,9.906317,0.040002
0.020000,5.712556,10.274632,0.113725,0.832131,3.962527,9.906317,0.039279
0.020000,5.729978,10.275310,0.131160,0.911381,3.962527,-0.000000,0.038488
0.020000,5.748985,10.276034,0.150180,0.990632,3.962527,0.000000,0.037632
0.020000,5.769576,10.276800,0.170785,1.069882,3.962527,-0.000000,0.036712
0.020000,5.791751,10.277603,0.192975,1.149133,3.962527,-0.000000,0.035731
0.020000,5.815512,10.278440,0.216750,1.228383,3.962527,0.000000,0.034689
0.020000,5.840857,10.279306,0.242110,1.307634,3.962527,-0.000000,0.033590
0.020000,5.867788,10.280195,0.269056,1.386884,3.962527,0.000000,0.032435
0.020000,5.896303,10.281103,0.297586,1.466135,3.962527,0.000000,0.031227
0.020000,5.926404,10.282024,0.327701,1.545385,3.962527,0.000000,0.029968
0.020000,5.958091,10.282953,0.359401,1.624636,3.962527,0.000000,0.028662
0.020000,5.991363,10.283885,0.392686,1.703887,3.962527,0.000000,0.027311
0.020000,6.026221,10.284813,0.427557,1.783137,3.962527,-0.000000,0.025917
0.020000,6.062665,10.285731,0.464012,1.862388,3.962527,-0.000000,0.024485
0.020000,6.100694,10.286634,0.502052,1.941638,3.962527,0.000000,0.023017
0.020000,6.140310,10.287517,0.541677,2.020889,3.962527,0.000000,0.021517
0.020000,6.181511,10.288372,0.582888,2.100139,3.962527,-0.000000,0.019988
0.020000,6.224299,10.289194,0.625683,2.179390,3.962527,0.000000,0.018435
0.020000,6.268672,10.289977,0.670063,2.258640,3.962527,-0.000000,0.016860
0.020000,6.314631,10.290715,0.716029,2.337891,3.962527,0.000000,0.015268
0.020000,6.362177,10.291402,0.763579,2.417141,3.962527,0.000000,0.013664
0.020000,6.411308,10.292034,0.812714,2.496392,3.962527,-0.000000,0.012050
0.020000,6.462025,10.292604,0.863435,2.575642,3.962527,0.000000,0.010433
0.020000,6.514328,10.293107,0.915740,2.654893,3.962527,-0.000000,0.008816
0.020000,6.568217,10.293539,0.969630,2.734143,3.962527,0.000000,0.007204
0.020000,6.623691,10.293893,1.025106,2.813394,3.962527,-0.000000,0.005602
0.020000,6.680751,10.294168,1.082166,2.892645,3.962527,0.000000,0.004015
0.020000,6.739396,10.294357,1.140811,2.971895,3.962527,-0.000000,0.002449
