dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.644604,9.320960,0.000040,0.003963,0.198126,9.906317,0.044573
0.020000,5.644597,9.320960,0.000047,0.000359,-0.180199,-18.916268,0.044565
0.020000,5.644581,9.320959,0.000063,0.000807,0.022405,10.130205,0.044548
0.020000,5.644552,9.320958,0.000092,0.001434,0.031356,0.447532,0.044518
0.020000,5.644507,9.320956,0.000136,0.002240,0.040289,0.446658,0.044471
0.020000,5.644703,9.320965,0.000332,0.009804,0.378238,16.897481,0.044403
0.020000,5.646555,9.321047,0.002186,0.092697,4.144658,188.320963,0.044311
0.020000,5.648974,9.321154,0.004608,0.121079,1.419084,-136.278687,0.044190
0.020000,5.652036,9.321289,0.007673,0.153249,1.608488,9.470213,0.044038
0.020000,5.655817,9.321455,0.011457,0.189209,1.797991,9.475152,0.043850
0.020000,5.660392,9.321656,0.016036,0.228961,1.987611,9.480988,0.043623
0.020000,5.665837,9.321893,0.021487,0.272509,2.177411,9.489991,0.043354
0.020000,5.672228,9.322169,0.027884,0.319856,2.367358,9.497335,0.043039
0.020000,5.679641,9.322487,0.035304,0.371007,2.557540,9.509132,0.042674
0.020000,5.688153,9.322848,0.043823,0.425967,2.747991,9.522539,0.042257
0.020000,5.697839,9.323256,0.053518,0.484741,2.938704,9.535641,0.041784
0.020000,5.708776,9.323710,0.064465,0.547336,3.129771,9.553356,0.041252
0.020000,5.721041,9.324213,0.076740,0.613761,3.321215,9.572198,0.040659
0.020000,5.734711,9.324764,0.090420,0.684023,3.513093,9.593908,0.040002
0.020000,5.749861,9.325365,0.105583,0.758131,3.705426,9.616639,0.039279
0.020000,5.766533,9.326014,0.122267,0.834201,3.803513,4.904363,0.038488
0.020000,5.784727,9.326706,0.140474,0.910345,3.807179,0.183280,0.037632
0.020000,5.804444,9.327440,0.160205,0.986569,3.811203,0.201231,0.036712
0.020000,5.825688,9.328209,0.181463,1.062880,3.815563,0.218006,0.035731
0.020000,5.848460,9.329012,0.204249,1.139285,3.820252,0.234411,0.034689
0.020000,5.872761,9.329842,0.228564,1.215791,3.825296,0.252233,0.033590
0.020000,5.898595,9.330695,0.254413,1.292405,3.830671,0.268732,0.032435
0.020000,5.925964,9.331566,0.281795,1.369132,3.836389,0.285907,0.031227
0.020000,5.954870,9.332451,0.310715,1.445982,3.842461,0.303594,0.029968
0.020000,5.985316,9.333343,0.341174,1.522959,3.848868,0.320334,0.028662
0.020000,6.017305,9.334239,0.373175,1.600071,3.855611,0.337152,0.027311
