dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.488808,3.236238,0.000040,0.003980,0.199010,9.950484,6.282606
0.020000,4.488796,3.236238,0.000052,0.000603,-0.168868,-18.393868,6.282619
0.020000,4.488769,3.236238,0.000079,0.001356,0.037675,10.327127,6.282648
0.020000,4.488721,3.236239,0.000127,0.002411,0.052737,0.753129,6.282698
0.020000,4.488646,3.236239,0.000203,0.003767,0.067789,0.752564,6.282778
0.020000,4.488537,3.236239,0.000311,0.005423,0.082821,0.751638,6.282892
0.020000,4.488390,3.236239,0.000459,0.007380,0.097827,0.750262,6.283047
0.020000,4.489010,3.236239,0.001079,0.030999,1.180956,54.156456,0.000065
0.020000,4.491990,3.236239,0.004059,0.149010,5.900554,235.979915,0.000321
0.020000,4.495669,3.236241,0.007738,0.183965,1.747734,-207.640986,0.000638
0.020000,4.500121,3.236245,0.012190,0.222613,1.932420,9.234282,0.001021
0.020000,4.505420,3.236251,0.017489,0.264943,2.116487,9.203350,0.001476
0.020000,4.511639,3.236262,0.023708,0.310960,2.300880,9.219636,0.002010
0.020000,4.518853,3.236279,0.030922,0.360670,2.485482,9.230103,0.002629
0.020000,4.527134,3.236304,0.039203,0.414073,2.670131,9.232448,0.003339
0.020000,4.536558,3.236339,0.048627,0.471174,2.855072,9.247039,0.004145
0.020000,4.547197,3.236388,0.059266,0.531979,3.040251,9.258994,0.005053
0.020000,4.559127,3.236454,0.071196,0.596488,3.225452,9.260051,0.006070
0.020000,4.572421,3.236542,0.084490,0.664708,3.411011,9.277909,0.007201
0.020000,4.587153,3.236658,0.099223,0.736647,3.596923,9.295610,0.008451
0.020000,4.603362,3.236806,0.115433,0.810465,3.690919,4.699800,0.009824
0.020000,4.621047,3.236993,0.133119,0.884337,3.693609,0.134495,0.011316
0.020000,4.640211,3.237225,0.152284,0.958252,3.695708,0.104948,0.012929
0.020000,4.660854,3.237510,0.172929,1.032222,3.698539,0.141578,0.014660
0.020000,4.682976,3.237855,0.195054,1.106251,3.701456,0.145852,0.016509
0.020000,4.706579,3.238268,0.218661,1.180349,3.704886,0.171478,0.018473
0.020000,4.731665,3.238757,0.243751,1.254510,3.708021,0.156765,0.020552
0.020000,4.758233,3.239332,0.270326,1.328750,3.712027,0.200308,0.022744
0.020000,4.786287,3.240003,0.298387,1.403070,3.715979,0.197597,0.025047
0.020000,4.815826,3.240779,0.327937,1.477473,3.720147,0.208371,0.027460
0.020000,4.846853,3.241670,0.358976,1.551962,3.724452,0.215280,0.029981
0.020000,4.879368,3.242688,0.391507,1.626552,3.729507,0.252756,0.032607
0.020000,4.913373,3.243844,0.425532,1.701242,3.734493,0.249265,0.035336
0.020000,4.948870,3.245149,0.461053,1.776041,3.739956,0.273154,0.038167
0.020000,4.985860,3.246616,0.498072,1.850950,3.745446,0.274486,0.041096
0.020000,5.024344,3.248256,0.536591,1.925979,3.751458,0.300635,0.044122
0.020000,5.064325,3.250084,0.576614,2.001133,3.757696,0.311884,0.047241
0.020000,5.105804,3.252112,0.618142,2.076419,3.764326,0.331520,0.050451
0.020000,5.148782,3.254353,0.661179,2.151842,3.771118,0.339577,0.053750
0.020000,5.193262,3.256822,0.705727,2.227412,3.778511,0.369648,0.057133
0.020000,5.239245,3.259532,0.751790,2.303129,3.785857,0.367287,0.060598
0.020000,5.286733,3.262498,0.799370,2.379006,3.793846,0.399494,0.064141
0.020000,5.335727,3.265734,0.848471,2.455046,3.802024,0.408871,0.067760
0.020000,5.386229,3.269255,0.899096,2.531255,3.810420,0.419822,0.071450
0.020000,5.438242,3.273076,0.951249,2.607647,3.819605,0.459222,0.075207
0.020000,5.491767,3.277212,1.004933,2.684218,3.828558,0.447664,0.079029
0.020000,5.546806,3.281679,1.060153,2.760981,3.838160,0.480078,0.082910
0.020000,5.603360,3.286491,1.116912,2.837943,3.848086,0.496346,0.086847
0.020000,5.661432,3.291664,1.175214,2.915110,3.858367,0.514016,0.090835
0.020000,5.721024,3.297213,1.235064,2.992488,3.868889,0.526104,0.094870
0.020000,5.782138,3.303155,1.296466,3.070084,3.879800,0.545533,0.098948
0.020000,5.844775,3.309503,1.359424,3.147905,3.891043,0.562161,0.103062
0.020000,5.908938,3.316274,1.423943,3.225959,3.902704,0.583080,0.107210
0.020000,5.974628,3.323483,1.490028,3.304249,3.914510,0.590299,0.111385
0.020000,6.041849,3.331145,1.557684,3.382786,3.926853,0.617143,0.115583
0.020000,6.110601,3.339275,1.626915,3.461574,3.939388,0.626718,0.119797
0.020000,6.180888,3.347887,1.697727,3.540619,3.952260,0.643634,0.124024
0.020000,6.252711,3.356995,1.770126,3.619927,3.965393,0.656630,0.128257
0.020000,6.326074,3.366615,1.844116,3.699506,3.978954,0.678048,0.132490
0.020000,6.400977,3.376759,1.919703,3.779361,3.992714,0.688030,0.136718
0.020000,6.477424,3.387442,1.996893,3.859497,4.006810,0.704772,0.140935
0.020000,6.555418,3.398675,2.075692,3.939920,4.021139,0.716464,0.145134
0.020000,6.634961,3.410471,2.156104,4.020635,4.035784,0.732224,0.149310
0.020000,6.716055,3.422843,2.238137,4.101649,4.050679,0.744766,0.153457
0.020000,6.798705,3.435802,2.321797,4.182966,4.065842,0.758132,0.157567
0.020000,6.882912,3.449357,2.407088,4.264591,4.081245,0.770181,0.161635
0.020000,6.968682,3.463521,2.494019,4.346529,4.096907,0.783087,0.165654
0.020000,7.056015,3.478301,2.582595,4.428784,4.112787,0.794019,0.169617
0.020000,7.144918,3.493706,2.672822,4.511363,4.128908,0.806057,0.173517
0.020000,7.235393,3.509744,2.764707,4.594268,4.145250,0.817059,0.177348
0.020000,7.327444,3.526422,2.858257,4.677504,4.161814,0.828197,0.181102
0.020000,7.421076,3.543746,2.953479,4.761075,4.178573,0.837962,0.184773
0.020000,7.516294,3.561720,3.050379,4.844986,4.195559,0.849324,0.188353
0.020000,7.613103,3.580349,3.148963,4.929241,4.212747,0.859381,0.191835
0.020000,7.711508,3.599636,3.249240,5.013844,4.230120,0.868678,0.195212
0.020000,7.811514,3.619581,3.351216,5.098798,4.247713,0.879635,0.198476
0.020000,7.913128,3.640186,3.454898,5.184108,4.265490,0.888861,0.201621
0.020000,8.016357,3.661450,3.560294,5.269778,4.283484,0.899703,0.204637
0.020000,8.121206,3.683370,3.667410,5.355811,4.301673,0.909425,0.207518
0.020000,8.227684,3.705942,3.776254,5.442212,4.320045,0.918611,0.210256
0.020000,8.335798,3.729163,3.886834,5.528985,4.338676,0.931565,0.212844
0.020000,8.445557,3.753025,3.999157,5.616135,4.357456,0.938967,0.215272
0.020000,8.556969,3.777521,4.113230,5.703665,4.376523,0.953360,0.217533
0.020000,8.670044,3.802640,4.229062,5.791580,4.395760,0.961861,0.219620
0.020000,8.784792,3.828371,4.346660,5.879886,4.415304,0.977174,0.221523
0.020000,8.901224,3.854700,4.466031,5.968587,4.435028,0.986201,0.223235
0.020000,9.019351,3.881613,4.587185,6.057688,4.455062,1.001737,0.224746
0.020000,9.139185,3.909093,4.710129,6.147195,4.475349,1.014335,0.226050
0.020000,9.260738,3.937120,4.834871,6.237113,4.495913,1.028205,0.227136
0.020000,9.384023,3.965673,4.961420,6.327449,4.516801,1.044386,0.227996
0.020000,9.509056,3.994728,5.089784,6.418209,4.537977,1.058797,0.228621
0.020000,9.635850,4.024260,5.219972,6.509399,4.559501,1.076211,0.229003
0.020000,9.764421,4.054241,5.351993,6.601026,4.581355,1.092679,0.229131
0.020000,9.894786,4.084639,5.485855,6.693097,4.603569,1.110689,0.228997
0.020000,10.026961,4.115422,5.621567,6.785620,4.626148,1.128979,0.228591
0.020000,10.160965,4.146553,5.759139,6.878602,4.649104,1.147814,0.227903
0.020000,10.296815,4.177995,5.898580,6.972051,4.672449,1.167247,0.226924
0.020000,10.434531,4.209704,6.039900,7.065975,4.696184,1.186722,0.225643
0.020000,10.574133,4.241637,6.183107,7.160382,4.720337,1.207669,0.224051
0.020000,10.715642,4.273745,6.328213,7.255279,4.744856,1.225957,0.222136
0.020000,10.859078,4.305976,6.475227,7.350675,4.769782,1.246276,0.219889
0.020000,11.004465,4.338277,6.624158,7.446576,4.795080,1.264894,0.217300
0.020000,11.151824,4.370588,6.775018,7.542992,4.820783,1.285170,0.214356
0.020000,11.301178,4.402849,6.927816,7.639927,4.846746,1.298131,0.211047
0.020000,11.448055,4.434023,7.077965,7.507429,-6.624912,-573.582891,0.206726
0.020000,11.602880,4.466037,7.236065,7.905007,19.878904,1325.190782,0.201189
0.020000,11.758809,4.497431,7.395123,7.952904,2.394854,-874.202485,0.196277
0.020000,11.915722,4.528274,7.555039,7.995783,2.143986,-12.543386,0.192012
0.020000,12.073500,4.558643,7.715713,8.033711,1.896378,-12.380408,0.188415
0.020000,12.232025,4.588622,7.877048,8.066749,1.651897,-12.224031,0.185506
0.020000,12.391181,4.618298,8.038947,8.094956,1.410361,-12.076802,0.183301
0.020000,12.550853,4.647766,8.201315,8.118390,1.171692,-11.933440,0.181818
