dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.487708,1.336239,0.000040,0.003980,0.199010,9.950484,6.282606
0.020000,4.487720,1.336239,0.000052,0.000603,-0.168868,-18.393868,6.282619
0.020000,4.487748,1.336239,0.000079,0.001356,0.037675,10.327127,6.282648
0.020000,4.487796,1.336239,0.000127,0.002411,0.052737,0.753129,6.282698
0.020000,4.487871,1.336239,0.000203,0.003767,0.067789,0.752564,6.282778
0.020000,4.487980,1.336239,0.000311,0.005423,0.082821,0.751638,6.282892
0.020000,4.488127,1.336239,0.000459,0.007380,0.097827,0.750262,6.283047
0.020000,4.489133,1.336239,0.001464,0.050271,2.144540,102.335688,0.000065
0.020000,4.492600,1.336239,0.004932,0.173391,6.156018,200.573869,0.000321
0.020000,4.496881,1.336241,0.009213,0.214049,2.032894,-206.156188,0.000638
0.020000,4.502061,1.336246,0.014393,0.258994,2.247244,10.717486,0.001021
0.020000,4.508225,1.336253,0.020557,0.308207,2.460675,10.671580,0.001476
0.020000,4.515459,1.336266,0.027791,0.361692,2.674247,10.678596,0.002010
0.020000,4.523848,1.336285,0.036180,0.419448,2.887780,10.676614,0.002629
0.020000,4.533477,1.336314,0.045809,0.481468,3.101034,10.662745,0.003339
0.020000,4.544432,1.336355,0.056764,0.547753,3.314244,10.660455,0.004145
0.020000,4.556798,1.336412,0.069130,0.618299,3.527288,10.652199,0.005053
0.020000,4.570660,1.336489,0.082992,0.693096,3.739850,10.628138,0.006070
0.020000,4.586103,1.336592,0.098435,0.772141,3.952255,10.620210,0.007201
0.020000,4.603211,1.336726,0.115543,0.855430,4.164423,10.608423,0.008451
0.020000,4.622026,1.336897,0.134360,0.940813,4.269187,5.238177,0.009824
0.020000,4.642548,1.337114,0.154883,1.026161,4.267390,-0.089838,0.011316
0.020000,4.664775,1.337384,0.177112,1.111450,4.264418,-0.148612,0.012929
0.020000,4.688707,1.337714,0.201046,1.196685,4.261796,-0.131097,0.014660
0.020000,4.714341,1.338114,0.226683,1.281861,4.258762,-0.151684,0.016509
0.020000,4.741676,1.338592,0.254022,1.366977,4.255800,-0.148105,0.018473
0.020000,4.770711,1.339158,0.283063,1.452016,4.251963,-0.191848,0.020552
0.020000,4.801444,1.339824,0.313802,1.536988,4.248588,-0.168753,0.022744
0.020000,4.833872,1.340599,0.346240,1.621880,4.244591,-0.199856,0.025047
0.020000,4.867994,1.341495,0.380374,1.706685,4.240271,-0.215977,0.027460
0.020000,4.903807,1.342524,0.416202,1.791395,4.235527,-0.237200,0.029981
0.020000,4.941309,1.343698,0.453722,1.876016,4.231051,-0.223805,0.032607
0.020000,4.980497,1.345030,0.492933,1.960534,4.225884,-0.258367,0.035336
0.020000,5.021368,1.346532,0.533832,2.044947,4.220644,-0.261979,0.038167
0.020000,5.063920,1.348220,0.576416,2.129243,4.214800,-0.292212,0.041096
0.020000,5.108148,1.350106,0.620685,2.213421,4.208910,-0.294482,0.044122
0.020000,5.154050,1.352204,0.666634,2.297474,4.202620,-0.314507,0.047241
0.020000,5.201621,1.354530,0.714262,2.381396,4.196111,-0.325462,0.050451
0.020000,5.250857,1.357097,0.763566,2.465178,4.189106,-0.350236,0.053750
0.020000,5.301755,1.359922,0.814542,2.548820,4.182101,-0.350281,0.057133
0.020000,5.354310,1.363019,0.867188,2.632307,4.174342,-0.387922,0.060598
0.020000,5.408518,1.366405,0.921501,2.715639,4.166614,-0.386407,0.064141
0.020000,5.464372,1.370094,0.977477,2.798807,4.158386,-0.411374,0.067760
0.020000,5.521868,1.374103,1.035113,2.881801,4.149690,-0.434797,0.071450
0.020000,5.581002,1.378447,1.094406,2.964624,4.141169,-0.426096,0.075207
0.020000,5.641766,1.383142,1.155351,3.047257,4.131657,-0.475566,0.079029
0.020000,5.704154,1.388205,1.217945,3.129700,4.122155,-0.475105,0.082910
0.020000,5.768162,1.393651,1.282184,3.211946,4.112294,-0.493082,0.086847
0.020000,5.833782,1.399497,1.348064,3.293988,4.102105,-0.509444,0.090835
0.020000,5.901008,1.405757,1.415580,3.375818,4.091464,-0.532012,0.094870
0.020000,5.969832,1.412448,1.484728,3.457428,4.080542,-0.546105,0.098948
0.020000,6.040247,1.419585,1.555505,3.538814,4.069280,-0.563130,0.103062
0.020000,6.112247,1.427183,1.627904,3.619970,4.057779,-0.575032,0.107210
0.020000,6.185823,1.435258,1.701922,3.700884,4.045740,-0.601932,0.111385
0.020000,6.260967,1.443823,1.777553,3.781557,4.033613,-0.606369,0.115583
0.020000,6.337672,1.452892,1.854793,3.861977,4.021020,-0.629661,0.119797
0.020000,6.415930,1.462481,1.933635,3.942140,4.008137,-0.644149,0.124024
0.020000,6.495732,1.472601,2.014076,4.022038,3.994889,-0.662376,0.128257
0.020000,6.577069,1.483267,2.096109,4.101667,3.981478,-0.670575,0.132490
0.020000,6.659933,1.494489,2.179730,4.181020,3.967662,-0.690771,0.136718
0.020000,6.744315,1.506280,2.264932,4.260093,3.953608,-0.702705,0.140935
0.020000,6.830206,1.518650,2.351709,4.338877,3.939219,-0.719444,0.145134
0.020000,6.917598,1.531611,2.440057,4.417369,3.924602,-0.730892,0.149310
0.020000,7.006480,1.545171,2.529968,4.495563,3.909700,-0.745081,0.153457
0.020000,7.096845,1.559339,2.621437,4.573454,3.894549,-0.757549,0.157567
0.020000,7.188684,1.574123,2.714458,4.651037,3.879136,-0.770660,0.161635
0.020000,7.281986,1.589530,2.809024,4.728307,3.863495,-0.782049,0.165654
0.020000,7.376744,1.605567,2.905129,4.805258,3.847598,-0.794835,0.169617
0.020000,7.472948,1.622237,3.002767,4.881888,3.831484,-0.805702,0.173517
0.020000,7.570590,1.639545,3.101931,4.958191,3.815143,-0.817029,0.177348
0.020000,7.669660,1.657495,3.202614,5.034163,3.798591,-0.827604,0.181102
0.020000,7.770151,1.676088,3.304810,5.109799,3.781809,-0.839123,0.184773
0.020000,7.872053,1.695324,3.408512,5.185096,3.764840,-0.848468,0.188353
0.020000,7.975359,1.715203,3.513713,5.260049,3.747663,-0.858852,0.191835
0.020000,8.080060,1.735723,3.620406,5.334654,3.730267,-0.869774,0.195212
0.020000,8.186149,1.756882,3.728584,5.408908,3.712692,-0.878762,0.198476
0.020000,8.293618,1.778674,3.838240,5.482806,3.694901,-0.889540,0.201621
0.020000,8.402459,1.801093,3.949367,5.556345,3.676928,-0.898671,0.204637
0.020000,8.512667,1.824134,4.061957,5.629520,3.658744,-0.909178,0.207518
0.020000,8.624234,1.847785,4.176004,5.702326,3.640333,-0.920552,0.210256
0.020000,8.737154,1.872038,4.291499,5.774762,3.621765,-0.928418,0.212844
0.020000,8.851421,1.896880,4.408436,5.846820,3.602911,-0.942666,0.215272
0.020000,8.967030,1.922298,4.526805,5.918498,3.583905,-0.950308,0.217533
0.020000,9.083975,1.948277,4.646601,5.989790,3.564607,-0.964909,0.219620
0.020000,9.202252,1.974799,4.767815,6.060693,3.545139,-0.973386,0.221523
0.020000,9.321856,2.001846,4.890439,6.131200,3.525351,-0.989415,0.223235
0.020000,9.442783,2.029397,5.014465,6.201307,3.505353,-0.999883,0.224746
0.020000,9.565030,2.057430,5.139885,6.271008,3.485061,-1.014626,0.226050
0.020000,9.688594,2.085921,5.266691,6.340298,3.464473,-1.029373,0.227136
0.020000,9.813472,2.114842,5.394875,6.409170,3.443610,-1.043146,0.227996
0.020000,9.939662,2.144166,5.524427,6.477618,3.422408,-1.060129,0.228621
0.020000,10.067162,2.173863,5.655340,6.545636,3.400898,-1.075485,0.229003
0.020000,10.195971,2.203899,5.787604,6.613217,3.379034,-1.093199,0.229131
0.020000,10.326088,2.234239,5.921211,6.680353,3.356820,-1.110700,0.228997
0.020000,10.457511,2.264847,6.056152,6.747038,3.334237,-1.129168,0.228591
0.020000,10.590242,2.295683,6.192417,6.813263,3.311273,-1.148196,0.227903
0.020000,10.724279,2.326705,6.329998,6.879022,3.287922,-1.167540,0.226924
0.020000,10.859624,2.357868,6.468884,6.944305,3.264172,-1.187501,0.225643
0.020000,10.996276,2.389126,6.609066,7.009106,3.240045,-1.206359,0.224051
0.020000,11.134238,2.420429,6.750534,7.073416,3.215489,-1.227773,0.222136
0.020000,11.273510,2.451725,6.893279,7.137227,3.190556,-1.246665,0.219889
0.020000,11.414092,2.482959,7.037289,7.200532,3.165234,-1.266124,0.217300
0.020000,11.555988,2.514073,7.182556,7.263323,3.139589,-1.282224,0.214356
0.020000,11.699197,2.545005,7.329068,7.325594,3.113533,-1.302831,0.211047
0.020000,11.838043,2.574477,7.471007,7.096985,-11.430435,-727.198364,0.206726
0.020000,11.982564,2.604360,7.618586,7.378917,14.096592,1276.351337,0.201189
0.020000,12.129344,2.633912,7.768311,7.486252,5.366716,-436.493797,0.196277
0.020000,12.278307,2.663192,7.920124,7.590643,5.219565,-7.357540,0.192012
0.020000,12.429374,2.692269,8.073964,7.692025,5.069128,-7.521885,0.188415
0.020000,12.582468,2.721220,8.229771,7.790337,4.915580,-7.677400,0.185506
0.020000,12.737506,2.750128,8.387481,7.885518,4.759036,-7.827154,0.183301
0.020000,12.894407,2.779084,8.547032,7.977511,4.599685,-7.967553,0.181818
0.020000,13.053085,2.808185,8.708357,8.066263,4.437587,-8.104940,0.181072
0.020000,13.213456,2.837536,8.871391,8.151720,4.272836,-8.237530,0.181078
0.020000,13.375431,2.867245,9.036068,8.233829,4.105474,-8.368094,0.181849
0.020000,13.538919,2.897427,9.202319,8.312539,3.935476,-8.499900,0.183397
0.020000,13.703828,2.928203,9.370074,8.387795,3.762797,-8.633976,0.185734
0.020000,13.870061,2.959697,9.539265,8.459541,3.587302,-8.774744,0.188869
