dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.509567,11.173599,0.000040,0.003977,0.198872,9.943578,6.283051
0.020000,5.509561,11.173599,0.000046,0.000300,-0.183861,-19.136623,6.283057
0.020000,5.509548,11.173599,0.000059,0.000675,0.018754,10.130756,6.283071
0.020000,5.509524,11.173599,0.000083,0.001200,0.026230,0.373810,6.283096
0.020000,5.509486,11.173599,0.000121,0.001873,0.033668,0.371854,6.283136
0.020000,5.509616,11.173599,0.000251,0.006504,0.231518,9.892542,0.000007
0.020000,5.511492,11.173600,0.002127,0.093787,4.364149,206.631545,0.000084
0.020000,5.513942,11.173600,0.004577,0.122508,1.436075,-146.403711,0.000185
0.020000,5.517044,11.173601,0.007678,0.155068,1.627977,9.595081,0.000311
0.020000,5.520873,11.173602,0.011507,0.191470,1.820105,9.606430,0.000467
0.020000,5.525507,11.173605,0.016142,0.231720,2.012519,9.620665,0.000655
0.020000,5.531024,11.173609,0.021658,0.275826,2.205272,9.637652,0.000877
0.020000,5.537500,11.173615,0.028134,0.323794,2.398444,9.658633,0.001136
0.020000,5.545013,11.173625,0.035647,0.375636,2.592102,9.682867,0.001434
0.020000,5.553640,11.173639,0.044274,0.431363,2.786327,9.711285,0.001773
0.020000,5.563459,11.173658,0.054094,0.490987,2.981212,9.744243,0.002154
0.020000,5.574550,11.173684,0.065184,0.554524,3.176845,9.781649,0.002580
0.020000,5.586990,11.173720,0.077624,0.621991,3.373328,9.824163,0.003051
0.020000,5.600858,11.173765,0.091492,0.693406,3.570768,9.871958,0.003567
0.020000,5.616233,11.173825,0.106868,0.768792,3.769274,9.925343,0.004129
0.020000,5.633158,11.173900,0.123793,0.846247,3.872766,5.174604,0.004735
0.020000,5.651635,11.173993,0.142271,0.923867,3.880998,0.411586,0.005381
0.020000,5.671668,11.174108,0.162304,1.001666,3.889972,0.448712,0.006065
0.020000,5.693261,11.174247,0.183897,1.079660,3.899695,0.486125,0.006781
0.020000,5.716418,11.174412,0.207054,1.157864,3.910167,0.523611,0.007526
0.020000,5.741143,11.174608,0.231780,1.236291,3.921381,0.560684,0.008294
0.020000,5.767441,11.174836,0.258079,1.314958,3.933340,0.597977,0.009081
0.020000,5.795317,11.175101,0.285957,1.393879,3.946048,0.635377,0.009881
0.020000,5.824777,11.175404,0.315418,1.473069,3.959492,0.672193,0.010688
0.020000,5.855826,11.175748,0.346469,1.552543,3.973690,0.709908,0.011497
0.020000,5.888470,11.176137,0.379115,1.632315,3.988619,0.746433,0.012301
0.020000,5.922715,11.176572,0.413363,1.712401,4.004302,0.784179,0.013094
0.020000,5.958568,11.177056,0.449220,1.792815,4.020716,0.820707,0.013869
0.020000,5.996036,11.177589,0.486691,1.873573,4.037881,0.858226,0.014619
