dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.509439,10.223599,0.000040,0.003977,0.198872,9.943578,6.283051
0.020000,5.509439,10.223599,0.000199,0.011932,0.397743,9.943578,6.283057
0.020000,5.509439,10.223599,0.000557,0.023865,0.596615,9.943578,6.283071
0.020000,5.509439,10.223599,0.001193,0.039774,0.795486,9.943578,6.283096
0.020000,5.509439,10.223599,0.002188,0.059661,0.994358,9.943578,6.283136
0.020000,5.509623,10.223599,0.003619,0.083526,1.193229,9.943578,0.000007
0.020000,5.511572,10.223600,0.005568,0.111368,1.392101,9.943578,0.000084
0.020000,5.514118,10.223600,0.008114,0.143188,1.590973,9.943578,0.000185
0.020000,5.517339,10.223601,0.011336,0.178984,1.789844,9.943578,0.000311
0.020000,5.521317,10.223602,0.015313,0.218759,1.988716,9.943578,0.000467
0.020000,5.526130,10.223605,0.020126,0.262510,2.187587,9.943578,0.000655
0.020000,5.531857,10.223609,0.025853,0.310240,2.386459,9.943578,0.000877
0.020000,5.538579,10.223616,0.032575,0.361946,2.585330,9.943578,0.001136
0.020000,5.546375,10.223626,0.040371,0.417630,2.784202,9.943578,0.001434
0.020000,5.555324,10.223640,0.049320,0.477292,2.983074,9.943578,0.001773
0.020000,5.565506,10.223660,0.059502,0.540931,3.181945,9.943578,0.002154
0.020000,5.577001,10.223688,0.070997,0.608547,3.380817,9.943578,0.002580
0.020000,5.589888,10.223724,0.083884,0.680141,3.579688,9.943578,0.003051
0.020000,5.604246,10.223771,0.098243,0.755712,3.778560,9.943578,0.003567
0.020000,5.620156,10.223833,0.114152,0.835261,3.977431,9.943578,0.004129
0.020000,5.637656,10.223910,0.131653,0.914809,3.977431,0.000000,0.004735
0.020000,5.656748,10.224007,0.150745,0.994358,3.977431,0.000000,0.005381
0.020000,5.677430,10.224125,0.171427,1.073906,3.977431,-0.000000,0.006065
0.020000,5.699703,10.224268,0.193701,1.153455,3.977431,0.000000,0.006781
0.020000,5.723567,10.224439,0.217565,1.233004,3.977431,-0.000000,0.007526
0.020000,5.749022,10.224641,0.243021,1.312552,3.977431,0.000000,0.008294
0.020000,5.776067,10.224876,0.270068,1.392101,3.977431,0.000000,0.009081
0.020000,5.804704,10.225147,0.298705,1.471650,3.977431,-0.000000,0.009881
0.020000,5.834931,10.225458,0.328934,1.551198,3.977431,0.000000,0.010688
0.020000,5.866748,10.225811,0.360753,1.630747,3.977431,0.000000,0.011497
0.020000,5.900156,10.226209,0.394163,1.710295,3.977431,0.000000,0.012301
0.020000,5.935155,10.226653,0.429165,1.789844,3.977431,-0.000000,0.013094
0.020000,5.971744,10.227147,0.465757,1.869393,3.977431,-0.000000,0.013869
0.020000,6.009923,10.227691,0.503941,1.948941,3.977431,0.000000,0.014619
0.020000,6.049693,10.228287,0.543715,2.028490,3.977431,0.000000,0.015335
0.020000,6.091053,10.228935,0.585080,2.108039,3.977431,-0.000000,0.016010
0.020000,6.134004,10.229637,0.628036,2.187587,3.977431,0.000000,0.016637
0.020000,6.178545,10.230391,0.672584,2.267136,3.977431,0.000000,0.017206
0.020000,6.224676,10.231197,0.718722,2.346684,3.977431,0.000000,0.017709
0.020000,6.272397,10.232052,0.766451,2.426233,3.977431,0.000000,0.018136
0.020000,6.321709,10.232956,0.815771,2.505782,3.977431,0.000000,0.018479
0.020000,6.372611,10.233903,0.866682,2.585330,3.977431,-0.000000,0.018727
0.020000,6.425104,10.234891,0.919184,2.664879,3.977431,0.000000,0.018871
0.020000,6.479188,10.235913,0.973277,2.744428,3.977431,0.000000,0.018899
0.020000,6.534862,10.236963,1.028961,2.823976,3.977431,-0.000000,0.018802
0.020000,6.592127,10.238034,1.086236,2.903525,3.977431,0.000000,0.018569
0.020000,6.650983,10.239116,1.145102,2.983074,3.977431,-0.000000,0.018187
0.020000,6.711430,10.240200,1.205559,3.062622,3.977431,0.000000,0.017646
0.020000,6.773469,10.241274,1.267607,3.142171,3.977431,0.000000,0.016934
0.020000,6.837099,10.242324,1.331246,3.221719,3.977431,-0.000000,0.016038
0.020000,6.902321,10.243335,1.396476,3.301268,3.977431,0.000000,0.014945
0.020000,6.969135,10.244291,1.463297,3.380817,3.977431,0.000000,0.013643
0.020000,7.037541,10.245173,1.531709,3.460365,3.977431,0.000000,0.012118
0.020000,7.107539,10.245961,1.601712,3.539914,3.977431,0.000000,0.010357
0.020000,7.179130,10.246632,1.673305,3.619463,3.977431,0.000000,0.008346
0.020000,7.252313,10.247161,1.746490,3.699011,3.977431,-0.000000,0.006071
0.020000,7.327088,10.247521,1.821266,3.778560,3.977431,0.000000,0.003516
0.020000,7.403454,10.247682,1.897632,3.858108,3.977431,-0.000000,0.000668
0.020000,7.481412,10.247613,1.975590,3.937657,3.977431,-0.000000,6.280696
0.020000,7.560960,10.247278,2.055139,4.017206,3.977431,0.000000,6.277214
0.020000,7.642097,10.246640,2.136278,4.096754,3.977431,0.000000,6.273392
0.020000,7.724821,10.245659,2.219009,4.176303,3.977431,-0.000000,6.269215
0.020000,7.809132,10.244292,2.303330,4.255852,3.977431,0.000000,6.264664
0.020000,7.895025,10.242491,2.389243,4.335400,3.977431,0.000000,6.259726
0.020000,7.982499,10.240207,2.476746,4.414949,3.977431,-0.000000,6.254382
0.020000,8.071549,10.237386,2.565841,4.494497,3.977431,-0.000000,6.248616
0.020000,8.162170,10.233973,2.656526,4.574046,3.977431,0.000000,6.242412
0.020000,8.254356,10.229908,2.748803,4.653595,3.977431,0.000000,6.235754
0.020000,8.348102,10.225126,2.842670,4.733143,3.977431,-0.000000,6.228624
0.020000,8.443397,10.219560,2.938129,4.812692,3.977431,0.000000,6.221007
0.020000,8.540234,10.213139,3.035178,4.892241,3.977431,0.000000,6.212886
0.020000,8.638599,10.205789,3.133818,4.971789,3.977431,-0.000000,6.204247
0.020000,8.738481,10.197430,3.234049,5.051338,3.977431,0.000000,6.195075
0.020000,8.839864,10.187981,3.335872,5.130886,3.977431,0.000000,6.185356
0.020000,8.942729,10.177355,3.439285,5.210435,3.977431,0.000000,6.175077
0.020000,9.042651,10.165310,3.544289,5.289984,3.977431,-0.000000,6.151139
0.020000,9.148127,10.149925,3.650884,5.369532,3.977431,-0.000000,6.125556
0.020000,9.254740,10.131561,3.759070,5.449081,3.977431,0.000000,6.099679
0.020000,9.362400,10.110122,3.868847,5.528630,3.977431,-0.000000,6.073602
0.020000,9.471015,10.085525,3.980216,5.608178,3.977431,0.000000,6.047426
0.020000,9.580490,10.057702,4.093175,5.687727,3.977431,0.000000,6.021259
0.020000,9.690733,10.026598,4.207725,5.767275,3.977431,0.000000,5.995212
0.020000,9.801652,9.992174,4.323866,5.846824,3.977431,-0.000000,5.969400
0.020000,9.913158,9.954406,4.441598,5.926373,3.977431,0.000000,5.943937
0.020000,10.025169,9.913287,4.560921,6.005921,3.977431,0.000000,5.918938
0.020000,10.137609,9.868828,4.681834,6.085470,3.977431,-0.000000,5.894513
0.020000,10.250411,9.821052,4.804339,6.165019,3.977431,0.000000,5.870767
0.020000,10.363516,9.770000,4.928435,6.244567,3.977431,-0.000000,5.847801
0.020000,10.476877,9.715724,5.054122,6.324116,3.977431,0.000000,5.825707
0.020000,10.590458,9.658293,5.181400,6.403664,3.977431,-0.000000,5.804570
0.020000,10.704235,9.597784,5.310269,6.483213,3.977431,0.000000,5.784467
0.020000,10.818198,9.534287,5.440728,6.562762,3.977431,0.000000,5.765468
0.020000,10.932347,9.467903,5.572779,6.642310,3.977431,-0.000000,5.747634
0.020000,11.046697,9.398738,5.706421,6.721859,3.977431,-0.000000,5.731021
0.020000,11.161275,9.326910,5.841653,6.801408,3.977431,0.000000,5.715678
0.020000,11.276122,9.252542,5.978477,6.880956,3.977431,0.000000,5.701648
0.020000,11.391289,9.175763,6.116892,6.960505,3.977431,-0.000000,5.688971
0.020000,11.506841,9.096712,6.256897,7.040053,3.977431,0.000000,5.677683
0.020000,11.622854,9.015531,6.398494,7.119602,3.977431,0.000000,5.667822
0.020000,11.739417,8.932370,6.541681,7.199151,3.977431,-0.000000,5.659419
0.020000,11.856627,8.847385,6.686460,7.278699,3.977431,0.000000,5.652512
0.020000,11.974595,8.760739,6.832829,7.358248,3.977431,-0.000000,5.647136
0.020000,12.093442,8.672605,6.980790,7.437797,3.977431,0.000000,5.643331
0.020000,12.213300,8.583163,7.130341,7.517345,3.977431,-0.000000,5.641139
0.020000,12.334308,8.492605,7.281484,7.596894,3.977431,-0.000000,5.640608
0.020000,12.456621,8.401132,7.434217,7.676442,3.977431,0.000000,5.641788
0.020000,12.576414,8.311915,7.588541,7.755991,3.977431,-0.000000,5.644345
0.020000,12.701624,8.219007,7.744457,7.835540,3.977431,0.000000,5.645338
0.020000,12.828223,8.125300,7.901963,7.915088,3.977431,-0.000000,5.646714
0.020000,12.956250,8.030848,8.061060,7.994637,3.977431,0.000000,5.648485
0.020000,13.085744,7.935707,8.221748,8.074186,3.977431,-0.000000,5.650661
0.020000,13.216749,7.839936,8.384028,8.153734,3.977431,-0.000000,5.653255
0.020000,13.349278,7.743621,8.547858,8.229305,3.778560,-9.943578,5.656279
0.020000,13.483312,7.646875,8.713160,8.300899,3.579688,-9.943578,5.659743
0.020000,13.618833,7.549814,8.879854,8.368516,3.380817,-9.943578,5.663657
0.020000,13.755825,7.452555,9.047861,8.432154,3.181945,-9.943578,5.668030
0.020000,13.894273,7.355219,9.217101,8.491816,2.983074,-9.943578,5.672871
0.020000,14.034160,7.257929,9.387494,8.547500,2.784202,-9.943578,5.678188
0.020000,14.175471,7.160810,9.558961,8.599207,2.585330,-9.943578,5.683986
0.020000,14.318188,7.063988,9.731422,8.646936,2.386459,-9.943578,5.690273
0.020000,14.462296,6.967591,9.904798,8.690687,2.187587,-9.943578,5.697052
0.020000,14.607774,6.871750,10.079010,8.730462,1.988716,-9.943578,5.704328
0.020000,14.754604,6.776596,10.253977,8.766259,1.789844,-9.943578,5.712102
0.020000,14.902763,6.682260,10.429620,8.798078,1.590973,-9.943578,5.720377
0.020000,15.052227,6.588874,10.605860,8.825920,1.392101,-9.943578,5.729152
0.020000,15.202968,6.496570,10.782617,8.849785,1.193229,-9.943578,5.738424
0.020000,15.354956,6.405481,10.959812,8.869672,0.994358,-9.943578,5.748191
0.020000,15.508158,6.315738,11.137365,8.885582,0.795486,-9.943578,5.758448
0.020000,15.662535,6.227469,11.315196,8.897514,0.596615,-9.943578,5.769187
0.020000,15.818045,6.140804,11.493225,8.905469,0.397743,-9.943578,5.780400
0.020000,15.974641,6.055867,11.671375,8.909446,0.198872,-9.943578,5.792076
0.020000,16.132250,5.972792,11.849538,8.906933,-0.125671,-16.227149,5.804199
0.020000,16.290792,5.891710,12.027612,8.900442,-0.324543,-9.943578,5.816752
0.020000,16.450204,5.812733,12.205516,8.889974,-0.523415,-9.943578,5.829719
0.020000,16.610416,5.735969,12.383171,8.875528,-0.722286,-9.943578,5.843078
0.020000,16.767093,5.663403,12.560498,8.857105,-0.921158,-9.943578,5.852832
0.020000,16.927553,5.588888,12.737416,8.834704,-1.120029,-9.943578,5.844409
0.020000,17.087023,5.513410,12.913846,8.808326,-1.318901,-9.943578,5.838187
