dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.509311,9.273599,0.000040,0.003977,0.198872,9.943578,6.283051
0.020000,5.509317,9.273599,0.000046,0.000300,-0.183861,-19.136623,6.283057
0.020000,5.509331,9.273599,0.000059,0.000675,0.018754,10.130756,6.283071
0.020000,5.509355,9.273599,0.000083,0.001200,0.026230,0.373810,6.283096
0.020000,5.509392,9.273599,0.000121,0.001873,0.033668,0.371854,6.283136
0.020000,5.509630,9.273599,0.000359,0.011892,0.500925,23.362876,0.000007
0.020000,5.511652,9.273600,0.002381,0.101107,4.460786,197.993027,0.000084
0.020000,5.514293,9.273600,0.005022,0.132047,1.547001,-145.689206,0.000185
0.020000,5.517635,9.273601,0.008364,0.167104,1.752840,10.291940,0.000311
0.020000,5.521761,9.273602,0.012489,0.206273,1.958454,10.280666,0.000467
0.020000,5.526752,9.273605,0.017480,0.249549,2.163787,10.266672,0.000655
0.020000,5.532690,9.273610,0.023419,0.296925,2.368770,10.249164,0.000877
0.020000,5.539658,9.273617,0.030387,0.348391,2.573347,10.228834,0.001136
0.020000,5.547737,9.273627,0.038465,0.403940,2.777432,10.204238,0.001434
0.020000,5.557008,9.273642,0.047737,0.463559,2.980946,10.175729,0.001773
0.020000,5.567553,9.273663,0.058281,0.527235,3.183807,10.143047,0.002154
0.020000,5.579452,9.273691,0.070180,0.594953,3.385916,10.105446,0.002580
0.020000,5.592786,9.273728,0.083514,0.666697,3.587176,10.062993,0.003051
0.020000,5.607635,9.273778,0.098363,0.742447,3.787481,10.015231,0.003567
0.020000,5.624078,9.273841,0.114807,0.822181,3.986718,9.961850,0.004129
0.020000,5.642154,9.273921,0.132883,0.903823,4.082094,4.768816,0.004735
0.020000,5.661860,9.274021,0.152589,0.985300,4.073867,-0.411348,0.005381
0.020000,5.683192,9.274143,0.173921,1.066598,4.064888,-0.448941,0.006065
0.020000,5.706145,9.274290,0.196875,1.147701,4.055164,-0.486188,0.006781
0.020000,5.730717,9.274466,0.221447,1.228595,4.044698,-0.523312,0.007526
0.020000,5.756901,9.274673,0.247632,1.309265,4.033482,-0.560826,0.008294
0.020000,5.784694,9.274915,0.275426,1.389695,4.021521,-0.598047,0.009081
0.020000,5.814090,9.275193,0.304824,1.469872,4.008819,-0.635099,0.009881
0.020000,5.845084,9.275512,0.335819,1.549779,3.995365,-0.672704,0.010688
0.020000,5.877670,9.275874,0.368407,1.629402,3.981179,-0.709301,0.011497
0.020000,5.911842,9.276281,0.402582,1.708727,3.966237,-0.747088,0.012301
0.020000,5.947594,9.276735,0.438337,1.787739,3.950566,-0.783539,0.013094
0.020000,5.984919,9.277238,0.475665,1.866421,3.934142,-0.821219,0.013869
0.020000,6.023810,9.277792,0.514560,1.944761,3.916985,-0.857828,0.014619
0.020000,6.064261,9.278399,0.555015,2.022743,3.899082,-0.895166,0.015335
0.020000,6.106262,9.279057,0.597022,2.100351,3.880438,-0.932183,0.016010
0.020000,6.149808,9.279768,0.640574,2.177573,3.861054,-0.969191,0.016637
0.020000,6.194889,9.280531,0.685662,2.254391,3.840927,-1.006352,0.017206
0.020000,6.241498,9.281346,0.732277,2.330792,3.820059,-1.043429,0.017709
0.020000,6.289626,9.282209,0.780413,2.406761,3.798445,-1.080678,0.018136
0.020000,6.339263,9.283118,0.830058,2.482283,3.776086,-1.117976,0.018479
0.020000,6.390401,9.284070,0.881205,2.557343,3.752982,-1.155200,0.018727
0.020000,6.443030,9.285060,0.933844,2.631925,3.729125,-1.192829,0.018871
0.020000,6.497141,9.286082,0.987964,2.706015,3.704518,-1.230365,0.018899
0.020000,6.552723,9.287131,1.043556,2.779598,3.679155,-1.268156,0.018802
0.020000,6.609766,9.288197,1.100609,2.852659,3.653033,-1.306105,0.018569
0.020000,6.668260,9.289273,1.159113,2.925182,3.626150,-1.344141,0.018187
0.020000,6.728193,9.290348,1.219056,2.997152,3.598499,-1.382518,0.017646
0.020000,6.789555,9.291410,1.280427,3.068554,3.570081,-1.420930,0.016934
0.020000,6.852334,9.292446,1.343214,3.139372,3.540891,-1.459502,0.016038
0.020000,6.916518,9.293441,1.407406,3.209590,3.510923,-1.498383,0.014945
0.020000,6.982095,9.294380,1.472990,3.279194,3.480181,-1.537115,0.013643
0.020000,7.049053,9.295243,1.539953,3.348167,3.448663,-1.575869,0.012118
0.020000,7.117379,9.296012,1.608283,3.416494,3.416367,-1.614799,0.010357
0.020000,7.187059,9.296665,1.677966,3.484160,3.383307,-1.653035,0.008346
0.020000,7.258080,9.297178,1.748989,3.551150,3.349481,-1.691277,0.006071
0.020000,7.330428,9.297527,1.821338,3.617448,3.314903,-1.728901,0.003516
0.020000,7.404089,9.297682,1.894999,3.683040,3.279601,-1.765083,0.000668
0.020000,7.479047,9.297616,1.969957,3.747912,3.243583,-1.800905,6.280696
0.020000,7.555287,9.297295,2.046198,3.812050,3.206898,-1.834293,6.277214
0.020000,7.632794,9.296686,2.123707,3.875441,3.169577,-1.866002,6.273392
0.020000,7.711550,9.295752,2.202469,3.938075,3.131678,-1.894990,6.269215
0.020000,7.791538,9.294454,2.282467,3.999940,3.093270,-1.920395,6.264664
0.020000,7.872741,9.292752,2.363688,4.061029,3.054434,-1.941767,6.259726
0.020000,7.955139,9.290601,2.446115,4.121334,3.015275,-1.957956,6.254382
0.020000,8.038714,9.287954,2.529732,4.180853,2.975913,-1.968123,6.248616
0.020000,8.123446,9.284763,2.614523,4.239583,2.936503,-1.970483,6.242412
0.020000,8.209313,9.280976,2.700474,4.297527,2.897208,-1.964749,6.235754
0.020000,8.296294,9.276540,2.787568,4.354692,2.858236,-1.948621,6.228624
0.020000,8.384365,9.271396,2.875790,4.411089,2.819862,-1.918677,6.221007
0.020000,8.473504,9.265486,2.965124,4.466734,2.782278,-1.879191,6.212886
0.020000,8.563686,9.258747,3.055557,4.521653,2.745922,-1.817813,6.204247
0.020000,8.654885,9.251116,3.147075,4.575874,2.711042,-1.744028,6.195075
0.020000,8.747074,9.242523,3.239664,4.629435,2.678067,-1.648737,6.185356
0.020000,8.840226,9.232901,3.333311,4.682386,2.647564,-1.525160,6.175077
0.020000,8.917571,9.223580,3.411216,3.895245,-39.357068,-2100.231582,6.151139
0.020000,8.998999,9.211703,3.493505,4.114449,10.960198,2515.863308,6.125556
0.020000,9.081386,9.197511,3.577106,4.180021,3.278620,-384.078926,6.099679
0.020000,9.164750,9.180910,3.662107,4.250068,3.502316,11.184839,6.073602
0.020000,9.249112,9.161805,3.748605,4.324924,3.742813,12.024828,6.047426
0.020000,9.334495,9.140104,3.836703,4.404876,3.997621,12.740389,6.021259
0.020000,9.420924,9.115718,3.926506,4.490143,4.263333,13.285609,5.995212
0.020000,9.508423,9.088560,4.018123,4.580847,4.535214,13.594064,5.969400
0.020000,9.597019,9.058551,4.111663,4.677007,4.807994,13.638964,5.943937
0.020000,9.686735,9.025615,4.207234,4.778566,5.077958,13.498208,5.918938
0.020000,9.777597,8.989686,4.304942,4.885377,5.340519,13.128054,5.894513
0.020000,9.869626,8.950705,4.404886,4.997208,5.591589,12.553495,5.870767
0.020000,9.962845,8.908627,4.507161,5.113780,5.828580,11.849587,5.847801
0.020000,10.057274,8.863414,4.611857,5.234759,6.048932,11.017553,5.825707
0.020000,10.152935,8.815041,4.719052,5.359779,6.251014,10.104124,5.804570
0.020000,10.249850,8.763497,4.828822,5.488466,6.434366,9.167611,5.784467
0.020000,10.348045,8.708784,4.941231,5.620448,6.599073,8.235325,5.765468
0.020000,10.447548,8.650914,5.056338,5.755367,6.745970,7.344852,5.747634
0.020000,10.548393,8.589916,5.174196,5.892900,6.876627,6.532876,5.731021
0.020000,10.650620,8.525829,5.294851,6.032755,6.992765,5.806868,5.715678
0.020000,10.754278,8.458704,5.418345,6.174694,7.096927,5.208098,5.701648
0.020000,10.859424,8.388604,5.544715,6.318524,7.191511,4.729244,5.688971
0.020000,10.966125,8.315607,5.673997,6.464107,7.279185,4.383657,5.677683
0.020000,11.074462,8.239796,5.806225,6.611362,7.362738,4.177682,5.667822
0.020000,11.184525,8.161270,5.941430,6.760256,7.444708,4.098485,5.659419
0.020000,11.296423,8.080136,6.079646,6.910817,7.528021,4.165658,5.652512
0.020000,11.410275,7.996513,6.220908,7.063114,7.614875,4.342709,5.647136
0.020000,11.526218,7.910531,6.365254,7.217273,7.707920,4.652211,5.643331
0.020000,11.644406,7.822335,6.512723,7.373454,7.809089,5.058478,5.641139
0.020000,11.765010,7.732079,6.663360,7.531864,7.920467,5.568881,5.640608
0.020000,11.888221,7.639935,6.817215,7.692738,8.043699,6.161628,5.641788
