dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.860249,3.096986,0.000040,0.003969,0.198459,9.922960,6.282498
0.020000,4.860240,3.096986,0.000049,0.000481,-0.174433,-18.644596,6.282509
0.020000,4.860218,3.096986,0.000071,0.001081,0.030032,10.223218,6.282531
0.020000,4.860180,3.096986,0.000109,0.001922,0.042040,0.600430,6.282572
0.020000,4.860120,3.096987,0.000169,0.003003,0.054043,0.600118,6.282635
0.020000,4.860033,3.096987,0.000256,0.004324,0.066035,0.599607,6.282726
0.020000,4.859916,3.096987,0.000374,0.005884,0.078012,0.598848,6.282850
0.020000,4.859762,3.096987,0.000527,0.007683,0.089967,0.597789,6.283012
0.020000,4.860054,3.096987,0.000820,0.014622,0.346945,12.848881,0.000031
0.020000,4.863784,3.096987,0.004549,0.186469,8.592338,412.269628,0.000284
0.020000,4.868296,3.096989,0.009061,0.225621,1.957616,-331.736101,0.000589
0.020000,4.873667,3.096993,0.014432,0.268525,2.145175,9.377971,0.000952
0.020000,4.879969,3.097001,0.020735,0.315143,2.330920,9.287243,0.001379
0.020000,4.887280,3.097013,0.028045,0.365523,2.518981,9.403077,0.001873
0.020000,4.895672,3.097031,0.036438,0.419620,2.704872,9.294535,0.002439
0.020000,4.905221,3.097057,0.045987,0.477460,2.891999,9.356336,0.003083
0.020000,4.916002,3.097094,0.056768,0.539043,3.079127,9.356393,0.003810
0.020000,4.928089,3.097145,0.068855,0.604367,3.266235,9.355428,0.004623
0.020000,4.941558,3.097214,0.082324,0.673437,3.453510,9.363760,0.005528
0.020000,4.956483,3.097304,0.097249,0.746271,3.641662,9.407569,0.006530
0.020000,4.972902,3.097420,0.113669,0.820971,3.734992,4.666491,0.007630
0.020000,4.990816,3.097567,0.131583,0.895708,3.736856,0.093235,0.008828
0.020000,5.010224,3.097751,0.150992,0.970472,3.738217,0.068019,0.010123
0.020000,5.031128,3.097977,0.171897,1.045259,3.739351,0.056696,0.011515
0.020000,5.053528,3.098252,0.194299,1.120081,3.741106,0.087766,0.013002
0.020000,5.077425,3.098582,0.218198,1.194944,3.743132,0.101292,0.014586
0.020000,5.102818,3.098973,0.243594,1.269826,3.744131,0.049968,0.016263
0.020000,5.129710,3.099434,0.270490,1.344770,3.747183,0.152585,0.018035
0.020000,5.158099,3.099973,0.298885,1.419740,3.748486,0.065173,0.019899
0.020000,5.187988,3.100597,0.328780,1.494760,3.751018,0.126607,0.021855
0.020000,5.219377,3.101315,0.360176,1.569830,3.753496,0.123889,0.023902
0.020000,5.252265,3.102137,0.393075,1.644949,3.755938,0.122063,0.026038
0.020000,5.286655,3.103071,0.427478,1.720118,3.758479,0.127069,0.028264
0.020000,5.322547,3.104127,0.463385,1.795360,3.762089,0.180519,0.030576
0.020000,5.359941,3.105316,0.500798,1.870645,3.764265,0.108789,0.032975
0.020000,5.398838,3.106647,0.539718,1.946000,3.767718,0.172672,0.035459
0.020000,5.439239,3.108132,0.580146,2.021425,3.771262,0.177184,0.038026
0.020000,5.481145,3.109782,0.622085,2.096921,3.774800,0.176871,0.040675
0.020000,5.524556,3.111608,0.665535,2.172488,3.778353,0.177655,0.043404
0.020000,5.569474,3.113622,0.710497,2.248127,3.781943,0.179539,0.046212
0.020000,5.615898,3.115837,0.756974,2.323862,3.786770,0.241309,0.049097
0.020000,5.663830,3.118263,0.804968,2.399668,3.790286,0.175818,0.052057
0.020000,5.713271,3.120914,0.854479,2.475568,3.795003,0.235826,0.055091
0.020000,5.764220,3.123803,0.905510,2.551563,3.799742,0.236981,0.058195
0.020000,5.816679,3.126943,0.958063,2.627654,3.804529,0.239358,0.061370
0.020000,5.870649,3.130348,1.012140,2.703841,3.809388,0.242932,0.064611
0.020000,5.926129,3.134029,1.067743,2.780134,3.814657,0.263428,0.067918
0.020000,5.983122,3.138003,1.124874,2.856539,3.820223,0.278340,0.071287
0.020000,6.041627,3.142282,1.183535,2.933055,3.825823,0.279990,0.074717
0.020000,6.101645,3.146880,1.243729,3.009686,3.831532,0.285461,0.078204
0.020000,6.163176,3.151811,1.305457,3.086439,3.837630,0.304866,0.081747
0.020000,6.226222,3.157091,1.368724,3.163315,3.843824,0.309742,0.085343
0.020000,6.290782,3.162733,1.433530,3.240325,3.850477,0.332624,0.088988
0.020000,6.356858,3.168752,1.499879,3.317465,3.856992,0.325741,0.092681
0.020000,6.424449,3.175162,1.567774,3.394744,3.863959,0.348367,0.096419
0.020000,6.493557,3.181978,1.637218,3.472162,3.870930,0.348520,0.100197
0.020000,6.564182,3.189215,1.708212,3.549729,3.878327,0.369856,0.104014
0.020000,6.636324,3.196886,1.780761,3.627446,3.885837,0.375530,0.107866
0.020000,6.709984,3.205008,1.854867,3.705315,3.893483,0.382296,0.111750
0.020000,6.785162,3.213593,1.930534,3.783344,3.901454,0.398533,0.115662
0.020000,6.861859,3.222658,2.007765,3.861537,3.909624,0.408515,0.119600
0.020000,6.940076,3.232215,2.086563,3.939895,3.917922,0.414911,0.123559
0.020000,7.019811,3.242279,2.166931,4.018423,3.926400,0.423869,0.127536
0.020000,7.101067,3.252863,2.248874,4.097126,3.935163,0.438164,0.131527
0.020000,7.183844,3.263983,2.332394,4.176008,3.944062,0.444958,0.135529
0.020000,7.268142,3.275651,2.417495,4.255070,3.953123,0.453033,0.139538
0.020000,7.353961,3.287881,2.504182,4.334322,3.962598,0.473750,0.143549
0.020000,7.441303,3.300685,2.592457,4.413759,3.971838,0.461995,0.147560
0.020000,7.530167,3.314076,2.682325,4.493391,3.981587,0.487475,0.151565
0.020000,7.620555,3.328067,2.773789,4.573219,3.991434,0.492352,0.155561
0.020000,7.712468,3.342670,2.866854,4.653247,4.001370,0.496765,0.159543
0.020000,7.805905,3.357895,2.961524,4.733478,4.011566,0.509835,0.163507
0.020000,7.900868,3.373755,3.057802,4.813914,4.021814,0.512402,0.167449
0.020000,7.997357,3.390260,3.155693,4.894560,4.032296,0.524094,0.171365
0.020000,8.095375,3.407420,3.255202,4.975418,4.042904,0.530401,0.175249
0.020000,8.194922,3.425245,3.356331,5.056492,4.053678,0.538711,0.179098
0.020000,8.295998,3.443744,3.459087,5.137783,4.064545,0.543325,0.182907
0.020000,8.398607,3.462925,3.563473,5.219294,4.075577,0.551607,0.186671
0.020000,8.502749,3.482795,3.669494,5.301029,4.086736,0.557958,0.190386
0.020000,8.608426,3.503363,3.777153,5.382989,4.098015,0.563924,0.194046
0.020000,8.715639,3.524634,3.886457,5.465178,4.109421,0.570295,0.197648
0.020000,8.824392,3.546614,3.997409,5.547597,4.120953,0.576632,0.201185
0.020000,8.934687,3.569309,4.110014,5.630248,4.132580,0.581346,0.204653
0.020000,9.046525,3.592721,4.224276,5.713135,4.144338,0.587909,0.208048
0.020000,9.159910,3.616855,4.340202,5.796259,4.156187,0.592460,0.211364
0.020000,9.274846,3.641712,4.457794,5.879623,4.168180,0.599636,0.214597
0.020000,9.391334,3.667294,4.577059,5.963228,4.180287,0.605317,0.217740
0.020000,9.509380,3.693602,4.698000,6.047077,4.192412,0.606255,0.220790
0.020000,9.628986,3.720634,4.820624,6.131172,4.204761,0.617466,0.223740
0.020000,9.750158,3.748390,4.944934,6.215515,4.217159,0.619878,0.226586
0.020000,9.872901,3.776866,5.070936,6.300108,4.229669,0.625511,0.229322
0.020000,9.997218,3.806059,5.198635,6.384954,4.242305,0.631834,0.231943
0.020000,10.123117,3.835963,5.328036,6.470055,4.255045,0.636987,0.234444
0.020000,10.250601,3.866573,5.459145,6.555413,4.267873,0.641396,0.236819
0.020000,10.379679,3.897881,5.591965,6.641031,4.280897,0.651171,0.239063
0.020000,10.510357,3.929878,5.726503,6.726911,4.293995,0.654907,0.241170
0.020000,10.642643,3.962554,5.862764,6.813055,4.307214,0.660967,0.243134
0.020000,10.776543,3.995898,6.000754,6.899467,4.320586,0.668589,0.244951
0.020000,10.912066,4.029897,6.140477,6.986149,4.334113,0.676373,0.246614
0.020000,11.049222,4.064536,6.281939,7.073105,4.347798,0.684251,0.248118
0.020000,11.188019,4.099800,6.425146,7.160336,4.361570,0.688605,0.249456
0.020000,11.328467,4.135671,6.570103,7.247848,4.375606,0.701788,0.250624
0.020000,11.470578,4.172129,6.716815,7.335643,4.389743,0.706866,0.251614
