dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.859597,2.146987,0.000040,0.003969,0.198459,9.922960,6.282498
0.020000,4.859597,2.146987,0.000198,0.011908,0.396918,9.922960,6.282509
0.020000,4.859597,2.146987,0.000556,0.023815,0.595378,9.922960,6.282531
0.020000,4.859597,2.146987,0.001191,0.039692,0.793837,9.922960,6.282572
0.020000,4.859597,2.146987,0.002183,0.059538,0.992296,9.922960,6.282635
0.020000,4.859597,2.146987,0.003612,0.083353,1.190755,9.922960,6.282726
0.020000,4.859597,2.146987,0.005557,0.111137,1.389214,9.922960,6.282850
0.020000,4.859597,2.146987,0.008097,0.142891,1.587674,9.922960,6.283012
0.020000,4.860084,2.146987,0.011312,0.178613,1.786133,9.922960,0.000031
0.020000,4.864053,2.146987,0.015281,0.218305,1.984592,9.922960,0.000284
0.020000,4.868856,2.146989,0.020084,0.261966,2.183051,9.922960,0.000589
0.020000,4.874571,2.146994,0.025800,0.309596,2.381510,9.922960,0.000952
0.020000,4.881279,2.147002,0.032508,0.361196,2.579970,9.922960,0.001379
0.020000,4.889059,2.147014,0.040287,0.416764,2.778429,9.922960,0.001873
0.020000,4.897990,2.147034,0.049218,0.476302,2.976888,9.922960,0.002439
0.020000,4.908151,2.147062,0.059379,0.539809,3.175347,9.922960,0.003083
0.020000,4.919622,2.147101,0.070850,0.607285,3.373806,9.922960,0.003810
0.020000,4.932482,2.147155,0.083710,0.678730,3.572266,9.922960,0.004623
0.020000,4.946810,2.147228,0.098039,0.754145,3.770725,9.922960,0.005528
0.020000,4.962687,2.147324,0.113916,0.833529,3.969184,9.922960,0.006530
0.020000,4.980150,2.147447,0.131380,0.912912,3.969184,0.000000,0.007630
0.020000,4.999202,2.147604,0.150432,0.992296,3.969184,-0.000000,0.008828
0.020000,5.019841,2.147800,0.171072,1.071680,3.969184,-0.000000,0.010123
0.020000,5.042067,2.148040,0.193299,1.151063,3.969184,0.000000,0.011515
0.020000,5.065880,2.148332,0.217114,1.230447,3.969184,0.000000,0.013002
0.020000,5.091281,2.148683,0.242517,1.309831,3.969184,-0.000000,0.014586
0.020000,5.118268,2.149099,0.269508,1.389214,3.969184,0.000000,0.016263
0.020000,5.146842,2.149589,0.298086,1.468598,3.969184,0.000000,0.018035
0.020000,5.177002,2.150161,0.328252,1.547982,3.969184,-0.000000,0.019899
0.020000,5.208749,2.150824,0.360005,1.627365,3.969184,0.000000,0.021855
0.020000,5.242081,2.151587,0.393346,1.706749,3.969184,-0.000000,0.023902
0.020000,5.276999,2.152459,0.428275,1.786133,3.969184,0.000000,0.026038
0.020000,5.313502,2.153450,0.464791,1.865516,3.969184,0.000000,0.028264
0.020000,5.351590,2.154571,0.502896,1.944900,3.969184,-0.000000,0.030576
0.020000,5.391261,2.155832,0.542587,2.024284,3.969184,0.000000,0.032975
0.020000,5.432517,2.157244,0.583867,2.103668,3.969184,-0.000000,0.035459
0.020000,5.475355,2.158819,0.626734,2.183051,3.969184,0.000000,0.038026
0.020000,5.519775,2.160568,0.671189,2.262435,3.969184,-0.000000,0.040675
0.020000,5.565777,2.162503,0.717232,2.341819,3.969184,0.000000,0.043404
0.020000,5.613360,2.164637,0.764862,2.421202,3.969184,0.000000,0.046212
0.020000,5.662522,2.166981,0.814080,2.500586,3.969184,0.000000,0.049097
0.020000,5.713262,2.169550,0.864885,2.579970,3.969184,0.000000,0.052057
0.020000,5.765580,2.172356,0.917278,2.659353,3.969184,0.000000,0.055091
0.020000,5.819474,2.175412,0.971259,2.738737,3.969184,-0.000000,0.058195
0.020000,5.874944,2.178732,1.026828,2.818121,3.969184,0.000000,0.061370
0.020000,5.931987,2.182330,1.083984,2.897504,3.969184,-0.000000,0.064611
0.020000,5.990602,2.186220,1.142728,2.976888,3.969184,0.000000,0.067918
0.020000,6.050787,2.190416,1.203060,3.056272,3.969184,0.000000,0.071287
0.020000,6.112541,2.194932,1.264979,3.135655,3.969184,-0.000000,0.074717
0.020000,6.175863,2.199783,1.328486,3.215039,3.969184,0.000000,0.078204
0.020000,6.240749,2.204984,1.393581,3.294423,3.969184,-0.000000,0.081747
0.020000,6.307199,2.210549,1.460263,3.373806,3.969184,-0.000000,0.085343
0.020000,6.375210,2.216492,1.528533,3.453190,3.969184,0.000000,0.088988
0.020000,6.444779,2.222829,1.598390,3.532574,3.969184,-0.000000,0.092681
0.020000,6.515905,2.229574,1.669836,3.611957,3.969184,0.000000,0.096419
0.020000,6.588586,2.236743,1.742869,3.691341,3.969184,-0.000000,0.100197
0.020000,6.662818,2.244349,1.817489,3.770725,3.969184,0.000000,0.104014
0.020000,6.738599,2.252408,1.893698,3.850108,3.969184,-0.000000,0.107866
0.020000,6.815926,2.260933,1.971494,3.929492,3.969184,0.000000,0.111750
0.020000,6.894797,2.269941,2.050877,4.008876,3.969184,0.000000,0.115662
0.020000,6.975209,2.279444,2.131849,4.088260,3.969184,-0.000000,0.119600
0.020000,7.057158,2.289457,2.214408,4.167643,3.969184,0.000000,0.123559
0.020000,7.140642,2.299994,2.298554,4.247027,3.969184,-0.000000,0.127536
0.020000,7.225658,2.311069,2.384289,4.326411,3.969184,-0.000000,0.131527
0.020000,7.312203,2.322695,2.471611,4.405794,3.969184,0.000000,0.135529
0.020000,7.400273,2.334885,2.560521,4.485178,3.969184,0.000000,0.139538
0.020000,7.489865,2.347652,2.651018,4.564562,3.969184,0.000000,0.143549
0.020000,7.580976,2.361008,2.743103,4.643945,3.969184,0.000000,0.147560
0.020000,7.673603,2.374967,2.836776,4.723329,3.969184,-0.000000,0.151565
0.020000,7.767743,2.389538,2.932036,4.802713,3.969184,0.000000,0.155561
0.020000,7.863391,2.404734,3.028884,4.882096,3.969184,0.000000,0.159543
0.020000,7.960545,2.420566,3.127320,4.961480,3.969184,0.000000,0.163507
0.020000,8.059202,2.437043,3.227344,5.040864,3.969184,-0.000000,0.167449
0.020000,8.159358,2.454175,3.328955,5.120247,3.969184,-0.000000,0.171365
0.020000,8.261011,2.471972,3.432153,5.199631,3.969184,0.000000,0.175249
0.020000,8.364157,2.490441,3.536940,5.279015,3.969184,-0.000000,0.179098
0.020000,8.468793,2.509591,3.643314,5.358398,3.969184,0.000000,0.182907
0.020000,8.574917,2.529428,3.751276,5.437782,3.969184,-0.000000,0.186671
0.020000,8.682525,2.549960,3.860825,5.517166,3.969184,0.000000,0.190386
0.020000,8.791615,2.571193,3.971962,5.596549,3.969184,0.000000,0.194046
0.020000,8.902184,2.593129,4.084687,5.675933,3.969184,-0.000000,0.197648
0.020000,9.014231,2.615776,4.199000,5.755317,3.969184,0.000000,0.201185
0.020000,9.127753,2.639134,4.314900,5.834700,3.969184,-0.000000,0.204653
0.020000,9.242748,2.663207,4.432388,5.914084,3.969184,0.000000,0.208048
0.020000,9.359215,2.687997,4.551463,5.993468,3.969184,-0.000000,0.211364
0.020000,9.477151,2.713503,4.672126,6.072852,3.969184,0.000000,0.214597
0.020000,9.596557,2.739726,4.794377,6.152235,3.969184,0.000000,0.217740
0.020000,9.717430,2.766663,4.918216,6.231619,3.969184,0.000000,0.220790
0.020000,9.839770,2.794314,5.043642,6.311003,3.969184,0.000000,0.223740
0.020000,9.963578,2.822673,5.170656,6.390386,3.969184,-0.000000,0.226586
0.020000,10.088852,2.851736,5.299258,6.469770,3.969184,0.000000,0.229322
0.020000,10.215594,2.881498,5.429447,6.549154,3.969184,-0.000000,0.231943
0.020000,10.343803,2.911952,5.561224,6.628537,3.969184,0.000000,0.234444
0.020000,10.473482,2.943088,5.694588,6.707921,3.969184,-0.000000,0.236819
0.020000,10.604632,2.974899,5.829541,6.787305,3.969184,0.000000,0.239063
0.020000,10.737254,3.007372,5.966080,6.866688,3.969184,0.000000,0.241170
0.020000,10.871351,3.040495,6.104208,6.946072,3.969184,-0.000000,0.243134
0.020000,11.006926,3.074256,6.243923,7.025456,3.969184,0.000000,0.244951
0.020000,11.143982,3.108640,6.385226,7.104839,3.969184,-0.000000,0.246614
0.020000,11.282523,3.143629,6.528117,7.184223,3.969184,0.000000,0.248118
0.020000,11.422552,3.179205,6.672595,7.263607,3.969184,-0.000000,0.249456
0.020000,11.564075,3.215351,6.818661,7.342990,3.969184,-0.000000,0.250624
0.020000,11.707097,3.252043,6.966315,7.422374,3.969184,0.000000,0.251614
0.020000,11.851623,3.289260,7.115556,7.501758,3.969184,-0.000000,0.252421
0.020000,11.997660,3.326977,7.266385,7.581141,3.969184,0.000000,0.253039
0.020000,12.145215,3.365168,7.418802,7.660525,3.969184,-0.000000,0.253462
0.020000,12.294294,3.403804,7.572806,7.739909,3.969184,-0.000000,0.253683
0.020000,12.444905,3.442857,7.728398,7.819292,3.969184,0.000000,0.253695
0.020000,12.597057,3.482294,7.885578,7.898676,3.969184,-0.000000,0.253493
0.020000,12.750758,3.522081,8.044345,7.978060,3.969184,0.000000,0.253070
0.020000,12.906018,3.562183,8.204700,8.057444,3.969184,-0.000000,0.252420
0.020000,13.062846,3.602561,8.366643,8.136827,3.969184,0.000000,0.251534
0.020000,13.221253,3.643176,8.530173,8.216211,3.969184,0.000000,0.250407
0.020000,13.381248,3.683985,8.695291,8.295595,3.969184,-0.000000,0.249032
0.020000,13.542805,3.724934,8.861957,8.371009,3.770725,-9.922960,0.247402
0.020000,13.705859,3.765957,9.030092,8.442454,3.572266,-9.922960,0.245510
0.020000,13.870342,3.806986,9.199616,8.509930,3.373806,-9.922960,0.243352
0.020000,14.036192,3.847952,9.370450,8.573437,3.175347,-9.922960,0.240922
0.020000,14.203341,3.888783,9.542514,8.632975,2.976888,-9.922960,0.238214
0.020000,14.371724,3.929409,9.715729,8.688544,2.778429,-9.922960,0.235226
0.020000,14.541277,3.969755,9.890016,8.740143,2.579970,-9.922960,0.231951
0.020000,14.711933,4.009747,10.065295,8.787773,2.381510,-9.922960,0.228388
0.020000,14.883625,4.049311,10.241487,8.831434,2.183051,-9.922960,0.224533
0.020000,15.056287,4.088372,10.418513,8.871126,1.984592,-9.922960,0.220383
0.020000,15.229852,4.126853,10.596292,8.906849,1.786133,-9.922960,0.215936
0.020000,15.399337,4.163537,10.774747,8.938602,1.587674,-9.922960,0.209627
0.020000,15.574603,4.200153,10.953797,8.966387,1.389214,-9.922960,0.202429
0.020000,15.750617,4.235688,11.133363,8.990202,1.190755,-9.922960,0.196153
0.020000,15.927263,4.270284,11.313365,9.010048,0.992296,-9.922960,0.190809
0.020000,16.104427,4.304086,11.493725,9.025924,0.793837,-9.922960,0.186404
0.020000,16.281996,4.337242,11.674362,9.037832,0.595378,-9.922960,0.182945
0.020000,16.459858,4.369903,11.855198,9.045770,0.396918,-9.922960,0.180435
0.020000,16.637903,4.402224,12.036154,9.049740,0.198459,-9.922960,0.178878
0.020000,16.815988,4.434354,12.217113,9.046254,-0.174298,-18.637861,0.178274
0.020000,16.993969,4.466441,12.397964,9.038798,-0.372757,-9.922960,0.178623
0.020000,17.171738,4.498642,12.578626,9.027374,-0.571216,-9.922960,0.179922
0.020000,17.349185,4.531109,12.759019,9.011981,-0.769676,-9.922960,0.182168
