dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.858944,1.196987,0.000040,0.003969,0.198459,9.922960,6.282498
0.020000,4.858954,1.196987,0.000049,0.000481,-0.174433,-18.644596,6.282509
0.020000,4.858976,1.196987,0.000071,0.001081,0.030032,10.223218,6.282531
0.020000,4.859014,1.196987,0.000109,0.001922,0.042040,0.600430,6.282572
0.020000,4.859074,1.196987,0.000169,0.003003,0.054043,0.600118,6.282635
0.020000,4.859161,1.196987,0.000256,0.004324,0.066035,0.599607,6.282726
0.020000,4.859278,1.196987,0.000374,0.005884,0.078012,0.598848,6.282850
0.020000,4.859432,1.196987,0.000527,0.007683,0.089967,0.597789,6.283012
0.020000,4.860113,1.196987,0.001209,0.034064,1.319055,61.454363,0.000031
0.020000,4.864322,1.196987,0.005418,0.210464,8.819980,375.046253,0.000284
0.020000,4.869415,1.196990,0.010511,0.254642,2.208898,-330.554112,0.000589
0.020000,4.875476,1.196994,0.016572,0.303046,2.420204,10.565345,0.000952
0.020000,4.882589,1.197003,0.023684,0.355633,2.629338,10.456669,0.001379
0.020000,4.890838,1.197016,0.031933,0.412451,2.840937,10.579934,0.001873
0.020000,4.900307,1.197036,0.041402,0.473450,3.049911,10.448713,0.002439
0.020000,4.911080,1.197066,0.052175,0.538651,3.260077,10.508321,0.003083
0.020000,4.923241,1.197108,0.064336,0.608051,3.470012,10.496730,0.003810
0.020000,4.936874,1.197166,0.077969,0.681644,3.679659,10.482343,0.004623
0.020000,4.952062,1.197243,0.093158,0.759428,3.889192,10.476662,0.005528
0.020000,4.968890,1.197344,0.109986,0.841416,4.099373,10.509052,0.006530
0.020000,4.987399,1.197475,0.128495,0.925462,4.202293,5.145978,0.007630
0.020000,5.007588,1.197641,0.148685,1.009498,4.201807,-0.024276,0.008828
0.020000,5.029457,1.197848,0.170555,1.093508,4.200496,-0.065558,0.010123
0.020000,5.053005,1.198103,0.194105,1.177481,4.198667,-0.091425,0.011515
0.020000,5.078232,1.198413,0.219334,1.261426,4.197271,-0.069819,0.013002
0.020000,5.105136,1.198784,0.246240,1.345345,4.195905,-0.068307,0.014586
0.020000,5.133717,1.199225,0.274825,1.429207,4.193103,-0.140110,0.016263
0.020000,5.163974,1.199743,0.305086,1.513053,4.192323,-0.038968,0.018035
0.020000,5.195905,1.200349,0.337022,1.596839,4.189282,-0.152057,0.019899
0.020000,5.229509,1.201051,0.370634,1.680585,4.187322,-0.097999,0.021855
0.020000,5.264786,1.201858,0.405920,1.764285,4.184992,-0.116511,0.023902
0.020000,5.301733,1.202781,0.442878,1.847931,4.182304,-0.134384,0.026038
0.020000,5.340349,1.203830,0.481509,1.931519,4.179405,-0.144951,0.028264
0.020000,5.380633,1.205015,0.521810,2.015067,4.177374,-0.101544,0.030576
0.020000,5.422582,1.206349,0.563781,2.098535,4.173393,-0.199053,0.032975
0.020000,5.466196,1.207842,0.607420,2.181945,4.170499,-0.144719,0.035459
0.020000,5.511471,1.209506,0.652726,2.265291,4.167350,-0.157458,0.038026
0.020000,5.558406,1.211354,0.699697,2.348568,4.163830,-0.175984,0.040675
0.020000,5.606998,1.213398,0.748332,2.431767,4.159957,-0.193642,0.043404
0.020000,5.657245,1.215651,0.798630,2.514882,4.155749,-0.210425,0.046212
0.020000,5.709145,1.218126,0.850589,2.597933,4.152536,-0.160624,0.049097
0.020000,5.762694,1.220837,0.904206,2.680882,4.147466,-0.253505,0.052057
0.020000,5.817890,1.223797,0.959481,2.763749,4.143338,-0.206388,0.055091
0.020000,5.874729,1.227020,1.016412,2.846526,4.138830,-0.225430,0.058195
0.020000,5.933208,1.230520,1.074996,2.929205,4.133962,-0.243389,0.061370
0.020000,5.993325,1.234312,1.135231,3.011780,4.128757,-0.260273,0.064611
0.020000,6.055074,1.238410,1.197116,3.094252,4.123585,-0.258569,0.067918
0.020000,6.118452,1.242829,1.260649,3.176618,4.118318,-0.263361,0.071287
0.020000,6.183456,1.247583,1.325826,3.258871,4.112656,-0.283120,0.074717
0.020000,6.250081,1.252687,1.392646,3.341005,4.106680,-0.298783,0.078204
0.020000,6.318322,1.258156,1.461107,3.423019,4.100697,-0.299130,0.081747
0.020000,6.388176,1.264006,1.531205,3.504906,4.094383,-0.315736,0.085343
0.020000,6.459637,1.270251,1.602938,3.586669,4.088133,-0.312479,0.088988
0.020000,6.532701,1.276906,1.676304,3.668295,4.081288,-0.342242,0.092681
0.020000,6.607361,1.283987,1.751300,3.749785,4.074501,-0.339343,0.096419
0.020000,6.683614,1.291508,1.827922,3.831130,4.067276,-0.361280,0.100197
0.020000,6.761453,1.299483,1.906169,3.912332,4.060080,-0.359761,0.104014
0.020000,6.840873,1.307929,1.986037,3.993383,4.052571,-0.375447,0.107866
0.020000,6.921868,1.316859,2.067522,4.074279,4.044776,-0.389771,0.111750
0.020000,7.004431,1.326288,2.150623,4.155017,4.036906,-0.393504,0.115662
0.020000,7.088558,1.336230,2.235334,4.235594,4.028827,-0.403925,0.119600
0.020000,7.174240,1.346700,2.321655,4.316003,4.020467,-0.418027,0.123559
0.020000,7.261473,1.357710,2.409579,4.396241,4.011887,-0.429022,0.127536
0.020000,7.350249,1.369274,2.499105,4.476305,4.003209,-0.433869,0.131527
0.020000,7.440562,1.381406,2.590229,4.556190,3.994277,-0.446583,0.135529
0.020000,7.532404,1.394118,2.682947,4.635893,3.985127,-0.457507,0.139538
0.020000,7.625769,1.407423,2.777255,4.715414,3.976042,-0.454273,0.143549
0.020000,7.720650,1.421332,2.873150,4.794740,3.966323,-0.485956,0.147560
0.020000,7.817039,1.435857,2.970628,4.873876,3.956789,-0.476663,0.151565
0.020000,7.914930,1.451010,3.069684,4.952816,3.947003,-0.489338,0.155561
0.020000,8.014314,1.466799,3.170315,5.031555,3.936963,-0.502004,0.159543
0.020000,8.115186,1.483237,3.272517,5.110093,3.926867,-0.504806,0.163507
0.020000,8.217537,1.500330,3.376285,5.188423,3.916497,-0.518467,0.167449
0.020000,8.321359,1.518090,3.481616,5.266544,3.906062,-0.521769,0.171365
0.020000,8.426647,1.536523,3.588505,5.344453,3.895454,-0.530391,0.175249
0.020000,8.533392,1.555636,3.696948,5.422147,3.884727,-0.536368,0.179098
0.020000,8.641588,1.575438,3.806941,5.499624,3.873810,-0.545828,0.182907
0.020000,8.751226,1.595932,3.918478,5.576879,3.862792,-0.550888,0.186671
0.020000,8.862301,1.617126,4.031557,5.653912,3.851641,-0.557579,0.190386
0.020000,8.974804,1.639022,4.146171,5.730719,3.840356,-0.564261,0.194046
0.020000,9.088730,1.661625,4.262317,5.807298,3.828953,-0.570123,0.197648
0.020000,9.204070,1.684937,4.379990,5.883647,3.817440,-0.575673,0.201185
