dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.556139,11.173599,0.000040,0.003977,0.198828,9.941387,6.282888
0.020000,5.556125,11.173599,0.000053,0.000671,-0.165262,-18.204505,6.282902
0.020000,5.556095,11.173599,0.000083,0.001510,0.041940,10.360093,6.282934
0.020000,5.556042,11.173599,0.000137,0.002683,0.058667,0.836380,6.282991
0.020000,5.555958,11.173599,0.000221,0.004190,0.075321,0.832684,6.283079
0.020000,5.556067,11.173599,0.000331,0.005483,0.064664,-0.532857,0.000020
0.020000,5.557852,11.173600,0.002115,0.089235,4.187571,206.145377,0.000193
0.020000,5.560184,11.173600,0.004447,0.116573,1.366900,-141.033549,0.000418
0.020000,5.563135,11.173602,0.007398,0.147572,1.549959,9.152961,0.000701
0.020000,5.566780,11.173605,0.011043,0.182241,1.733446,9.174338,0.001051
0.020000,5.571192,11.173611,0.015455,0.220590,1.917467,9.201052,0.001471
0.020000,5.576444,11.173620,0.020707,0.262633,2.102139,9.233585,0.001970
0.020000,5.582612,11.173634,0.026875,0.308385,2.287594,9.272774,0.002552
0.020000,5.589769,11.173654,0.034032,0.357864,2.473973,9.318935,0.003222
0.020000,5.597991,11.173684,0.042254,0.411093,2.661427,9.372713,0.003986
0.020000,5.607353,11.173725,0.051616,0.468095,2.850129,9.435061,0.004847
0.020000,5.617931,11.173782,0.062194,0.528900,3.040250,9.506056,0.005809
0.020000,5.629801,11.173857,0.074065,0.593540,3.231978,9.586390,0.006876
0.020000,5.643042,11.173956,0.087306,0.662050,3.425525,9.677389,0.008049
0.020000,5.657731,11.174084,0.101995,0.734472,3.621088,9.778158,0.009329
0.020000,5.673910,11.174246,0.118176,0.809010,3.726916,5.291368,0.010715
0.020000,5.691586,11.174448,0.135853,0.883861,3.742510,0.779696,0.012200
0.020000,5.710766,11.174697,0.155034,0.959051,3.759533,0.851179,0.013776
0.020000,5.731456,11.175000,0.175726,1.034611,3.777973,0.922009,0.015435
0.020000,5.753664,11.175362,0.197937,1.110567,3.797828,0.992741,0.017170
0.020000,5.777399,11.175791,0.221676,1.186949,3.819105,1.063832,0.018971
0.020000,5.802670,11.176294,0.246952,1.263785,3.841795,1.134525,0.020829
0.020000,5.829486,11.176878,0.273774,1.341103,3.865897,1.205070,0.022733
0.020000,5.857856,11.177551,0.302153,1.418931,3.891401,1.275189,0.024673
0.020000,5.887792,11.178320,0.332099,1.497297,3.918304,1.345192,0.026638
0.020000,5.919305,11.179191,0.363623,1.576230,3.946622,1.415893,0.028615
0.020000,5.952405,11.180171,0.396738,1.655756,3.976315,1.484615,0.030593
0.020000,5.987106,11.181267,0.431456,1.735904,4.007404,1.554464,0.032557
0.020000,6.023420,11.182486,0.467791,1.816702,4.039872,1.623428,0.034495
0.020000,6.061359,11.183831,0.505754,1.898176,4.073718,1.692293,0.036392
0.020000,6.100939,11.185309,0.545361,1.980355,4.108939,1.761054,0.038233
0.020000,6.142173,11.186924,0.586626,2.063265,4.145532,1.829621,0.040003
0.020000,6.185076,11.188678,0.629565,2.146935,4.183488,1.897805,0.041686
0.020000,6.229663,11.190573,0.674193,2.231392,4.222824,1.966815,0.043265
0.020000,6.275951,11.192612,0.720526,2.316662,4.263513,2.034440,0.044723
0.020000,6.323957,11.194793,0.768582,2.402774,4.305589,2.103791,0.046043
0.020000,6.373698,11.197114,0.818377,2.489755,4.349050,2.173039,0.047206
0.020000,6.425192,11.199573,0.869929,2.577633,4.393893,2.242160,0.048193
0.020000,6.478458,11.202165,0.923258,2.666435,4.440136,2.312136,0.048985
0.020000,6.533515,11.204881,0.978382,2.756191,4.487800,2.383208,0.049562
0.020000,6.590383,11.207712,1.035321,2.846929,4.536903,2.455161,0.049903
0.020000,6.649083,11.210648,1.094094,2.938678,4.587455,2.527589,0.049987
0.020000,6.709637,11.213673,1.154723,3.031468,4.639487,2.601597,0.049791
0.020000,6.772067,11.216770,1.217230,3.125328,4.693019,2.676600,0.049294
0.020000,6.836396,11.219919,1.281636,3.220290,4.748077,2.752936,0.048472
0.020000,6.902647,11.223095,1.347964,3.316384,4.804680,2.830143,0.047301
0.020000,6.970846,11.226273,1.416236,3.413641,4.862855,2.908720,0.045757
0.020000,7.041017,11.229420,1.486478,3.512093,4.922606,2.987581,0.043815
0.020000,7.113187,11.232501,1.558714,3.611772,4.983946,3.066989,0.041449
0.020000,7.187382,11.235475,1.632968,3.712709,5.046873,3.146345,0.038631
0.020000,7.263628,11.238299,1.709267,3.814936,5.111348,3.223732,0.035337
0.020000,7.341954,11.240922,1.787636,3.918483,5.177351,3.300191,0.031536
0.020000,7.422387,11.243288,1.868104,4.023379,5.244797,3.372255,0.027202
0.020000,7.504954,11.245335,1.950697,4.129650,5.313563,3.438305,0.022304
0.020000,7.589685,11.246996,2.035443,4.237321,5.383528,3.498255,0.016814
0.020000,7.676604,11.248195,2.122371,4.346411,5.454481,3.547663,0.010702
0.020000,7.765741,11.248851,2.211510,4.456933,5.526132,3.582544,0.003937
0.020000,7.857119,11.248875,2.302888,4.568896,5.598153,3.601043,6.279675
0.020000,7.950762,11.248168,2.396534,4.682298,5.670101,3.597430,6.271514
0.020000,8.046692,11.246626,2.492477,4.797127,5.741439,3.566882,6.262610
0.020000,8.144928,11.244133,2.590744,4.913357,5.811494,3.502732,6.252934
0.020000,8.245483,11.240568,2.691363,5.030947,5.879480,3.399333,6.242456
0.020000,8.348369,11.235797,2.794359,5.149835,5.944439,3.247938,6.231150
0.020000,8.453591,11.229680,2.899758,5.269941,6.005294,3.042749,6.218989
0.020000,8.561145,11.222067,3.007581,5.391155,6.060698,2.770189,6.205950
0.020000,8.671021,11.212799,3.117848,5.513342,6.109327,2.431455,6.192014
0.020000,8.783201,11.201708,3.230575,5.636330,6.149428,2.005041,6.177162
0.020000,8.897653,11.188619,3.345773,5.759918,6.179380,1.497614,6.161383
0.020000,9.014336,11.173351,3.463450,5.883862,6.197214,0.891716,6.144668
0.020000,9.124371,11.157103,3.574678,5.561409,-16.122666,-1115.994030,6.128538
0.020000,9.244350,11.137324,3.696277,6.079935,25.926327,2102.449649,6.111044
0.020000,9.365866,11.115078,3.819812,6.176739,4.840205,-1054.306096,6.093186
0.020000,9.488838,11.090266,3.945263,6.272540,4.790030,-2.508725,6.074986
0.020000,9.613182,11.062793,4.072605,6.367133,4.729642,-3.019407,6.056469
0.020000,9.738805,11.032567,4.201814,6.460405,4.663602,-3.302002,6.037662
0.020000,9.865608,10.999505,4.332856,6.552105,4.584978,-3.931203,6.018599
0.020000,9.993487,10.963530,4.465699,6.642171,4.503329,-4.082433,5.999314
0.020000,10.122334,10.924572,4.600307,6.730395,4.411193,-4.606828,5.979846
0.020000,10.252036,10.882574,4.736639,6.816624,4.311429,-4.988202,5.960237
0.020000,10.382478,10.837483,4.874655,6.900762,4.206942,-5.224343,5.940531
0.020000,10.513543,10.789262,5.014308,6.982676,4.095682,-5.563007,5.920774
0.020000,10.645111,10.737882,5.155553,7.062254,3.978915,-5.838362,5.901017
0.020000,10.777066,10.683325,5.298342,7.139451,3.859832,-5.954107,5.881308
0.020000,10.909294,10.625586,5.442626,7.214203,3.737605,-6.111357,5.861701
0.020000,11.041681,10.564671,5.588356,7.286464,3.613062,-6.227153,5.842246
