dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.555857,10.223599,0.000040,0.003977,0.198828,9.941387,6.282888
0.020000,5.555857,10.223599,0.000199,0.011930,0.397655,9.941387,6.282902
0.020000,5.555857,10.223599,0.000557,0.023859,0.596483,9.941387,6.282934
0.020000,5.555857,10.223599,0.001193,0.039766,0.795311,9.941387,6.282991
0.020000,5.555857,10.223599,0.002187,0.059648,0.994139,9.941387,6.283079
0.020000,5.556087,10.223599,0.003619,0.083508,1.192966,9.941387,0.000020
0.020000,5.558035,10.223600,0.005567,0.111344,1.391794,9.941387,0.000193
0.020000,5.560580,10.223600,0.008112,0.143156,1.590622,9.941387,0.000418
0.020000,5.563801,10.223602,0.011333,0.178945,1.789450,9.941387,0.000701
0.020000,5.567778,10.223606,0.015310,0.218711,1.988277,9.941387,0.001051
0.020000,5.572590,10.223612,0.020121,0.262453,2.187105,9.941387,0.001471
0.020000,5.578316,10.223622,0.025848,0.310171,2.385933,9.941387,0.001970
0.020000,5.585036,10.223637,0.032568,0.361867,2.584761,9.941387,0.002552
0.020000,5.592830,10.223659,0.040362,0.417538,2.783588,9.941387,0.003222
0.020000,5.601777,10.223692,0.049309,0.477187,2.982416,9.941387,0.003986
0.020000,5.611957,10.223737,0.059489,0.540811,3.181244,9.941387,0.004847
0.020000,5.623449,10.223798,0.070982,0.608413,3.380072,9.941387,0.005809
0.020000,5.636333,10.223880,0.083866,0.679991,3.578899,9.941387,0.006876
0.020000,5.650688,10.223987,0.098221,0.755545,3.777727,9.941387,0.008049
0.020000,5.666594,10.224125,0.114127,0.835077,3.976555,9.941387,0.009329
0.020000,5.684090,10.224300,0.131624,0.914608,3.976555,0.000000,0.010715
0.020000,5.703176,10.224519,0.150711,0.994139,3.976555,-0.000000,0.012200
0.020000,5.723852,10.224788,0.171390,1.073670,3.976555,0.000000,0.013776
0.020000,5.746118,10.225113,0.193658,1.153201,3.976555,-0.000000,0.015435
0.020000,5.769975,10.225502,0.217518,1.232732,3.976555,0.000000,0.017170
0.020000,5.795420,10.225962,0.242968,1.312263,3.976555,-0.000000,0.018971
0.020000,5.822456,10.226500,0.270008,1.391794,3.976555,0.000000,0.020829
0.020000,5.851080,10.227124,0.298639,1.471325,3.976555,0.000000,0.022733
0.020000,5.881293,10.227840,0.328861,1.550856,3.976555,-0.000000,0.024673
0.020000,5.913095,10.228657,0.360674,1.630388,3.976555,0.000000,0.026638
0.020000,5.946486,10.229580,0.394077,1.709919,3.976555,-0.000000,0.028615
0.020000,5.981464,10.230616,0.429070,1.789450,3.976555,0.000000,0.030593
0.020000,6.018030,10.231771,0.465655,1.868981,3.976555,0.000000,0.032557
0.020000,6.056183,10.233051,0.503830,1.948512,3.976555,-0.000000,0.034495
0.020000,6.095924,10.234460,0.543595,2.028043,3.976555,0.000000,0.036392
0.020000,6.137251,10.236004,0.584951,2.107574,3.976555,0.000000,0.038233
0.020000,6.180165,10.237684,0.627898,2.187105,3.976555,0.000000,0.040003
0.020000,6.224666,10.239503,0.672435,2.266636,3.976555,-0.000000,0.041686
0.020000,6.270752,10.241462,0.718563,2.346167,3.976555,0.000000,0.043265
0.020000,6.318424,10.243562,0.766282,2.425699,3.976555,-0.000000,0.044723
0.020000,6.367683,10.245799,0.815591,2.505230,3.976555,0.000000,0.046043
0.020000,6.418527,10.248173,0.866491,2.584761,3.976555,0.000000,0.047206
0.020000,6.470958,10.250676,0.918982,2.664292,3.976555,-0.000000,0.048193
0.020000,6.524975,10.253304,0.973063,2.743823,3.976555,0.000000,0.048985
0.020000,6.580580,10.256047,1.028735,2.823354,3.976555,-0.000000,0.049562
0.020000,6.637771,10.258895,1.085997,2.902885,3.976555,0.000000,0.049903
0.020000,6.696551,10.261835,1.144850,2.982416,3.976555,0.000000,0.049987
0.020000,6.756919,10.264850,1.205294,3.061947,3.976555,0.000000,0.049791
0.020000,6.818877,10.267924,1.267328,3.141478,3.976555,0.000000,0.049294
0.020000,6.882426,10.271034,1.330953,3.221010,3.976555,-0.000000,0.048472
0.020000,6.947567,10.274158,1.396168,3.300541,3.976555,0.000000,0.047301
0.020000,7.014300,10.277267,1.462975,3.380072,3.976555,0.000000,0.045757
0.020000,7.082628,10.280332,1.531371,3.459603,3.976555,0.000000,0.043815
0.020000,7.152552,10.283317,1.601359,3.539134,3.976555,0.000000,0.041449
0.020000,7.224073,10.286184,1.672937,3.618665,3.976555,-0.000000,0.038631
0.020000,7.297191,10.288892,1.746105,3.698196,3.976555,0.000000,0.035337
0.020000,7.371908,10.291394,1.820865,3.777727,3.976555,0.000000,0.031536
0.020000,7.448225,10.293639,1.897214,3.857258,3.976555,0.000000,0.027202
0.020000,7.526142,10.295571,1.975155,3.936789,3.976555,0.000000,0.022304
0.020000,7.605657,10.297130,2.054686,4.016321,3.976555,0.000000,0.016814
0.020000,7.686771,10.298249,2.135808,4.095852,3.976555,-0.000000,0.010702
0.020000,7.769481,10.298859,2.218520,4.175383,3.976555,0.000000,0.003937
0.020000,7.853784,10.298881,2.302823,4.254914,3.976555,0.000000,6.279675
0.020000,7.939675,10.298233,2.388717,4.334445,3.976555,-0.000000,6.271514
0.020000,8.027147,10.296827,2.476201,4.413976,3.976555,0.000000,6.262610
0.020000,8.116193,10.294568,2.565276,4.493507,3.976555,-0.000000,6.252934
0.020000,8.206801,10.291355,2.655941,4.573038,3.976555,0.000000,6.242456
0.020000,8.298958,10.287083,2.748197,4.652569,3.976555,0.000000,6.231150
0.020000,8.392646,10.281637,2.842044,4.732100,3.976555,-0.000000,6.218989
0.020000,8.487844,10.274899,2.937481,4.811631,3.976555,0.000000,6.205950
0.020000,8.584528,10.266744,3.034509,4.891163,3.976555,-0.000000,6.192014
0.020000,8.682667,10.257042,3.133128,4.970694,3.976555,0.000000,6.177162
0.020000,8.782227,10.245658,3.233337,5.050225,3.976555,0.000000,6.161383
0.020000,8.883165,10.232450,3.335137,5.129756,3.976555,-0.000000,6.144668
0.020000,8.978041,10.218440,3.438527,5.209287,3.976555,0.000000,6.128538
0.020000,9.081623,10.201365,3.543508,5.288818,3.976555,-0.000000,6.111044
0.020000,9.186451,10.182174,3.650080,5.368349,3.976555,0.000000,6.093186
0.020000,9.292475,10.160782,3.758242,5.447880,3.976555,-0.000000,6.074986
0.020000,9.399641,10.137103,3.867995,5.527411,3.976555,0.000000,6.056469
0.020000,9.507894,10.111057,3.979339,5.606942,3.976555,0.000000,6.037662
0.020000,9.617173,10.082564,4.092273,5.686474,3.976555,-0.000000,6.018599
0.020000,9.727416,10.051550,4.206797,5.766005,3.976555,0.000000,5.999314
0.020000,9.838561,10.017945,4.322913,5.845536,3.976555,0.000000,5.979846
0.020000,9.950541,9.981685,4.440619,5.925067,3.976555,-0.000000,5.960237
0.020000,10.063289,9.942711,4.559916,6.004598,3.976555,0.000000,5.940531
0.020000,10.176739,9.900970,4.680803,6.084129,3.976555,-0.000000,5.920774
0.020000,10.290824,9.856416,4.803281,6.163660,3.976555,0.000000,5.901017
0.020000,10.405477,9.809013,4.927349,6.243191,3.976555,-0.000000,5.881308
0.020000,10.520634,9.758727,5.053008,6.322722,3.976555,0.000000,5.861701
0.020000,10.636232,9.705537,5.180258,6.402253,3.976555,0.000000,5.842246
0.020000,10.752210,9.649427,5.309099,6.481785,3.976555,-0.000000,5.822997
0.020000,10.868513,9.590389,5.439530,6.561316,3.976555,0.000000,5.804005
0.020000,10.985087,9.528424,5.571551,6.640847,3.976555,-0.000000,5.785321
0.020000,11.101884,9.463540,5.705163,6.720378,3.976555,0.000000,5.766994
0.020000,11.218863,9.395751,5.840366,6.799909,3.976555,0.000000,5.749074
0.020000,11.335986,9.325081,5.977160,6.879440,3.976555,-0.000000,5.731605
0.020000,11.453222,9.251560,6.115544,6.958971,3.976555,0.000000,5.714632
0.020000,11.570547,9.175222,6.255519,7.038502,3.976555,0.000000,5.698195
0.020000,11.687942,9.096111,6.397084,7.118033,3.976555,0.000000,5.682334
0.020000,11.805398,9.014273,6.540240,7.197564,3.976555,0.000000,5.667084
0.020000,11.922910,8.929763,6.684987,7.277096,3.976555,-0.000000,5.652479
0.020000,12.040483,8.842637,6.831324,7.356627,3.976555,0.000000,5.638549
0.020000,12.158127,8.752958,6.979252,7.436158,3.976555,-0.000000,5.625324
0.020000,12.275860,8.660793,7.128770,7.515689,3.976555,0.000000,5.612829
0.020000,12.393708,8.566213,7.279879,7.595220,3.976555,0.000000,5.601090
0.020000,12.511705,8.469291,7.432579,7.674751,3.976555,-0.000000,5.590128
0.020000,12.629889,8.370106,7.586869,7.754282,3.976555,0.000000,5.579966
0.020000,12.748309,8.268738,7.742750,7.833813,3.976555,-0.000000,5.570623
0.020000,12.866989,8.165299,7.900182,7.909368,3.777727,-9.941387,5.562122
0.020000,12.985932,8.059929,8.059085,7.980946,3.578899,-9.941387,5.554484
