dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.555574,9.273599,0.000040,0.003977,0.198828,9.941387,6.282888
0.020000,5.555588,9.273599,0.000053,0.000671,-0.165262,-18.204505,6.282902
0.020000,5.555618,9.273599,0.000083,0.001510,0.041940,10.360093,6.282934
0.020000,5.555672,9.273599,0.000137,0.002683,0.058667,0.836380,6.282991
0.020000,5.555755,9.273599,0.000221,0.004190,0.075321,0.832684,6.283079
0.020000,5.556106,9.273599,0.000572,0.017537,0.667356,29.601759,0.000020
0.020000,5.558219,9.273600,0.002684,0.105617,4.403983,186.831359,0.000193
0.020000,5.560977,9.273601,0.005442,0.137927,1.615516,-139.423363,0.000418
0.020000,5.564468,9.273602,0.008933,0.174529,1.830112,10.729819,0.000701
0.020000,5.568776,9.273606,0.013241,0.215415,2.044281,10.708430,0.001051
0.020000,5.573987,9.273613,0.018453,0.260573,2.257916,10.681760,0.001471
0.020000,5.580187,9.273623,0.024653,0.309991,2.470898,10.649084,0.001970
0.020000,5.587460,9.273640,0.031926,0.363653,2.683100,10.610096,0.002552
0.020000,5.595891,9.273664,0.040357,0.421541,2.894377,10.563868,0.003222
0.020000,5.605564,9.273699,0.050029,0.483632,3.104574,10.509864,0.003986
0.020000,5.616562,9.273748,0.061027,0.549903,3.313532,10.447904,0.004847
0.020000,5.628968,9.273814,0.073434,0.620324,3.521068,10.376781,0.005809
0.020000,5.642865,9.273902,0.087331,0.694864,3.726988,10.296013,0.006876
0.020000,5.658334,9.274017,0.102801,0.773486,3.931105,10.205859,0.008049
0.020000,5.675457,9.274166,0.119924,0.856150,4.133185,10.103990,0.009329
0.020000,5.694269,9.274355,0.138737,0.940674,4.226198,4.650659,0.010715
0.020000,5.714765,9.274590,0.159235,1.024886,4.210593,-0.780251,0.012200
0.020000,5.736939,9.274878,0.181410,1.108757,4.193578,-0.850784,0.013776
0.020000,5.760781,9.275226,0.205255,1.192260,4.175138,-0.921986,0.015435
0.020000,5.786285,9.275642,0.230763,1.275365,4.155275,-0.993147,0.017170
0.020000,5.813442,9.276133,0.257923,1.358045,4.134002,-1.063676,0.018971
0.020000,5.842241,9.276706,0.286729,1.440272,4.111314,-1.134381,0.020829
0.020000,5.872675,9.277369,0.317169,1.522016,4.087216,-1.204902,0.022733
0.020000,5.904731,9.278129,0.349234,1.603250,4.061706,-1.275492,0.024673
0.020000,5.938398,9.278994,0.382913,1.683946,4.034791,-1.345741,0.026638
0.020000,5.973666,9.279968,0.418195,1.764076,4.006497,-1.414698,0.028615
0.020000,6.010522,9.281060,0.455067,1.843612,3.976790,-1.485341,0.030593
0.020000,6.048954,9.282274,0.493517,1.922526,3.945707,-1.554170,0.032557
0.020000,6.088947,9.283616,0.533533,2.000791,3.913238,-1.623457,0.034495
0.020000,6.130489,9.285089,0.575101,2.078378,3.879391,-1.692360,0.036392
0.020000,6.173564,9.286698,0.618206,2.155262,3.844172,-1.760957,0.038233
0.020000,6.218158,9.288444,0.662834,2.231413,3.807583,-1.829451,0.040003
0.020000,6.264256,9.290328,0.708970,2.306806,3.769619,-1.898174,0.041686
0.020000,6.311841,9.292351,0.756599,2.381412,3.730299,-1.965993,0.043265
0.020000,6.360897,9.294512,0.805703,2.455204,3.689590,-2.035479,0.044723
0.020000,6.411408,9.296806,0.856266,2.528154,3.647519,-2.103532,0.046043
0.020000,6.463356,9.299231,0.908270,2.600235,3.604071,-2.172381,0.047206
0.020000,6.516724,9.301779,0.961699,2.671420,3.559225,-2.242309,0.048193
0.020000,6.571493,9.304444,1.016532,2.741679,3.512974,-2.312568,0.048985
0.020000,6.627644,9.307214,1.072752,2.810986,3.465309,-2.383219,0.049562
0.020000,6.685159,9.310078,1.130338,2.879310,3.416214,-2.454774,0.049903
0.020000,6.744018,9.313021,1.189271,2.946623,3.365656,-2.527890,0.049987
0.020000,6.804201,9.316028,1.249529,3.012895,3.313623,-2.601649,0.049791
0.020000,6.865687,9.319078,1.311091,3.078097,3.260088,-2.676777,0.049294
0.020000,6.928456,9.322150,1.373935,3.142198,3.205028,-2.752961,0.048472
0.020000,6.992486,9.325221,1.438038,3.205166,3.148418,-2.830540,0.047301
0.020000,7.057754,9.328262,1.503377,3.266971,3.090243,-2.908733,0.045757
0.020000,7.124239,9.331243,1.569929,3.327581,3.030482,-2.988066,0.043815
0.020000,7.191917,9.334133,1.637668,3.386963,2.969132,-3.067468,0.041449
0.020000,7.260763,9.336893,1.706570,3.445087,2.906205,-3.146360,0.038631
0.020000,7.330754,9.339485,1.776608,3.501922,2.841706,-3.224947,0.035337
0.020000,7.401863,9.341867,1.847757,3.557436,2.775703,-3.300182,0.031536
0.020000,7.474063,9.343990,1.919989,3.611601,2.708251,-3.372595,0.027202
0.020000,7.547329,9.345807,1.993277,3.664389,2.639446,-3.440245,0.022304
0.020000,7.621630,9.347264,2.067593,3.715779,2.569465,-3.499060,0.016814
0.020000,7.696938,9.348304,2.142907,3.765749,2.498505,-3.547961,0.010702
0.020000,7.773221,9.348866,2.219193,3.814285,2.426819,-3.584319,0.003937
0.020000,7.850449,9.348886,2.296421,3.861381,2.354768,-3.602527,6.279675
0.020000,7.928587,9.348297,2.374562,3.907036,2.282786,-3.599098,6.271514
0.020000,8.007603,9.347028,2.453587,3.951265,2.211418,-3.568406,6.262610
0.020000,8.087459,9.345002,2.533469,3.994091,2.141318,-3.504998,6.252934
0.020000,8.168119,9.342143,2.614180,4.035557,2.073294,-3.401229,6.242456
0.020000,8.249546,9.338369,2.695694,4.075723,2.008279,-3.250735,6.231150
0.020000,8.331701,9.333594,2.777988,4.114671,1.947404,-3.043736,6.218989
0.020000,8.414544,9.327731,2.861038,4.152508,1.891887,-2.775860,6.205950
0.020000,8.498035,9.320690,2.944825,4.189374,1.843267,-2.430995,6.192014
0.020000,8.582134,9.312377,3.029334,4.225435,1.803045,-2.011104,6.177162
0.020000,8.666800,9.302696,3.114552,4.260896,1.773088,-1.497858,6.161383
0.020000,8.751994,9.291550,3.200472,4.296001,1.755211,-0.893862,6.144668
0.020000,8.831712,9.279778,3.281054,4.029096,-13.345213,-755.021166,6.128538
0.020000,8.918895,9.265405,3.369414,4.418026,19.446462,1639.583711,6.111044
0.020000,9.007036,9.249270,3.459020,4.480261,3.111762,-816.734970,6.093186
0.020000,9.096111,9.231297,3.549890,4.543537,3.163814,2.602567,6.074986
0.020000,9.186101,9.211414,3.642050,4.607987,3.222496,2.934113,6.056469
0.020000,9.276983,9.189547,3.735526,4.673813,3.291304,3.440419,6.037662
0.020000,9.368738,9.165623,3.830349,4.741117,3.365181,3.693838,6.018599
0.020000,9.461346,9.139571,3.926551,4.810132,3.450747,4.278277,5.999314
0.020000,9.554788,9.111318,4.024171,4.880972,3.542034,4.564369,5.979846
0.020000,9.649045,9.080796,4.123246,4.953778,3.640261,4.911362,5.960237
0.020000,9.744100,9.047938,4.223820,5.028706,3.746413,5.307583,5.940531
0.020000,9.839936,9.012677,4.325938,5.105858,3.857614,5.560051,5.920774
0.020000,9.936537,8.974951,4.429644,5.185321,3.973151,5.776880,5.901017
0.020000,10.033888,8.934701,4.534988,5.267192,4.093539,6.019382,5.881308
0.020000,10.131974,8.891869,4.642018,5.351516,4.216199,6.132973,5.861701
0.020000,10.230782,8.846404,4.750784,5.438309,4.339657,6.172922,5.842246
0.020000,10.330299,8.798257,4.861336,5.527590,4.464035,6.218901,5.822997
0.020000,10.430513,8.747385,4.973723,5.619334,4.587203,6.158380,5.804005
0.020000,10.531414,8.693750,5.087993,5.713501,4.708343,6.057028,5.785321
0.020000,10.632992,8.637319,5.204193,5.810032,4.826562,5.910957,5.766994
0.020000,10.735241,8.578066,5.322370,5.908839,4.940364,5.690074,5.749074
0.020000,10.838154,8.515969,5.442567,6.009832,5.049663,5.464970,5.731605
0.020000,10.941729,8.451013,5.564825,6.112900,5.153396,5.186656,5.714632
0.020000,11.045965,8.383191,5.689183,6.217927,5.251317,4.896040,5.698195
0.020000,11.150864,8.312499,5.815679,6.324789,5.343119,4.590077,5.682334
0.020000,11.256433,8.238943,5.944346,6.433362,5.428654,4.276753,5.667084
0.020000,11.362680,8.162532,6.075217,6.543522,5.508020,3.968300,5.652479
0.020000,11.469620,8.083284,6.208320,6.655153,5.581508,3.674400,5.638549
0.020000,11.577272,8.001222,6.343683,6.768140,5.649381,3.393659,5.625324
0.020000,11.685658,7.916373,6.481330,6.882382,5.712075,3.134686,5.612829
0.020000,11.794808,7.828772,6.621286,6.997784,5.770115,2.902038,5.601090
0.020000,11.904757,7.738460,6.763571,7.114270,5.824298,2.709147,5.590128
0.020000,12.015546,7.645480,6.908207,7.231776,5.875313,2.550741,5.579966
0.020000,12.127223,7.549883,7.055212,7.350243,5.923320,2.400344,5.570623
0.020000,12.239814,7.451750,7.204567,7.467753,5.875530,-2.389481,5.562122
0.020000,12.353325,7.351192,7.356214,7.582334,5.729019,-7.325574,5.554484
0.020000,12.467769,7.248328,7.510091,7.693891,5.577858,-7.558063,5.547729
0.020000,12.583166,7.143284,7.666138,7.802342,5.422571,-7.764344,5.541876
0.020000,12.699544,7.036194,7.824291,7.907631,5.264432,-7.906951,5.536942
0.020000,12.816939,6.927196,7.984485,8.009699,5.103410,-8.051063,5.532943
0.020000,12.935393,6.816435,8.146655,8.108515,4.940818,-8.129618,5.529894
0.020000,13.054954,6.704062,8.310736,8.204051,4.776774,-8.202211,5.527810
0.020000,13.175678,6.590233,8.476662,8.296290,4.611944,-8.241494,5.526705
0.020000,13.297626,6.475109,8.644366,8.385223,4.446683,-8.263072,5.526594
0.020000,13.420865,6.358858,8.813783,8.470849,4.281281,-8.270077,5.527489
0.020000,13.545466,6.241653,8.984847,8.553167,4.115891,-8.269524,5.529406
0.020000,13.671506,6.123671,9.157490,8.632177,3.950521,-8.268470,5.532359
0.020000,13.799065,6.005097,9.331648,8.707880,3.785110,-8.270567,5.536361
0.020000,13.928224,5.886122,9.507253,8.780268,3.619446,-8.283177,5.541427
0.020000,14.052993,5.772334,9.676117,8.443175,-16.854680,-1023.706333,5.544137
0.020000,14.177692,5.658351,9.845061,8.447191,0.200816,852.774816,5.541521
0.020000,14.303814,5.542702,10.016179,8.555937,5.437295,261.823950,5.540985
0.020000,14.431543,5.425699,10.189397,8.660867,5.246475,-9.540972,5.542532
0.020000,14.561055,5.307679,10.364616,8.760985,5.005904,-12.028563,5.546172
0.020000,14.692537,5.188988,10.541747,8.856522,4.776851,-11.452684,5.551918
0.020000,14.826206,5.069966,10.720727,8.948989,4.623392,-7.672928,5.559789
0.020000,14.962283,4.950964,10.901498,9.038593,4.480182,-7.160477,5.569810
0.020000,15.100994,4.832351,11.084008,9.125462,4.343462,-6.836002,5.582006
0.020000,15.242563,4.714517,11.268200,9.209613,4.207555,-6.795350,5.596403
0.020000,15.387209,4.597871,11.454019,9.290949,4.066799,-7.037817,5.613027
0.020000,15.535138,4.482850,11.641403,9.369194,3.912202,-7.729862,5.631896
0.020000,15.686534,4.369916,11.830280,9.443880,3.734306,-8.894766,5.653019
0.020000,15.841553,4.259562,12.020567,9.514323,3.522178,-10.606418,5.676391
0.020000,16.000308,4.152306,12.212158,9.579571,3.262413,-12.988236,5.701985
0.020000,16.162862,4.048691,12.404927,9.638420,2.942429,-15.999199,5.729751
0.020000,16.329208,3.949279,12.598715,9.689402,2.549109,-19.666039,5.759608
0.020000,16.499266,3.854644,12.793331,9.730822,2.070994,-23.905745,5.791437
0.020000,16.672865,3.765353,12.988547,9.760814,1.499573,-28.571040,5.825082
0.020000,16.849739,3.681956,13.184096,9.777443,0.831486,-33.404330,5.860344
0.020000,17.029522,3.604962,13.379673,9.778824,0.069024,-38.123125,5.896987
0.020000,17.211756,3.534823,13.574938,9.763264,-0.777967,-42.349536,5.934738
0.020000,17.395892,3.471908,13.769527,9.729422,-1.692133,-45.708283,5.973294
0.020000,17.581317,3.416491,13.963055,9.676422,-2.649975,-47.892146,6.012337
0.020000,17.767395,3.368726,14.155165,9.605525,-3.544847,-44.743567,6.051546
0.020000,17.953517,3.328644,14.345555,9.519487,-4.301939,-37.854594,6.090618
0.020000,18.139098,3.296170,14.533956,9.420042,-4.972235,-33.514812,6.129271
0.020000,18.323577,3.271132,14.720126,9.308500,-5.577094,-30.242940,6.167249
0.020000,18.506435,3.253273,14.903854,9.186419,-6.104034,-26.346992,6.204330
0.020000,18.687213,3.242268,15.084967,9.055613,-6.540332,-21.814918,6.240332
0.020000,18.845090,3.237338,15.242921,7.897698,-57.895727,-2567.769759,6.257562
0.020000,18.995933,3.234016,15.393800,7.543991,-17.685344,2010.519140,6.265079
0.020000,19.147009,3.231967,15.544890,7.554482,0.524559,910.495150,6.274490
0.020000,19.298294,3.231483,15.696175,7.564268,0.489256,-1.765143,0.002597
0.020000,19.449760,3.232850,15.847648,7.573609,0.467068,-1.109376,0.015761
0.020000,19.601372,3.236356,15.999301,7.582649,0.452012,-0.752821,0.030790
0.020000,19.753085,3.242288,16.151129,7.591436,0.439322,-0.634509,0.047678
0.020000,19.904836,3.250931,16.303127,7.599875,0.421957,-0.868220,0.066419
0.020000,20.056545,3.262569,16.455282,7.607735,0.393021,-1.446840,0.087000
0.020000,20.208107,3.277477,16.607574,7.614648,0.345634,-2.369309,0.109401
0.020000,20.359388,3.295926,16.759976,7.620072,0.271191,-3.722164,0.133592
0.020000,20.510222,3.318170,16.912442,7.623304,0.161631,-5.477988,0.159525
0.020000,20.660411,3.344445,17.064912,7.623492,0.009396,-7.611784,0.187138
0.020000,20.809717,3.374961,17.217305,7.619639,-0.192646,-10.102103,0.216344
