dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.813180,2.193404,0.000040,0.003982,0.199098,9.954880,0.000130
0.020000,4.813180,2.193404,0.000199,0.011946,0.398195,9.954880,0.000128
0.020000,4.813180,2.193404,0.000557,0.023892,0.597293,9.954880,0.000123
0.020000,4.813180,2.193404,0.001195,0.039820,0.796390,9.954880,0.000115
0.020000,4.813180,2.193404,0.002190,0.059729,0.995488,9.954880,0.000102
0.020000,4.813180,2.193404,0.003624,0.083621,1.194586,9.954880,0.000084
0.020000,4.813180,2.193404,0.005575,0.111495,1.393683,9.954880,0.000059
0.020000,4.813180,2.193404,0.008123,0.143350,1.592781,9.954880,0.000027
0.020000,4.814322,2.193404,0.011349,0.179188,1.791878,9.954880,6.283171
0.020000,4.818304,2.193404,0.015331,0.219007,1.990976,9.954880,6.283120
0.020000,4.823122,2.193403,0.020149,0.262809,2.190073,9.954880,6.283059
0.020000,4.828856,2.193402,0.025883,0.310592,2.389171,9.954880,6.282987
0.020000,4.835586,2.193401,0.032612,0.362358,2.588269,9.954880,6.282903
0.020000,4.843390,2.193398,0.040417,0.418105,2.787366,9.954880,6.282806
0.020000,4.852350,2.193394,0.049376,0.477834,2.986464,9.954880,6.282695
0.020000,4.862543,2.193389,0.059570,0.541545,3.185561,9.954880,6.282570
0.020000,4.874051,2.193381,0.071078,0.609239,3.384659,9.954880,6.282430
0.020000,4.886953,2.193370,0.083979,0.680914,3.583757,9.954880,6.282275
0.020000,4.901328,2.193356,0.098354,0.756571,3.782854,9.954880,6.282104
0.020000,4.917255,2.193337,0.114282,0.836210,3.981952,9.954880,6.281918
0.020000,4.934776,2.193313,0.131803,0.915849,3.981952,-0.000000,6.281715
0.020000,4.953889,2.193283,0.150916,0.995488,3.981952,0.000000,6.281498
0.020000,4.974595,2.193246,0.171622,1.075127,3.981952,-0.000000,6.281267
0.020000,4.996894,2.193200,0.193921,1.154766,3.981952,0.000000,6.281023
0.020000,5.020786,2.193145,0.217813,1.234405,3.981952,-0.000000,6.280767
0.020000,5.046270,2.193080,0.243297,1.314044,3.981952,0.000000,6.280501
0.020000,5.073347,2.193004,0.270375,1.393683,3.981952,-0.000000,6.280226
0.020000,5.102017,2.192915,0.299045,1.473322,3.981952,0.000000,6.279942
0.020000,5.132280,2.192812,0.329307,1.552961,3.981952,-0.000000,6.279652
0.020000,5.164135,2.192695,0.361163,1.632600,3.981952,0.000000,6.279357
0.020000,5.197584,2.192562,0.394611,1.712239,3.981952,-0.000000,6.279059
0.020000,5.232624,2.192412,0.429653,1.791878,3.981952,0.000000,6.278758
0.020000,5.269258,2.192244,0.466287,1.871517,3.981952,0.000000,6.278458
0.020000,5.307484,2.192058,0.504513,1.951156,3.981952,-0.000000,6.278159
0.020000,5.347303,2.191852,0.544333,2.030795,3.981952,0.000000,6.277864
0.020000,5.388715,2.191625,0.585745,2.110434,3.981952,0.000000,6.277574
0.020000,5.431719,2.191378,0.628750,2.190073,3.981952,0.000000,6.277291
0.020000,5.476316,2.191109,0.673348,2.269713,3.981952,-0.000000,6.277019
0.020000,5.522506,2.190818,0.719539,2.349352,3.981952,0.000000,6.276758
0.020000,5.570288,2.190505,0.767322,2.428991,3.981952,0.000000,6.276511
0.020000,5.619664,2.190170,0.816698,2.508630,3.981952,0.000000,6.276280
0.020000,5.670631,2.189812,0.867667,2.588269,3.981952,-0.000000,6.276068
0.020000,5.723192,2.189433,0.920229,2.667908,3.981952,0.000000,6.275878
0.020000,5.777345,2.189033,0.974384,2.747547,3.981952,0.000000,6.275712
0.020000,5.833090,2.188612,1.030131,2.827186,3.981952,0.000000,6.275571
0.020000,5.890429,2.188172,1.087471,2.906825,3.981952,0.000000,6.275461
0.020000,5.949360,2.187714,1.146404,2.986464,3.981952,0.000000,6.275382
0.020000,6.009884,2.187240,1.206930,3.066103,3.981952,0.000000,6.275338
0.020000,6.072000,2.186753,1.269048,3.145742,3.981952,0.000000,6.275332
0.020000,6.135710,2.186253,1.332759,3.225381,3.981952,0.000000,6.275367
0.020000,6.201012,2.185745,1.398063,3.305020,3.981952,0.000000,6.275446
0.020000,6.267906,2.185231,1.464960,3.384659,3.981952,-0.000000,6.275572
0.020000,6.336394,2.184715,1.533450,3.464298,3.981952,0.000000,6.275749
0.020000,6.406475,2.184202,1.603532,3.543937,3.981952,0.000000,6.275980
0.020000,6.478148,2.183696,1.675207,3.623576,3.981952,0.000000,6.276268
0.020000,6.551414,2.183201,1.748475,3.703215,3.981952,0.000000,6.276617
0.020000,6.626273,2.182725,1.823336,3.782854,3.981952,0.000000,6.277030
0.020000,6.702725,2.182272,1.899789,3.862493,3.981952,0.000000,6.277512
0.020000,6.780771,2.181851,1.977835,3.942132,3.981952,-0.000000,6.278066
0.020000,6.860409,2.181468,2.057475,4.021771,3.981952,0.000000,6.278695
0.020000,6.941640,2.181131,2.138706,4.101410,3.981952,-0.000000,6.279405
0.020000,7.024464,2.180850,2.221531,4.181049,3.981952,-0.000000,6.280198
0.020000,7.108881,2.180635,2.305948,4.260688,3.981952,0.000000,6.281079
0.020000,7.194891,2.180495,2.391958,4.340327,3.981952,0.000000,6.282053
0.020000,7.282494,2.180442,2.479561,4.419967,3.981952,-0.000000,6.283123
0.020000,7.371690,2.180488,2.568757,4.499606,3.981952,0.000000,0.001109
0.020000,7.462478,2.180646,2.659546,4.579245,3.981952,-0.000000,0.002385
0.020000,7.554859,2.180930,2.751927,4.658884,3.981952,0.000000,0.003772
0.020000,7.648832,2.181354,2.845901,4.738523,3.981952,0.000000,0.005274
0.020000,7.744397,2.181935,2.941468,4.818162,3.981952,-0.000000,0.006895
0.020000,7.841554,2.182689,3.038627,4.897801,3.981952,0.000000,0.008641
0.020000,7.940302,2.183634,3.137380,4.977440,3.981952,-0.000000,0.010516
0.020000,8.040640,2.184789,3.237725,5.057079,3.981952,0.000000,0.012527
0.020000,8.142569,2.186175,3.339663,5.136718,3.981952,0.000000,0.014677
0.020000,8.246087,2.187812,3.443194,5.216357,3.981952,-0.000000,0.016972
0.020000,8.351193,2.189724,3.548317,5.295996,3.981952,0.000000,0.019418
0.020000,8.457886,2.191933,3.655034,5.375635,3.981952,0.000000,0.022020
0.020000,8.566165,2.194467,3.763343,5.455274,3.981952,-0.000000,0.024783
0.020000,8.676029,2.197350,3.873245,5.534913,3.981952,0.000000,0.027715
0.020000,8.787476,2.200611,3.984739,5.614552,3.981952,-0.000000,0.030819
0.020000,8.900504,2.204280,4.097827,5.694191,3.981952,0.000000,0.034103
0.020000,9.015111,2.208388,4.212507,5.773830,3.981952,0.000000,0.037572
0.020000,9.131294,2.212967,4.328780,5.853469,3.981952,-0.000000,0.041232
0.020000,9.249049,2.218051,4.446646,5.933108,3.981952,0.000000,0.045090
0.020000,9.368375,2.223676,4.566104,6.012747,3.981952,0.000000,0.049151
0.020000,9.489268,2.229880,4.687155,6.092386,3.981952,-0.000000,0.053422
0.020000,9.611722,2.236702,4.809800,6.172025,3.981952,0.000000,0.057910
0.020000,9.735733,2.244183,4.934036,6.251664,3.981952,-0.000000,0.062621
0.020000,9.861296,2.252366,5.059866,6.331303,3.981952,0.000000,0.067561
0.020000,9.988405,2.261295,5.187289,6.410942,3.981952,0.000000,0.072737
0.020000,10.117054,2.271018,5.316304,6.490581,3.981952,-0.000000,0.078155
0.020000,10.247233,2.281582,5.446912,6.570220,3.981952,0.000000,0.083822
0.020000,10.378937,2.293038,5.579113,6.649860,3.981952,-0.000000,0.089745
0.020000,10.512154,2.305439,5.712906,6.729499,3.981952,0.000000,0.095929
0.020000,10.646875,2.318839,5.848293,6.809138,3.981952,0.000000,0.102381
0.020000,10.783089,2.333295,5.985272,6.888777,3.981952,-0.000000,0.109108
0.020000,10.920784,2.348865,6.123844,6.968416,3.981952,0.000000,0.116116
0.020000,11.059944,2.365609,6.264008,7.048055,3.981952,0.000000,0.123410
0.020000,11.200556,2.383589,6.405766,7.127694,3.981952,0.000000,0.130997
0.020000,11.342604,2.402872,6.549116,7.207333,3.981952,-0.000000,0.138881
0.020000,11.486068,2.423522,6.694059,7.286972,3.981952,0.000000,0.147069
0.020000,11.630929,2.445608,6.840595,7.366611,3.981952,-0.000000,0.155566
0.020000,11.777166,2.469201,6.988724,7.446250,3.981952,0.000000,0.164375
0.020000,11.924756,2.494371,7.138445,7.525889,3.981952,-0.000000,0.173501
0.020000,12.073673,2.521194,7.289759,7.605528,3.981952,0.000000,0.182947
0.020000,12.223891,2.549743,7.442666,7.685167,3.981952,0.000000,0.192718
0.020000,12.375379,2.580096,7.597166,7.764806,3.981952,-0.000000,0.202815
0.020000,12.528106,2.612331,7.753258,7.844445,3.981952,0.000000,0.213239
0.020000,12.682038,2.646527,7.910944,7.924084,3.981952,-0.000000,0.223993
0.020000,12.837100,2.682754,8.070182,7.999741,3.782854,-9.954880,0.235074
0.020000,12.993175,2.721074,8.230893,8.071416,3.583757,-9.954880,0.246475
0.020000,13.150147,2.761542,8.392999,8.139110,3.384659,-9.954880,0.258188
0.020000,13.307896,2.804213,8.556418,8.202821,3.185561,-9.954880,0.270204
0.020000,13.466301,2.849137,8.721072,8.262550,2.986464,-9.954880,0.282513
0.020000,13.625242,2.896358,8.886880,8.318297,2.787366,-9.954880,0.295103
0.020000,13.784596,2.945917,9.053764,8.370063,2.588269,-9.954880,0.307959
0.020000,13.944240,2.997848,9.221643,8.417846,2.389171,-9.954880,0.321069
0.020000,14.104050,3.052182,9.390438,8.461648,2.190073,-9.954880,0.334415
0.020000,14.263902,3.108941,9.560069,8.501467,1.990976,-9.954880,0.347981
0.020000,14.423673,3.168142,9.730457,8.537305,1.791878,-9.954880,0.361748
0.020000,14.583239,3.229796,9.901521,8.569160,1.592781,-9.954880,0.375696
0.020000,14.742479,3.293905,10.073183,8.597034,1.393683,-9.954880,0.389806
0.020000,14.895050,3.357804,10.245363,8.620926,1.194586,-9.954880,0.402770
0.020000,15.053786,3.425625,10.417981,8.640835,0.995488,-9.954880,0.404809
0.020000,15.212708,3.493922,10.590957,8.656763,0.796390,-9.954880,0.407002
0.020000,15.371730,3.562691,10.764211,8.668709,0.597293,-9.954880,0.409348
0.020000,15.530768,3.631925,10.937665,8.676673,0.398195,-9.954880,0.411847
0.020000,15.689736,3.701615,11.111238,8.680655,0.199098,-9.954880,0.414498
0.020000,15.848532,3.771747,11.284832,8.678697,-0.097919,-14.850819,0.417300
0.020000,16.007053,3.842303,11.458346,8.672756,-0.297016,-9.954880,0.420252
0.020000,16.165216,3.913274,11.631702,8.662834,-0.496114,-9.954880,0.423352
0.020000,16.322935,3.984648,11.804820,8.648930,-0.695212,-9.954880,0.426599
0.020000,16.480128,4.056413,11.977620,8.631044,-0.894309,-9.954880,0.429990
0.020000,16.636710,4.128556,12.150022,8.609175,-1.093407,-9.954880,0.433523
0.020000,16.792598,4.201061,12.321947,8.583325,-1.292504,-9.954880,0.437195
0.020000,16.947711,4.273912,12.493315,8.553493,-1.491602,-9.954880,0.441004
0.020000,17.101964,4.347090,12.664047,8.519679,-1.690700,-9.954880,0.444946
0.020000,17.255278,4.420577,12.834062,8.481883,-1.889797,-9.954880,0.449018
0.020000,17.407570,4.494350,13.003282,8.440105,-2.088895,-9.954880,0.453215
0.020000,17.558760,4.568386,13.171627,8.394346,-2.287992,-9.954880,0.457534
0.020000,17.708769,4.642659,13.339016,8.344604,-2.487090,-9.954880,0.461970
0.020000,17.857518,4.717142,13.505371,8.290880,-2.686187,-9.954880,0.466518
0.020000,18.004928,4.791806,13.670612,8.233174,-2.885285,-9.954880,0.471174
0.020000,18.150922,4.866617,13.834658,8.171487,-3.084383,-9.954880,0.475932
0.020000,18.295425,4.941544,13.997431,8.105817,-3.283480,-9.954880,0.480786
0.020000,18.438361,5.016549,14.158851,8.036166,-3.482578,-9.954880,0.485730
0.020000,18.579655,5.091593,14.318838,7.962532,-3.681675,-9.954880,0.490758
0.020000,18.719235,5.166636,14.477313,7.884917,-3.880773,-9.954880,0.495864
0.020000,18.857046,5.241645,14.634215,7.805278,-3.981952,-5.058940,0.501042
0.020000,18.993070,5.316601,14.789524,7.725639,-3.981952,-0.000000,0.506287
