dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.813303,1.243404,0.000040,0.003982,0.199098,9.954880,0.000130
0.020000,4.813301,1.243404,0.000042,0.000097,-0.194247,-19.667211,0.000128
0.020000,4.813297,1.243404,0.000046,0.000218,0.006061,10.015403,0.000123
0.020000,4.813289,1.243404,0.000054,0.000388,0.008480,0.120910,0.000115
0.020000,4.813277,1.243404,0.000066,0.000606,0.010888,0.120422,0.000102
0.020000,4.813259,1.243404,0.000083,0.000871,0.013281,0.119623,0.000084
0.020000,4.813236,1.243404,0.000107,0.001184,0.015649,0.118435,0.000059
0.020000,4.813205,1.243404,0.000138,0.001544,0.017985,0.116781,0.000027
0.020000,4.814308,1.243404,0.001241,0.055166,2.681103,133.155901,6.283171
0.020000,4.818242,1.243404,0.005175,0.196697,7.076571,219.773426,6.283120
0.020000,4.823002,1.243403,0.009936,0.238016,2.065920,-250.532586,6.283059
0.020000,4.828668,1.243402,0.015601,0.283271,2.262785,9.843244,6.282987
0.020000,4.835317,1.243401,0.022250,0.332472,2.460050,9.863263,6.282903
0.020000,4.843030,1.243398,0.029963,0.385617,2.657240,9.859507,6.282806
0.020000,4.851884,1.243394,0.038817,0.442709,2.854582,9.867087,6.282695
0.020000,4.861959,1.243389,0.048892,0.503753,3.052190,9.880394,6.282570
0.020000,4.873334,1.243381,0.060267,0.568751,3.249928,9.886897,6.282430
0.020000,4.886088,1.243370,0.073021,0.637708,3.447814,9.894335,6.282275
0.020000,4.900301,1.243356,0.087234,0.710629,3.646061,9.912330,6.282104
0.020000,4.916051,1.243338,0.102984,0.787519,3.844522,9.923038,6.281918
0.020000,4.933379,1.243314,0.120312,0.866415,3.944783,5.013068,6.281715
0.020000,4.952286,1.243284,0.139219,0.945351,3.946806,0.101134,6.281498
0.020000,4.972773,1.243247,0.159706,1.024333,3.949090,0.114222,6.281267
0.020000,4.994840,1.243202,0.181773,1.103363,3.951516,0.121319,6.281023
0.020000,5.018489,1.243148,0.205422,1.182444,3.954042,0.126297,6.280767
0.020000,5.043720,1.243084,0.230654,1.261583,3.956946,0.145174,6.280501
0.020000,5.070536,1.243008,0.257470,1.340780,3.959844,0.144885,6.280226
0.020000,5.098937,1.242920,0.285870,1.420041,3.963061,0.160859,6.279942
0.020000,5.128924,1.242818,0.315858,1.499369,3.966380,0.165959,6.279652
0.020000,5.160499,1.242702,0.347433,1.578767,3.969907,0.176345,6.279357
0.020000,5.193663,1.242570,0.380598,1.658239,3.973638,0.186563,6.279059
0.020000,5.228419,1.242421,0.415354,1.737790,3.977548,0.195487,6.278758
0.020000,5.264767,1.242255,0.451702,1.817422,3.981575,0.201344,6.278458
0.020000,5.302709,1.242070,0.489645,1.897140,3.985895,0.215994,6.278159
0.020000,5.342248,1.241865,0.529184,1.976946,3.990334,0.221988,6.277864
0.020000,5.383384,1.241640,0.570321,2.056846,3.994956,0.231104,6.277574
0.020000,5.426120,1.241394,0.613058,2.136841,3.999779,0.241114,6.277291
0.020000,5.470458,1.241127,0.657396,2.216937,4.004797,0.250893,6.277019
0.020000,5.516400,1.240838,0.703339,2.297136,4.009924,0.256374,6.276758
0.020000,5.563948,1.240526,0.750888,2.377443,4.015355,0.271548,6.276511
0.020000,5.613104,1.240192,0.800045,2.457860,4.020874,0.275951,6.276280
0.020000,5.663870,1.239836,0.850813,2.538392,4.026602,0.286397,6.276068
0.020000,5.716250,1.239458,0.903194,2.619043,4.032526,0.296197,6.275878
0.020000,5.770245,1.239059,0.957190,2.699815,4.038631,0.305231,6.275712
0.020000,5.825857,1.238639,1.012804,2.780714,4.044932,0.315093,6.275571
0.020000,5.883091,1.238200,1.070039,2.861742,4.051384,0.322592,6.275461
0.020000,5.941947,1.237743,1.128897,2.942903,4.058060,0.333790,6.275382
0.020000,6.002429,1.237270,1.189381,3.024201,4.064900,0.342001,6.275338
0.020000,6.064540,1.236782,1.251494,3.105640,4.071936,0.351812,6.275332
0.020000,6.128282,1.236282,1.315238,3.187223,4.079163,0.361313,6.275367
