dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.548166,10.868809,0.000040,0.003990,0.199488,9.974406,6.283050
0.020000,5.548161,10.868809,0.000044,0.000225,-0.188247,-19.386755,6.283055
0.020000,5.548151,10.868809,0.000055,0.000506,0.014039,10.114303,6.283065
0.020000,5.548133,10.868809,0.000072,0.000898,0.019620,0.279056,6.283084
0.020000,5.548105,10.868809,0.000100,0.001401,0.025148,0.276408,6.283114
0.020000,5.548065,10.868809,0.000141,0.002013,0.030590,0.272074,6.283156
0.020000,5.548971,10.868809,0.001047,0.045318,2.165252,106.733133,0.000028
0.020000,5.551454,10.868809,0.003530,0.124121,3.940152,88.744963,0.000103
0.020000,5.554596,10.868810,0.006672,0.157115,1.649717,-114.521737,0.000197
0.020000,5.558476,10.868811,0.010552,0.194008,1.844633,9.745782,0.000312
0.020000,5.563172,10.868812,0.015248,0.234806,2.039902,9.763485,0.000451
0.020000,5.568763,10.868815,0.020838,0.279519,2.235658,9.787773,0.000614
0.020000,5.575326,10.868820,0.027402,0.328159,2.431985,9.816339,0.000803
0.020000,5.582941,10.868827,0.035016,0.380737,2.628907,9.846137,0.001019
0.020000,5.591686,10.868837,0.043762,0.437271,2.826685,9.888883,0.001263
0.020000,5.601642,10.868851,0.053717,0.497777,3.025315,9.931515,0.001534
0.020000,5.612887,10.868870,0.064963,0.562275,3.224913,9.979909,0.001834
0.020000,5.625503,10.868895,0.077579,0.630790,3.425744,10.041528,0.002162
0.020000,5.639570,10.868928,0.091646,0.703346,3.627781,10.101849,0.002516
0.020000,5.655169,10.868970,0.107245,0.779972,3.831309,10.176388,0.002894
0.020000,5.672344,10.869023,0.124420,0.858747,3.938766,5.372860,0.003294
0.020000,5.691099,10.869089,0.143175,0.937745,3.949875,0.555431,0.003711
0.020000,5.711438,10.869169,0.163515,1.016984,3.961962,0.604370,0.004139
0.020000,5.733368,10.869265,0.185444,1.096485,3.975053,0.654535,0.004574
0.020000,5.756893,10.869377,0.208970,1.176267,3.989114,0.703059,0.005009
0.020000,5.782020,10.869509,0.234097,1.256352,4.004217,0.755167,0.005438
0.020000,5.808754,10.869660,0.260832,1.336757,4.020286,0.803448,0.005854
0.020000,5.837104,10.869831,0.289182,1.417504,4.037353,0.853339,0.006250
0.020000,5.867075,10.870024,0.319154,1.498612,4.055401,0.902394,0.006618
0.020000,5.898677,10.870239,0.350756,1.580102,4.074460,0.952976,0.006951
0.020000,5.931916,10.870475,0.383996,1.661992,4.094500,1.001993,0.007240
0.020000,5.966801,10.870732,0.418882,1.744303,4.115559,1.052941,0.007475
0.020000,6.003341,10.871008,0.455423,1.827055,4.137595,1.101775,0.007649
0.020000,6.041545,10.871303,0.493628,1.910268,4.160659,1.153204,0.007750
0.020000,6.081423,10.871613,0.533508,1.993963,4.184734,1.203792,0.007770
0.020000,6.122985,10.871934,0.575071,2.078159,4.209830,1.254790,0.007696
0.020000,6.166241,10.872264,0.618328,2.162878,4.235961,1.306533,0.007519
0.020000,6.211203,10.872596,0.663291,2.248141,4.263142,1.359062,0.007227
0.020000,6.257881,10.872924,0.709971,2.333969,4.291377,1.411716,0.006808
0.020000,6.306288,10.873240,0.758378,2.420382,4.320688,1.465597,0.006250
0.020000,6.356435,10.873536,0.808526,2.507405,4.351107,1.520932,0.005539
0.020000,6.408336,10.873802,0.860428,2.595057,4.382620,1.575630,0.004663
0.020000,6.462002,10.874024,0.914095,2.683363,4.415288,1.633414,0.003608
0.020000,6.517449,10.874191,0.969542,2.772345,4.449091,1.690134,0.002359
0.020000,6.574689,10.874285,1.026782,2.862027,4.484118,1.751349,0.000903
0.020000,6.633738,10.874289,1.085831,2.952434,4.520358,1.812023,6.282408
0.020000,6.694610,10.874185,1.146703,3.043589,4.557759,1.870048,6.280489
0.020000,6.757320,10.873948,1.209413,3.135520,4.596537,1.938898,6.278314
0.020000,6.821884,10.873556,1.273978,3.228251,4.636533,1.999773,6.275867
0.020000,6.888317,10.872980,1.340414,3.321809,4.677920,2.069367,6.273130
0.020000,6.956637,10.872190,1.408739,3.416221,4.720575,2.132768,6.270085
0.020000,7.026860,10.871153,1.478969,3.511514,4.764683,2.205384,6.266714
0.020000,7.099002,10.869833,1.551123,3.607716,4.810092,2.270463,6.262998
0.020000,7.173081,10.868187,1.625220,3.704856,4.856976,2.344176,6.258917
0.020000,7.249113,10.866174,1.701280,3.802958,4.905111,2.406751,6.254450
0.020000,7.327117,10.863743,1.779321,3.902054,4.954812,2.485089,6.249577
0.020000,7.407107,10.860844,1.859364,4.002168,5.005687,2.543724,6.244276
0.020000,7.489102,10.857418,1.941430,4.103325,5.057860,2.608642,6.238525
0.020000,7.573117,10.853403,2.025541,4.205551,5.111289,2.671460,6.232302
0.020000,7.659168,10.848734,2.111719,4.308866,5.165772,2.724138,6.225584
0.020000,7.747269,10.843336,2.199985,4.413290,5.221173,2.770068,6.218347
0.020000,7.837432,10.837132,2.290361,4.518837,5.277359,2.809311,6.210568
0.020000,7.929670,10.830038,2.382872,4.625518,5.334060,2.835041,6.202224
0.020000,8.023992,10.821964,2.477538,4.733335,5.390828,2.838385,6.193289
0.020000,8.120404,10.812813,2.574384,4.842286,5.447570,2.837128,6.183740
0.020000,8.218911,10.802481,2.673431,4.952358,5.503575,2.800208,6.173554
0.020000,8.319513,10.790858,2.774702,5.063527,5.558457,2.744115,6.162707
0.020000,8.422204,10.777829,2.878217,5.175757,5.611497,2.651999,6.151177
0.020000,8.526977,10.763268,2.983997,5.288997,5.662002,2.525243,6.138943
0.020000,8.633817,10.747046,3.092060,5.403179,5.709105,2.355184,6.125985
0.020000,8.742700,10.729026,3.202425,5.518215,5.751818,2.135655,6.112285
0.020000,8.853598,10.709065,3.315105,5.633999,5.789186,1.868375,6.097828
0.020000,8.966472,10.687014,3.430113,5.750393,5.819721,1.526749,6.082599
0.020000,9.081274,10.662718,3.547457,5.867244,5.842554,1.141657,6.066591
0.020000,9.197946,10.636021,3.667145,5.984364,5.855964,0.670474,6.049796
0.020000,9.316416,10.606760,3.789176,6.101541,5.858887,0.146180,6.032214
0.020000,9.436603,10.574772,3.913546,6.218533,5.849596,-0.464570,6.013849
0.020000,9.558410,10.539895,4.040248,6.335074,5.827047,-1.127416,5.994710
0.020000,9.681726,10.501966,4.169265,6.450855,5.789031,-1.900839,5.974814
0.020000,9.806427,10.460828,4.300576,6.565580,5.736250,-2.639048,5.954181
0.020000,9.932374,10.416326,4.434155,6.678905,5.666236,-3.500677,5.932843
0.020000,10.059414,10.368315,4.569964,6.790478,5.578698,-4.376916,5.910836
0.020000,10.187382,10.316662,4.707963,6.899964,5.474286,-5.220603,5.888203
0.020000,10.316055,10.261261,4.848056,7.004638,5.233704,-12.029093,5.865004
0.020000,10.445160,10.202048,4.990092,7.101807,4.858448,-18.762787,5.841313
0.020000,10.564379,10.144016,5.122686,6.629670,-23.606864,-1423.265626,5.818956
0.020000,10.693980,10.077095,5.268544,7.292923,33.162670,2838.476705,5.794097
0.020000,10.823203,10.006220,5.415928,7.369175,3.812606,-1467.503205,5.768935
0.020000,10.951766,9.931420,5.564668,7.437002,3.391339,-21.063345,5.743562
0.020000,11.079393,9.852753,5.714591,7.496190,2.959369,-21.598501,5.718077
