dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.548037,9.918809,0.000040,0.003990,0.199488,9.974406,6.283050
0.020000,5.548037,9.918809,0.000199,0.011969,0.398976,9.974406,6.283055
0.020000,5.548037,9.918809,0.000559,0.023939,0.598464,9.974406,6.283065
0.020000,5.548037,9.918809,0.001197,0.039898,0.797952,9.974406,6.283084
0.020000,5.548037,9.918809,0.002194,0.059846,0.997441,9.974406,6.283114
0.020000,5.548037,9.918809,0.003631,0.083785,1.196929,9.974406,6.283156
0.020000,5.548998,9.918809,0.005586,0.111713,1.396417,9.974406,0.000028
0.020000,5.551552,9.918809,0.008139,0.143631,1.595905,9.974406,0.000103
0.020000,5.554783,9.918810,0.011371,0.179539,1.795393,9.974406,0.000197
0.020000,5.558773,9.918811,0.015361,0.219437,1.994881,9.974406,0.000312
0.020000,5.563601,9.918813,0.020188,0.263324,2.194369,9.974406,0.000451
0.020000,5.569346,9.918816,0.025933,0.311201,2.393857,9.974406,0.000614
0.020000,5.576089,9.918820,0.032676,0.363068,2.593345,9.974406,0.000803
0.020000,5.583909,9.918828,0.040496,0.418925,2.792834,9.974406,0.001019
0.020000,5.592886,9.918838,0.049473,0.478771,2.992322,9.974406,0.001263
0.020000,5.603099,9.918852,0.059687,0.542608,3.191810,9.974406,0.001534
0.020000,5.614630,9.918871,0.071217,0.610434,3.391298,9.974406,0.001834
0.020000,5.627557,9.918897,0.084144,0.682249,3.590786,9.974406,0.002162
0.020000,5.641960,9.918931,0.098547,0.758055,3.790274,9.974406,0.002516
0.020000,5.657919,9.918974,0.114506,0.837850,3.989762,9.974406,0.002894
0.020000,5.675473,9.919029,0.132061,0.917645,3.989762,0.000000,0.003294
0.020000,5.694624,9.919096,0.151212,0.997441,3.989762,0.000000,0.003711
0.020000,5.715371,9.919177,0.171959,1.077236,3.989762,-0.000000,0.004139
0.020000,5.737713,9.919275,0.194301,1.157031,3.989762,0.000000,0.004574
0.020000,5.761652,9.919389,0.218240,1.236826,3.989762,-0.000000,0.005009
0.020000,5.787186,9.919523,0.243774,1.316622,3.989762,0.000000,0.005438
0.020000,5.814316,9.919676,0.270905,1.396417,3.989762,0.000000,0.005854
0.020000,5.843041,9.919850,0.299631,1.476212,3.989762,0.000000,0.006250
0.020000,5.873363,9.920045,0.329953,1.556007,3.989762,-0.000000,0.006618
0.020000,5.905280,9.920262,0.361871,1.635803,3.989762,0.000000,0.006951
0.020000,5.938793,9.920500,0.395385,1.715598,3.989762,-0.000000,0.007240
0.020000,5.973902,9.920758,0.430495,1.795393,3.989762,0.000000,0.007475
0.020000,6.010607,9.921036,0.467201,1.875188,3.989762,0.000000,0.007649
0.020000,6.048908,9.921331,0.505503,1.954983,3.989762,-0.000000,0.007750
0.020000,6.088804,9.921641,0.545400,2.034779,3.989762,0.000000,0.007770
0.020000,6.130296,9.921962,0.586894,2.114574,3.989762,0.000000,0.007696
0.020000,6.173385,9.922291,0.629983,2.194369,3.989762,-0.000000,0.007519
0.020000,6.218069,9.922621,0.674669,2.274164,3.989762,0.000000,0.007227
0.020000,6.264349,9.922946,0.720950,2.353960,3.989762,0.000000,0.006808
0.020000,6.312225,9.923259,0.768827,2.433755,3.989762,0.000000,0.006250
