dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.547909,8.968809,0.000040,0.003990,0.199488,9.974406,6.283050
0.020000,5.547913,8.968809,0.000044,0.000225,-0.188247,-19.386755,6.283055
0.020000,5.547923,8.968809,0.000055,0.000506,0.014039,10.114303,6.283065
0.020000,5.547941,8.968809,0.000072,0.000898,0.019620,0.279056,6.283084
0.020000,5.547969,8.968809,0.000100,0.001401,0.025148,0.276408,6.283114
0.020000,5.548009,8.968809,0.000141,0.002013,0.030590,0.272074,6.283156
0.020000,5.549025,8.968809,0.001156,0.050779,2.438333,120.387175,0.000028
0.020000,5.551649,8.968809,0.003781,0.131224,4.022221,79.194377,0.000103
0.020000,5.554971,8.968810,0.007102,0.166055,1.741571,-114.032479,0.000197
0.020000,5.559070,8.968811,0.011201,0.204969,1.945661,10.204502,0.000312
0.020000,5.564029,8.968813,0.016160,0.247955,2.149339,10.183886,0.000451
0.020000,5.569929,8.968816,0.022061,0.295007,2.352570,10.161562,0.000614
0.020000,5.576851,8.968821,0.028983,0.346112,2.555255,10.134234,0.000803
0.020000,5.584877,8.968828,0.037008,0.401256,2.757212,10.097844,0.001019
0.020000,5.594085,8.968839,0.046216,0.460426,2.958490,10.063895,0.001263
0.020000,5.604557,8.968853,0.056688,0.523603,3.158845,10.017770,0.001534
0.020000,5.616372,8.968873,0.068504,0.590766,3.358142,9.964840,0.001834
0.020000,5.629610,8.968900,0.081742,0.661893,3.556384,9.912106,0.002162
0.020000,5.644349,8.968934,0.096481,0.736958,3.753254,9.843480,0.002516
0.020000,5.660668,8.968978,0.112799,0.815933,3.948742,9.774438,0.002894
0.020000,5.678603,8.969034,0.130734,0.896748,4.040744,4.600072,0.003294
0.020000,5.698150,8.969102,0.150281,0.977341,4.029666,-0.553913,0.003711
0.020000,5.719303,8.969185,0.171435,1.057693,4.017568,-0.604882,0.004139
0.020000,5.742059,8.969284,0.194191,1.137782,4.004480,-0.654388,0.004574
0.020000,5.766410,8.969401,0.218543,1.217590,3.990371,-0.705436,0.005009
0.020000,5.792352,8.969537,0.244484,1.297096,3.975319,-0.752642,0.005438
0.020000,5.819877,8.969692,0.272010,1.376281,3.959244,-0.803727,0.005854
0.020000,5.848979,8.969869,0.301113,1.455125,3.942182,-0.853107,0.006250
0.020000,5.879650,8.970066,0.331785,1.533607,3.924115,-0.903372,0.006618
0.020000,5.911884,8.970285,0.364019,1.611708,3.905071,-0.952176,0.006951
0.020000,5.945671,8.970525,0.397807,1.689409,3.885015,-1.002777,0.007240
0.020000,5.981004,8.970785,0.433141,1.766688,3.863981,-1.051708,0.007475
0.020000,6.017873,8.971064,0.470011,1.843527,3.841917,-1.103201,0.007649
0.020000,6.056270,8.971360,0.508409,1.919904,3.818865,-1.152610,0.007750
0.020000,6.096185,8.971670,0.548325,1.995800,3.794794,-1.203570,0.007770
0.020000,6.137608,8.971991,0.589749,2.071194,3.769694,-1.254966,0.007696
0.020000,6.180528,8.972318,0.632671,2.146065,3.743562,-1.306639,0.007519
0.020000,6.224935,8.972645,0.677078,2.220393,3.716387,-1.358739,0.007227
0.020000,6.270816,8.972968,0.722962,2.294156,3.688145,-1.412109,0.006808
0.020000,6.318162,8.973277,0.770308,2.367332,3.658827,-1.465860,0.006250
0.020000,6.366959,8.973566,0.819106,2.439901,3.628428,-1.519984,0.005539
