dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.547874,10.868809,0.000040,0.003972,0.198590,9.929516,0.000172
0.020000,5.547876,10.868809,0.000042,0.000129,-0.192145,-19.536757,0.000169
0.020000,5.547882,10.868809,0.000048,0.000290,0.008056,10.010059,0.000163
0.020000,5.547893,10.868809,0.000058,0.000516,0.011277,0.161056,0.000152
0.020000,5.547909,10.868809,0.000075,0.000806,0.014496,0.160947,0.000135
0.020000,5.547932,10.868809,0.000098,0.001160,0.017712,0.160768,0.000111
0.020000,5.547963,10.868809,0.000129,0.001578,0.020922,0.160503,0.000078
0.020000,5.548005,10.868809,0.000170,0.002061,0.024125,0.160133,0.000034
0.020000,5.549262,10.868809,0.001428,0.062869,3.040400,150.813761,6.283165
0.020000,5.553298,10.868809,0.005464,0.201808,6.946946,195.327317,6.283097
0.020000,5.558182,10.868808,0.010348,0.244184,2.118822,-241.406207,6.283015
0.020000,5.563994,10.868807,0.016160,0.290597,2.320645,10.091166,6.282918
0.020000,5.570815,10.868805,0.022980,0.341043,2.522278,10.081648,6.282804
0.020000,5.578725,10.868801,0.030891,0.395522,2.723988,10.085506,6.282671
0.020000,5.587806,10.868796,0.039972,0.454036,2.925676,10.084399,6.282519
0.020000,5.598137,10.868788,0.050303,0.516581,3.127258,10.079082,6.282347
0.020000,5.609801,10.868777,0.061966,0.583158,3.328835,10.078860,6.282153
0.020000,5.622876,10.868762,0.075042,0.653766,3.530403,10.078391,6.281935
0.020000,5.637444,10.868742,0.089610,0.728402,3.731831,10.071421,6.281693
0.020000,5.653585,10.868716,0.105751,0.807068,3.933264,10.071648,6.281426
0.020000,5.671340,10.868682,0.123506,0.887742,4.033721,5.022856,6.281132
0.020000,5.690708,10.868639,0.142874,0.968408,4.033311,-0.020549,6.280813
0.020000,5.711689,10.868586,0.163855,1.049064,4.032770,-0.027048,6.280468
0.020000,5.734283,10.868520,0.186450,1.129709,4.032249,-0.026044,6.280097
0.020000,5.758490,10.868441,0.210656,1.210342,4.031668,-0.029041,6.279701
0.020000,5.784309,10.868345,0.236476,1.290962,4.030998,-0.033467,6.279280
0.020000,5.811740,10.868232,0.263907,1.371570,4.030409,-0.029461,6.278835
0.020000,5.840783,10.868099,0.292950,1.452163,4.029641,-0.038422,6.278365
0.020000,5.871438,10.867944,0.323605,1.532741,4.028905,-0.036803,6.277872
0.020000,5.903703,10.867764,0.355871,1.613303,4.028113,-0.039592,6.277354
0.020000,5.937580,10.867557,0.389748,1.693849,4.027266,-0.042331,6.276813
0.020000,5.973066,10.867321,0.425236,1.774377,4.026428,-0.041907,6.276249
0.020000,6.010163,10.867053,0.462333,1.854886,4.025449,-0.048954,6.275663
0.020000,6.048870,10.866750,0.501041,1.935377,4.024551,-0.044925,6.275054
0.020000,6.089185,10.866409,0.541358,2.015847,4.023502,-0.052435,6.274424
0.020000,6.131109,10.866028,0.583284,2.096296,4.022460,-0.052088,6.273772
0.020000,6.174642,10.865604,0.626818,2.176724,4.021367,-0.054652,6.273100
0.020000,6.219782,10.865133,0.671961,2.257129,4.020270,-0.054837,6.272407
0.020000,6.266529,10.864612,0.718711,2.337510,4.019035,-0.061768,6.271694
0.020000,6.314883,10.864039,0.767068,2.417867,4.017877,-0.057901,6.270961
0.020000,6.364843,10.863409,0.817032,2.498199,4.016576,-0.065057,6.270210
0.020000,6.416409,10.862720,0.868603,2.578505,4.015280,-0.064781,6.269441
0.020000,6.469579,10.861969,0.921778,2.658783,4.013931,-0.067436,6.268654
0.020000,6.524353,10.861150,0.976559,2.739034,4.012546,-0.069295,6.267849
0.020000,6.580732,10.860263,1.032944,2.819257,4.011123,-0.071111,6.267028
0.020000,6.638713,10.859301,1.090933,2.899449,4.009626,-0.074870,6.266192
0.020000,6.698296,10.858263,1.150525,2.979611,4.008112,-0.075709,6.265339
0.020000,6.759480,10.857145,1.211720,3.059742,4.006559,-0.077663,6.264473
0.020000,6.822266,10.855942,1.274517,3.139842,4.004953,-0.080259,6.263592
0.020000,6.886651,10.854652,1.338915,3.219908,4.003298,-0.082776,6.262698
0.020000,6.952635,10.853270,1.404914,3.299939,4.001593,-0.085216,6.261792
0.020000,7.020218,10.851792,1.472513,3.379937,3.999887,-0.085306,6.260873
0.020000,7.089398,10.850216,1.541711,3.459899,3.998082,-0.090259,6.259944
0.020000,7.160174,10.848538,1.612507,3.539824,3.996271,-0.090585,6.259004
0.020000,7.232547,10.846753,1.684901,3.619712,3.994408,-0.093111,6.258055
0.020000,7.306514,10.844858,1.758893,3.699562,3.992497,-0.095555,6.257097
0.020000,7.382074,10.842850,1.834480,3.779373,3.990539,-0.097922,6.256131
0.020000,7.459228,10.840724,1.911663,3.859144,3.988562,-0.098858,6.255158
0.020000,7.537974,10.838478,1.990440,3.938874,3.986505,-0.102824,6.254179
0.020000,7.618310,10.836108,2.070812,4.018563,3.984433,-0.103587,6.253195
0.020000,7.700236,10.833609,2.152776,4.098209,3.982313,-0.106030,6.252206
0.020000,7.783751,10.830980,2.236332,4.177812,3.980145,-0.108392,6.251214
0.020000,7.868853,10.828215,2.321479,4.257371,3.977931,-0.110680,6.250219
0.020000,7.955542,10.825313,2.408217,4.336884,3.975675,-0.112836,6.249223
0.020000,8.043817,10.822270,2.496544,4.416352,3.973392,-0.114108,6.248225
0.020000,8.133676,10.819082,2.586460,4.495773,3.971044,-0.117415,6.247229
0.020000,8.225118,10.815747,2.677963,4.575146,3.968666,-0.118920,6.246233
0.020000,8.318142,10.812262,2.771052,4.654471,3.966243,-0.121137,6.245240
0.020000,8.412747,10.808623,2.865727,4.733747,3.963776,-0.123350,6.244250
0.020000,8.508932,10.804829,2.961986,4.812972,3.961271,-0.125265,6.243265
0.020000,8.606695,10.800876,3.059829,4.892147,3.958717,-0.127700,6.242285
0.020000,8.706035,10.796762,3.159255,4.971269,3.956126,-0.129513,6.241312
0.020000,8.806951,10.792484,3.260261,5.050339,3.953489,-0.131877,6.240346
0.020000,8.909442,10.788042,3.362849,5.129355,3.950812,-0.133838,6.239389
0.020000,9.013506,10.783432,3.467015,5.208317,3.948093,-0.135980,6.238443
0.020000,9.119143,10.778652,3.572759,5.287224,3.945331,-0.138060,6.237507
0.020000,9.226350,10.773702,3.680081,5.366074,3.942528,-0.140191,6.236584
0.020000,9.335127,10.768579,3.788978,5.444868,3.939682,-0.142277,6.235674
0.020000,9.445472,10.763283,3.899450,5.523604,3.936795,-0.144353,6.234779
0.020000,9.557384,10.757812,4.011496,5.602281,3.933866,-0.146463,6.233900
0.020000,9.670861,10.752165,4.125114,5.680899,3.930895,-0.148545,6.233038
0.020000,9.785903,10.746343,4.240303,5.759456,3.927883,-0.150595,6.232195
0.020000,9.902508,10.740343,4.357062,5.837953,3.924828,-0.152741,6.231372
0.020000,10.020675,10.734167,4.475390,5.916388,3.921733,-0.154756,6.230569
0.020000,10.140401,10.727815,4.595285,5.994760,3.918594,-0.156941,6.229789
0.020000,10.261687,10.721286,4.716746,6.073068,3.915417,-0.158872,6.229033
0.020000,10.384531,10.714582,4.839773,6.151312,3.912196,-0.161039,6.228302
0.020000,10.508930,10.707703,4.964362,6.229491,3.908934,-0.163075,6.227597
0.020000,10.634885,10.700651,5.090515,6.307603,3.905627,-0.165381,6.226920
0.020000,10.762394,10.693428,5.218227,6.385649,3.902287,-0.166979,6.226273
0.020000,10.891455,10.686034,5.347500,6.463627,3.898894,-0.169656,6.225656
0.020000,11.022067,10.678473,5.478331,6.541536,3.895469,-0.171253,6.225071
0.020000,11.154229,10.670747,5.610718,6.619376,3.891998,-0.173571,6.224520
0.020000,11.287939,10.662859,5.744661,6.697146,3.888485,-0.175619,6.224004
0.020000,11.423197,10.654812,5.880158,6.774844,3.884929,-0.177819,6.223525
0.020000,11.560001,10.646609,6.017207,6.852471,3.881334,-0.179751,6.223083
0.020000,11.698349,10.638256,6.155808,6.930025,3.877694,-0.181984,6.222682
0.020000,11.838241,10.629756,6.295958,7.007505,3.874014,-0.184010,6.222321
0.020000,11.979676,10.621114,6.437656,7.084911,3.870290,-0.186216,6.222003
0.020000,12.122651,10.612335,6.580901,7.162241,3.866524,-0.188301,6.221730
0.020000,12.267167,10.603425,6.725691,7.239496,3.862715,-0.190413,6.221502
0.020000,12.413221,10.594391,6.872025,7.316673,3.858863,-0.192596,6.221322
0.020000,12.560813,10.585239,7.019900,7.393772,3.854969,-0.194727,6.221191
0.020000,12.709941,10.575975,7.169316,7.470793,3.851031,-0.196878,6.221111
0.020000,12.860605,10.566608,7.320270,7.547734,3.847051,-0.199030,6.221084
0.020000,13.012803,10.557145,7.472762,7.624595,3.843026,-0.201215,6.221111
0.020000,13.166534,10.547596,7.626790,7.701374,3.838959,-0.203390,6.221194
0.020000,13.321798,10.537969,7.782351,7.778071,3.834848,-0.205537,6.221334
0.020000,13.478592,10.528273,7.939445,7.854685,3.830692,-0.207777,6.221534
0.020000,13.636916,10.518520,8.098069,7.931214,3.826495,-0.209885,6.221795
0.020000,13.796769,10.508719,8.258222,8.007659,3.822251,-0.212166,6.222119
0.020000,13.958150,10.498883,8.419903,8.084019,3.817965,-0.214296,6.222508
0.020000,14.121057,10.489022,8.583109,8.160291,3.813635,-0.216510,6.222963
0.020000,14.285491,10.479150,8.747838,8.236477,3.809261,-0.218720,6.223487
0.020000,14.451449,10.469279,8.914090,8.312574,3.804847,-0.220707,6.224081
0.020000,14.618892,10.459426,9.081822,8.386603,3.701479,-5.168399,6.224747
0.020000,14.787738,10.449610,9.250954,8.456590,3.499359,-10.106007,6.225487
0.020000,14.957909,10.439848,9.421404,8.522540,3.297503,-10.092789,6.226301
0.020000,15.129325,10.430163,9.593094,8.584459,3.095915,-10.079386,6.227192
0.020000,15.301906,10.420572,9.765941,8.642351,2.894607,-10.065397,6.228160
0.020000,15.475572,10.411096,9.939865,8.696222,2.693580,-10.051339,6.229206
0.020000,15.650244,10.401756,10.114787,8.746079,2.492844,-10.036831,6.230331
0.020000,15.806328,10.394392,10.271044,7.812869,-46.660504,-2457.667370,6.245169
0.020000,15.966888,10.389777,10.431670,8.031320,10.922516,2879.150985,6.263346
0.020000,16.130253,10.387887,10.595047,8.168813,6.874650,-202.393311,6.279508
0.020000,16.296306,10.388481,10.761101,8.302719,6.695321,-8.966451,0.010459
0.020000,16.464937,10.391298,10.929755,8.432681,6.498085,-9.861788,0.022572
0.020000,16.636040,10.396055,11.100924,8.558476,6.289787,-10.414927,0.032663
0.020000,16.809522,10.402456,11.274524,8.680002,6.076272,-10.675729,0.040739
0.020000,16.985297,10.410185,11.450469,8.797249,5.862362,-10.695482,0.046808
0.020000,17.163289,10.418916,11.628675,8.910287,5.651871,-10.524541,0.050873
0.020000,17.343429,10.428305,11.809060,9.019239,5.447647,-10.211213,0.052937
0.020000,17.525657,10.437997,11.991545,9.124272,5.251615,-9.801610,0.052999
0.020000,17.709917,10.447622,12.176056,9.225568,5.064811,-9.340198,0.051053
0.020000,17.896124,10.456798,12.362490,9.321665,4.804829,-12.999104,0.047093
