dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.548037,9.918809,0.000040,0.003972,0.198590,9.929516,0.000172
0.020000,5.548037,9.918809,0.000199,0.011915,0.397181,9.929516,0.000169
0.020000,5.548037,9.918809,0.000556,0.023831,0.595771,9.929516,0.000163
0.020000,5.548037,9.918809,0.001192,0.039718,0.794361,9.929516,0.000152
0.020000,5.548037,9.918809,0.002184,0.059577,0.992952,9.929516,0.000135
0.020000,5.548037,9.918809,0.003614,0.083408,1.191542,9.929516,0.000111
0.020000,5.548037,9.918809,0.005561,0.111211,1.390132,9.929516,0.000078
0.020000,5.548037,9.918809,0.008102,0.142985,1.588723,9.929516,0.000034
0.020000,5.549242,9.918809,0.011320,0.178731,1.787313,9.929516,6.283165
0.020000,5.553214,9.918809,0.015291,0.218449,1.985903,9.929516,6.283097
0.020000,5.558020,9.918808,0.020097,0.262139,2.184493,9.929516,6.283015
0.020000,5.563740,9.918807,0.025817,0.309801,2.383084,9.929516,6.282918
0.020000,5.570452,9.918805,0.032529,0.361434,2.581674,9.929516,6.282804
0.020000,5.578237,9.918801,0.040314,0.417040,2.780264,9.929516,6.282671
0.020000,5.587173,9.918796,0.049250,0.476617,2.978855,9.929516,6.282519
0.020000,5.597341,9.918788,0.059418,0.540166,3.177445,9.929516,6.282347
0.020000,5.608820,9.918778,0.070897,0.607686,3.376035,9.929516,6.282153
0.020000,5.621688,9.918763,0.083765,0.679179,3.574626,9.929516,6.281935
0.020000,5.636026,9.918743,0.098104,0.754643,3.773216,9.929516,6.281693
0.020000,5.651914,9.918717,0.113991,0.834079,3.971806,9.929516,6.281426
0.020000,5.669390,9.918684,0.131467,0.913515,3.971806,0.000000,6.281132
0.020000,5.688454,9.918642,0.150531,0.992952,3.971806,-0.000000,6.280813
0.020000,5.709107,9.918589,0.171185,1.072388,3.971806,0.000000,6.280468
0.020000,5.731349,9.918525,0.193427,1.151824,3.971806,-0.000000,6.280097
0.020000,5.755180,9.918446,0.217258,1.231260,3.971806,0.000000,6.279701
0.020000,5.780600,9.918353,0.242677,1.310696,3.971806,0.000000,6.279280
0.020000,5.807608,9.918241,0.269686,1.390132,3.971806,-0.000000,6.278835
0.020000,5.836204,9.918110,0.298283,1.469568,3.971806,0.000000,6.278365
0.020000,5.866390,9.917957,0.328468,1.549004,3.971806,-0.000000,6.277872
0.020000,5.898164,9.917780,0.360243,1.628441,3.971806,0.000000,6.277354
0.020000,5.931526,9.917576,0.393606,1.707877,3.971806,0.000000,6.276813
0.020000,5.966477,9.917344,0.428558,1.787313,3.971806,-0.000000,6.276249
0.020000,6.003017,9.917080,0.465099,1.866749,3.971806,0.000000,6.275663
0.020000,6.041145,9.916781,0.503228,1.946185,3.971806,-0.000000,6.275054
0.020000,6.080862,9.916446,0.542946,2.025621,3.971806,-0.000000,6.274424
0.020000,6.122167,9.916070,0.584253,2.105057,3.971806,0.000000,6.273772
0.020000,6.165060,9.915652,0.627148,2.184493,3.971806,-0.000000,6.273100
0.020000,6.209542,9.915188,0.671632,2.263930,3.971806,0.000000,6.272407
0.020000,6.255612,9.914675,0.717705,2.343366,3.971806,-0.000000,6.271694
0.020000,6.303271,9.914110,0.765367,2.422802,3.971806,0.000000,6.270961
0.020000,6.352517,9.913489,0.814617,2.502238,3.971806,0.000000,6.270210
0.020000,6.403352,9.912810,0.865457,2.581674,3.971806,-0.000000,6.269441
0.020000,6.455774,9.912069,0.917884,2.661110,3.971806,-0.000000,6.268654
0.020000,6.509785,9.911262,0.971901,2.740546,3.971806,0.000000,6.267849
0.020000,6.565383,9.910387,1.027506,2.819982,3.971806,-0.000000,6.267028
0.020000,6.622569,9.909439,1.084700,2.899419,3.971806,0.000000,6.266192
0.020000,6.681343,9.908415,1.143483,2.978855,3.971806,0.000000,6.265339
0.020000,6.741704,9.907311,1.203854,3.058291,3.971806,-0.000000,6.264473
0.020000,6.803653,9.906124,1.265815,3.137727,3.971806,0.000000,6.263592
0.020000,6.867189,9.904851,1.329364,3.217163,3.971806,0.000000,6.262698
0.020000,6.932313,9.903487,1.394501,3.296599,3.971806,0.000000,6.261792
0.020000,6.999023,9.902029,1.461228,3.376035,3.971806,-0.000000,6.260873
0.020000,7.067321,9.900473,1.529543,3.455471,3.971806,0.000000,6.259944
0.020000,7.137205,9.898815,1.599446,3.534908,3.971806,0.000000,6.259004
0.020000,7.208675,9.897053,1.670939,3.614344,3.971806,0.000000,6.258055
0.020000,7.281733,9.895181,1.744020,3.693780,3.971806,-0.000000,6.257097
0.020000,7.356376,9.893198,1.818690,3.773216,3.971806,-0.000000,6.256131
0.020000,7.432606,9.891098,1.894949,3.852652,3.971806,0.000000,6.255158
0.020000,7.510422,9.888878,1.972796,3.932088,3.971806,-0.000000,6.254179
0.020000,7.589823,9.886535,2.052232,4.011524,3.971806,0.000000,6.253195
0.020000,7.670811,9.884065,2.133257,4.090960,3.971806,-0.000000,6.252206
0.020000,7.753383,9.881465,2.215871,4.170397,3.971806,-0.000000,6.251214
0.020000,7.837541,9.878732,2.300073,4.249833,3.971806,0.000000,6.250219
0.020000,7.923284,9.875861,2.385864,4.329269,3.971806,-0.000000,6.249223
0.020000,8.010612,9.872850,2.473244,4.408705,3.971806,0.000000,6.248225
0.020000,8.099524,9.869696,2.562212,4.488141,3.971806,-0.000000,6.247229
0.020000,8.190021,9.866396,2.652769,4.567577,3.971806,0.000000,6.246233
0.020000,8.282103,9.862945,2.744915,4.647013,3.971806,0.000000,6.245240
0.020000,8.375768,9.859343,2.838650,4.726449,3.971806,-0.000000,6.244250
0.020000,8.471017,9.855585,2.933973,4.805886,3.971806,0.000000,6.243265
0.020000,8.567850,9.851670,3.030885,4.885322,3.971806,-0.000000,6.242285
0.020000,8.666267,9.847594,3.129386,4.964758,3.971806,-0.000000,6.241312
0.020000,8.766267,9.843356,3.229476,5.044194,3.971806,0.000000,6.240346
0.020000,8.867849,9.838953,3.331154,5.123630,3.971806,0.000000,6.239389
0.020000,8.971015,9.834382,3.434421,5.203066,3.971806,0.000000,6.238443
0.020000,9.075764,9.829643,3.539277,5.282502,3.971806,-0.000000,6.237507
0.020000,9.182095,9.824733,3.645721,5.361938,3.971806,0.000000,6.236584
0.020000,9.290008,9.819651,3.753754,5.441375,3.971806,0.000000,6.235674
0.020000,9.399504,9.814396,3.863376,5.520811,3.971806,0.000000,6.234779
0.020000,9.510582,9.808966,3.974587,5.600247,3.971806,-0.000000,6.233900
0.020000,9.623242,9.803360,4.087386,5.679683,3.971806,0.000000,6.233038
0.020000,9.737484,9.797577,4.201774,5.759119,3.971806,-0.000000,6.232195
0.020000,9.853307,9.791618,4.317751,5.838555,3.971806,0.000000,6.231372
0.020000,9.970712,9.785482,4.435316,5.917991,3.971806,0.000000,6.230569
0.020000,10.089699,9.779169,4.554470,5.997427,3.971806,-0.000000,6.229789
0.020000,10.210268,9.772679,4.675213,6.076864,3.971806,0.000000,6.229033
0.020000,10.332417,9.766012,4.797545,6.156300,3.971806,-0.000000,6.228302
0.020000,10.456149,9.759171,4.921465,6.235736,3.971806,0.000000,6.227597
0.020000,10.581462,9.752155,5.046974,6.315172,3.971806,0.000000,6.226920
0.020000,10.708356,9.744966,5.174072,6.394608,3.971806,0.000000,6.226273
0.020000,10.836832,9.737606,5.302759,6.474044,3.971806,0.000000,6.225656
0.020000,10.966889,9.730077,5.433034,6.553480,3.971806,0.000000,6.225071
0.020000,11.098529,9.722381,5.564898,6.632916,3.971806,0.000000,6.224520
0.020000,11.231750,9.714522,5.698350,6.712353,3.971806,-0.000000,6.224004
0.020000,11.366553,9.706502,5.833392,6.791789,3.971806,0.000000,6.223525
0.020000,11.502938,9.698325,5.970022,6.871225,3.971806,-0.000000,6.223083
0.020000,11.640906,9.689994,6.108241,6.950661,3.971806,0.000000,6.222682
0.020000,11.780456,9.681515,6.248048,7.030097,3.971806,-0.000000,6.222321
0.020000,11.921589,9.672891,6.389445,7.109533,3.971806,-0.000000,6.222003
0.020000,12.064305,9.664128,6.532430,7.188969,3.971806,0.000000,6.221730
0.020000,12.208605,9.655232,6.677004,7.268405,3.971806,-0.000000,6.221502
0.020000,12.354488,9.646208,6.823166,7.347842,3.971806,-0.000000,6.221322
0.020000,12.501956,9.637063,6.970917,7.427278,3.971806,0.000000,6.221191
0.020000,12.651009,9.627805,7.120257,7.506714,3.971806,0.000000,6.221111
0.020000,12.801647,9.618439,7.271186,7.586150,3.971806,-0.000000,6.221084
0.020000,12.953870,9.608975,7.423703,7.665586,3.971806,0.000000,6.221111
0.020000,13.107680,9.599421,7.577809,7.745022,3.971806,-0.000000,6.221194
0.020000,13.263076,9.589785,7.733504,7.824458,3.971806,0.000000,6.221334
0.020000,13.420060,9.580078,7.890788,7.903894,3.971806,0.000000,6.221534
0.020000,13.578632,9.570310,8.049660,7.983331,3.971806,-0.000000,6.221795
0.020000,13.738792,9.560490,8.210121,8.062767,3.971806,-0.000000,6.222119
0.020000,13.900541,9.550631,8.372170,8.142203,3.971806,0.000000,6.222508
0.020000,14.063881,9.540744,8.535809,8.221639,3.971806,-0.000000,6.222963
0.020000,14.228811,9.530842,8.701036,8.301075,3.971806,0.000000,6.223487
0.020000,14.395333,9.520938,8.867852,8.380511,3.971806,0.000000,6.224081
0.020000,14.563407,9.511048,9.036217,8.455976,3.773216,-9.929516,6.224747
0.020000,14.732955,9.501190,9.206051,8.527468,3.574626,-9.929516,6.225487
0.020000,14.903898,9.491385,9.377276,8.594989,3.376035,-9.929516,6.226301
0.020000,15.076159,9.481652,9.549811,8.658538,3.177445,-9.929516,6.227192
0.020000,15.249658,9.472010,9.723578,8.718115,2.978855,-9.929516,6.228160
0.020000,15.424316,9.462480,9.898496,8.773720,2.780264,-9.929516,6.229206
0.020000,15.600056,9.453082,10.074487,8.825354,2.581674,-9.929516,6.230331
0.020000,15.770221,9.445078,10.251470,8.873015,2.383084,-9.929516,6.245169
0.020000,15.948042,9.439964,10.429368,8.916705,2.184493,-9.929516,6.263346
0.020000,16.126759,9.437893,10.608099,8.956423,1.985903,-9.929516,6.279508
0.020000,16.306243,9.438533,10.787585,8.992169,1.787313,-9.929516,0.010459
0.020000,16.486378,9.441540,10.967746,9.023944,1.588723,-9.929516,0.022572
0.020000,16.667064,9.446562,11.148503,9.051747,1.390132,-9.929516,0.032663
0.020000,16.848214,9.453244,11.329776,9.075577,1.191542,-9.929516,0.040739
0.020000,17.029748,9.461226,11.511486,9.095436,0.992952,-9.929516,0.046808
0.020000,17.211597,9.470145,11.693554,9.111324,0.794361,-9.929516,0.050873
0.020000,17.393695,9.479636,11.875899,9.123239,0.595771,-9.929516,0.052937
0.020000,17.575982,9.489331,12.058444,9.131183,0.397181,-9.929516,0.052999
0.020000,17.758397,9.498860,12.241107,9.135154,0.198590,-9.929516,0.051053
0.020000,17.940846,9.507851,12.423778,9.131935,-0.160971,-17.978078,0.047093
0.020000,18.123234,9.515931,12.606345,9.124744,-0.359562,-9.929516,0.041107
0.020000,18.305490,9.522726,12.788728,9.113581,-0.558152,-9.929516,0.033081
0.020000,18.487537,9.527864,12.970848,9.098446,-0.756742,-9.929516,0.023002
0.020000,18.669287,9.530972,13.152626,9.079339,-0.955332,-9.929516,0.010853
0.020000,18.850640,9.531682,13.333982,9.056261,-1.153923,-9.929516,6.279807
0.020000,19.031481,9.529628,13.514837,9.029211,-1.352513,-9.929516,6.263483
0.020000,19.211678,9.524449,13.695111,8.998188,-1.551103,-9.929516,6.245065
0.020000,19.391080,9.515796,13.874725,8.963195,-1.749694,-9.929516,6.224563
0.020000,19.569516,9.503335,14.053599,8.924229,-1.948284,-9.929516,6.202002
0.020000,19.746792,9.486747,14.231654,8.881291,-2.146874,-9.929516,6.177424
0.020000,19.922694,9.465741,14.408811,8.834382,-2.345465,-9.929516,6.150897
0.020000,20.096985,9.440056,14.584990,8.783501,-2.544055,-9.929516,6.122514
0.020000,20.269407,9.409468,14.760111,8.728648,-2.742645,-9.929516,6.092400
0.020000,20.439689,9.373799,14.934096,8.669823,-2.941236,-9.929516,6.060709
0.020000,20.607543,9.332920,15.106864,8.607027,-3.139826,-9.929516,6.027630
0.020000,20.772678,9.286760,15.278337,8.540259,-3.338416,-9.929516,5.993378
0.020000,20.934798,9.235310,15.448435,8.469518,-3.537007,-9.929516,5.958198
0.020000,21.093618,9.178621,15.617078,8.394807,-3.735597,-9.929516,5.922351
0.020000,21.248866,9.116810,15.784187,8.316123,-3.934187,-9.929516,5.886111
0.020000,21.400320,9.050040,15.949716,8.236687,-3.971806,-1.880954,5.849746
0.020000,21.547820,8.978507,16.113655,8.157251,-3.971806,-0.000000,5.813510
0.020000,21.691241,8.902446,16.276006,8.077814,-3.971806,0.000000,5.777637
0.020000,21.830488,8.822121,16.436767,7.998378,-3.971806,0.000000,5.742341
0.020000,21.965497,8.737824,16.595941,7.918942,-3.971806,0.000000,5.707808
0.020000,22.096237,8.649862,16.753525,7.839506,-3.971806,-0.000000,5.674197
0.020000,22.219725,8.561119,16.909521,7.760070,-3.971806,0.000000,5.657777
0.020000,22.346317,8.472722,17.063928,7.680634,-3.971806,-0.000000,5.688342
0.020000,22.473941,8.388670,17.216746,7.601198,-3.971806,0.000000,5.712218
0.020000,22.601938,8.308131,17.367976,7.521762,-3.971806,-0.000000,5.729937
0.020000,22.729760,8.230326,17.517617,7.442325,-3.971806,0.000000,5.741951
0.020000,22.856937,8.154528,17.665669,7.362889,-3.971806,0.000000,5.748624
0.020000,22.983058,8.080064,17.812132,7.283453,-3.971806,0.000000,5.750229
0.020000,23.107749,8.006302,17.957007,7.204017,-3.971806,-0.000000,5.746954
0.020000,23.230658,7.932651,18.100293,7.124581,-3.971806,0.000000,5.738908
0.020000,23.351438,7.858557,18.241990,7.045145,-3.971806,-0.000000,5.726131
0.020000,23.469740,7.783494,18.382099,6.965709,-3.971806,0.000000,5.708608
0.020000,23.585199,7.706969,18.520619,6.886272,-3.971806,-0.000000,5.686282
0.020000,23.697426,7.628520,18.657550,6.806836,-3.971806,0.000000,5.659071
0.020000,23.805998,7.547724,18.792892,6.727400,-3.971806,0.000000,5.626894
0.020000,23.910462,7.464206,18.926646,6.647964,-3.971806,-0.000000,5.589705
