dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.548201,8.968809,0.000040,0.003972,0.198590,9.929516,0.000172
0.020000,5.548198,8.968809,0.000042,0.000129,-0.192145,-19.536757,0.000169
0.020000,5.548192,8.968809,0.000048,0.000290,0.008056,10.010059,0.000163
0.020000,5.548182,8.968809,0.000058,0.000516,0.011277,0.161056,0.000152
0.020000,5.548166,8.968809,0.000075,0.000806,0.014496,0.160947,0.000135
0.020000,5.548143,8.968809,0.000098,0.001160,0.017712,0.160768,0.000111
0.020000,5.548111,8.968809,0.000129,0.001578,0.020922,0.160503,0.000078
0.020000,5.548070,8.968809,0.000170,0.002061,0.024125,0.160133,0.000034
0.020000,5.549223,8.968809,0.001324,0.057655,2.779697,137.778620,6.283165
0.020000,5.553130,8.968809,0.005231,0.195374,6.885950,205.312659,6.283097
0.020000,5.557858,8.968808,0.009959,0.236404,2.051498,-241.722623,6.283015
0.020000,5.563485,8.968807,0.015586,0.281344,2.247027,9.776460,6.282918
0.020000,5.570089,8.968805,0.022190,0.330192,2.442417,9.769500,6.282804
0.020000,5.577748,8.968801,0.029849,0.382951,2.637935,9.775901,6.282671
0.020000,5.586541,8.968796,0.038641,0.439621,2.833494,9.777937,6.282519
0.020000,5.596545,8.968789,0.048645,0.500201,3.029021,9.776376,6.282347
0.020000,5.607839,8.968778,0.059939,0.564694,3.224626,9.780259,6.282153
0.020000,5.620501,8.968764,0.072601,0.633100,3.420315,9.784451,6.281935
0.020000,5.634609,8.968744,0.086710,0.705420,3.615974,9.782929,6.281693
0.020000,5.650242,8.968719,0.102343,0.781655,3.811754,9.788993,6.281426
0.020000,5.667439,8.968686,0.119540,0.859852,3.909856,4.905128,6.281132
0.020000,5.686200,8.968645,0.138301,0.938059,3.910359,0.025115,6.280813
0.020000,5.706526,8.968593,0.158626,1.016275,3.910817,0.022932,6.280468
0.020000,5.728416,8.968529,0.180516,1.094503,3.911378,0.028022,6.280097
0.020000,5.751870,8.968452,0.203971,1.172742,3.911962,0.029242,6.279701
0.020000,5.776890,8.968360,0.228991,1.250993,3.912544,0.029082,6.279280
0.020000,5.803475,8.968250,0.255576,1.329259,3.913286,0.037098,6.278835
0.020000,5.831625,8.968121,0.283727,1.407538,3.913937,0.032555,6.278365
0.020000,5.861342,8.967970,0.313444,1.485832,3.914703,0.038271,6.277872
0.020000,5.892624,8.967796,0.344727,1.564142,3.915497,0.039721,6.277354
0.020000,5.925473,8.967596,0.377576,1.642468,3.916322,0.041226,6.276813
0.020000,5.959888,8.967367,0.411992,1.720813,3.917238,0.045804,6.276249
0.020000,5.995871,8.967106,0.447976,1.799175,3.918100,0.043144,6.275663
0.020000,6.033421,8.966813,0.485527,1.877557,3.919125,0.051232,6.275054
0.020000,6.072539,8.966482,0.524646,1.955959,3.920088,0.048134,6.274424
0.020000,6.113225,8.966112,0.565334,2.034382,3.921141,0.052663,6.273772
0.020000,6.155479,8.965700,0.607590,2.112826,3.922229,0.054375,6.273100
0.020000,6.199303,8.965243,0.651416,2.191294,3.923397,0.058403,6.272407
0.020000,6.244695,8.964738,0.696812,2.269785,3.924514,0.055887,6.271694
0.020000,6.291658,8.964181,0.743778,2.348300,3.925792,0.063860,6.270961
0.020000,6.340191,8.963569,0.792315,2.426841,3.927014,0.061136,6.270210
0.020000,6.390295,8.962900,0.842423,2.505407,3.928327,0.065634,6.269441
0.020000,6.441970,8.962169,0.894103,2.584001,3.929673,0.067290,6.268654
0.020000,6.495216,8.961374,0.947355,2.662622,3.931067,0.069723,6.267849
0.020000,6.550035,8.960511,1.002181,2.741272,3.932511,0.072204,6.267028
0.020000,6.606426,8.959576,1.058580,2.819952,3.933967,0.072798,6.266192
0.020000,6.664390,8.958566,1.116553,2.898662,3.935492,0.076234,6.265339
0.020000,6.723929,8.957477,1.176101,2.977403,3.937064,0.078590,6.264473
0.020000,6.785041,8.956307,1.237225,3.056176,3.938670,0.080323,6.263592
0.020000,6.847728,8.955050,1.299924,3.134982,3.940313,0.082135,6.262698
0.020000,6.911990,8.953704,1.364201,3.213822,3.941993,0.084021,6.261792
0.020000,6.977829,8.952265,1.430055,3.292697,3.943757,0.088199,6.260873
0.020000,7.045243,8.950729,1.497487,3.371608,3.945510,0.087640,6.259944
0.020000,7.114235,8.949093,1.566498,3.450555,3.947342,0.091587,6.259004
0.020000,7.184804,8.947353,1.637089,3.529539,3.949210,0.093390,6.258055
0.020000,7.256952,8.945505,1.709260,3.608561,3.951115,0.095272,6.257097
0.020000,7.330678,8.943545,1.783012,3.687622,3.953060,0.097225,6.256131
0.020000,7.405984,8.941471,1.858347,3.766724,3.955071,0.100573,6.255158
0.020000,7.482870,8.939277,1.935264,3.845865,3.957090,0.100961,6.254179
0.020000,7.561337,8.936962,2.013765,3.925049,3.959180,0.104472,6.253195
0.020000,7.641385,8.934521,2.093851,4.004275,3.961307,0.106339,6.252206
0.020000,7.723016,8.931951,2.175521,4.083545,3.963472,0.108280,6.251214
0.020000,7.806229,8.929248,2.258779,4.162858,3.965678,0.110288,6.250219
0.020000,7.891026,8.926409,2.343623,4.242217,3.967926,0.112418,6.249223
0.020000,7.977407,8.923431,2.430055,4.321621,3.970234,0.115409,6.248225
0.020000,8.065373,8.920310,2.518077,4.401073,3.972562,0.116401,6.247229
0.020000,8.154925,8.917044,2.607688,4.480572,3.974945,0.119151,6.246233
0.020000,8.246063,8.913629,2.698891,4.560119,3.977369,0.121197,6.245240
0.020000,8.338789,8.910063,2.791685,4.639716,3.979834,0.123240,6.244250
0.020000,8.433103,8.906342,2.886072,4.719363,3.982346,0.125568,6.243265
0.020000,8.529006,8.902465,2.982053,4.799060,3.984893,0.127379,6.242285
0.020000,8.626498,8.898427,3.079630,4.878810,3.987489,0.129792,6.241312
0.020000,8.725582,8.894228,3.178802,4.958613,3.990122,0.131657,6.240346
0.020000,8.826257,8.889864,3.279571,5.038469,3.992800,0.133911,6.239389
0.020000,8.928524,8.885333,3.381939,5.118379,3.995520,0.135979,6.238443
0.020000,9.032384,8.880634,3.485906,5.198345,3.998282,0.138101,6.237507
0.020000,9.137839,8.875765,3.591473,5.278366,4.001085,0.140167,6.236584
0.020000,9.244890,8.870723,3.698642,5.358445,4.003931,0.142271,6.235674
0.020000,9.353536,8.865509,3.807414,5.438581,4.006818,0.144378,6.234779
0.020000,9.463780,8.860119,3.917789,5.518776,4.009747,0.146447,6.233900
0.020000,9.575622,8.854554,4.029770,5.599031,4.012718,0.148538,6.233038
0.020000,9.689064,8.848812,4.143357,5.679345,4.015731,0.150656,6.232195
0.020000,9.804106,8.842893,4.258551,5.759721,4.018785,0.152677,6.231372
0.020000,9.920750,8.836797,4.375354,5.840159,4.021881,0.154823,6.230569
0.020000,10.038997,8.830523,4.493767,5.920659,4.025017,0.156802,6.229789
0.020000,10.158848,8.824071,4.613792,6.001223,4.028198,0.159028,6.229033
0.020000,10.280304,8.817443,4.735429,6.081851,4.031418,0.161022,6.228302
0.020000,10.403367,8.810638,4.858680,6.162545,4.034681,0.163146,6.227597
0.020000,10.528038,8.803658,4.983546,6.243304,4.037981,0.165005,6.226920
0.020000,10.654318,8.796504,5.110028,6.324131,4.041332,0.167567,6.226273
0.020000,10.782209,8.789178,5.238129,6.405025,4.044714,0.169066,6.225656
0.020000,10.911712,8.781681,5.367849,6.485988,4.048147,0.171639,6.225071
0.020000,11.042829,8.774016,5.499189,6.567021,4.051617,0.173504,6.224520
0.020000,11.175560,8.766185,5.632152,6.648123,4.055130,0.175644,6.224004
0.020000,11.309909,8.758192,5.766737,6.729297,4.058682,0.177642,6.223525
0.020000,11.445875,8.750040,5.902948,6.810543,4.062281,0.179915,6.223083
0.020000,11.583462,8.741733,6.040786,6.891861,4.065919,0.181899,6.222682
0.020000,11.722670,8.733274,6.180251,6.973253,4.069601,0.184100,6.222321
0.020000,11.863502,8.724669,6.321345,7.054719,4.073323,0.186135,6.222003
0.020000,12.005959,8.715922,6.464070,7.136261,4.077089,0.188302,6.221730
0.020000,12.150043,8.707039,6.608428,7.217879,4.080899,0.190457,6.221502
0.020000,12.295756,8.698026,6.754419,7.299574,4.084750,0.192553,6.221322
0.020000,12.443100,8.688888,6.902046,7.381347,4.088644,0.194717,6.221191
