dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.648773,14.515646,0.000040,0.003969,0.198454,9.922690,6.283100
0.020000,5.648768,14.515646,0.000044,0.000218,-0.187577,-19.301557,6.283104
0.020000,5.648759,14.515646,0.000054,0.000489,0.013589,10.058333,6.283114
0.020000,5.648741,14.515646,0.000071,0.000869,0.019008,0.270911,6.283133
0.020000,5.648714,14.515646,0.000098,0.001357,0.024399,0.269568,6.283161
0.020000,5.649270,14.515646,0.000654,0.027784,1.321344,64.847232,0.000017
0.020000,5.651162,14.515646,0.002546,0.094589,3.340256,100.945604,0.000073
0.020000,5.653633,14.515646,0.005017,0.123553,1.448184,-94.603567,0.000146
0.020000,5.656760,14.515647,0.008145,0.156384,1.641568,9.669194,0.000238
0.020000,5.660622,14.515648,0.012006,0.193087,1.835107,9.676958,0.000351
0.020000,5.665295,14.515650,0.016680,0.233663,2.028840,9.686645,0.000487
0.020000,5.670858,14.515653,0.022242,0.278120,2.222810,9.698480,0.000648
0.020000,5.677387,14.515658,0.028771,0.326461,2.417063,9.712663,0.000836
0.020000,5.684961,14.515665,0.036345,0.378694,2.611651,9.729413,0.001052
0.020000,5.693657,14.515676,0.045042,0.434827,2.806630,9.748956,0.001298
0.020000,5.703555,14.515690,0.054939,0.494868,3.002060,9.771486,0.001576
0.020000,5.714731,14.515709,0.066116,0.558828,3.198005,9.797232,0.001885
0.020000,5.727266,14.515735,0.078650,0.626718,3.394533,9.826408,0.002228
0.020000,5.741237,14.515769,0.092621,0.698553,3.591717,9.859209,0.002604
0.020000,5.756723,14.515812,0.108108,0.774346,3.789635,9.895890,0.003014
0.020000,5.773767,14.515867,0.125151,0.852176,3.891505,5.093517,0.003456
0.020000,5.792369,14.515936,0.143754,0.930119,3.897157,0.282574,0.003929
0.020000,5.812533,14.516020,0.163917,1.008185,3.903321,0.308228,0.004430
0.020000,5.834260,14.516122,0.185645,1.086385,3.910001,0.333963,0.004955
0.020000,5.857554,14.516244,0.208940,1.164729,3.917193,0.359600,0.005502
0.020000,5.882418,14.516388,0.233804,1.243227,3.924898,0.385295,0.006068
0.020000,5.908856,14.516556,0.260242,1.321889,3.933119,0.411010,0.006649
0.020000,5.936870,14.516751,0.288257,1.400726,3.941851,0.436638,0.007242
0.020000,5.966464,14.516974,0.317852,1.479748,3.951097,0.462304,0.007842
0.020000,5.997642,14.517228,0.349031,1.558965,3.960857,0.487967,0.008445
0.020000,6.030408,14.517515,0.381799,1.638388,3.971129,0.513621,0.009048
0.020000,6.064767,14.517836,0.416159,1.718026,3.981915,0.539267,0.009645
0.020000,6.100724,14.518193,0.452117,1.797891,3.993212,0.564851,0.010232
0.020000,6.138281,14.518589,0.489677,1.877991,4.005022,0.590504,0.010804
0.020000,6.177446,14.519023,0.528844,1.958338,4.017345,0.616163,0.011355
0.020000,6.218222,14.519497,0.569622,2.038942,4.030179,0.641699,0.011881
0.020000,6.260615,14.520011,0.612019,2.119812,4.043526,0.667377,0.012376
0.020000,6.304630,14.520566,0.656038,2.200960,4.057385,0.692943,0.012833
0.020000,6.350275,14.521161,0.701686,2.282395,4.071757,0.718592,0.013247
0.020000,6.397553,14.521797,0.748968,2.364128,4.086641,0.744197,0.013612
0.020000,6.446472,14.522470,0.797892,2.446168,4.102038,0.769860,0.013920
0.020000,6.497037,14.523181,0.848462,2.528527,4.117948,0.795494,0.014166
0.020000,6.549256,14.523926,0.900686,2.611215,4.134372,0.821205,0.014343
0.020000,6.603135,14.524701,0.954571,2.694241,4.151310,0.846884,0.014442
0.020000,6.658682,14.525505,1.010124,2.777616,4.168763,0.872656,0.014458
0.020000,6.715903,14.526330,1.067351,2.861351,4.186732,0.898422,0.014382
0.020000,6.774806,14.527173,1.126260,2.945455,4.205216,0.924241,0.014206
0.020000,6.835399,14.528025,1.186859,3.029940,4.224218,0.950096,0.013923
0.020000,6.897689,14.528881,1.249155,3.114814,4.243738,0.975985,0.013524
0.020000,6.961685,14.529730,1.313157,3.200090,4.263776,1.001911,0.013002
0.020000,7.027396,14.530564,1.378872,3.285777,4.284333,1.027834,0.012346
0.020000,7.094828,14.531370,1.446310,3.371885,4.305409,1.053788,0.011549
0.020000,7.163993,14.532137,1.515478,3.458425,4.327003,1.079727,0.010601
0.020000,7.234897,14.532850,1.586387,3.545407,4.349114,1.105519,0.009493
0.020000,7.307551,14.533495,1.659043,3.632842,4.371741,1.131359,0.008216
0.020000,7.381964,14.534053,1.733458,3.720740,4.394879,1.156935,0.006760
0.020000,7.458145,14.534506,1.809640,3.809110,4.418526,1.182346,0.005114
0.020000,7.536103,14.534834,1.887600,3.897964,4.442675,1.207437,0.003268
0.020000,7.615849,14.535014,1.967346,3.987310,4.467317,1.232111,0.001213
0.020000,7.697393,14.535021,2.048889,4.077159,4.492442,1.256259,6.282123
0.020000,7.780743,14.534829,2.132239,4.167519,4.518037,1.279705,6.279617
0.020000,7.865910,14.534409,2.217407,4.258401,4.544083,1.302307,6.276868
0.020000,7.952903,14.533731,2.304404,4.349812,4.570557,1.323731,6.273866
0.020000,8.041733,14.532759,2.393239,4.441761,4.597437,1.343960,6.270599
0.020000,8.132409,14.531459,2.483924,4.534255,4.624685,1.362431,6.267057
0.020000,8.224940,14.529791,2.576470,4.627300,4.652263,1.378877,6.263226
0.020000,8.319294,14.527714,2.670847,4.718830,4.576478,-3.789213,6.259099
0.020000,8.415395,14.525188,2.766982,4.806750,4.396042,-9.021832,6.254666
0.020000,8.513169,14.522168,2.864802,4.891025,4.213740,-9.115079,6.249921
0.020000,8.612538,14.518612,2.964234,4.971614,4.029456,-9.214210,6.244858
0.020000,8.707151,14.514746,3.058926,4.734605,-11.850457,-793.995674,6.239806
0.020000,8.815088,14.509428,3.166995,5.403408,33.440124,2264.529092,6.228159
0.020000,8.923803,14.502815,3.275910,5.445763,2.117761,-1566.118165,6.216749
0.020000,9.033173,14.494922,3.385565,5.482742,1.848940,-13.441050,6.205604
0.020000,9.143081,14.485775,3.495853,5.514414,1.583640,-13.265020,6.194754
0.020000,9.253412,14.475403,3.606670,5.540869,1.322706,-13.046679,6.184224
0.020000,9.364054,14.463845,3.717914,5.562191,1.066117,-12.829431,6.174039
0.020000,9.474898,14.451144,3.829484,5.578473,0.814123,-12.599704,6.164222
0.020000,9.585840,14.437349,3.941280,5.589811,0.566891,-12.361601,6.154792
0.020000,9.696779,14.422513,4.053206,5.596302,0.324560,-12.116553,6.145769
0.020000,9.807616,14.406696,4.165167,5.598041,0.086911,-11.882490,6.137170
0.020000,9.918260,14.389958,4.277069,5.595125,-0.145763,-11.633656,6.129007
0.020000,10.028620,14.372367,4.388822,5.587650,-0.373760,-11.399854,6.121295
0.020000,10.138609,14.353990,4.500336,5.575709,-0.597041,-11.164076,6.114042
0.020000,10.248146,14.334897,4.611524,5.559394,-0.815793,-10.937595,6.107259
0.020000,10.357128,14.315165,4.722279,5.537723,-1.083516,-13.386130,6.100952
0.020000,10.465460,14.294871,4.832495,5.510801,-1.346121,-13.130260,6.095128
0.020000,10.573067,14.274091,4.942090,5.479785,-1.550802,-10.234044,6.089789
0.020000,10.679881,14.252898,5.050986,5.444755,-1.751484,-10.034115,6.084936
0.020000,10.785831,14.231369,5.159101,5.405785,-1.948493,-9.850445,6.080568
0.020000,10.890853,14.209577,5.266360,5.362948,-2.141846,-9.667641,6.076683
0.020000,10.994882,14.187595,5.372686,5.316312,-2.331813,-9.498353,6.073278
0.020000,11.097856,14.165495,5.478005,5.265943,-2.518436,-9.331142,6.070348
0.020000,11.199714,14.143348,5.582243,5.211904,-2.701951,-9.175750,6.067886
0.020000,11.300396,14.121220,5.685329,5.154256,-2.882420,-9.023454,6.065884
0.020000,11.399844,14.099179,5.787190,5.093057,-3.059945,-8.876273,6.064335
0.020000,11.498000,14.077287,5.887757,5.028364,-3.234675,-8.736477,6.063227
0.020000,11.594806,14.055606,5.986962,4.960231,-3.406643,-8.598428,6.062551
0.020000,11.690207,14.034192,6.084736,4.888711,-3.575972,-8.466439,6.062293
0.020000,11.784145,14.013102,6.181013,4.813857,-3.742716,-8.337211,6.062440
0.020000,11.876566,13.992385,6.275727,4.735718,-3.906935,-8.210941,6.062978
0.020000,11.967414,13.972090,6.368814,4.654344,-4.068703,-8.088376,6.063891
0.020000,12.056633,13.952262,6.460210,4.569783,-4.228057,-7.967742,6.065163
0.020000,12.144167,13.932941,6.549851,4.482081,-4.385116,-7.852913,6.066777
0.020000,12.229962,13.914163,6.637677,4.391284,-4.539854,-7.736922,6.068713
0.020000,12.313981,13.895958,6.723646,4.298421,-4.643104,-5.162512,6.070954
0.020000,12.396225,13.878343,6.807755,4.205449,-4.648644,-0.276955,6.073481
0.020000,12.476712,13.861328,6.890021,4.113303,-4.607261,2.069131,6.076277
0.020000,12.555460,13.844920,6.970460,4.021973,-4.566529,2.036577,6.079324
0.020000,12.632487,13.829126,7.049089,3.931443,-4.526485,2.002204,6.082606
0.020000,12.707806,13.813948,7.125923,3.841701,-4.487124,1.968044,6.086106
0.020000,12.781435,13.799386,7.200978,3.752734,-4.448345,1.938983,6.089808
0.020000,12.853386,13.785440,7.274268,3.664529,-4.410233,1.905612,6.093695
0.020000,12.923674,13.772106,7.345810,3.577075,-4.372714,1.875914,6.097753
0.020000,12.992311,13.759378,7.415617,3.490359,-4.335788,1.846317,6.101964
0.020000,13.059310,13.747251,7.483704,3.404369,-4.299521,1.813369,6.106316
0.020000,13.124682,13.735716,7.550086,3.319092,-4.263833,1.784361,6.110791
0.020000,13.188438,13.724764,7.614776,3.234516,-4.228802,1.751545,6.115375
0.020000,13.250590,13.714384,7.677789,3.150628,-4.194412,1.719506,6.120055
