dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.648691,13.565646,0.000040,0.003969,0.198454,9.922690,6.283100
0.020000,5.648691,13.565646,0.000198,0.011907,0.396908,9.922690,6.283104
0.020000,5.648691,13.565646,0.000556,0.023814,0.595361,9.922690,6.283114
0.020000,5.648691,13.565646,0.001191,0.039691,0.793815,9.922690,6.283133
0.020000,5.648691,13.565646,0.002183,0.059536,0.992269,9.922690,6.283161
0.020000,5.649286,13.565646,0.003612,0.083351,1.190723,9.922690,0.000017
0.020000,5.651231,13.565646,0.005557,0.111134,1.389177,9.922690,0.000073
0.020000,5.653771,13.565646,0.008097,0.142887,1.587630,9.922690,0.000146
0.020000,5.656986,13.565647,0.011312,0.178608,1.786084,9.922690,0.000238
0.020000,5.660955,13.565648,0.015281,0.218299,1.984538,9.922690,0.000351
0.020000,5.665758,13.565650,0.020084,0.261959,2.182992,9.922690,0.000487
0.020000,5.671473,13.565654,0.025799,0.309588,2.381446,9.922690,0.000648
0.020000,5.678181,13.565658,0.032507,0.361186,2.579899,9.922690,0.000836
0.020000,5.685960,13.565666,0.040286,0.416753,2.778353,9.922690,0.001052
0.020000,5.694891,13.565676,0.049217,0.476289,2.976807,9.922690,0.001298
0.020000,5.705051,13.565691,0.059377,0.539794,3.175261,9.922690,0.001576
0.020000,5.716522,13.565711,0.070848,0.607269,3.373715,9.922690,0.001885
0.020000,5.729382,13.565737,0.083708,0.678712,3.572168,9.922690,0.002228
0.020000,5.743710,13.565772,0.098036,0.754124,3.770622,9.922690,0.002604
0.020000,5.759586,13.565816,0.113912,0.833506,3.969076,9.922690,0.003014
0.020000,5.777050,13.565873,0.131376,0.912887,3.969076,0.000000,0.003456
0.020000,5.796102,13.565943,0.150428,0.992269,3.969076,0.000000,0.003929
0.020000,5.816741,13.566030,0.171067,1.071651,3.969076,0.000000,0.004430
0.020000,5.838967,13.566134,0.193294,1.151032,3.969076,-0.000000,0.004955
0.020000,5.862781,13.566258,0.217108,1.230414,3.969076,0.000000,0.005502
0.020000,5.888183,13.566405,0.242511,1.309795,3.969076,-0.000000,0.006068
0.020000,5.915172,13.566577,0.269500,1.389177,3.969076,0.000000,0.006649
0.020000,5.943749,13.566776,0.298078,1.468558,3.969076,0.000000,0.007242
0.020000,5.973913,13.567003,0.328243,1.547940,3.969076,-0.000000,0.007842
0.020000,6.005665,13.567262,0.359995,1.627321,3.969076,0.000000,0.008445
0.020000,6.039004,13.567554,0.393335,1.706703,3.969076,0.000000,0.009048
0.020000,6.073930,13.567880,0.428263,1.786084,3.969076,-0.000000,0.009645
0.020000,6.110444,13.568243,0.464779,1.865466,3.969076,0.000000,0.010232
0.020000,6.148545,13.568644,0.502882,1.944847,3.969076,-0.000000,0.010804
0.020000,6.188233,13.569084,0.542573,2.024229,3.969076,0.000000,0.011355
0.020000,6.229509,13.569564,0.583851,2.103610,3.969076,-0.000000,0.011881
0.020000,6.272371,13.570084,0.626717,2.182992,3.969076,0.000000,0.012376
0.020000,6.316822,13.570644,0.671171,2.262373,3.969076,-0.000000,0.012833
0.020000,6.362859,13.571245,0.717212,2.341755,3.969076,0.000000,0.013247
0.020000,6.410484,13.571885,0.764841,2.421136,3.969076,0.000000,0.013612
0.020000,6.459695,13.572562,0.814057,2.500518,3.969076,0.000000,0.013920
0.020000,6.510495,13.573276,0.864862,2.579899,3.969076,0.000000,0.014166
0.020000,6.562881,13.574023,0.917253,2.659281,3.969076,0.000000,0.014343
0.020000,6.616855,13.574801,0.971233,2.738662,3.969076,-0.000000,0.014442
0.020000,6.672416,13.575604,1.026800,2.818044,3.969076,0.000000,0.014458
0.020000,6.729565,13.576428,1.083955,2.897425,3.969076,0.000000,0.014382
0.020000,6.788301,13.577269,1.142697,2.976807,3.969076,-0.000000,0.014206
0.020000,6.848625,13.578118,1.203027,3.056188,3.969076,0.000000,0.013923
0.020000,6.910537,13.578968,1.264945,3.135570,3.969076,0.000000,0.013524
0.020000,6.974037,13.579811,1.328450,3.214952,3.969076,0.000000,0.013002
0.020000,7.039124,13.580636,1.393543,3.294333,3.969076,0.000000,0.012346
0.020000,7.105800,13.581434,1.460223,3.373715,3.969076,-0.000000,0.011549
0.020000,7.174064,13.582190,1.528491,3.453096,3.969076,0.000000,0.010601
0.020000,7.243916,13.582893,1.598347,3.532478,3.969076,0.000000,0.009493
0.020000,7.315356,13.583527,1.669790,3.611859,3.969076,0.000000,0.008216
0.020000,7.388385,13.584074,1.742821,3.691241,3.969076,0.000000,0.006760
0.020000,7.463003,13.584518,1.817440,3.770622,3.969076,-0.000000,0.005114
0.020000,7.539208,13.584839,1.893646,3.850004,3.969076,0.000000,0.003268
0.020000,7.617002,13.585014,1.971440,3.929385,3.969076,0.000000,0.001213
0.020000,7.696383,13.585021,2.050822,4.008767,3.969076,0.000000,6.282123
0.020000,7.777352,13.584835,2.131791,4.088148,3.969076,0.000000,6.279617
0.020000,7.859908,13.584428,2.214347,4.167530,3.969076,0.000000,6.276868
0.020000,7.944050,13.583772,2.298492,4.246911,3.969076,0.000000,6.273866
0.020000,8.029777,13.582835,2.384224,4.326293,3.969076,0.000000,6.270599
0.020000,8.117087,13.581582,2.471544,4.405674,3.969076,-0.000000,6.267057
0.020000,8.205980,13.579980,2.560451,4.485056,3.969076,0.000000,6.263226
0.020000,8.296414,13.577990,2.650906,4.560468,3.770622,-9.922690,6.259099
0.020000,8.388306,13.575574,2.742830,4.631912,3.572168,-9.922690,6.254666
0.020000,8.481574,13.572694,2.836143,4.699386,3.373715,-9.922690,6.249921
0.020000,8.576136,13.569309,2.930766,4.762891,3.175261,-9.922690,6.244858
0.020000,8.665954,13.565640,3.026619,4.822427,2.976807,-9.922690,6.239806
0.020000,8.762840,13.560866,3.123623,4.877994,2.778353,-9.922690,6.228159
0.020000,8.860734,13.554911,3.221699,4.929592,2.579899,-9.922690,6.216749
0.020000,8.959545,13.547780,3.320767,4.977221,2.381446,-9.922690,6.205604
0.020000,9.059181,13.539487,3.420748,5.020881,2.182992,-9.922690,6.194754
0.020000,9.159552,13.530052,3.521563,5.060572,1.984538,-9.922690,6.184224
0.020000,9.260571,13.519498,3.623131,5.096294,1.786084,-9.922690,6.174039
0.020000,9.362149,13.507859,3.725375,5.128046,1.587630,-9.922690,6.164222
0.020000,9.464202,13.495168,3.828213,5.155830,1.389177,-9.922690,6.154792
0.020000,9.566644,13.481469,3.931568,5.179644,1.190723,-9.922690,6.145769
0.020000,9.669394,13.466805,4.035360,5.199490,0.992269,-9.922690,6.137170
0.020000,9.772371,13.451227,4.139508,5.215366,0.793815,-9.922690,6.129007
0.020000,9.875495,13.434789,4.243934,5.227273,0.595361,-9.922690,6.121295
0.020000,9.978689,13.417547,4.348559,5.235211,0.396908,-9.922690,6.114042
0.020000,10.081877,13.399560,4.453303,5.239180,0.198454,-9.922690,6.107259
0.020000,10.184964,13.380895,4.558067,5.237155,-0.101260,-14.985708,6.100952
0.020000,10.287857,13.361620,4.662750,5.231161,-0.299714,-9.922690,6.095128
0.020000,10.390484,13.341801,4.767273,5.221197,-0.498168,-9.922690,6.089789
0.020000,10.492775,13.321506,4.871558,5.207265,-0.696622,-9.922690,6.084936
0.020000,10.594659,13.300803,4.975524,5.189363,-0.895076,-9.922690,6.080568
0.020000,10.696067,13.279761,5.079093,5.167493,-1.093529,-9.922690,6.076683
0.020000,10.796931,13.258447,5.182184,5.141653,-1.291983,-9.922690,6.073278
0.020000,10.897183,13.236932,5.284719,5.111844,-1.490437,-9.922690,6.070348
0.020000,10.996756,13.215281,5.386618,5.078067,-1.688891,-9.922690,6.067886
0.020000,11.095581,13.193561,5.487802,5.040320,-1.887345,-9.922690,6.065884
0.020000,11.193592,13.171838,5.588191,4.998604,-2.085798,-9.922690,6.064335
0.020000,11.290721,13.150176,5.687707,4.952919,-2.284252,-9.922690,6.063227
0.020000,11.386900,13.128635,5.786269,4.903265,-2.482706,-9.922690,6.062551
0.020000,11.482061,13.107275,5.883798,4.849641,-2.681160,-9.922690,6.062293
0.020000,11.576136,13.086154,5.980214,4.792049,-2.879614,-9.922690,6.062440
0.020000,11.669056,13.065326,6.075440,4.730488,-3.078067,-9.922690,6.062978
0.020000,11.760750,13.044842,6.169394,4.664957,-3.276521,-9.922690,6.063891
0.020000,11.851149,13.024751,6.261998,4.595458,-3.474975,-9.922690,6.065163
0.020000,11.940180,13.005100,6.353173,4.521989,-3.673429,-9.922690,6.066777
0.020000,12.027772,12.985929,6.442838,4.444552,-3.871883,-9.922690,6.068713
0.020000,12.113871,12.967273,6.530936,4.365170,-3.969076,-4.859671,6.070954
0.020000,12.198462,12.949155,6.617445,4.285789,-3.969076,0.000000,6.073481
0.020000,12.281548,12.931591,6.702367,4.206407,-3.969076,0.000000,6.076277
0.020000,12.363131,12.914593,6.785701,4.127026,-3.969076,-0.000000,6.079324
0.020000,12.443211,12.898173,6.867448,4.047644,-3.969076,0.000000,6.082606
0.020000,12.521790,12.882338,6.947607,3.968263,-3.969076,0.000000,6.086106
0.020000,12.598869,12.867094,7.026179,3.888881,-3.969076,-0.000000,6.089808
0.020000,12.674446,12.852445,7.103162,3.809500,-3.969076,0.000000,6.093695
0.020000,12.748521,12.838392,7.178559,3.730118,-3.969076,0.000000,6.097753
0.020000,12.821092,12.824935,7.252367,3.650736,-3.969076,-0.000000,6.101964
0.020000,12.892158,12.812072,7.324588,3.571355,-3.969076,-0.000000,6.106316
0.020000,12.961717,12.799798,7.395221,3.491973,-3.969076,0.000000,6.110791
0.020000,13.029766,12.788109,7.464267,3.412592,-3.969076,0.000000,6.115375
0.020000,13.096302,12.776996,7.531725,3.333210,-3.969076,0.000000,6.120055
0.020000,13.161323,12.766452,7.597595,3.253829,-3.969076,0.000000,6.124815
0.020000,13.224826,12.756466,7.661878,3.174447,-3.969076,0.000000,6.129641
0.020000,13.286806,12.747028,7.724573,3.095066,-3.969076,-0.000000,6.134521
0.020000,13.347262,12.738125,7.785681,3.015684,-3.969076,0.000000,6.139441
0.020000,13.406188,12.729744,7.845201,2.936303,-3.969076,0.000000,6.144388
0.020000,13.463583,12.721870,7.903133,2.856921,-3.969076,0.000000,6.149348
0.020000,13.519442,12.714490,7.959478,2.777540,-3.969076,0.000000,6.154311
0.020000,13.573762,12.707586,8.014235,2.698158,-3.969076,-0.000000,6.159263
0.020000,13.626540,12.701144,8.067404,2.618777,-3.969076,0.000000,6.164194
0.020000,13.677771,12.695146,8.118986,2.539395,-3.969076,-0.000000,6.169091
0.020000,13.727454,12.689574,8.168980,2.460014,-3.969076,-0.000000,6.173944
0.020000,13.775584,12.684412,8.217386,2.380632,-3.969076,0.000000,6.178743
