dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.648610,12.615646,0.000040,0.003969,0.198454,9.922690,6.283100
0.020000,5.648614,12.615646,0.000044,0.000218,-0.187577,-19.301557,6.283104
0.020000,5.648624,12.615646,0.000054,0.000489,0.013589,10.058333,6.283114
0.020000,5.648641,12.615646,0.000071,0.000869,0.019008,0.270911,6.283133
0.020000,5.648668,12.615646,0.000098,0.001357,0.024399,0.269568,6.283161
0.020000,5.649302,12.615646,0.000732,0.031689,1.516580,74.609078,0.000017
0.020000,5.651300,12.615646,0.002730,0.099895,3.410312,94.686585,0.000073
0.020000,5.653910,12.615646,0.005339,0.130468,1.528623,-94.084473,0.000146
0.020000,5.657212,12.615647,0.008642,0.165111,1.732146,10.176186,0.000238
0.020000,5.661288,12.615648,0.012718,0.203821,1.935515,10.168423,0.000351
0.020000,5.666220,12.615650,0.017650,0.246595,2.138689,10.158730,0.000487
0.020000,5.672089,12.615654,0.023518,0.293427,2.341628,10.146905,0.000648
0.020000,5.678975,12.615659,0.030405,0.344313,2.544282,10.132718,0.000836
0.020000,5.686960,12.615666,0.038390,0.399245,2.746601,10.115960,0.001052
0.020000,5.696124,12.615677,0.047554,0.458216,2.948530,10.096429,0.001298
0.020000,5.706548,12.615692,0.057978,0.521216,3.150008,10.073891,0.001576
0.020000,5.718313,12.615712,0.069743,0.588235,3.350970,10.048145,0.001885
0.020000,5.731498,12.615740,0.082928,0.659262,3.551350,10.018978,0.002228
0.020000,5.746184,12.615775,0.097614,0.734284,3.751073,9.986156,0.002604
0.020000,5.762449,12.615821,0.113880,0.813285,3.950063,9.949507,0.003014
0.020000,5.780334,12.615879,0.131764,0.894218,4.046646,4.829151,0.003456
0.020000,5.799834,12.615951,0.151265,0.975038,4.040995,-0.282544,0.003929
0.020000,5.820949,12.616039,0.172379,1.055734,4.034830,-0.308271,0.004430
0.020000,5.843675,12.616146,0.195105,1.136297,4.028152,-0.333911,0.004955
0.020000,5.868009,12.616273,0.219440,1.216717,4.020959,-0.359645,0.005502
0.020000,5.893948,12.616423,0.245379,1.296982,4.013253,-0.385312,0.006068
0.020000,5.921489,12.616598,0.272921,1.377082,4.005034,-0.410947,0.006649
0.020000,5.950628,12.616801,0.302061,1.457008,3.996300,-0.436660,0.007242
0.020000,5.981362,12.617032,0.332796,1.536749,3.987054,-0.462319,0.007842
0.020000,6.013687,12.617296,0.365122,1.616295,3.977295,-0.487965,0.008445
0.020000,6.047599,12.617592,0.399035,1.695636,3.967023,-0.513604,0.009048
0.020000,6.083092,12.617924,0.434530,1.774760,3.956238,-0.539235,0.009645
0.020000,6.120164,12.618293,0.471603,1.853659,3.944940,-0.564914,0.010232
0.020000,6.158808,12.618699,0.510250,1.932322,3.933130,-0.590506,0.010804
0.020000,6.199020,12.619145,0.550464,2.010738,3.920808,-0.616080,0.011355
0.020000,6.240795,12.619631,0.592242,2.088897,3.907973,-0.641773,0.011881
0.020000,6.284128,12.620156,0.635578,2.166790,3.894626,-0.667317,0.012376
0.020000,6.329013,12.620722,0.680466,2.244405,3.880767,-0.692979,0.012833
0.020000,6.375443,12.621328,0.726901,2.321733,3.866395,-0.718565,0.013247
0.020000,6.423414,12.621973,0.774876,2.398763,3.851511,-0.744216,0.013612
0.020000,6.472919,12.622654,0.824386,2.475486,3.836114,-0.769836,0.013920
0.020000,6.523952,12.623372,0.875424,2.551890,3.820204,-0.795522,0.014166
0.020000,6.576506,12.624121,0.927983,2.627965,3.803780,-0.821177,0.014343
0.020000,6.630574,12.624900,0.982057,2.703702,3.786842,-0.846922,0.014442
0.020000,6.686150,12.625703,1.037639,2.779090,3.769389,-0.872639,0.014458
0.020000,6.743227,12.626527,1.094721,2.854118,3.751420,-0.898435,0.014382
0.020000,6.801796,12.627364,1.153297,2.928777,3.732935,-0.924253,0.014206
0.020000,6.861852,12.628210,1.213358,3.003056,3.713933,-0.950114,0.013923
0.020000,6.923385,12.629055,1.274897,3.076944,3.694413,-0.976010,0.013524
0.020000,6.986388,12.629891,1.337905,3.150432,3.674374,-1.001928,0.013002
0.020000,7.050853,12.630709,1.402375,3.223508,3.653817,-1.027886,0.012346
0.020000,7.116771,12.631497,1.468299,3.296163,3.632740,-1.053818,0.011549
0.020000,7.184135,12.632244,1.535666,3.368386,3.611146,-1.079723,0.010601
0.020000,7.252935,12.632936,1.604470,3.440166,3.589032,-1.105665,0.009493
0.020000,7.323162,12.633559,1.674700,3.511494,3.566405,-1.131370,0.008216
0.020000,7.394807,12.634096,1.746347,3.582360,3.543264,-1.157037,0.006760
0.020000,7.467861,12.634531,1.819402,3.652752,3.519616,-1.182432,0.005114
0.020000,7.542313,12.634844,1.893855,3.722661,3.495465,-1.207538,0.003268
0.020000,7.618155,12.635015,1.969697,3.792078,3.470820,-1.232241,0.001213
0.020000,7.695374,12.635022,2.046916,3.860991,3.445692,-1.256395,6.282123
0.020000,7.773962,12.634841,2.125504,3.929393,3.420095,-1.279870,6.279617
0.020000,7.853907,12.634447,2.205450,3.997274,3.394046,-1.302446,6.276868
0.020000,7.935197,12.633813,2.286742,4.064626,3.367565,-1.324019,6.273866
0.020000,8.017820,12.632910,2.369371,4.131439,3.340683,-1.344114,6.270599
0.020000,8.101766,12.631706,2.453325,4.197708,3.313429,-1.362691,6.267057
0.020000,8.187021,12.630169,2.538594,4.263425,3.285843,-1.379341,6.263226
0.020000,8.273533,12.628265,2.625128,4.326688,3.163172,-6.133531,6.259099
0.020000,8.361216,12.625960,2.712840,4.385622,2.946700,-10.823571,6.254666
