dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.952432,2.146987,0.000040,0.003993,0.199652,9.982606,6.280977
0.020000,4.952432,2.146987,0.000200,0.011979,0.399304,9.982606,6.280994
0.020000,4.952432,2.146987,0.000559,0.023958,0.598956,9.982606,6.281034
0.020000,4.952432,2.146987,0.001198,0.039930,0.798609,9.982606,6.281104
0.020000,4.952432,2.146987,0.002196,0.059896,0.998261,9.982606,6.281214
0.020000,4.952432,2.146987,0.003634,0.083854,1.197913,9.982606,6.281372
0.020000,4.952432,2.146987,0.005590,0.111805,1.397565,9.982606,6.281588
0.020000,4.952432,2.146987,0.008146,0.143750,1.597217,9.982606,6.281870
0.020000,4.952432,2.146987,0.011380,0.179687,1.796869,9.982606,6.282227
0.020000,4.952432,2.146987,0.015373,0.219617,1.996521,9.982606,6.282668
0.020000,4.952584,2.146987,0.020205,0.263541,2.196173,9.982606,0.000017
0.020000,4.958341,2.146989,0.025955,0.311457,2.395826,9.982606,0.000655
0.020000,4.965090,2.146996,0.032703,0.363367,2.595478,9.982606,0.001404
0.020000,4.972909,2.147010,0.040529,0.419269,2.795130,9.982606,0.002275
0.020000,4.981901,2.147035,0.049514,0.479165,2.994782,9.982606,0.003280
0.020000,4.992115,2.147074,0.059736,0.543054,3.194434,9.982606,0.004427
0.020000,5.003663,2.147133,0.071276,0.610936,3.394086,9.982606,0.005728
0.020000,5.016597,2.147216,0.084213,0.682810,3.593738,9.982606,0.007194
0.020000,5.031008,2.147332,0.098628,0.758678,3.793390,9.982606,0.008836
0.020000,5.046984,2.147488,0.114600,0.838539,3.993043,9.982606,0.010669
0.020000,5.064553,2.147693,0.132170,0.918400,3.993043,-0.000000,0.012698
0.020000,5.083718,2.147958,0.151336,0.998261,3.993043,0.000000,0.014929
0.020000,5.104478,2.148293,0.172100,1.078122,3.993043,0.000000,0.017366
0.020000,5.126833,2.148711,0.194461,1.157982,3.993043,-0.000000,0.020014
0.020000,5.150783,2.149224,0.218419,1.237843,3.993043,0.000000,0.022880
0.020000,5.176337,2.149849,0.243975,1.317704,3.993043,0.000000,0.025970
0.020000,5.203477,2.150599,0.271128,1.397565,3.993043,0.000000,0.029289
0.020000,5.232214,2.151492,0.299877,1.477426,3.993043,0.000000,0.032846
0.020000,5.262539,2.152546,0.330225,1.557287,3.993043,0.000000,0.036649
0.020000,5.294464,2.153781,0.362169,1.637147,3.993043,-0.000000,0.040707
0.020000,5.327974,2.155218,0.395711,1.717008,3.993043,0.000000,0.045028
0.020000,5.363072,2.156880,0.430849,1.796869,3.993043,-0.000000,0.049623
0.020000,5.399758,2.158792,0.467585,1.876730,3.993043,-0.000000,0.054504
0.020000,5.438029,2.160979,0.505918,1.956591,3.993043,0.000000,0.059682
0.020000,5.477883,2.163470,0.545849,2.036452,3.993043,0.000000,0.065170
0.020000,5.519313,2.166294,0.587377,2.116313,3.993043,0.000000,0.070982
0.020000,5.562317,2.169484,0.630501,2.196173,3.993043,0.000000,0.077132
0.020000,5.606899,2.173075,0.675224,2.276034,3.993043,-0.000000,0.083639
0.020000,5.653040,2.177103,0.721543,2.355895,3.993043,0.000000,0.090518
0.020000,5.700742,2.181607,0.769459,2.435756,3.993043,-0.000000,0.097788
0.020000,5.750003,2.186630,0.818973,2.515617,3.993043,0.000000,0.105471
0.020000,5.800808,2.192216,0.870084,2.595478,3.993043,0.000000,0.113587
0.020000,5.853149,2.198413,0.922792,2.675339,3.993043,-0.000000,0.122159
0.020000,5.907015,2.205273,0.977098,2.755199,3.993043,0.000000,0.131213
0.020000,5.962407,2.212852,1.033000,2.835060,3.993043,0.000000,0.140778
0.020000,6.019295,2.221205,1.090500,2.914921,3.993043,0.000000,0.150880
0.020000,6.077674,2.230399,1.149597,2.994782,3.993043,0.000000,0.161553
0.020000,6.137518,2.240497,1.210291,3.074643,3.993043,0.000000,0.172827
0.020000,6.198814,2.251572,1.272583,3.154504,3.993043,-0.000000,0.184739
0.020000,6.261541,2.263701,1.336471,3.234365,3.993043,0.000000,0.197329
0.020000,6.325673,2.276965,1.401957,3.314225,3.993043,0.000000,0.210637
0.020000,6.391174,2.291449,1.469040,3.394086,3.993043,0.000000,0.224704
0.020000,6.458009,2.307246,1.537721,3.473947,3.993043,0.000000,0.239576
0.020000,6.526147,2.324456,1.607998,3.553808,3.993043,-0.000000,0.255303
0.020000,6.595540,2.343181,1.679873,3.633669,3.993043,-0.000000,0.271933
0.020000,6.666135,2.363533,1.753345,3.713530,3.993043,0.000000,0.289519
0.020000,6.737874,2.385627,1.828414,3.793390,3.993043,0.000000,0.308113
0.020000,6.810702,2.409591,1.905081,3.873251,3.993043,-0.000000,0.327772
0.020000,6.884530,2.435549,1.983344,3.953112,3.993043,0.000000,0.348547
0.020000,6.959286,2.463641,2.063205,4.032973,3.993043,0.000000,0.370495
0.020000,7.034870,2.494007,2.144663,4.112834,3.993043,0.000000,0.393665
0.020000,7.111179,2.526794,2.227718,4.192695,3.993043,0.000000,0.418105
0.020000,7.188091,2.562153,2.312371,4.272556,3.993043,0.000000,0.443855
0.020000,7.265475,2.600235,2.398621,4.352416,3.993043,0.000000,0.470949
0.020000,7.343184,2.641197,2.486468,4.432277,3.993043,-0.000000,0.499406
0.020000,7.421056,2.685191,2.575912,4.512138,3.993043,0.000000,0.529233
0.020000,7.498913,2.732366,2.666953,4.591999,3.993043,0.000000,0.560419
0.020000,7.576572,2.782871,2.759592,4.671860,3.993043,0.000000,0.592932
0.020000,7.653821,2.836835,2.853828,4.751721,3.993043,0.000000,0.626714
0.020000,7.730445,2.894381,2.949661,4.831582,3.993043,0.000000,0.661679
0.020000,7.806220,2.955615,3.047091,4.911442,3.993043,0.000000,0.697717
0.020000,7.880915,3.020624,3.146118,4.991303,3.993043,0.000000,0.734683
0.020000,7.954293,3.089469,3.246743,5.071164,3.993043,0.000000,0.772407
0.020000,8.026123,3.162190,3.348965,5.151025,3.993043,-0.000000,0.810693
0.020000,8.096180,3.238799,3.452784,5.230886,3.993043,0.000000,0.849322
0.020000,8.164252,3.319281,3.558200,5.310747,3.993043,-0.000000,0.888064
0.020000,8.230143,3.403595,3.665214,5.390608,3.993043,0.000000,0.926678
0.020000,8.293679,3.491675,3.773825,5.470468,3.993043,0.000000,0.964926
0.020000,8.354710,3.583432,3.884033,5.550329,3.993043,0.000000,1.002577
0.020000,8.413115,3.678762,3.995838,5.630190,3.993043,0.000000,1.039417
0.020000,8.468802,3.777543,4.109240,5.710051,3.993043,0.000000,1.075253
0.020000,8.521706,3.879644,4.224240,5.789912,3.993043,0.000000,1.109916
0.020000,8.571794,3.984928,4.340837,5.869773,3.993043,-0.000000,1.143269
0.020000,8.619057,4.093256,4.459031,5.949633,3.993043,0.000000,1.175199
0.020000,8.663513,4.204487,4.578822,6.029494,3.993043,0.000000,1.205624
0.020000,8.705202,4.318488,4.700210,6.109355,3.993043,0.000000,1.234485
0.020000,8.744181,4.435130,4.823196,6.189216,3.993043,0.000000,1.261748
0.020000,8.780528,4.554289,4.947779,6.269077,3.993043,0.000000,1.287398
0.020000,8.814332,4.675853,5.073959,6.348938,3.993043,0.000000,1.311434
0.020000,8.845695,4.799719,5.201737,6.428799,3.993043,0.000000,1.333869
0.020000,8.874728,4.925791,5.331111,6.508659,3.993043,-0.000000,1.354726
0.020000,8.901552,5.053985,5.462083,6.588520,3.993043,0.000000,1.374033
0.020000,8.926292,5.184223,5.594652,6.668381,3.993043,-0.000000,1.391823
0.020000,8.949081,5.316438,5.728818,6.748242,3.993043,0.000000,1.408130
0.020000,8.970054,5.450571,5.864582,6.828103,3.993043,0.000000,1.422988
0.020000,8.989352,5.586569,6.001942,6.907964,3.993043,0.000000,1.436429
0.020000,9.007119,5.724385,6.140900,6.987825,3.993043,0.000000,1.448484
0.020000,9.023505,5.863981,6.281455,7.067685,3.993043,0.000000,1.459178
0.020000,9.038661,6.005323,6.423608,7.147546,3.993043,0.000000,1.468532
0.020000,9.052744,6.148380,6.567357,7.227407,3.993043,0.000000,1.476562
0.020000,9.065918,6.293129,6.712704,7.307268,3.993043,0.000000,1.483276
0.020000,9.078347,6.439506,6.859608,7.383136,3.793390,-9.982606,1.488677
0.020000,9.090200,6.587413,7.007989,7.455011,3.593738,-9.982606,1.492757
0.020000,9.101654,6.736754,7.157768,7.522892,3.394086,-9.982606,1.495506
0.020000,9.112897,6.887432,7.308865,7.586781,3.194434,-9.982606,1.496904
0.020000,9.124124,7.039352,7.461200,7.646677,2.994782,-9.982606,1.496928
0.020000,9.135539,7.192420,7.614692,7.702579,2.795130,-9.982606,1.495545
0.020000,9.147360,7.346538,7.769263,7.754489,2.595478,-9.982606,1.492713
0.020000,9.159811,7.501608,7.924832,7.802405,2.395826,-9.982606,1.488381
0.020000,9.173133,7.657527,8.081319,7.846329,2.196173,-9.982606,1.482489
0.020000,9.187576,7.814188,8.238645,7.886259,1.996521,-9.982606,1.474965
0.020000,9.203406,7.971478,8.396730,7.922197,1.796869,-9.982606,1.465724
0.020000,9.220906,8.129273,8.555493,7.954141,1.597217,-9.982606,1.454669
0.020000,9.240372,8.287441,8.714855,7.982092,1.397565,-9.982606,1.441690
0.020000,9.262119,8.445835,8.874737,8.006050,1.197913,-9.982606,1.426661
0.020000,9.286483,8.604292,9.035057,8.026016,0.998261,-9.982606,1.409444
0.020000,9.313814,8.762627,9.195738,8.041988,0.798609,-9.982606,1.389886
0.020000,9.344486,8.920635,9.356697,8.053967,0.598956,-9.982606,1.367821
0.020000,9.378886,9.078075,9.517856,8.061953,0.399304,-9.982606,1.343075
0.020000,9.417422,9.234678,9.679135,8.065946,0.199652,-9.982606,1.315469
0.020000,9.460508,9.390123,9.840447,8.065245,-0.035074,-11.736295,1.284828
0.020000,9.508563,9.544046,10.001705,8.060550,-0.234726,-9.982606,1.250991
0.020000,9.562004,9.696039,10.162829,8.051862,-0.434378,-9.982606,1.213823
0.020000,9.621232,9.845641,10.323740,8.039182,-0.634030,-9.982606,1.173240
0.020000,9.686613,9.992333,10.484357,8.022508,-0.833682,-9.982606,1.129224
0.020000,9.758460,10.135551,10.644600,8.001842,-1.033334,-9.982606,1.081855
0.020000,9.837006,10.274683,10.804390,7.977182,-1.232987,-9.982606,1.031332
0.020000,9.922386,10.409097,10.963647,7.948529,-1.432639,-9.982606,0.977993
0.020000,10.014609,10.538156,11.122292,7.915883,-1.632291,-9.982606,0.922320
0.020000,10.113549,10.661251,11.280243,7.879244,-1.831943,-9.982606,0.864932
0.020000,10.218933,10.777836,11.437421,7.838612,-2.031595,-9.982606,0.806552
0.020000,10.330351,10.887457,11.593747,7.793988,-2.231247,-9.982606,0.747962
0.020000,10.447272,10.989779,11.749141,7.745370,-2.430899,-9.982606,0.689944
0.020000,10.569076,11.084600,11.903522,7.692759,-2.630551,-9.982606,0.633223
0.020000,10.695082,11.171859,12.056811,7.636154,-2.830204,-9.982606,0.578418
0.020000,10.824587,11.251622,12.208928,7.575557,-3.029856,-9.982606,0.526015
0.020000,10.956898,11.324073,12.359794,7.510967,-3.229508,-9.982606,0.476355
0.020000,11.084840,11.386495,12.509327,7.442384,-3.429160,-9.982606,0.433078
0.020000,11.219697,11.447759,12.657449,7.369808,-3.628812,-9.982606,0.419754
0.020000,11.353987,11.506634,12.804080,7.293238,-3.828464,-9.982606,0.406627
0.020000,11.487592,11.563147,12.949146,7.213378,-3.993043,-8.228918,0.393714
0.020000,11.620430,11.617342,13.092615,7.133517,-3.993043,0.000000,0.381026
0.020000,11.752453,11.669278,13.234486,7.053656,-3.993043,0.000000,0.368569
0.020000,11.883613,11.719014,13.374761,6.973795,-3.993043,0.000000,0.356349
0.020000,12.013865,11.766612,13.513438,6.893934,-3.993043,0.000000,0.344372
0.020000,12.143166,11.812132,13.650518,6.814073,-3.993043,0.000000,0.332643
0.020000,12.271473,11.855635,13.786001,6.734212,-3.993043,0.000000,0.321165
0.020000,12.398748,11.897184,13.919887,6.654352,-3.993043,-0.000000,0.309941
0.020000,12.524952,11.936840,14.052175,6.574491,-3.993043,0.000000,0.298973
0.020000,12.650050,11.974662,14.182866,6.494630,-3.993043,0.000000,0.288263
0.020000,12.774008,12.010713,14.311960,6.414769,-3.993043,0.000000,0.277812
0.020000,12.896792,12.045053,14.439457,6.334908,-3.993043,0.000000,0.267621
0.020000,13.018374,12.077741,14.565357,6.255047,-3.993043,0.000000,0.257688
0.020000,13.138724,12.108835,14.689659,6.175187,-3.993043,0.000000,0.248013
0.020000,13.257815,12.138395,14.812364,6.095326,-3.993043,0.000000,0.238595
0.020000,13.375621,12.166476,14.933472,6.015465,-3.993043,0.000000,0.229432
0.020000,13.492120,12.193136,15.052983,5.935604,-3.993043,-0.000000,0.220521
0.020000,13.607289,12.218428,15.170896,5.855743,-3.993043,0.000000,0.211861
0.020000,13.721106,12.242407,15.287213,5.775882,-3.993043,0.000000,0.203448
0.020000,13.833553,12.265126,15.401932,5.696021,-3.993043,0.000000,0.195279
0.020000,13.944611,12.286634,15.515053,5.616161,-3.993043,0.000000,0.187350
0.020000,14.054263,12.306984,15.626578,5.536300,-3.993043,0.000000,0.179658
0.020000,14.162493,12.326222,15.736505,5.456439,-3.993043,0.000000,0.172200
0.020000,14.269288,12.344398,15.844836,5.376578,-3.993043,-0.000000,0.164970
0.020000,14.374632,12.361556,15.951569,5.296717,-3.993043,0.000000,0.157965
0.020000,14.478515,12.377741,16.056704,5.216856,-3.993043,-0.000000,0.151180
0.020000,14.580923,12.392997,16.160243,5.136995,-3.993043,0.000000,0.144611
0.020000,14.681846,12.407366,16.262184,5.057135,-3.993043,0.000000,0.138253
0.020000,14.781275,12.420888,16.362528,4.977274,-3.993043,-0.000000,0.132102
0.020000,14.879199,12.433603,16.461275,4.897413,-3.993043,0.000000,0.126152
0.020000,14.975612,12.445548,16.558425,4.817552,-3.993043,0.000000,0.120401
0.020000,15.070504,12.456760,16.653977,4.737691,-3.993043,0.000000,0.114842
0.020000,15.163869,12.467275,16.747932,4.657830,-3.993043,0.000000,0.109471
0.020000,15.255700,12.477126,16.840290,4.577969,-3.993043,0.000000,0.104283
0.020000,15.345991,12.486347,16.931051,4.498109,-3.993043,-0.000000,0.099274
0.020000,15.434737,12.494969,17.020215,4.418248,-3.993043,0.000000,0.094439
0.020000,15.521932,12.503023,17.107781,4.338387,-3.993043,-0.000000,0.089774
0.020000,15.607572,12.510537,17.193750,4.258526,-3.993043,0.000000,0.085274
0.020000,15.691652,12.517540,17.278122,4.178665,-3.993043,0.000000,0.080934
0.020000,15.774170,12.524059,17.360897,4.098804,-3.993043,0.000000,0.076751
0.020000,15.855121,12.530119,17.442074,4.018944,-3.993043,0.000000,0.072719
0.020000,15.934502,12.535747,17.521654,3.939083,-3.993043,0.000000,0.068836
0.020000,16.012310,12.540965,17.599638,3.859222,-3.993043,-0.000000,0.065096
0.020000,16.088543,12.545796,17.676023,3.779361,-3.993043,0.000000,0.061495
0.020000,16.163198,12.550262,17.750812,3.699500,-3.993043,0.000000,0.058030
0.020000,16.236273,12.554385,17.824003,3.619639,-3.993043,0.000000,0.054696
0.020000,16.307766,12.558184,17.895598,3.539778,-3.993043,-0.000000,0.051490
0.020000,16.377676,12.561679,17.965594,3.459918,-3.993043,0.000000,0.048408
0.020000,16.446001,12.564887,18.033994,3.380057,-3.993043,-0.000000,0.045447
0.020000,16.512738,12.567827,18.100797,3.300196,-3.993043,0.000000,0.042602
0.020000,16.577888,12.570515,18.166002,3.220335,-3.993043,-0.000000,0.039870
0.020000,16.641449,12.572966,18.229610,3.140474,-3.993043,0.000000,0.037248
0.020000,16.703420,12.575198,18.291621,3.060613,-3.993043,0.000000,0.034733
0.020000,16.763799,12.577223,18.352035,2.980752,-3.993043,0.000000,0.032321
0.020000,16.822587,12.579055,18.410851,2.900892,-3.993043,0.000000,0.030010
0.020000,16.879783,12.580709,18.468070,2.821031,-3.993043,-0.000000,0.027796
0.020000,16.935385,12.582195,18.523692,2.741170,-3.993043,0.000000,0.025676
0.020000,16.989393,12.583527,18.577717,2.661309,-3.993043,-0.000000,0.023648
0.020000,17.041807,12.584716,18.630145,2.581448,-3.993043,0.000000,0.021709
0.020000,17.092627,12.585772,18.680975,2.501587,-3.993043,0.000000,0.019855
0.020000,17.141851,12.586706,18.730208,2.421726,-3.993043,0.000000,0.018086
0.020000,17.189480,12.587527,18.777844,2.341866,-3.993043,0.000000,0.016397
0.020000,17.235513,12.588245,18.823883,2.262005,-3.993043,0.000000,0.014787
0.020000,17.279950,12.588868,18.868324,2.182144,-3.993043,0.000000,0.013254
0.020000,17.322791,12.589405,18.911169,2.102283,-3.993043,-0.000000,0.011795
0.020000,17.364035,12.589862,18.952416,2.022422,-3.993043,0.000000,0.010408
0.020000,17.403683,12.590249,18.992065,1.942561,-3.993043,0.000000,0.009091
0.020000,17.441734,12.590571,19.030118,1.862701,-3.993043,0.000000,0.007842
0.020000,17.478189,12.590835,19.066574,1.782840,-3.993043,0.000000,0.006659
0.020000,17.513046,12.591048,19.101432,1.702979,-3.993043,0.000000,0.005540
0.020000,17.546307,12.591215,19.134693,1.623118,-3.993043,-0.000000,0.004484
0.020000,17.577970,12.591341,19.166356,1.543257,-3.993043,0.000000,0.003490
0.020000,17.608037,12.591432,19.196423,1.463396,-3.993043,0.000000,0.002555
0.020000,17.636506,12.591492,19.224892,1.383535,-3.993043,0.000000,0.001678
0.020000,17.663378,12.591526,19.251764,1.303675,-3.993043,-0.000000,0.000857
0.020000,17.688653,12.591538,19.277039,1.223814,-3.993043,0.000000,0.000092
0.020000,17.712331,12.591532,19.300717,1.143953,-3.993043,0.000000,6.282567
0.020000,17.734411,12.591511,19.322797,1.064092,-3.993043,0.000000,6.281909
0.020000,17.754894,12.591478,19.343281,0.984231,-3.993043,-0.000000,6.281303
0.020000,17.773780,12.591438,19.362167,0.904370,-3.993043,0.000000,6.280748
0.020000,17.791069,12.591391,19.379455,0.824509,-3.993043,0.000000,6.280243
0.020000,17.806768,12.591341,19.395154,0.745350,-3.957969,1.753689,6.279787
0.020000,17.820923,12.591290,19.409309,0.670184,-3.758317,9.982606,6.279378
0.020000,17.833615,12.591240,19.422001,0.599010,-3.558665,9.982606,6.279013
0.020000,17.844923,12.591191,19.433310,0.531830,-3.359012,9.982606,6.278690
0.020000,17.854928,12.591144,19.443314,0.468643,-3.159360,9.982606,6.278404
0.020000,17.863708,12.591101,19.452095,0.409449,-2.959708,9.982606,6.278154
0.020000,17.871345,12.591062,19.459732,0.354248,-2.760056,9.982606,6.277938
0.020000,17.877918,12.591027,19.466305,0.303040,-2.560404,9.982606,6.277752
0.020000,17.883507,12.590996,19.471894,0.255825,-2.360752,9.982606,6.277594
0.020000,17.888191,12.590969,19.476578,0.212603,-2.161100,9.982606,6.277462
0.020000,17.892051,12.590947,19.480438,0.173374,-1.961448,9.982606,6.277354
0.020000,17.895166,12.590929,19.483553,0.138138,-1.761795,9.982606,6.277266
0.020000,17.897616,12.590914,19.486003,0.106895,-1.562143,9.982606,6.277197
0.020000,17.899481,12.590903,19.487869,0.079645,-1.362491,9.982606,6.277145
0.020000,17.900842,12.590895,19.489229,0.056388,-1.162839,9.982606,6.277107
0.020000,17.901777,12.590889,19.490164,0.037125,-0.963187,9.982606,6.277081
0.020000,17.902366,12.590886,19.490754,0.021854,-0.763535,9.982606,6.277064
0.020000,17.902691,12.590884,19.491078,0.010576,-0.563883,9.982606,6.277055
0.020000,17.902829,12.590883,19.491217,0.003292,-0.364230,9.982606,6.277051
0.020000,17.902862,12.590882,19.491250,0.000000,-0.164578,9.982606,6.277050
0.020000,17.902862,12.590882,19.491250,0.000000,0.000000,8.228918,6.277050
