dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.950333,1.196989,0.000040,0.003993,0.199652,9.982606,6.280977
0.020000,4.950350,1.196989,0.000057,0.000835,-0.157890,-17.877097,6.280994
0.020000,4.950388,1.196989,0.000094,0.001879,0.052209,10.504936,6.281034
0.020000,4.950454,1.196989,0.000161,0.003342,0.073109,1.045018,6.281104
0.020000,4.950559,1.196989,0.000266,0.005222,0.094035,1.046307,6.281214
0.020000,4.950709,1.196988,0.000416,0.007522,0.115004,1.048418,6.281372
0.020000,4.950914,1.196988,0.000621,0.010243,0.136035,1.051558,6.281588
0.020000,4.951182,1.196988,0.000889,0.013386,0.157154,1.055936,6.281870
0.020000,4.951521,1.196987,0.001228,0.016954,0.178389,1.061762,6.282227
0.020000,4.951940,1.196987,0.001647,0.020949,0.199774,1.069248,6.282668
0.020000,4.952600,1.196987,0.002307,0.032998,0.602454,20.134013,0.000017
0.020000,4.958962,1.196989,0.008669,0.318124,14.256283,682.691464,0.000655
0.020000,4.966424,1.196996,0.016130,0.373056,2.746609,-575.483711,0.001404
0.020000,4.975070,1.197012,0.024777,0.432340,2.964168,10.877937,0.002275
0.020000,4.985017,1.197040,0.034724,0.497340,3.249995,14.291347,0.003280
0.020000,4.996320,1.197084,0.046027,0.565168,3.391426,7.071544,0.004427
0.020000,5.009105,1.197148,0.058811,0.639217,3.702422,15.549797,0.005728
0.020000,5.023432,1.197241,0.073139,0.716366,3.857486,7.753225,0.007194
0.020000,5.039402,1.197369,0.089110,0.798557,4.109560,12.603681,0.008836
0.020000,5.057119,1.197542,0.106827,0.885863,4.365269,12.785458,0.010669
0.020000,5.076616,1.197770,0.126326,0.974933,4.453502,4.411653,0.012698
0.020000,5.097900,1.198064,0.147612,1.064303,4.468526,0.751202,0.014929
0.020000,5.120975,1.198436,0.170690,1.153919,4.480794,0.613384,0.017366
0.020000,5.145846,1.198901,0.195565,1.243725,4.490278,0.474218,0.020014
0.020000,5.172517,1.199473,0.222242,1.333880,4.507743,0.873258,0.022880
0.020000,5.201005,1.200169,0.250739,1.424835,4.547761,2.000881,0.025970
0.020000,5.231297,1.201006,0.281043,1.515181,4.517322,-1.521933,0.029289
0.020000,5.263412,1.202004,0.313173,1.606530,4.567430,2.505410,0.032846
0.020000,5.297348,1.203184,0.347129,1.697806,4.563813,-0.180864,0.036649
0.020000,5.333125,1.204568,0.382933,1.790188,4.619076,2.763153,0.040707
0.020000,5.370736,1.206181,0.420579,1.882298,4.605534,-0.677105,0.045028
0.020000,5.410195,1.208050,0.460082,1.975121,4.641124,1.779482,0.049623
0.020000,5.451510,1.210202,0.501454,2.068598,4.673842,1.635907,0.054504
0.020000,5.494693,1.212670,0.544707,2.162670,4.703636,1.489682,0.059682
0.020000,5.539751,1.215486,0.589853,2.257280,4.730467,1.341557,0.065170
0.020000,5.586689,1.218686,0.636900,2.352366,4.754314,1.192371,0.070982
0.020000,5.635520,1.222309,0.685864,2.448228,4.793113,1.939933,0.077132
0.020000,5.686263,1.226396,0.736772,2.545392,4.858204,3.254585,0.083639
0.020000,5.738915,1.230992,0.789624,2.642575,4.859130,0.046301,0.090518
0.020000,5.793492,1.236145,0.844444,2.741018,4.922149,3.150942,0.097788
0.020000,5.850015,1.241909,0.901259,2.840766,4.987412,3.263153,0.105471
0.020000,5.908483,1.248338,0.960081,2.941067,5.015015,1.380147,0.113587
0.020000,5.968912,1.255493,1.020932,3.042535,5.073408,2.919651,0.122159
