dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.904578,25.702218,0.000040,0.003985,0.199266,9.963278,0.001512
0.020000,4.904594,25.702218,0.000056,0.000813,-0.158623,-17.894444,0.001495
0.020000,4.904631,25.702218,0.000093,0.001829,0.050809,10.471592,0.001456
0.020000,4.904696,25.702218,0.000158,0.003252,0.071148,1.016968,0.001388
0.020000,4.904798,25.702218,0.000259,0.005082,0.091512,1.018192,0.001281
0.020000,4.904944,25.702218,0.000406,0.007321,0.111916,1.020197,0.001127
0.020000,4.905143,25.702219,0.000605,0.009968,0.132379,1.023179,0.000917
0.020000,4.905404,25.702219,0.000866,0.013027,0.152926,1.027337,0.000642
0.020000,4.905734,25.702219,0.001196,0.016498,0.173583,1.032869,0.000295
0.020000,4.907387,25.702219,0.002849,0.082661,3.308149,156.728263,6.283051
0.020000,4.912706,25.702217,0.008168,0.265965,9.165196,292.852354,6.282531
0.020000,4.919033,25.702211,0.014494,0.316312,2.517341,-332.392747,6.281911
0.020000,4.926463,25.702198,0.021924,0.371500,2.759410,12.103439,6.281180
0.020000,4.935078,25.702178,0.030540,0.430794,2.964682,10.263636,6.280332
0.020000,4.944977,25.702144,0.040439,0.494922,3.206387,12.085213,6.279354
0.020000,4.956239,25.702095,0.051701,0.563117,3.409770,10.169179,6.278237
0.020000,4.968957,25.702024,0.064420,0.635930,3.640632,11.543111,6.276970
0.020000,4.983224,25.701925,0.078687,0.713358,3.871437,11.540232,6.275543
0.020000,4.999130,25.701791,0.094593,0.795303,4.097220,11.289143,6.273945
0.020000,5.016766,25.701612,0.112230,0.881837,4.326709,11.474451,6.272162
0.020000,5.036177,25.701379,0.131642,0.970637,4.439982,5.663640,6.270187
0.020000,5.057364,25.701081,0.152832,1.059461,4.441225,0.062146,6.268018
0.020000,5.080338,25.700705,0.175808,1.148828,4.468343,1.355906,6.265647
0.020000,5.105094,25.700239,0.200569,1.238056,4.461401,-0.347075,6.263072
0.020000,5.131649,25.699668,0.227130,1.328058,4.500082,1.934053,6.260286
0.020000,5.159999,25.698976,0.255489,1.417929,4.493562,-0.325985,6.257284
0.020000,5.190152,25.698146,0.285653,1.508187,4.512903,0.967007,6.254059
0.020000,5.222112,25.697160,0.317628,1.598777,4.529488,0.829286,6.250605
0.020000,5.255885,25.695997,0.351421,1.689642,4.543289,0.690037,6.246913
0.020000,5.291486,25.694635,0.387048,1.781337,4.584740,2.072566,6.242975
0.020000,5.328909,25.693051,0.424505,1.872859,4.576093,-0.432389,6.238782
0.020000,5.368173,25.691219,0.463812,1.965345,4.624274,2.409062,6.234326
0.020000,5.409279,25.689112,0.504971,2.057955,4.630508,0.311695,6.229594
0.020000,5.452236,25.686700,0.547996,2.151243,4.664395,1.694382,6.224577
0.020000,5.497055,25.683951,0.592899,2.245151,4.695425,1.551502,6.219262
0.020000,5.543743,25.680830,0.639691,2.339622,4.723558,1.406632,6.213635
0.020000,5.592307,25.677303,0.688383,2.434598,4.748770,1.260606,6.207684
0.020000,5.642767,25.673326,0.739000,2.530822,4.811198,3.121396,6.201391
0.020000,5.695121,25.668860,0.791544,2.627219,4.819848,0.432497,6.194743
0.020000,5.749385,25.663856,0.846038,2.724696,4.873858,2.700508,6.187719
0.020000,5.805571,25.658266,0.902502,2.823194,4.924896,2.551881,6.180303
0.020000,5.863691,25.652036,0.960955,2.922652,4.972908,2.400587,6.172472
0.020000,5.923753,25.645109,1.021415,3.023009,5.017867,2.247989,6.164205
0.020000,5.985766,25.637422,1.083902,3.124347,5.066898,2.451558,6.155480
0.020000,6.049747,25.628908,1.148447,3.227257,5.145473,3.928737,6.146269
0.020000,6.115704,25.619495,1.215072,3.331255,5.199907,2.721709,6.136547
0.020000,6.183645,25.609105,1.283804,3.436586,5.266566,3.332947,6.126283
0.020000,6.253583,25.597653,1.354672,3.543425,5.341965,3.769952,6.115448
0.020000,6.325529,25.585049,1.427715,3.652111,5.434282,4.615839,6.104007
0.020000,6.399485,25.571194,1.502957,3.762105,5.499699,3.270842,6.091924
0.020000,6.475458,25.555982,1.580439,3.874088,5.599151,4.972615,6.079162
0.020000,6.553455,25.539297,1.660200,3.988070,5.699081,4.996508,6.065680
0.020000,6.633473,25.521017,1.742279,4.103954,5.794229,4.757360,6.051435
0.020000,6.715508,25.501008,1.826720,4.222023,5.903443,5.460716,6.036383
0.020000,6.799552,25.479125,1.913566,4.342314,6.014526,5.554173,6.020475
0.020000,6.885593,25.455212,2.002868,4.465102,6.139394,6.243371,6.003661
0.020000,6.973607,25.429104,2.094672,4.590218,6.255845,5.822537,5.985891
0.020000,7.063561,25.400622,2.189028,4.717789,6.378539,6.134721,5.967113
0.020000,7.155415,25.369575,2.285987,4.847955,6.508306,6.488325,5.947271
0.020000,7.249115,25.335760,2.385602,4.980729,6.638665,6.517994,5.926314
0.020000,7.344584,25.298963,2.487917,5.115768,6.751974,5.665410,5.904189
0.020000,7.441738,25.258958,2.592985,5.253415,6.882362,6.519442,5.880847
0.020000,7.540460,25.215510,2.700845,5.392983,6.978398,4.801776,5.856242
0.020000,7.640615,25.168379,2.811536,5.534528,7.077220,4.941119,5.830336
0.020000,7.742034,25.117318,2.925083,5.677357,7.141463,3.212135,5.803099
0.020000,7.844522,25.062082,3.041508,5.821274,7.195834,2.718568,5.774512
0.020000,7.947844,25.002430,3.160814,5.965272,7.199939,0.205254,5.744571
0.020000,8.051728,24.938135,3.282984,6.108498,7.161276,-1.933159,5.713291
0.020000,8.155865,24.868990,3.407987,6.250154,7.082804,-3.923599,5.680706
0.020000,8.259909,24.794813,3.535765,6.388919,6.938243,-7.228088,5.646877
0.020000,8.363480,24.715461,3.666240,6.523730,6.740548,-9.884730,5.611888
0.020000,8.466162,24.630836,3.799300,6.653015,6.464269,-13.813945,5.575854
0.020000,8.567522,24.540894,3.934812,6.775605,6.129510,-16.737973,5.538917
0.020000,8.667111,24.445649,4.072614,6.890115,5.725499,-20.200520,5.501247
0.020000,8.764482,24.345182,4.212524,6.995489,5.268699,-22.840034,5.463036
0.020000,8.859197,24.239633,4.354339,7.090725,4.761783,-25.345791,5.424498
0.020000,8.950846,24.129209,4.497841,7.175139,4.220698,-27.054231,5.385860
0.020000,9.039061,24.014167,4.642812,7.248553,3.670695,-27.500171,5.347356
0.020000,9.123522,23.894810,4.789031,7.310930,3.118851,-27.592160,5.309216
0.020000,9.203971,23.771473,4.936286,7.362733,2.590170,-26.434074,5.271663
0.020000,9.280214,23.644513,5.084380,7.404697,2.098185,-24.599262,5.234906
0.020000,9.352122,23.514291,5.233136,7.437823,1.656316,-22.093440,5.199129
0.020000,9.419631,23.381164,5.382402,7.463313,1.274496,-19.090977,5.164495
0.020000,9.482737,23.245471,5.532051,7.482438,0.956259,-15.911894,5.131136
0.020000,9.541486,23.107531,5.681982,7.496519,0.704009,-12.612500,5.099160
0.020000,9.595972,22.967630,5.832118,7.506836,0.515893,-9.405774,5.068645
0.020000,9.646323,22.826023,5.982410,7.514580,0.387181,-6.435595,5.039646
0.020000,9.692695,22.682934,6.132826,7.520801,0.311056,-3.806271,5.012195
0.020000,9.735266,22.538553,6.283352,7.526303,0.275110,-1.797306,4.986305
0.020000,9.774229,22.393039,6.433992,7.532013,0.285501,0.519561,4.961975
0.020000,9.809783,22.246525,6.584758,7.538311,0.314867,1.468310,4.939190
0.020000,9.842134,22.099116,6.735675,7.545826,0.375752,3.044259,4.917926
0.020000,9.871489,21.950901,6.886769,7.554707,0.444052,3.414977,4.898153
0.020000,9.898053,21.801946,7.038074,7.565254,0.527371,4.165969,4.879836
0.020000,9.922030,21.652304,7.189625,7.577553,0.614919,4.377384,4.862939
0.020000,9.943620,21.502015,7.341457,7.591598,0.702292,4.368662,4.847425
0.020000,9.963017,21.351110,7.493604,7.607348,0.787466,4.258704,4.833257
0.020000,9.980414,21.199611,7.646098,7.624701,0.867684,4.010888,4.820402
0.020000,9.995998,21.047537,7.798968,7.643515,0.940668,3.649215,4.808830
0.020000,10.009953,20.894902,7.952241,7.663605,1.004513,3.192267,4.798512
0.020000,10.022462,20.741716,8.105936,7.684757,1.057582,2.653447,4.789428
0.020000,10.033704,20.587993,8.260070,7.706715,1.097909,2.016342,4.781559
0.020000,10.043858,20.433743,8.414654,7.729190,1.123769,1.292981,4.774895
0.020000,10.053105,20.278980,8.569693,7.751941,1.137546,0.688847,4.769431
0.020000,10.061623,20.123721,8.725185,7.774600,1.132934,-0.230601,4.765168
0.020000,10.069593,19.968029,8.881081,7.794814,1.010726,-6.110391,4.762115
0.020000,10.077199,19.812009,9.037286,7.810272,0.772875,-11.892568,4.760289
0.020000,10.084627,19.655772,9.193700,7.820678,0.520321,-12.627694,4.759712
0.020000,10.092069,19.499434,9.350214,7.825718,0.251995,-13.416269,4.760413
0.020000,10.099722,19.343121,9.506715,7.825038,-0.034016,-14.300573,4.762430
0.020000,10.107789,19.186964,9.663080,7.818243,-0.339765,-15.287453,4.765805
0.020000,10.116477,19.031108,9.819178,7.804897,-0.667256,-16.374546,4.770595
