dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.906014,24.752219,0.000040,0.003985,0.199266,9.963278,0.001512
0.020000,4.906014,24.752219,0.000199,0.011956,0.398531,9.963278,0.001495
0.020000,4.906014,24.752219,0.000558,0.023912,0.597797,9.963278,0.001456
0.020000,4.906014,24.752219,0.001196,0.039853,0.797062,9.963278,0.001388
0.020000,4.906014,24.752219,0.002192,0.059780,0.996328,9.963278,0.001281
0.020000,4.906014,24.752219,0.003627,0.083692,1.195593,9.963278,0.001127
0.020000,4.906014,24.752219,0.005579,0.111589,1.394859,9.963278,0.000917
0.020000,4.906014,24.752219,0.008130,0.143471,1.594125,9.963278,0.000642
0.020000,4.906014,24.752219,0.011358,0.179339,1.793390,9.963278,0.000295
0.020000,4.907260,24.752219,0.015343,0.219192,1.992656,9.963278,6.283051
0.020000,4.912084,24.752217,0.020166,0.263031,2.191921,9.963278,6.282531
0.020000,4.917822,24.752211,0.025905,0.310854,2.391187,9.963278,6.281911
0.020000,4.924558,24.752200,0.032640,0.362663,2.590452,9.963278,6.281180
0.020000,4.932367,24.752181,0.040451,0.418458,2.789718,9.963278,6.280332
0.020000,4.941337,24.752151,0.049418,0.478237,2.988983,9.963278,6.279354
0.020000,4.951538,24.752107,0.059620,0.542002,3.188249,9.963278,6.278237
0.020000,4.963053,24.752042,0.071138,0.609753,3.387515,9.963278,6.276970
0.020000,4.975965,24.751953,0.084050,0.681488,3.586780,9.963278,6.275543
0.020000,4.990351,24.751831,0.098437,0.757209,3.786046,9.963278,6.273945
0.020000,5.006293,24.751670,0.114378,0.836915,3.985311,9.963278,6.272162
0.020000,5.023829,24.751459,0.131914,0.916622,3.985311,0.000000,6.270187
0.020000,5.042955,24.751190,0.151043,0.996328,3.985311,-0.000000,6.268018
0.020000,5.063677,24.750851,0.171767,1.076034,3.985311,0.000000,6.265647
0.020000,5.085988,24.750431,0.194085,1.155740,3.985311,-0.000000,6.263072
0.020000,5.109897,24.749917,0.217997,1.235447,3.985311,0.000000,6.260286
0.020000,5.135396,24.749295,0.243503,1.315153,3.985311,0.000000,6.257284
0.020000,5.162486,24.748549,0.270603,1.394859,3.985311,0.000000,6.254059
0.020000,5.191166,24.747664,0.299297,1.474565,3.985311,-0.000000,6.250605
0.020000,5.221433,24.746622,0.329585,1.554271,3.985311,0.000000,6.246913
0.020000,5.253296,24.745403,0.361468,1.633978,3.985311,-0.000000,6.242975
0.020000,5.286740,24.743987,0.394944,1.713684,3.985311,0.000000,6.238782
0.020000,5.321775,24.742353,0.430015,1.793390,3.985311,0.000000,6.234326
0.020000,5.358391,24.740476,0.466680,1.873096,3.985311,0.000000,6.229594
0.020000,5.396590,24.738331,0.504939,1.952803,3.985311,-0.000000,6.224577
0.020000,5.436369,24.735891,0.544792,2.032509,3.985311,-0.000000,6.219262
0.020000,5.477724,24.733127,0.586239,2.112215,3.985311,0.000000,6.213635
0.020000,5.520649,24.730009,0.629281,2.191921,3.985311,-0.000000,6.207684
0.020000,5.565149,24.726502,0.673916,2.271627,3.985311,0.000000,6.201391
0.020000,5.611210,24.722573,0.720146,2.351334,3.985311,-0.000000,6.194743
0.020000,5.658830,24.718182,0.767969,2.431040,3.985311,0.000000,6.187719
0.020000,5.708005,24.713290,0.817387,2.510746,3.985311,0.000000,6.180303
0.020000,5.758728,24.707853,0.868399,2.590452,3.985311,0.000000,6.172472
0.020000,5.810989,24.701825,0.921005,2.670159,3.985311,-0.000000,6.164205
0.020000,5.864775,24.695158,0.975206,2.749865,3.985311,0.000000,6.155480
0.020000,5.920082,24.687798,1.031000,2.829571,3.985311,0.000000,6.146269
0.020000,5.976896,24.679690,1.088389,2.909277,3.985311,0.000000,6.136547
0.020000,6.035199,24.670774,1.147371,2.988983,3.985311,0.000000,6.126283
0.020000,6.094978,24.660987,1.207948,3.068690,3.985311,0.000000,6.115448
0.020000,6.156219,24.650258,1.270119,3.148396,3.985311,0.000000,6.104007
0.020000,6.218892,24.638517,1.333884,3.228102,3.985311,0.000000,6.091924
0.020000,6.282978,24.625685,1.399243,3.307808,3.985311,-0.000000,6.079162
0.020000,6.348450,24.611680,1.466196,3.387515,3.985311,0.000000,6.065680
0.020000,6.415276,24.596415,1.534743,3.467221,3.985311,0.000000,6.051435
0.020000,6.483419,24.579794,1.604885,3.546927,3.985311,0.000000,6.036383
0.020000,6.552838,24.561720,1.676620,3.626633,3.985311,-0.000000,6.020475
0.020000,6.623490,24.542085,1.749950,3.706340,3.985311,0.000000,6.003661
0.020000,6.695320,24.520778,1.824874,3.786046,3.985311,-0.000000,5.985891
0.020000,6.768267,24.497682,1.901392,3.865752,3.985311,0.000000,5.967113
0.020000,6.842265,24.472671,1.979504,3.945458,3.985311,0.000000,5.947271
0.020000,6.917238,24.445615,2.059210,4.025164,3.985311,-0.000000,5.926314
0.020000,6.993096,24.416378,2.140511,4.104871,3.985311,0.000000,5.904189
0.020000,7.069746,24.384817,2.223405,4.184577,3.985311,-0.000000,5.880847
0.020000,7.147075,24.350786,2.307894,4.264283,3.985311,0.000000,5.856242
0.020000,7.224962,24.314135,2.393976,4.343989,3.985311,0.000000,5.830336
0.020000,7.303271,24.274711,2.481653,4.423696,3.985311,-0.000000,5.803099
0.020000,7.381854,24.232360,2.570924,4.503402,3.985311,0.000000,5.774512
0.020000,7.460544,24.186930,2.661789,4.583108,3.985311,-0.000000,5.744571
0.020000,7.539161,24.138276,2.754249,4.662814,3.985311,0.000000,5.713291
0.020000,7.617513,24.086253,2.848302,4.742520,3.985311,-0.000000,5.680706
0.020000,7.695390,24.030733,2.943949,4.822227,3.985311,0.000000,5.646877
