dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.907450,23.802220,0.000040,0.003985,0.199266,9.963278,0.001512
0.020000,4.907434,23.802220,0.000056,0.000813,-0.158623,-17.894444,0.001495
0.020000,4.907398,23.802220,0.000093,0.001829,0.050809,10.471592,0.001456
0.020000,4.907333,23.802220,0.000158,0.003252,0.071148,1.016968,0.001388
0.020000,4.907231,23.802220,0.000259,0.005082,0.091512,1.018192,0.001281
0.020000,4.907084,23.802220,0.000406,0.007321,0.111916,1.020197,0.001127
0.020000,4.906885,23.802219,0.000605,0.009968,0.132379,1.023179,0.000917
0.020000,4.906625,23.802219,0.000866,0.013027,0.152926,1.027337,0.000642
0.020000,4.906295,23.802219,0.001196,0.016498,0.173583,1.032869,0.000295
0.020000,4.907132,23.802219,0.002033,0.041875,1.268826,54.762137,6.283051
0.020000,4.911463,23.802217,0.006364,0.216522,8.732378,373.177583,6.282531
0.020000,4.916610,23.802212,0.011512,0.257396,2.043685,-334.434655,6.281911
0.020000,4.922653,23.802202,0.017554,0.302147,2.237540,9.692750,6.281180
0.020000,4.929657,23.802185,0.024558,0.350157,2.400497,8.147875,6.280332
0.020000,4.937696,23.802158,0.032597,0.401996,2.591941,9.572194,6.279354
0.020000,4.946837,23.802118,0.041738,0.457014,2.750929,7.949395,6.278237
0.020000,4.957149,23.802061,0.052050,0.515629,2.930716,8.989363,6.276970
0.020000,4.968705,23.801981,0.063606,0.577802,3.108680,8.898217,6.275543
0.020000,4.981573,23.801872,0.076475,0.643413,3.280553,8.593608,6.273945
0.020000,4.995821,23.801728,0.090724,0.712476,3.453127,8.628721,6.272162
0.020000,5.011482,23.801540,0.106385,0.783064,3.529407,3.813979,6.270187
0.020000,5.028546,23.801299,0.123452,0.853328,3.513230,-0.808834,6.268018
0.020000,5.047017,23.800997,0.141925,0.923649,3.516008,0.138921,6.265647
0.020000,5.066882,23.800623,0.161794,0.993437,3.489416,-1.329600,6.263072
0.020000,5.088145,23.800166,0.183061,1.063384,3.497376,0.397990,6.260286
0.020000,5.110793,23.799613,0.205716,1.132723,3.466909,-1.523340,6.257284
0.020000,5.134820,23.798952,0.229752,1.201820,3.454889,-0.601011,6.254059
0.020000,5.160220,23.798168,0.255164,1.270585,3.438231,-0.832887,6.250605
0.020000,5.186982,23.797247,0.281942,1.338921,3.416809,-1.071144,6.246913
0.020000,5.215106,23.796171,0.310087,1.407212,3.414519,-0.114482,6.242975
0.020000,5.244571,23.794924,0.339579,1.474606,3.369731,-2.239412,6.238782
0.020000,5.275377,23.793486,0.370418,1.541940,3.366698,-0.151643,6.234326
0.020000,5.307504,23.791839,0.402587,1.608488,3.327372,-1.966310,6.229594
0.020000,5.340944,23.789962,0.436080,1.674613,3.306259,-1.055632,6.224577
0.020000,5.375683,23.787831,0.470883,1.740195,3.279113,-1.357305,6.219262
0.020000,5.411704,23.785424,0.506986,1.805109,3.245716,-1.669852,6.213635
0.020000,5.448991,23.782715,0.544370,1.869227,3.205861,-1.992738,6.207684
0.020000,5.487532,23.779678,0.583031,1.933025,3.189932,-0.796448,6.201391
0.020000,5.527299,23.776286,0.622942,1.995584,3.127951,-3.099029,6.194743
0.020000,5.568275,23.772508,0.664092,2.057493,3.095434,-1.625875,6.187719
