dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.760962,14.608282,0.000039,0.003942,0.197096,9.854817,6.262724
0.020000,5.760959,14.608282,0.000042,0.000144,-0.189883,-19.348983,6.262727
0.020000,5.760953,14.608282,0.000049,0.000325,0.009015,9.944921,6.262734
0.020000,5.760941,14.608282,0.000060,0.000577,0.012618,0.180138,6.262746
0.020000,5.760923,14.608283,0.000078,0.000901,0.016216,0.179887,6.262765
0.020000,5.761560,14.608270,0.000715,0.031815,1.545706,76.474537,6.262793
0.020000,5.763455,14.608231,0.002611,0.094812,3.149843,80.206821,6.262830
0.020000,5.765932,14.608181,0.005088,0.123838,1.451280,-84.928122,6.262878
0.020000,5.769066,14.608117,0.008222,0.156735,1.644838,9.677866,6.262940
0.020000,5.772935,14.608039,0.012092,0.193503,1.838426,9.679421,6.263015
0.020000,5.777617,14.607945,0.016775,0.234144,2.032049,9.681166,6.263107
0.020000,5.783189,14.607833,0.022348,0.278658,2.225717,9.683406,6.263215
0.020000,5.789729,14.607703,0.028889,0.327047,2.419437,9.685997,6.263343
0.020000,5.797313,14.607553,0.036476,0.379312,2.613223,9.689270,6.263490
0.020000,5.806021,14.607382,0.045185,0.435453,2.807077,9.692712,6.263659
0.020000,5.815928,14.607190,0.055094,0.495474,3.001018,9.697051,6.263850
0.020000,5.827114,14.606975,0.066282,0.559375,3.195055,9.701840,6.264066
0.020000,5.839655,14.606736,0.078825,0.627159,3.389202,9.707333,6.264306
0.020000,5.853629,14.606474,0.092801,0.698828,3.583468,9.713315,6.264573
0.020000,5.869114,14.606188,0.108289,0.774386,3.777874,9.720313,6.264868
0.020000,5.886149,14.605879,0.125327,0.851898,3.875620,4.887316,6.265191
0.020000,5.904735,14.605548,0.143916,0.929431,3.876675,0.052749,6.265541
0.020000,5.924871,14.605196,0.164055,1.006988,3.877829,0.057654,6.265918
0.020000,5.946560,14.604826,0.185747,1.084570,3.879076,0.062398,6.266322
0.020000,5.969800,14.604439,0.208990,1.162178,3.880420,0.067166,6.266751
0.020000,5.994593,14.604037,0.233787,1.239815,3.881861,0.072076,6.267206
0.020000,6.020939,14.603623,0.260136,1.317483,3.883398,0.076848,6.267685
0.020000,6.048840,14.603197,0.288040,1.395184,3.885032,0.081667,6.268189
0.020000,6.078295,14.602763,0.317498,1.472919,3.886762,0.086542,6.268715
0.020000,6.109306,14.602323,0.348512,1.550691,3.888588,0.091293,6.269264
0.020000,6.141873,14.601879,0.381082,1.628501,3.890512,0.096199,6.269835
0.020000,6.175997,14.601433,0.415209,1.706352,3.892532,0.100973,6.270427
0.020000,6.211679,14.600989,0.450894,1.784245,3.894648,0.105828,6.271038
0.020000,6.248920,14.600548,0.488138,1.862182,3.896862,0.110693,6.271668
0.020000,6.287721,14.600114,0.526941,1.940165,3.899172,0.115485,6.272317
0.020000,6.328083,14.599689,0.567305,2.018197,3.901579,0.120345,6.272982
0.020000,6.370006,14.599275,0.609231,2.096279,3.904082,0.125176,6.273663
0.020000,6.413493,14.598876,0.652719,2.174412,3.906683,0.130025,6.274359
0.020000,6.458543,14.598495,0.697771,2.252600,3.909380,0.134878,6.275069
0.020000,6.505158,14.598133,0.744388,2.330843,3.912174,0.139667,6.275792
0.020000,6.553340,14.597795,0.792571,2.409145,3.915065,0.144560,6.276525
0.020000,6.603089,14.597482,0.842321,2.487506,3.918052,0.149365,6.277269
0.020000,6.654407,14.597198,0.893639,2.565928,3.921137,0.154220,6.278022
0.020000,6.707295,14.596945,0.946528,2.644415,3.924317,0.159038,6.278782
0.020000,6.761754,14.596726,1.000987,2.722967,3.927595,0.163890,6.279547
0.020000,6.817785,14.596544,1.057019,2.801586,3.930969,0.168698,6.280318
0.020000,6.875390,14.596401,1.114624,2.880275,3.934440,0.173543,6.281092
0.020000,6.934571,14.596300,1.173805,2.959035,3.938007,0.178360,6.281867
0.020000,6.995328,14.596244,1.234562,3.037868,3.941671,0.183176,6.282643
0.020000,7.057664,14.596234,1.296898,3.116777,3.945431,0.188001,0.000231
0.020000,7.121579,14.596274,1.360813,3.195763,3.949287,0.192812,0.001002
0.020000,7.187076,14.596365,1.426310,3.274827,3.953239,0.197624,0.001768
0.020000,7.254155,14.596509,1.493389,3.353973,3.957288,0.202427,0.002528
0.020000,7.322819,14.596708,1.562053,3.433202,3.961433,0.207231,0.003279
0.020000,7.393068,14.596965,1.632303,3.512515,3.965673,0.212036,0.004021
0.020000,7.464906,14.597280,1.704142,3.591916,3.970010,0.216821,0.004750
0.020000,7.538333,14.597655,1.777570,3.671404,3.974442,0.221621,0.005466
0.020000,7.613352,14.598092,1.852589,3.750984,3.978970,0.226414,0.006167
0.020000,7.689963,14.598591,1.929203,3.830656,3.983594,0.231185,0.006849
0.020000,7.768169,14.599153,2.007411,3.910422,3.988314,0.235993,0.007513
0.020000,7.847973,14.599778,2.087217,3.990285,3.993129,0.240767,0.008154
0.020000,7.929375,14.600467,2.168622,4.070245,3.998040,0.245532,0.008772
0.020000,8.012377,14.601220,2.251628,4.150306,4.003046,0.250328,0.009365
0.020000,8.096983,14.602037,2.336237,4.230469,4.008149,0.255128,0.009929
0.020000,8.183193,14.602916,2.422452,4.310736,4.013347,0.259884,0.010464
0.020000,8.270971,14.603857,2.510235,4.389148,3.920602,-4.637232,0.010965
0.020000,8.360240,14.604857,2.599510,4.463742,3.729686,-9.545784,0.011432
0.020000,8.450924,14.605914,2.690200,4.534512,3.538490,-9.559811,0.011861
0.020000,8.542947,14.607023,2.782229,4.601452,3.347000,-9.574525,0.012251
0.020000,8.636231,14.608183,2.875520,4.664556,3.155201,-9.589955,0.012598
0.020000,8.716068,14.609494,2.955368,3.992400,-33.607797,-1838.149875,0.022280
0.020000,8.799921,14.611893,3.039255,4.194360,10.098027,2185.291207,0.034849
0.020000,8.884986,14.615385,3.124392,4.256834,3.123694,-348.716686,0.047140
0.020000,8.971202,14.619974,3.210731,4.316936,3.005065,-5.931450,0.059120
0.020000,9.058509,14.625655,3.298222,4.374568,2.881612,-6.172607,0.070758
0.020000,9.146843,14.632420,3.386815,4.429631,2.753157,-6.422750,0.082025
0.020000,9.236140,14.640254,3.476455,4.482015,2.619201,-6.697819,0.092895
0.020000,9.326336,14.649137,3.567087,4.531609,2.479726,-6.973749,0.103344
0.020000,9.417365,14.659042,3.658653,4.578298,2.334451,-7.263735,0.113349
0.020000,9.509160,14.669940,3.751092,4.621968,2.183488,-7.548154,0.122891
0.020000,9.601653,14.681794,3.844342,4.662504,2.026765,-7.836152,0.131953
0.020000,9.694777,14.694565,3.938338,4.699791,1.864368,-8.119875,0.140520
0.020000,9.788464,14.708207,4.033013,4.733719,1.696421,-8.397356,0.148581
0.020000,9.882643,14.722672,4.128296,4.764181,1.523082,-8.666937,0.156125
0.020000,9.977211,14.737902,4.224083,4.789328,1.257361,-13.286042,0.163142
0.020000,10.072063,14.753836,4.320263,4.809025,0.984818,-13.627168,0.169625
0.020000,10.167126,14.770413,4.416761,4.824900,0.793760,-9.552863,0.175570
0.020000,10.262329,14.787572,4.513499,4.836863,0.598157,-9.780154,0.180978
0.020000,10.357600,14.805249,4.610395,4.844828,0.398239,-9.995928,0.185850
0.020000,10.452864,14.823379,4.707369,4.848712,0.194226,-10.200616,0.190188
0.020000,10.548049,14.841896,4.804338,4.848438,-0.013704,-10.396535,0.193997
0.020000,10.643078,14.860732,4.901217,4.843933,-0.225280,-10.578774,0.197283
0.020000,10.737878,14.879822,4.997919,4.835125,-0.440389,-10.755438,0.200054
0.020000,10.832371,14.899097,5.094358,4.821947,-0.658887,-10.924911,0.202318
0.020000,10.926480,14.918492,5.190445,4.804336,-0.880567,-11.084033,0.204087
0.020000,11.020126,14.937940,5.286090,4.782229,-1.105348,-11.239014,0.205371
0.020000,11.113230,14.957378,5.381201,4.755566,-1.333117,-11.388464,0.206184
0.020000,11.205711,14.976742,5.475687,4.724291,-1.563771,-11.532687,0.206540
0.020000,11.297485,14.995970,5.569454,4.688346,-1.797227,-11.672829,0.206454
0.020000,11.388469,15.015005,5.662407,4.647678,-2.033408,-11.809050,0.205943
0.020000,11.478576,15.033789,5.754452,4.602233,-2.272246,-11.941895,0.205023
0.020000,11.567720,15.052268,5.845491,4.551960,-2.513670,-12.071183,0.203714
0.020000,11.655811,15.070392,5.935427,4.496807,-2.757633,-12.198155,0.202036
0.020000,11.742758,15.088112,6.024162,4.436727,-3.004012,-12.318978,0.200009
0.020000,11.828506,15.105392,6.111633,4.373583,-3.157181,-7.658409,0.197654
0.020000,11.913038,15.122207,6.197821,4.309395,-3.209424,-2.612189,0.194991
0.020000,11.996339,15.138534,6.282707,4.244292,-3.255145,-2.286020,0.192038
0.020000,12.078394,15.154353,6.366273,4.178289,-3.300133,-2.249411,0.188815
0.020000,12.159187,15.169648,6.448501,4.111403,-3.344307,-2.208688,0.185341
0.020000,12.238702,15.184406,6.529374,4.043647,-3.387789,-2.174119,0.181633
0.020000,12.316922,15.198615,6.608875,3.975037,-3.430542,-2.137626,0.177710
0.020000,12.393832,15.212267,6.686986,3.905584,-3.472613,-2.103570,0.173589
0.020000,12.469413,15.225354,6.763692,3.835305,-3.513982,-2.068462,0.169288
0.020000,12.543649,15.237874,6.838977,3.764211,-3.554703,-2.036009,0.164824
0.020000,12.616522,15.249824,6.912823,3.692317,-3.594665,-1.998117,0.160214
0.020000,12.688015,15.261205,6.985216,3.619637,-3.634014,-1.967450,0.155474
0.020000,12.758109,15.272018,7.056139,3.546185,-3.672606,-1.929601,0.150621
0.020000,12.826788,15.282269,7.125579,3.471976,-3.710463,-1.892867,0.145670
0.020000,12.894033,15.291963,7.193519,3.397024,-3.747603,-1.856991,0.140637
0.020000,12.959828,15.301108,7.259946,3.321345,-3.783947,-1.817193,0.135538
0.020000,13.024154,15.309712,7.324845,3.244955,-3.819492,-1.777250,0.130388
0.020000,13.086995,15.317788,7.388203,3.167870,-3.854232,-1.737025,0.125200
0.020000,13.148333,15.325346,7.450005,3.090108,-3.888092,-1.692968,0.119990
0.020000,13.208152,15.332401,7.510239,3.011687,-3.921065,-1.648660,0.114771
0.020000,13.266436,15.338966,7.568891,2.932623,-3.953215,-1.607483,0.109557
0.020000,13.323168,15.345058,7.625950,2.852937,-3.984285,-1.553531,0.104360
0.020000,13.378334,15.350693,7.681403,2.772647,-4.014509,-1.511189,0.099194
0.020000,13.431919,15.355887,7.735238,2.691773,-4.043685,-1.458800,0.094071
0.020000,13.483907,15.360660,7.787445,2.610334,-4.071956,-1.413549,0.089003
0.020000,13.534285,15.365029,7.838012,2.528352,-4.099076,-1.356018,0.084001
0.020000,13.583039,15.369014,7.886929,2.445847,-4.125254,-1.308869,0.079076
0.020000,13.630157,15.372633,7.934186,2.362841,-4.150317,-1.253182,0.074239
0.020000,13.675626,15.375907,7.979773,2.279352,-4.174463,-1.207261,0.069500
0.020000,13.719435,15.378855,8.023681,2.195404,-4.197402,-1.146945,0.064868
0.020000,13.761573,15.381497,8.065901,2.111015,-4.219437,-1.101783,0.060353
0.020000,13.802029,15.383852,8.106425,2.026212,-4.240154,-1.035837,0.055964
0.020000,13.840793,15.385942,8.145246,1.941009,-4.260159,-1.000253,0.051709
0.020000,13.877855,15.387783,8.182354,1.855433,-4.278782,-0.931145,0.047596
0.020000,13.913209,15.389397,8.217744,1.769497,-4.296796,-0.900721,0.043632
0.020000,13.946844,15.390802,8.251409,1.683233,-4.313203,-0.820338,0.039824
0.020000,13.978754,15.392015,8.283342,1.596649,-4.329187,-0.799170,0.036179
0.020000,14.008931,15.393055,8.313537,1.509771,-4.343937,-0.737501,0.032704
0.020000,14.037370,15.393938,8.341990,1.422623,-4.357406,-0.673479,0.029404
0.020000,14.064064,15.394682,8.368694,1.335209,-4.370671,-0.663249,0.026284
0.020000,14.089008,15.395301,8.393645,1.247565,-4.382197,-0.576304,0.023349
0.020000,14.112196,15.395811,8.416839,1.159695,-4.393494,-0.564836,0.020605
0.020000,14.133625,15.396225,8.438272,1.071632,-4.403144,-0.482502,0.018055
0.020000,14.153289,15.396557,8.457939,0.983376,-4.412831,-0.484334,0.015703
0.020000,14.171186,15.396819,8.475838,0.894955,-4.421045,-0.410715,0.013553
0.020000,14.187355,15.397022,8.492008,0.808485,-4.323491,4.877698,0.011603
0.020000,14.201878,15.397178,8.506532,0.726214,-4.113559,10.496604,0.009844
0.020000,14.214843,15.397295,8.519498,0.648287,-3.896329,10.861472,0.008270
0.020000,14.226338,15.397382,8.530993,0.574725,-3.678101,10.911434,0.006870
0.020000,14.236448,15.397446,8.541104,0.505548,-3.458881,10.960976,0.005635
0.020000,14.245263,15.397491,8.549919,0.440759,-3.239414,10.973365,0.004557
0.020000,14.252871,15.397522,8.557527,0.380388,-3.018577,11.041828,0.003624
0.020000,14.259360,15.397543,8.564015,0.324437,-2.797549,11.051435,0.002827
0.020000,14.264818,15.397556,8.569474,0.272917,-2.576008,11.077025,0.002156
0.020000,14.269335,15.397565,8.573990,0.225838,-2.353936,11.103603,0.001600
0.020000,14.272999,15.397570,8.577654,0.183194,-2.132219,11.085849,0.001149
0.020000,14.275899,15.397573,8.580555,0.145017,-1.908819,11.169986,0.000791
0.020000,14.278125,15.397574,8.582780,0.111280,-1.686886,11.096653,0.000517
