dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.741526,13.658481,0.000039,0.003942,0.197096,9.854817,6.262724
0.020000,5.741526,13.658481,0.000197,0.011826,0.394193,9.854817,6.262727
0.020000,5.741526,13.658481,0.000552,0.023652,0.591289,9.854817,6.262734
0.020000,5.741526,13.658481,0.001183,0.039419,0.788385,9.854817,6.262746
0.020000,5.741526,13.658481,0.002168,0.059129,0.985482,9.854817,6.262765
0.020000,5.742188,13.658467,0.003587,0.082780,1.182578,9.854817,6.262793
0.020000,5.744119,13.658428,0.005519,0.110374,1.379674,9.854817,6.262830
0.020000,5.746641,13.658377,0.008042,0.141909,1.576771,9.854817,6.262878
0.020000,5.749834,13.658312,0.011234,0.177387,1.773867,9.854817,6.262940
0.020000,5.753775,13.658232,0.015176,0.216806,1.970963,9.854817,6.263015
0.020000,5.758544,13.658136,0.019946,0.260167,2.168060,9.854817,6.263107
0.020000,5.764219,13.658023,0.025623,0.307470,2.365156,9.854817,6.263215
0.020000,5.770879,13.657890,0.032284,0.358715,2.562252,9.854817,6.263343
0.020000,5.778604,13.657737,0.040011,0.413902,2.759349,9.854817,6.263490
0.020000,5.787472,13.657563,0.048880,0.473031,2.956445,9.854817,6.263659
0.020000,5.797561,13.657367,0.058971,0.536102,3.153541,9.854817,6.263850
0.020000,5.808951,13.657148,0.070363,0.603115,3.350638,9.854817,6.264066
0.020000,5.821721,13.656906,0.083135,0.674069,3.547734,9.854817,6.264306
0.020000,5.835949,13.656639,0.097366,0.748966,3.744830,9.854817,6.264573
0.020000,5.851714,13.656348,0.113133,0.827805,3.941927,9.854817,6.264868
0.020000,5.869055,13.656033,0.130478,0.906643,3.941927,-0.000000,6.265191
0.020000,5.887973,13.655696,0.149399,0.985482,3.941927,0.000000,6.265541
0.020000,5.908468,13.655338,0.169897,1.064320,3.941927,-0.000000,6.265918
0.020000,5.930540,13.654961,0.191972,1.143159,3.941927,0.000000,6.266322
0.020000,5.954188,13.654567,0.215623,1.221997,3.941927,-0.000000,6.266751
0.020000,5.979413,13.654159,0.240852,1.300836,3.941927,0.000000,6.267206
0.020000,6.006215,13.653737,0.267657,1.379674,3.941927,0.000000,6.267685
0.020000,6.034594,13.653304,0.296039,1.458513,3.941927,-0.000000,6.268189
0.020000,6.064549,13.652863,0.325997,1.537351,3.941927,0.000000,6.268715
0.020000,6.096081,13.652415,0.357533,1.616190,3.941927,0.000000,6.269264
0.020000,6.129190,13.651963,0.390645,1.695028,3.941927,0.000000,6.269835
0.020000,6.163876,13.651511,0.425334,1.773867,3.941927,0.000000,6.270427
0.020000,6.200139,13.651059,0.461600,1.852706,3.941927,0.000000,6.271038
0.020000,6.237979,13.650611,0.499442,1.931544,3.941927,0.000000,6.271668
0.020000,6.277396,13.650170,0.538861,2.010383,3.941927,0.000000,6.272317
0.020000,6.318390,13.649738,0.579857,2.089221,3.941927,0.000000,6.272982
0.020000,6.360960,13.649318,0.622430,2.168060,3.941927,0.000000,6.273663
0.020000,6.405108,13.648913,0.666580,2.246898,3.941927,0.000000,6.274359
0.020000,6.450833,13.648526,0.712306,2.325737,3.941927,-0.000000,6.275069
0.020000,6.498135,13.648159,0.759609,2.404575,3.941927,0.000000,6.275792
0.020000,6.547013,13.647816,0.808489,2.483414,3.941927,-0.000000,6.276525
0.020000,6.597469,13.647499,0.858946,2.562252,3.941927,0.000000,6.277269
0.020000,6.649502,13.647211,0.910979,2.641091,3.941927,0.000000,6.278022
0.020000,6.703111,13.646954,0.964589,2.719929,3.941927,-0.000000,6.278782
0.020000,6.758298,13.646732,1.019776,2.798768,3.941927,0.000000,6.279547
0.020000,6.815061,13.646548,1.076540,2.877606,3.941927,-0.000000,6.280318
0.020000,6.873401,13.646403,1.134881,2.956445,3.941927,0.000000,6.281092
0.020000,6.933319,13.646301,1.194798,3.035284,3.941927,0.000000,6.281867
0.020000,6.994813,13.646244,1.256292,3.114122,3.941927,-0.000000,6.282643
0.020000,7.057883,13.646234,1.319363,3.192961,3.941927,0.000000,0.000231
0.020000,7.122531,13.646274,1.384010,3.271799,3.941927,0.000000,0.001002
0.020000,7.188755,13.646366,1.450235,3.350638,3.941927,-0.000000,0.001768
0.020000,7.256556,13.646512,1.518036,3.429476,3.941927,0.000000,0.002528
0.020000,7.325934,13.646713,1.587414,3.508315,3.941927,-0.000000,0.003279
0.020000,7.396888,13.646973,1.658369,3.587153,3.941927,0.000000,0.004021
0.020000,7.469419,13.647291,1.730900,3.665992,3.941927,0.000000,0.004750
0.020000,7.543526,13.647670,1.805008,3.744830,3.941927,-0.000000,0.005466
0.020000,7.619210,13.648110,1.880693,3.823669,3.941927,0.000000,0.006167
0.020000,7.696470,13.648613,1.957955,3.902507,3.941927,-0.000000,0.006849
0.020000,7.775306,13.649179,2.036794,3.981346,3.941927,0.000000,0.007513
0.020000,7.855719,13.649810,2.117209,4.060185,3.941927,0.000000,0.008154
0.020000,7.937708,13.650504,2.199201,4.139023,3.941927,-0.000000,0.008772
0.020000,8.021274,13.651262,2.282770,4.217862,3.941927,0.000000,0.009365
0.020000,8.106416,13.652084,2.367915,4.296700,3.941927,0.000000,0.009929
0.020000,8.193133,13.652968,2.454638,4.375539,3.941927,-0.000000,0.010464
0.020000,8.281388,13.653914,2.542898,4.450435,3.744830,-9.854817,0.010965
0.020000,8.371101,13.654919,2.632616,4.521390,3.547734,-9.854817,0.011432
0.020000,8.462192,13.655980,2.723714,4.588403,3.350638,-9.854817,0.011861
0.020000,8.554584,13.657095,2.816112,4.651474,3.153541,-9.854817,0.012251
0.020000,8.648198,13.658258,2.909733,4.710602,2.956445,-9.854817,0.012598
0.020000,8.737232,13.659730,3.004497,4.765789,2.759349,-9.854817,0.022280
0.020000,8.833020,13.662470,3.100325,4.817034,2.562252,-9.854817,0.034849
0.020000,8.929752,13.666441,3.197139,4.864338,2.365156,-9.854817,0.047140
0.020000,9.027333,13.671634,3.294859,4.907699,2.168060,-9.854817,0.059120
0.020000,9.125673,13.678032,3.393408,4.947118,1.970963,-9.854817,0.070758
0.020000,9.224680,13.685614,3.492705,4.982595,1.773867,-9.854817,0.082025
0.020000,9.324264,13.694350,3.592672,5.014131,1.576771,-9.854817,0.092895
0.020000,9.424338,13.704205,3.693231,5.041724,1.379674,-9.854817,0.103344
0.020000,9.524816,13.715138,3.794302,5.065376,1.182578,-9.854817,0.113349
0.020000,9.625612,13.727105,3.895806,5.085085,0.985482,-9.854817,0.122891
0.020000,9.726645,13.740053,3.997666,5.100853,0.788385,-9.854817,0.131953
0.020000,9.827833,13.753929,4.099801,5.112679,0.591289,-9.854817,0.140520
0.020000,9.929097,13.768674,4.202133,5.120563,0.394193,-9.854817,0.148581
0.020000,10.030360,13.784227,4.304584,5.124505,0.197096,-9.854817,0.156125
0.020000,10.131509,13.800517,4.407037,5.120785,-0.185998,-19.154718,0.163142
0.020000,10.232434,13.817470,4.509376,5.113123,-0.383094,-9.854817,0.169625
0.020000,10.333062,13.835017,4.611522,5.101519,-0.580191,-9.854817,0.175570
0.020000,10.433321,13.853087,4.713397,5.085973,-0.777287,-9.854817,0.180978
0.020000,10.533142,13.871608,4.814922,5.066486,-0.974383,-9.854817,0.185850
0.020000,10.632455,13.890508,4.916017,5.043056,-1.171480,-9.854817,0.190188
0.020000,10.731192,13.909716,5.016605,5.015685,-1.368576,-9.854817,0.193997
0.020000,10.829284,13.929160,5.116605,4.984371,-1.565672,-9.854817,0.197283
0.020000,10.926664,13.948769,5.215940,4.949116,-1.762769,-9.854817,0.200054
0.020000,11.023265,13.968474,5.314530,4.909918,-1.959865,-9.854817,0.202318
0.020000,11.119019,13.988208,5.412297,4.866779,-2.156961,-9.854817,0.204087
0.020000,11.213861,14.007904,5.509162,4.819698,-2.354058,-9.854817,0.205371
0.020000,11.307721,14.027500,5.605046,4.768675,-2.551154,-9.854817,0.206184
0.020000,11.400532,14.046933,5.699870,4.713710,-2.748250,-9.854817,0.206540
0.020000,11.492226,14.066145,5.793555,4.654803,-2.945347,-9.854817,0.206454
0.020000,11.582734,14.085080,5.886022,4.591954,-3.142443,-9.854817,0.205943
0.020000,11.671987,14.103685,5.977194,4.525163,-3.339539,-9.854817,0.205023
0.020000,11.759913,14.121912,6.066990,4.454431,-3.536636,-9.854817,0.203714
0.020000,11.846443,14.139715,6.155331,4.379756,-3.733732,-9.854817,0.202036
0.020000,11.931503,14.157051,6.242140,4.301139,-3.930828,-9.854817,0.200009
0.020000,12.015058,14.173889,6.327375,4.222301,-3.941927,-0.554915,0.197654
0.020000,12.097108,14.190210,6.411032,4.143462,-3.941927,0.000000,0.194991
0.020000,12.177656,14.205997,6.493113,4.064624,-3.941927,-0.000000,0.192038
0.020000,12.256704,14.221237,6.573617,3.985785,-3.941927,0.000000,0.188815
0.020000,12.334254,14.235919,6.652545,3.906947,-3.941927,0.000000,0.185341
0.020000,12.410306,14.250034,6.729895,3.828108,-3.941927,-0.000000,0.181633
0.020000,12.484859,14.263577,6.805669,3.749270,-3.941927,0.000000,0.177710
0.020000,12.557914,14.276544,6.879866,3.670431,-3.941927,-0.000000,0.173589
0.020000,12.629470,14.288935,6.952486,3.591593,-3.941927,0.000000,0.169288
0.020000,12.699524,14.300749,7.023530,3.512754,-3.941927,-0.000000,0.164824
