dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.722089,12.708680,0.000039,0.003942,0.197096,9.854817,6.262724
0.020000,5.722092,12.708680,0.000042,0.000144,-0.189883,-19.348983,6.262727
0.020000,5.722099,12.708679,0.000049,0.000325,0.009015,9.944921,6.262734
0.020000,5.722110,12.708679,0.000060,0.000577,0.012618,0.180138,6.262746
0.020000,5.722128,12.708679,0.000078,0.000901,0.016216,0.179887,6.262765
0.020000,5.722816,12.708665,0.000767,0.034410,1.675440,82.961210,6.262793
0.020000,5.724783,12.708625,0.002733,0.098342,3.196608,76.058396,6.262830
0.020000,5.727351,12.708572,0.005302,0.128446,1.505166,-84.572083,6.262878
0.020000,5.730602,12.708507,0.008554,0.162561,1.705799,10.031641,6.262940
0.020000,5.734615,12.708425,0.012567,0.200690,1.906405,10.030302,6.263015
0.020000,5.739470,12.708328,0.017424,0.242829,2.106973,10.028427,6.263107
0.020000,5.745249,12.708212,0.023203,0.288979,2.307499,10.026253,6.263215
0.020000,5.752030,12.708077,0.029986,0.339138,2.507969,10.023547,6.263343
0.020000,5.759895,12.707921,0.037852,0.393306,2.708381,10.020570,6.263490
0.020000,5.768923,12.707744,0.046882,0.451480,2.908715,10.016710,6.263659
0.020000,5.779194,12.707545,0.057155,0.513660,3.108968,10.012638,6.263850
0.020000,5.790789,12.707322,0.068752,0.579842,3.309124,10.007811,6.264066
0.020000,5.803787,12.707075,0.081753,0.650026,3.509172,10.002408,6.264306
0.020000,5.818268,12.706803,0.096237,0.724208,3.709095,9.996125,6.264573
0.020000,5.834313,12.706507,0.112284,0.802385,3.908883,9.989427,6.264868
0.020000,5.851961,12.706187,0.129935,0.882550,4.008233,4.967483,6.265191
0.020000,5.871212,12.705844,0.149189,0.962693,4.007177,-0.052817,6.265541
0.020000,5.892065,12.705479,0.170046,1.042814,4.006026,-0.057529,6.265918
0.020000,5.914520,12.705096,0.192504,1.122909,4.004778,-0.062412,6.266322
0.020000,5.938576,12.704696,0.216563,1.202978,4.003432,-0.067276,6.266751
0.020000,5.964233,12.704280,0.242224,1.283018,4.001992,-0.071998,6.267206
0.020000,5.991491,12.703851,0.269484,1.363027,4.000455,-0.076869,6.267685
0.020000,6.020347,12.703411,0.298344,1.443003,3.998821,-0.081696,6.268189
