dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.444655,3.096983,0.000040,0.003992,0.199613,9.980642,6.280223
0.020000,4.444637,3.096983,0.000058,0.000905,-0.154362,-17.698753,6.280242
0.020000,4.444596,3.096983,0.000099,0.002036,0.056567,10.546454,6.280285
0.020000,4.444524,3.096983,0.000171,0.003620,0.079204,1.131840,6.280361
0.020000,4.444411,3.096983,0.000284,0.005658,0.101856,1.132612,6.280480
0.020000,4.444248,3.096984,0.000447,0.008148,0.124533,1.133876,6.280652
0.020000,4.444026,3.096984,0.000669,0.011093,0.147248,1.135754,6.280885
0.020000,4.443736,3.096985,0.000959,0.014493,0.170016,1.138370,6.281191
0.020000,4.443369,3.096985,0.001326,0.018351,0.192853,1.141844,6.281577
0.020000,4.442916,3.096986,0.001779,0.022666,0.215779,1.146299,6.282054
0.020000,4.442367,3.096987,0.002328,0.027442,0.238816,1.151855,6.282632
0.020000,4.442838,3.096987,0.002799,0.023547,-0.194753,-21.678424,0.000135
0.020000,4.448822,3.096990,0.008783,0.299193,13.782277,698.851478,0.000944
0.020000,4.455755,3.097000,0.015716,0.346641,2.372403,-570.493702,0.001883
0.020000,4.463704,3.097019,0.023665,0.397464,2.541168,8.438274,0.002963
0.020000,4.472760,3.097051,0.032721,0.452816,2.767605,11.321854,0.004196
0.020000,4.482969,3.097101,0.042930,0.510428,2.880568,5.648141,0.005591
0.020000,4.494417,3.097174,0.054379,0.572430,3.100087,10.975930,0.007160
0.020000,4.507156,3.097277,0.067118,0.636988,3.227921,6.391697,0.008912
0.020000,4.521278,3.097416,0.081241,0.706136,3.457397,11.473803,0.010863
0.020000,4.536797,3.097602,0.096761,0.775982,3.492327,1.746513,0.013017
0.020000,4.553713,3.097842,0.113678,0.845876,3.494656,0.116430,0.015377
0.020000,4.572027,3.098147,0.131995,0.915826,3.497534,0.143915,0.017945
0.020000,4.591740,3.098528,0.151711,0.985834,3.500378,0.142187,0.020727
0.020000,4.612842,3.098997,0.172819,1.055366,3.476596,-1.189063,0.023723
0.020000,4.635329,3.099567,0.195314,1.124741,3.468752,-0.392222,0.026938
0.020000,4.659201,3.100251,0.219195,1.194051,3.465512,-0.161989,0.030376
0.020000,4.684454,3.101065,0.244461,1.263339,3.464385,-0.056356,0.034040
0.020000,4.711079,3.102023,0.271104,1.332120,3.439046,-1.266958,0.037936
0.020000,4.739068,3.103143,0.299114,1.400537,3.420872,-0.908700,0.042066
0.020000,4.768423,3.104443,0.328498,1.469180,3.432165,0.564672,0.046437
0.020000,4.799133,3.105941,0.359245,1.537340,3.407957,-1.210419,0.051054
0.020000,4.831191,3.107657,0.391349,1.605230,3.394517,-0.672002,0.055921
0.020000,4.864590,3.109613,0.424805,1.672790,3.378014,-0.825128,0.061044
0.020000,4.899329,3.111830,0.459615,1.740478,3.384395,0.319049,0.066430
0.020000,4.935390,3.114331,0.495762,1.807368,3.344502,-1.994648,0.072085
0.020000,4.972766,3.117141,0.533244,1.874089,3.336042,-0.423043,0.078014
0.020000,5.011450,3.120286,0.572056,1.940580,3.324553,-0.574438,0.084224
0.020000,5.051432,3.123792,0.612191,2.006782,3.310089,-0.723201,0.090724
0.020000,5.092701,3.127687,0.653644,2.072636,3.292723,-0.868297,0.097519
0.020000,5.135245,3.132002,0.696406,2.138087,3.272551,-1.008620,0.104618
0.020000,5.179048,3.136765,0.740467,2.203081,3.249691,-1.142988,0.112027
0.020000,5.224096,3.142008,0.785819,2.267567,3.224288,-1.270146,0.119754
0.020000,5.270386,3.147767,0.832465,2.332339,3.238602,0.715714,0.127810
0.020000,5.317887,3.154074,0.880384,2.395909,3.178512,-3.004488,0.136199
0.020000,5.366597,3.160966,0.929578,2.459739,3.191483,0.648545,0.144933
0.020000,5.416486,3.168478,0.980030,2.522590,3.142548,-2.446741,0.154017
0.020000,5.467545,3.176652,1.031739,2.585453,3.143182,0.031685,0.163462
0.020000,5.519754,3.185526,1.084698,2.647918,3.123249,-0.996676,0.173275
0.020000,5.573091,3.195141,1.138894,2.709798,3.093976,-1.463620,0.183465
0.020000,5.627533,3.205540,1.194320,2.771326,3.076382,-0.879703,0.194039
0.020000,5.683058,3.216767,1.250969,2.832462,3.056810,-0.978613,0.205006
0.020000,5.739646,3.228868,1.308836,2.893328,3.043324,-0.674299,0.216373
0.020000,5.797273,3.241891,1.367916,2.954005,3.033849,-0.473727,0.228149
0.020000,5.855906,3.255881,1.428195,3.013954,2.997463,-1.819334,0.240337
0.020000,5.915526,3.270890,1.489675,3.074009,3.002736,0.263655,0.252946
0.020000,5.976097,3.286968,1.552344,3.133434,2.971266,-1.573508,0.265979
0.020000,6.037601,3.304168,1.616208,3.193190,2.987796,0.826529,0.279442
0.020000,6.099999,3.322543,1.681255,3.252379,2.959443,-1.417674,0.293338
0.020000,6.163263,3.342146,1.747487,3.311569,2.959465,0.001116,0.307667
0.020000,6.227361,3.363035,1.814902,3.370771,2.960109,0.032202,0.322431
0.020000,6.292259,3.385265,1.883502,3.430015,2.962216,0.105349,0.337628
0.020000,6.357924,3.408895,1.953289,3.489348,2.966662,0.222284,0.353256
0.020000,6.424324,3.433985,2.024271,3.549102,2.987666,1.050199,0.369309
0.020000,6.491422,3.460593,2.096452,3.609049,2.997374,0.485412,0.385781
0.020000,6.559181,3.488780,2.169841,3.669443,3.019686,1.115622,0.402661
0.020000,6.627567,3.518607,2.244449,3.730363,3.046034,1.317386,0.419938
0.020000,6.696545,3.550139,2.320292,3.792179,3.090793,2.237930,0.437598
0.020000,6.766076,3.583435,2.397384,3.854618,3.121935,1.557125,0.455623
0.020000,6.836124,3.618561,2.475745,3.918042,3.171200,2.463222,0.473994
0.020000,6.906651,3.655577,2.555396,3.982552,3.225503,2.715158,0.492687
0.020000,6.977619,3.694549,2.636362,4.048260,3.285408,2.995243,0.511676
0.020000,7.048995,3.735541,2.718671,4.115478,3.360895,3.774390,0.530934
0.020000,7.120738,3.778613,2.802350,4.183966,3.424388,3.174606,0.550430
0.020000,7.192812,3.823829,2.887433,4.254152,3.509297,4.245452,0.570129
0.020000,7.265179,3.871249,2.973953,4.325973,3.591044,4.087360,0.589996
0.020000,7.337803,3.920935,3.061947,4.399709,3.686789,4.787266,0.609993
0.020000,7.410645,3.972945,3.151452,4.475229,3.776003,4.460680,0.630081
0.020000,7.483670,4.027335,3.242506,4.552716,3.874360,4.917854,0.650218
0.020000,7.556840,4.084160,3.335150,4.632202,3.974294,4.996695,0.670362
0.020000,7.630118,4.143472,3.429424,4.713707,4.075287,5.049660,0.690472
0.020000,7.703469,4.205320,3.525369,4.797242,4.176715,5.071411,0.710503
0.020000,7.776855,4.269750,3.623025,4.882802,4.278005,5.064487,0.730415
0.020000,7.850241,4.336803,3.722432,4.970334,4.376606,4.930044,0.750165
0.020000,7.923593,4.406518,3.823628,5.059807,4.473676,4.853493,0.769712
0.020000,7.996875,4.478929,3.926651,5.151140,4.566640,4.648197,0.789017
0.020000,8.070056,4.554066,4.031536,5.244261,4.656049,4.470488,0.808043
0.020000,8.143103,4.631953,4.138318,5.339090,4.741445,4.269797,0.826754
0.020000,8.215987,4.712611,4.247027,5.435482,4.819602,3.907836,0.845116
0.020000,8.288678,4.796057,4.357694,5.533333,4.892557,3.647761,0.863099
0.020000,8.361150,4.882301,4.470345,5.632560,4.961337,3.438982,0.880674
0.020000,8.433381,4.971350,4.585006,5.733016,5.022821,3.074186,0.897815
0.020000,8.505347,5.063207,4.701697,5.834584,5.078360,2.776967,0.914499
0.020000,8.577032,5.157871,4.820440,5.937145,5.128052,2.484589,0.930706
0.020000,8.648419,5.255334,4.941250,6.040510,5.168284,2.011635,0.946416
0.020000,8.719496,5.355588,5.064144,6.144702,5.209586,2.065066,0.961614
0.020000,8.790255,5.458622,5.189136,6.249571,5.243431,1.692239,0.976286
0.020000,8.860691,5.564419,5.316235,6.354943,5.268595,1.258227,0.990420
0.020000,8.930802,5.672960,5.445450,6.460786,5.292155,1.178021,1.004006
0.020000,9.000592,5.784225,5.576792,6.567077,5.314582,1.121302,1.017037
0.020000,9.070067,5.898190,5.710264,6.673600,5.326144,0.578122,1.029506
0.020000,9.139238,6.014831,5.845873,6.780454,5.342710,0.828288,1.041406
0.020000,9.208103,6.134090,5.983586,6.885672,5.260906,-4.090209,1.052731
0.020000,9.276644,6.255870,6.123330,6.987198,5.076290,-9.230767,1.063471
0.020000,9.344852,6.380077,6.265033,7.085148,4.897471,-8.940950,1.073622
0.020000,9.412723,6.506610,6.408620,7.179311,4.708189,-9.464117,1.083177
0.020000,9.480260,6.635365,6.554012,7.269619,4.515382,-9.640342,1.092134
0.020000,9.547468,6.766236,6.701131,7.355974,4.317767,-9.880741,1.100491
0.020000,9.614361,6.899116,6.849899,7.438403,4.121402,-9.818257,1.108247
0.020000,9.680956,7.033898,7.000236,7.516838,3.921778,-9.981177,1.115403
0.020000,9.747276,7.170472,7.152061,7.591235,3.719865,-10.095688,1.121960
0.020000,9.813347,7.308727,7.305292,7.661571,3.516783,-10.154063,1.127918
0.020000,9.879199,7.448553,7.459849,7.727829,3.312893,-10.194539,1.133279
0.020000,9.944866,7.589838,7.615649,7.789999,3.108512,-10.219024,1.138047
0.020000,10.010386,7.732471,7.772610,7.848078,2.903925,-10.229365,1.142222
0.020000,10.075799,7.876340,7.930652,7.902065,2.699378,-10.227337,1.145807
0.020000,10.141148,8.021333,8.089691,7.951967,2.495085,-10.214640,1.148803
0.020000,10.206479,8.167338,8.249647,7.997791,2.291227,-10.192900,1.151213
0.020000,10.271841,8.314245,8.410438,8.039551,2.087954,-10.163677,1.153039
0.020000,10.337283,8.461941,8.571983,8.077258,1.885384,-10.128472,1.154280
0.020000,10.402857,8.610316,8.734202,8.110930,1.683610,-10.088740,1.154939
0.020000,10.468613,8.759250,8.897006,8.140190,1.462960,-11.032500,1.155015
0.020000,10.534601,8.908624,9.060307,8.165050,1.243032,-10.996380,1.154509
0.020000,10.600878,9.058328,9.224025,8.185922,1.043591,-9.972040,1.153421
0.020000,10.667498,9.208248,9.388081,8.202820,0.844891,-9.935032,1.151751
0.020000,10.734518,9.358274,9.552397,8.215760,0.647001,-9.894496,1.149498
0.020000,10.801993,9.508294,9.716892,8.224756,0.449827,-9.858702,1.146660
0.020000,10.869979,9.658193,9.881488,8.229821,0.253251,-9.828758,1.143237
0.020000,10.938532,9.807860,10.046107,8.230964,0.057125,-9.806330,1.139227
0.020000,11.007705,9.957179,10.210671,8.228189,-0.138739,-9.793175,1.134628
0.020000,11.077550,10.106038,10.375101,8.221498,-0.334562,-9.791154,1.129439
0.020000,11.148120,10.254319,10.539319,8.210886,-0.530606,-9.802226,1.123658
0.020000,11.219463,10.401907,10.703246,8.196342,-0.727175,-9.828451,1.117285
0.020000,11.291626,10.548684,10.866803,8.177850,-0.924615,-9.871966,1.110317
0.020000,11.364652,10.694531,11.029911,8.155431,-1.120935,-9.816002,1.102754
0.020000,11.438582,10.839330,11.192491,8.128978,-1.322660,-10.086258,1.094598
0.020000,11.513451,10.982957,11.354460,8.098474,-1.525197,-10.126881,1.085847
0.020000,11.589291,11.125290,11.515738,8.063868,-1.730328,-10.256552,1.076506
0.020000,11.666127,11.266205,11.676240,8.025093,-1.938717,-10.419407,1.066577
0.020000,11.743981,11.405578,11.835884,7.982210,-2.144162,-10.272281,1.056065
0.020000,11.822866,11.543282,11.994582,7.934907,-2.365168,-11.050267,1.044976
0.020000,11.902791,11.679195,12.152254,7.883605,-2.565069,-9.995067,1.033319
0.020000,11.983784,11.813236,12.308865,7.830532,-2.653680,-4.430549,1.021100
0.020000,12.065881,11.945346,12.464405,7.777013,-2.675919,-1.111952,1.008325
0.020000,12.149117,12.075469,12.618873,7.723382,-2.681562,-0.282168,0.995000
0.020000,12.233519,12.203544,12.772257,7.669231,-2.707574,-1.300594,0.981133
0.020000,12.319109,12.329510,12.924550,7.614646,-2.729224,-1.082509,0.966733
0.020000,12.405905,12.453308,13.075743,7.559658,-2.749418,-1.009663,0.951811
0.020000,12.493916,12.574871,13.225822,7.503927,-2.786530,-1.855606,0.936381
0.020000,12.583146,12.694136,13.374772,7.447492,-2.821770,-1.762009,0.920458
0.020000,12.673591,12.811037,13.522576,7.390239,-2.862641,-2.043557,0.904059
0.020000,12.765239,12.925510,13.669217,7.332050,-2.909426,-2.339268,0.887204
0.020000,12.858073,13.037490,13.814674,7.272804,-2.962297,-2.643547,0.869916
0.020000,12.952064,13.146911,13.958921,7.212379,-3.021290,-2.949639,0.852218
0.020000,13.047176,13.253712,14.101934,7.150653,-3.086282,-3.249616,0.834139
