dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.441841,2.146987,0.000040,0.003992,0.199613,9.980642,6.280223
0.020000,4.441841,2.146987,0.000200,0.011977,0.399226,9.980642,6.280242
0.020000,4.441841,2.146987,0.000559,0.023954,0.598838,9.980642,6.280285
0.020000,4.441841,2.146987,0.001198,0.039923,0.798451,9.980642,6.280361
0.020000,4.441841,2.146987,0.002196,0.059884,0.998064,9.980642,6.280480
0.020000,4.441841,2.146987,0.003633,0.083837,1.197677,9.980642,6.280652
0.020000,4.441841,2.146987,0.005589,0.111783,1.397290,9.980642,6.280885
0.020000,4.441841,2.146987,0.008144,0.143721,1.596903,9.980642,6.281191
0.020000,4.441841,2.146987,0.011378,0.179652,1.796515,9.980642,6.281577
0.020000,4.441841,2.146987,0.015370,0.219574,1.996128,9.980642,6.282054
0.020000,4.441841,2.146987,0.020201,0.263489,2.195741,9.980642,6.282632
0.020000,4.442966,2.146987,0.025950,0.311396,2.395354,9.980642,0.000135
0.020000,4.449718,2.146990,0.032697,0.363295,2.594967,9.980642,0.000944
0.020000,4.457544,2.147001,0.040521,0.419187,2.794580,9.980642,0.001883
0.020000,4.466519,2.147023,0.049504,0.479071,2.994192,9.980642,0.002963
0.020000,4.476747,2.147060,0.059724,0.542947,3.193805,9.980642,0.004196
0.020000,4.488280,2.147116,0.071262,0.610815,3.393418,9.980642,0.005591
0.020000,4.501219,2.147199,0.084197,0.682676,3.593031,9.980642,0.007160
0.020000,4.515623,2.147314,0.098609,0.758529,3.792644,9.980642,0.008912
0.020000,4.531598,2.147472,0.114578,0.838374,3.992257,9.980642,0.010863
0.020000,4.549163,2.147682,0.132144,0.918219,3.992257,0.000000,0.013017
0.020000,4.568320,2.147954,0.151307,0.998064,3.992257,-0.000000,0.015377
0.020000,4.589074,2.148300,0.172066,1.077909,3.992257,-0.000000,0.017945
0.020000,4.611428,2.148732,0.194423,1.157754,3.992257,0.000000,0.020727
0.020000,4.635376,2.149264,0.218376,1.237600,3.992257,0.000000,0.023723
0.020000,4.660917,2.149912,0.243927,1.317445,3.992257,0.000000,0.026938
0.020000,4.688053,2.150689,0.271074,1.397290,3.992257,-0.000000,0.030376
0.020000,4.716786,2.151615,0.299818,1.477135,3.992257,0.000000,0.034040
0.020000,4.747110,2.152707,0.330160,1.556980,3.992257,0.000000,0.037936
0.020000,4.779019,2.153984,0.362098,1.636825,3.992257,-0.000000,0.042066
0.020000,4.812522,2.155467,0.395633,1.716670,3.992257,0.000000,0.046437
0.020000,4.847613,2.157179,0.430764,1.796515,3.992257,0.000000,0.051054
0.020000,4.884289,2.159142,0.467493,1.876361,3.992257,-0.000000,0.055921
0.020000,4.922546,2.161382,0.505819,1.956206,3.992257,0.000000,0.061044
0.020000,4.962391,2.163925,0.545741,2.036051,3.992257,0.000000,0.066430
0.020000,5.003811,2.166798,0.587261,2.115896,3.992257,0.000000,0.072085
0.020000,5.046804,2.170031,0.630377,2.195741,3.992257,0.000000,0.078014
0.020000,5.091368,2.173653,0.675091,2.275586,3.992257,-0.000000,0.084224
0.020000,5.137501,2.177699,0.721401,2.355431,3.992257,0.000000,0.090724
0.020000,5.185198,2.182201,0.769308,2.435277,3.992257,0.000000,0.097519
0.020000,5.234451,2.187196,0.818812,2.515122,3.992257,0.000000,0.104618
0.020000,5.285252,2.192720,0.869913,2.594967,3.992257,0.000000,0.112027
0.020000,5.337591,2.198812,0.922611,2.674812,3.992257,0.000000,0.119754
0.020000,5.391475,2.205516,0.976905,2.754657,3.992257,0.000000,0.127810
0.020000,5.446877,2.212872,1.032797,2.834502,3.992257,-0.000000,0.136199
0.020000,5.503801,2.220926,1.090285,2.914347,3.992257,0.000000,0.144933
0.020000,5.562224,2.229724,1.149371,2.994192,3.992257,-0.000000,0.154017
0.020000,5.622143,2.239315,1.210053,3.074038,3.992257,0.000000,0.163462
0.020000,5.683543,2.249751,1.272332,3.153883,3.992257,0.000000,0.173275
0.020000,5.746406,2.261084,1.336208,3.233728,3.992257,0.000000,0.183465
0.020000,5.810716,2.273368,1.401681,3.313573,3.992257,-0.000000,0.194039
0.020000,5.876453,2.286660,1.468751,3.393418,3.992257,0.000000,0.205006
0.020000,5.943600,2.301020,1.537418,3.473263,3.992257,-0.000000,0.216373
