dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.439027,1.196991,0.000040,0.003992,0.199613,9.980642,6.280223
0.020000,4.439045,1.196991,0.000058,0.000905,-0.154362,-17.698753,6.280242
0.020000,4.439086,1.196991,0.000099,0.002036,0.056567,10.546454,6.280285
0.020000,4.439158,1.196990,0.000171,0.003620,0.079204,1.131840,6.280361
0.020000,4.439271,1.196990,0.000284,0.005658,0.101856,1.132612,6.280480
0.020000,4.439434,1.196990,0.000447,0.008148,0.124533,1.133876,6.280652
0.020000,4.439656,1.196989,0.000669,0.011093,0.147248,1.135754,6.280885
0.020000,4.439946,1.196989,0.000959,0.014493,0.170016,1.138370,6.281191
0.020000,4.440313,1.196988,0.001326,0.018351,0.192853,1.141844,6.281577
0.020000,4.440766,1.196987,0.001779,0.022666,0.215779,1.146299,6.282054
0.020000,4.441315,1.196987,0.002328,0.027442,0.238816,1.151855,6.282632
0.020000,4.443094,1.196987,0.004107,0.088929,3.074323,141.775370,0.000135
0.020000,4.450615,1.196991,0.011628,0.376073,14.357209,564.144301,0.000944
0.020000,4.459333,1.197003,0.020346,0.435892,2.990936,-568.313685,0.001883
0.020000,4.469334,1.197027,0.030347,0.500037,3.207266,10.816524,0.002963
0.020000,4.480733,1.197068,0.041746,0.569982,3.497254,14.499407,0.004196
0.020000,4.493591,1.197131,0.054604,0.642895,3.645657,7.420146,0.005591
0.020000,4.508021,1.197223,0.069034,0.721487,3.929601,14.197214,0.007160
0.020000,4.524090,1.197352,0.085104,0.803479,4.099601,8.499990,0.008912
0.020000,4.541918,1.197528,0.102933,0.891471,4.399561,14.997977,0.010863
0.020000,4.561529,1.197763,0.122545,0.980587,4.455814,2.812669,0.013017
0.020000,4.582927,1.198066,0.143945,1.070032,4.472279,0.823238,0.015377
0.020000,4.606121,1.198453,0.167142,1.159848,4.490787,0.925433,0.017945
0.020000,4.631117,1.198936,0.192144,1.250061,4.510635,0.992391,0.020727
0.020000,4.657911,1.199532,0.218944,1.340022,4.498071,-0.628227,0.023723
0.020000,4.686505,1.200256,0.247547,1.430163,4.507038,0.448384,0.026938
0.020000,4.716905,1.201128,0.277960,1.520628,4.523260,0.811064,0.030376
0.020000,4.749119,1.202165,0.310190,1.611501,4.543627,1.018384,0.034040
0.020000,4.783140,1.203390,0.344234,1.702191,4.534529,-0.454927,0.037936
0.020000,4.818970,1.204824,0.380092,1.792910,4.535911,0.069118,0.042066
0.020000,4.856622,1.206491,0.417781,1.884440,4.576501,2.029506,0.046437
0.020000,4.896093,1.208417,0.457299,1.975902,4.573114,-0.169352,0.051054
0.020000,4.937386,1.210627,0.498651,2.067601,4.584958,0.592185,0.055921
0.020000,4.980502,1.213152,0.541841,2.159487,4.594313,0.467726,0.061044
0.020000,5.025454,1.216020,0.586884,2.252182,4.634751,2.021927,0.066430
0.020000,5.072232,1.219265,0.633775,2.344519,4.616820,-0.896550,0.072085
0.020000,5.120841,1.222920,0.682521,2.437338,4.640945,1.206259,0.078014
0.020000,5.171287,1.227021,0.733133,2.530590,4.662636,1.084516,0.084224
0.020000,5.223571,1.231606,0.785618,2.624228,4.681887,0.962577,0.090724
0.020000,5.277694,1.236715,0.839982,2.718202,4.698705,0.840919,0.097519
0.020000,5.333656,1.242390,0.896231,2.812464,4.713106,0.720032,0.104618
0.020000,5.391455,1.248675,0.954370,2.906967,4.725114,0.600417,0.112027
0.020000,5.451086,1.255616,1.014404,3.001662,4.734766,0.482579,0.119754
0.020000,5.512564,1.263265,1.076356,3.097624,4.798100,3.166717,0.127810
0.020000,5.575867,1.271669,1.140214,3.192895,4.763530,-1.728536,0.136199
0.020000,5.641006,1.280886,1.206003,3.289429,4.826717,3.159389,0.144933
0.020000,5.707963,1.290969,1.273714,3.385583,4.807706,-0.950582,0.154017
0.020000,5.776741,1.301979,1.343368,3.482687,4.855178,2.373601,0.163462
0.020000,5.847332,1.313977,1.414972,3.580188,4.875059,0.994047,0.173275
0.020000,5.919722,1.327028,1.488528,3.677823,4.881759,0.335007,0.183465
0.020000,5.993899,1.341197,1.564046,3.775889,4.903321,1.078124,0.194039
0.020000,6.069848,1.356554,1.641532,3.874307,4.920877,0.877762,0.205006
0.020000,6.147555,1.373172,1.720996,3.973206,4.944947,1.203502,0.216373
0.020000,6.227004,1.391126,1.802449,4.072651,4.972243,1.364799,0.228149
0.020000,6.308163,1.410491,1.885886,4.171837,4.959328,-0.645738,0.240337
0.020000,6.391014,1.431350,1.971323,4.271841,5.000210,2.044103,0.252946
0.020000,6.475519,1.453780,2.058754,4.371554,4.985627,-0.729150,0.265979
0.020000,6.561658,1.477870,2.148198,4.472206,5.032616,2.349477,0.279442
0.020000,6.649382,1.503703,2.239646,4.572420,5.010686,-1.096548,0.293338
0.020000,6.738651,1.531365,2.333103,4.672844,5.021199,0.525693,0.307667
0.020000,6.829419,1.560946,2.428570,4.773333,5.024456,0.162811,0.322431
0.020000,6.921634,1.592534,2.526045,4.873744,5.020552,-0.195168,0.337628
0.020000,7.015237,1.626217,2.625524,4.973937,5.009639,-0.545682,0.353256
0.020000,7.110169,1.662088,2.727007,5.074157,5.010992,0.067666,0.369309
0.020000,7.206358,1.700233,2.830483,5.173834,4.983840,-1.357608,0.385781
0.020000,7.303730,1.740739,2.935945,5.273059,4.961291,-1.127416,0.402661
0.020000,7.402204,1.783690,3.043378,5.371664,4.930239,-1.552636,0.419938
0.020000,7.501699,1.829172,3.152775,5.469877,4.910641,-0.979873,0.437598
0.020000,7.602118,1.877260,3.264115,5.566991,4.855706,-2.746788,0.455623
