dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.229236,25.841469,0.000040,0.003967,0.198347,9.917371,0.001788
0.020000,5.229252,25.841469,0.000055,0.000761,-0.160300,-17.932394,0.001772
0.020000,5.229286,25.841469,0.000089,0.001712,0.047564,10.393204,0.001736
0.020000,5.229347,25.841470,0.000150,0.003044,0.066603,0.951960,0.001672
0.020000,5.229442,25.841470,0.000245,0.004758,0.085663,0.953015,0.001572
0.020000,5.229579,25.841470,0.000382,0.006853,0.104758,0.954742,0.001428
0.020000,5.229766,25.841470,0.000569,0.009331,0.123904,0.957312,0.001231
0.020000,5.230009,25.841470,0.000813,0.012193,0.143122,0.960894,0.000975
0.020000,5.230318,25.841471,0.001122,0.015442,0.162435,0.965661,0.000650
0.020000,5.230700,25.841471,0.001503,0.019079,0.181871,0.971784,0.000248
0.020000,5.233518,25.841471,0.004321,0.140904,6.091240,295.468432,6.282946
0.020000,5.239785,25.841467,0.010588,0.313349,8.622256,126.550835,6.282366
0.020000,5.247134,25.841459,0.017938,0.367477,2.706398,-295.792929,6.281684
0.020000,5.255665,25.841443,0.026468,0.426536,2.952940,12.327094,6.280890
0.020000,5.265458,25.841416,0.036262,0.489654,3.155898,10.147924,6.279976
0.020000,5.276606,25.841374,0.047410,0.557412,3.387918,11.601002,6.278933
0.020000,5.289189,25.841313,0.059992,0.629121,3.585420,9.875083,6.277750
0.020000,5.303312,25.841227,0.074116,0.706165,3.852228,13.340421,6.276418
0.020000,5.319051,25.841109,0.089855,0.786974,4.040458,9.411502,6.274926
0.020000,5.336497,25.840950,0.107302,0.872369,4.269717,11.462945,6.273263
0.020000,5.355699,25.840742,0.126505,0.960154,4.389285,5.978378,6.271422
0.020000,5.376660,25.840474,0.147468,1.048103,4.397422,0.406876,6.269400
0.020000,5.399380,25.840136,0.170191,1.136163,4.403001,0.278943,6.267193
0.020000,5.423864,25.839715,0.194678,1.224379,4.410800,0.389956,6.264797
0.020000,5.450127,25.839198,0.220946,1.313391,4.450607,1.990355,6.262207
0.020000,5.478155,25.838571,0.248981,1.401719,4.416374,-1.711664,6.259418
0.020000,5.507968,25.837818,0.278804,1.491171,4.472642,2.813409,6.256423
0.020000,5.539559,25.836921,0.310407,1.580156,4.449214,-1.171398,6.253219
0.020000,5.572939,25.835864,0.343804,1.669842,4.484326,1.755570,6.249798
0.020000,5.608118,25.834625,0.379004,1.760028,4.509277,1.247557,6.246153
0.020000,5.645095,25.833183,0.416010,1.850256,4.511389,0.105626,6.242277
0.020000,5.683876,25.831516,0.454827,1.940878,4.531113,0.986188,6.238161
0.020000,5.724474,25.829598,0.495470,2.032124,4.562330,1.560834,6.233796
0.020000,5.766894,25.827403,0.537947,2.123857,4.586619,1.214478,6.229174
0.020000,5.811135,25.824903,0.582259,2.215597,4.586994,0.018741,6.224284
0.020000,5.857217,25.822067,0.628428,2.308464,4.643389,2.819749,6.219115
0.020000,5.905135,25.818861,0.676453,2.401231,4.638318,-0.253579,6.213656
0.020000,5.954911,25.815251,0.726359,2.495326,4.704735,3.320866,6.207894
0.020000,6.006545,25.811199,0.778152,2.589649,4.716161,0.571327,6.201814
0.020000,6.060046,25.806664,0.831845,2.684638,4.749486,1.666215,6.195404
0.020000,6.115422,25.801602,0.887452,2.780350,4.785590,1.805215,6.188647
0.020000,6.172687,25.795967,0.944993,2.877079,4.836430,2.542016,6.181527
0.020000,6.231850,25.789708,1.004486,2.974635,4.877816,2.069276,6.174025
0.020000,6.292910,25.782773,1.065940,3.072675,4.902005,1.209461,6.166124
0.020000,6.355890,25.775101,1.129385,3.172275,4.980010,3.900227,6.157801
0.020000,6.420793,25.766633,1.194838,3.272631,5.017753,1.887194,6.149035
0.020000,6.487625,25.757300,1.262319,3.374043,5.070620,2.643338,6.139803
0.020000,6.556396,25.747031,1.331852,3.476673,5.131523,3.045116,6.130080
0.020000,6.627111,25.735749,1.403461,3.580451,5.188895,2.868603,6.119839
0.020000,6.699788,25.723369,1.477185,3.686179,5.286400,4.875266,6.109051
