dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.232634,23.941472,0.000040,0.003967,0.198347,9.917371,0.001788
0.020000,5.232619,23.941472,0.000055,0.000761,-0.160300,-17.932394,0.001772
0.020000,5.232585,23.941472,0.000089,0.001712,0.047564,10.393204,0.001736
0.020000,5.232524,23.941472,0.000150,0.003044,0.066603,0.951960,0.001672
0.020000,5.232429,23.941472,0.000245,0.004758,0.085663,0.953015,0.001572
0.020000,5.232292,23.941472,0.000382,0.006853,0.104758,0.954742,0.001428
0.020000,5.232105,23.941472,0.000569,0.009331,0.123904,0.957312,0.001231
0.020000,5.231861,23.941471,0.000813,0.012193,0.143122,0.960894,0.000975
0.020000,5.231553,23.941471,0.001122,0.015442,0.162435,0.965661,0.000650
0.020000,5.231171,23.941471,0.001503,0.019079,0.181871,0.971784,0.000248
0.020000,5.233064,23.941471,0.003396,0.094656,3.778855,179.849194,6.282946
0.020000,5.238228,23.941468,0.008560,0.258208,8.177592,219.936845,6.282366
0.020000,5.244282,23.941461,0.014614,0.302674,2.223265,-297.716358,6.281684
0.020000,5.251304,23.941448,0.021637,0.351131,2.422857,9.979598,6.280890
0.020000,5.259361,23.941425,0.029693,0.402842,2.585570,8.135666,6.279976
0.020000,5.268526,23.941391,0.038859,0.458263,2.771059,9.274452,6.278933
0.020000,5.278862,23.941341,0.049195,0.516800,2.926851,7.789613,6.277750
0.020000,5.290453,23.941270,0.060786,0.579561,3.138049,10.559869,6.276418
0.020000,5.303357,23.941173,0.073690,0.645221,3.282970,7.246078,6.274926
0.020000,5.317645,23.941044,0.087979,0.714413,3.459617,8.832368,6.273263
0.020000,5.333350,23.940873,0.103685,0.785300,3.544354,4.236844,6.271422
0.020000,5.350469,23.940655,0.120805,0.856023,3.536139,-0.410743,6.269400
0.020000,5.368997,23.940379,0.139335,0.926508,3.524238,-0.595081,6.267193
0.020000,5.388929,23.940036,0.159270,0.996757,3.512491,-0.587338,6.264797
0.020000,5.410270,23.939616,0.180615,1.067257,3.524998,0.625325,6.262207
0.020000,5.433000,23.939108,0.203351,1.136767,3.475500,-2.474889,6.259418
0.020000,5.457127,23.938498,0.227485,1.206718,3.497549,1.102468,6.256423
0.020000,5.482632,23.937774,0.253001,1.275778,3.452989,-2.228033,6.253219
0.020000,5.509516,23.936923,0.279898,1.344852,3.453671,0.034122,6.249798
0.020000,5.537773,23.935927,0.308172,1.413727,3.443785,-0.494277,6.246153
0.020000,5.567390,23.934773,0.337812,1.481991,3.413164,-1.531076,6.242277
0.020000,5.598359,23.933441,0.368810,1.549875,3.394200,-0.948204,6.238161
0.020000,5.630673,23.931915,0.401160,1.617508,3.381682,-0.625888,6.233796
0.020000,5.664322,23.930174,0.434854,1.684722,3.360713,-1.048454,6.229174
0.020000,5.699288,23.928198,0.469876,1.751079,3.317817,-2.144805,6.224284
0.020000,5.735568,23.925965,0.506224,1.817399,3.315999,-0.090882,6.219115
0.020000,5.773136,23.923452,0.543877,1.882644,3.262268,-2.686581,6.213656
0.020000,5.811992,23.920634,0.582834,1.947864,3.261004,-0.063195,6.207894
0.020000,5.852111,23.917485,0.623076,2.012118,3.212698,-2.415293,6.201814
0.020000,5.893476,23.913979,0.664590,2.075667,3.177434,-1.763210,6.195404
0.020000,5.936067,23.910086,0.707359,2.138465,3.139908,-1.876300,6.188647
0.020000,5.979869,23.905776,0.751372,2.200644,3.108943,-1.548242,6.181527
0.020000,6.024857,23.901017,0.796611,2.261956,3.065618,-2.166239,6.174025
0.020000,6.071001,23.895776,0.843052,2.322037,3.004052,-3.078290,6.166124
0.020000,6.118283,23.890017,0.890683,2.381589,2.977562,-1.324526,6.157801
0.020000,6.166671,23.883703,0.939481,2.439881,2.914627,-3.146727,6.149035
0.020000,6.216131,23.876797,0.989421,2.497019,2.856888,-2.886959,6.139803
0.020000,6.266631,23.869256,1.040481,2.552989,2.798525,-2.918142,6.130080
0.020000,6.318132,23.861040,1.092633,2.607603,2.730707,-3.390930,6.119839
0.020000,6.370602,23.852103,1.145859,2.661299,2.684756,-2.297530,6.109051
0.020000,6.423986,23.842401,1.200117,2.712897,2.579924,-5.241582,6.097687
0.020000,6.478248,23.831883,1.255389,2.763608,2.535564,-2.218030,6.085714
0.020000,6.533331,23.820503,1.311635,2.812306,2.434869,-5.034744,6.073098
0.020000,6.589180,23.808208,1.368822,2.859329,2.351177,-4.184591,6.059803
0.020000,6.645739,23.794944,1.426916,2.904673,2.267201,-4.198780,6.045791
0.020000,6.702945,23.780658,1.485879,2.948158,2.174249,-4.647620,6.031023
