dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000000,17.000000,0.000040,0.003979,0.198952,9.947585,0.000000
0.020000,6.000000,17.000000,0.000199,0.011937,0.397903,9.947585,0.000000
0.020000,6.000000,17.000000,0.000557,0.023874,0.596855,9.947585,0.000000
0.020000,6.000000,17.000000,0.001194,0.039790,0.795807,9.947585,0.000000
0.020000,6.000000,17.000000,0.002188,0.059686,0.994758,9.947585,0.000000
0.020000,6.000621,17.000000,0.003621,0.083560,1.193710,9.947585,0.000000
0.020000,6.002571,17.000000,0.005571,0.111413,1.392662,9.947585,0.000000
0.020000,6.005117,17.000000,0.008117,0.143245,1.591614,9.947585,0.000000
0.020000,6.008340,17.000000,0.011340,0.179057,1.790565,9.947585,0.000000
0.020000,6.012319,17.000000,0.015319,0.218847,1.989517,9.947585,0.000000
0.020000,6.017134,17.000000,0.020134,0.262616,2.188469,9.947585,0.000000
0.020000,6.022864,17.000000,0.025864,0.310365,2.387420,9.947585,0.000000
0.020000,6.029588,17.000000,0.032588,0.362092,2.586372,9.947585,0.000000
0.020000,6.037387,17.000000,0.040387,0.417799,2.785324,9.947585,0.000000
0.020000,6.046340,17.000000,0.049340,0.477484,2.984275,9.947585,0.000000
0.020000,6.056526,17.000000,0.059526,0.541149,3.183227,9.947585,0.000000
0.020000,6.068026,17.000000,0.071026,0.608792,3.382179,9.947585,0.000000
0.020000,6.080918,17.000000,0.083918,0.680415,3.581130,9.947585,0.000000
0.020000,6.095282,17.000000,0.098282,0.756016,3.780082,9.947585,0.000000
0.020000,6.111198,17.000000,0.114198,0.835597,3.979034,9.947585,0.000000
0.020000,6.128706,17.000000,0.131706,0.915178,3.979034,-0.000000,0.000000
0.020000,6.147805,17.000000,0.150805,0.994758,3.979034,0.000000,0.000000
0.020000,6.168496,17.000000,0.171496,1.074339,3.979034,0.000000,0.000000
0.020000,6.190779,17.000000,0.193779,1.153920,3.979034,-0.000000,0.000000
0.020000,6.214653,17.000000,0.217653,1.233500,3.979034,0.000000,0.000000
0.020000,6.240119,17.000000,0.243119,1.313081,3.979034,-0.000000,0.000000
0.020000,6.267176,17.000000,0.270176,1.392662,3.979034,0.000000,0.000000
0.020000,6.295825,17.000000,0.298825,1.472243,3.979034,0.000000,0.000000
0.020000,6.326066,17.000000,0.329066,1.551823,3.979034,0.000000,0.000000
0.020000,6.357898,17.000000,0.360898,1.631404,3.979034,-0.000000,0.000000
0.020000,6.391322,17.000000,0.394322,1.710985,3.979034,0.000000,0.000000
0.020000,6.426338,17.000000,0.429338,1.790565,3.979034,0.000000,0.000000
0.020000,6.462945,17.000000,0.465945,1.870146,3.979034,0.000000,0.000000
0.020000,6.501144,17.000000,0.504144,1.949727,3.979034,0.000000,0.000000
0.020000,6.540934,17.000000,0.543934,2.029307,3.979034,0.000000,0.000000
0.020000,6.582316,17.000000,0.585316,2.108888,3.979034,0.000000,0.000000
0.020000,6.625289,17.000000,0.628289,2.188469,3.979034,0.000000,0.000000
0.020000,6.669855,17.000000,0.672855,2.268049,3.979034,0.000000,0.000000
0.020000,6.716011,17.000000,0.719011,2.347630,3.979034,0.000000,0.000000
0.020000,6.763760,17.000000,0.766760,2.427211,3.979034,-0.000000,0.000000
0.020000,6.813100,17.000000,0.816100,2.506791,3.979034,0.000000,0.000000
