dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.534816,25.702219,0.000040,0.003978,0.198902,9.945092,6.283038
0.020000,4.534814,25.702219,0.000042,0.000112,-0.193278,-19.608992,6.283040
0.020000,4.534809,25.702219,0.000047,0.000253,0.007027,10.015261,6.283046
0.020000,4.534800,25.702219,0.000056,0.000450,0.009831,0.140183,6.283055
0.020000,4.534785,25.702219,0.000070,0.000702,0.012623,0.139629,6.283070
0.020000,4.534765,25.702219,0.000090,0.001010,0.015398,0.138721,6.283091
0.020000,4.534738,25.702219,0.000118,0.001373,0.018145,0.137371,6.283120
0.020000,4.534702,25.702219,0.000154,0.001790,0.020855,0.135491,6.283158
0.020000,4.536006,25.702219,0.001457,0.065185,3.169763,157.445392,0.000020
0.020000,4.539928,25.702219,0.005380,0.196119,6.546668,168.845246,0.000078
0.020000,4.544674,25.702220,0.010126,0.237317,2.059926,-224.337115,0.000149
0.020000,4.550323,25.702221,0.015775,0.282442,2.256227,9.815065,0.000233
0.020000,4.556953,25.702223,0.022405,0.331502,2.452992,9.838244,0.000331
0.020000,4.564643,25.702226,0.030095,0.384495,2.649693,9.835083,0.000443
0.020000,4.573472,25.702230,0.038923,0.441426,2.846535,9.842097,0.000572
0.020000,4.583518,25.702237,0.048969,0.502300,3.043668,9.856636,0.000717
0.020000,4.594860,25.702246,0.060312,0.567118,3.240945,9.863850,0.000879
0.020000,4.607578,25.702258,0.073029,0.635888,3.438484,9.876937,0.001059
0.020000,4.621750,25.702274,0.087202,0.708615,3.636366,9.894097,0.001257
0.020000,4.637456,25.702296,0.102908,0.785303,3.834384,9.900893,0.001474
0.020000,4.654736,25.702323,0.120188,0.863998,3.934728,5.017232,0.001710
0.020000,4.673591,25.702358,0.139043,0.942738,3.937010,0.114081,0.001962
0.020000,4.694021,25.702401,0.159473,1.021529,3.939535,0.126264,0.002231
0.020000,4.716029,25.702453,0.181481,1.100375,3.942302,0.138321,0.002514
0.020000,4.739614,25.702516,0.205066,1.179281,3.945306,0.150238,0.002812
0.020000,4.764779,25.702591,0.230231,1.258249,3.948423,0.155841,0.003122
0.020000,4.791525,25.702678,0.256977,1.337287,3.951870,0.172364,0.003443
0.020000,4.819852,25.702781,0.285305,1.416394,3.955374,0.175171,0.003773
0.020000,4.849764,25.702898,0.315216,1.495579,3.959231,0.192869,0.004112
0.020000,4.881260,25.703033,0.346713,1.574843,3.963217,0.199298,0.004456
0.020000,4.914344,25.703187,0.379797,1.654192,3.967425,0.210371,0.004805
0.020000,4.949016,25.703359,0.414470,1.733630,3.971925,0.225030,0.005157
