dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.534536,23.802219,0.000040,0.003978,0.198902,9.945092,6.283038
0.020000,4.534538,23.802219,0.000042,0.000112,-0.193278,-19.608992,6.283040
0.020000,4.534543,23.802219,0.000047,0.000253,0.007027,10.015261,6.283046
0.020000,4.534552,23.802219,0.000056,0.000450,0.009831,0.140183,6.283055
0.020000,4.534566,23.802219,0.000070,0.000702,0.012623,0.139629,6.283070
0.020000,4.534586,23.802219,0.000090,0.001010,0.015398,0.138721,6.283091
0.020000,4.534614,23.802219,0.000118,0.001373,0.018145,0.137371,6.283120
0.020000,4.534649,23.802219,0.000154,0.001790,0.020855,0.135491,6.283158
0.020000,4.536044,23.802219,0.001548,0.069706,3.395799,168.747210,0.000020
0.020000,4.540077,23.802219,0.005581,0.201684,6.598888,160.154419,0.000078
0.020000,4.544958,23.802220,0.010462,0.244027,2.117178,-224.085489,0.000149
0.020000,4.550766,23.802221,0.016270,0.290394,2.318309,10.056540,0.000233
0.020000,4.557581,23.802223,0.023086,0.340787,2.519678,10.068480,0.000331
0.020000,4.565485,23.802226,0.030990,0.395201,2.720702,10.051185,0.000443
0.020000,4.574558,23.802230,0.040062,0.453632,2.921543,10.042028,0.000572
0.020000,4.584880,23.802237,0.050384,0.516078,3.122305,10.038100,0.000717
0.020000,4.596530,23.802246,0.062034,0.582534,3.322784,10.023964,0.000879
0.020000,4.609590,23.802259,0.075094,0.652995,3.523044,10.013008,0.001059
0.020000,4.624139,23.802276,0.089643,0.727457,3.723108,10.003203,0.001257
0.020000,4.640257,23.802298,0.105762,0.805911,3.922699,9.979556,0.001474
0.020000,4.657984,23.802326,0.123488,0.886339,4.021431,4.936615,0.001710
0.020000,4.677319,23.802362,0.142823,0.966720,4.019050,-0.119090,0.001962
0.020000,4.698260,23.802406,0.163764,1.047050,4.016491,-0.127933,0.002231
0.020000,4.720806,23.802459,0.186310,1.127325,4.013753,-0.136881,0.002514
0.020000,4.744957,23.802523,0.210461,1.207542,4.010834,-0.145945,0.002812
0.020000,4.770711,23.802600,0.236215,1.287694,4.007606,-0.161443,0.003122
0.020000,4.798066,23.802690,0.263571,1.367780,4.004291,-0.165730,0.003443
0.020000,4.827022,23.802794,0.292527,1.447792,4.000611,-0.184020,0.003773
0.020000,4.857576,23.802915,0.323081,1.527730,3.996870,-0.187049,0.004112
0.020000,4.889727,23.803052,0.355233,1.607586,3.992838,-0.201571,0.004456
0.020000,4.923474,23.803209,0.388980,1.687359,3.988612,-0.211315,0.004805
0.020000,4.958815,23.803385,0.424321,1.767044,3.984264,-0.217382,0.005157
0.020000,4.995747,23.803582,0.461254,1.846634,3.979509,-0.237754,0.005510
0.020000,5.034269,23.803801,0.499776,1.926129,3.974762,-0.237336,0.005861
0.020000,5.074379,23.804043,0.539887,2.005523,3.969687,-0.253765,0.006208
0.020000,5.116074,23.804309,0.581583,2.084812,3.964429,-0.262898,0.006550
0.020000,5.159353,23.804600,0.624863,2.163991,3.958983,-0.272299,0.006883
0.020000,5.204213,23.804916,0.669724,2.243057,3.953272,-0.285584,0.007207
0.020000,5.250652,23.805258,0.716164,2.322006,3.947448,-0.291186,0.007517
0.020000,5.298667,23.805626,0.764181,2.400832,3.941306,-0.307093,0.007812
0.020000,5.348256,23.806020,0.813771,2.479533,3.935058,-0.312414,0.008089
0.020000,5.399416,23.806441,0.864933,2.558104,3.928549,-0.325420,0.008345
0.020000,5.452145,23.806887,0.917664,2.636541,3.921845,-0.335205,0.008577
0.020000,5.506440,23.807359,0.971961,2.714839,3.914892,-0.347659,0.008783
0.020000,5.562298,23.807854,1.027821,2.792995,3.907816,-0.353824,0.008959
0.020000,5.619715,23.808373,1.085241,2.871004,3.900436,-0.368971,0.009103
0.020000,5.678690,23.808913,1.144218,2.948862,3.892913,-0.376172,0.009210
0.020000,5.739219,23.809473,1.204749,3.026565,3.885145,-0.388386,0.009279
0.020000,5.801298,23.810050,1.266832,3.104108,3.877169,-0.398813,0.009305
0.020000,5.864925,23.810642,1.330461,3.181488,3.868978,-0.409543,0.009285
0.020000,5.930097,23.811245,1.395635,3.258699,3.860573,-0.420246,0.009216
0.020000,5.996808,23.811856,1.462350,3.335738,3.851948,-0.431255,0.009094
0.020000,6.065058,23.812471,1.530602,3.412600,3.843097,-0.442517,0.008914
0.020000,6.134841,23.813085,1.600388,3.489281,3.834035,-0.453119,0.008675
0.020000,6.206154,23.813693,1.671703,3.565776,3.824744,-0.464546,0.008370
0.020000,6.278993,23.814290,1.744545,3.642080,3.815212,-0.476605,0.007997
0.020000,6.353354,23.814868,1.818909,3.718189,3.805468,-0.487195,0.007552
0.020000,6.429234,23.815422,1.894791,3.794099,3.795484,-0.499193,0.007029
0.020000,6.506629,23.815943,1.972187,3.869805,3.785281,-0.510166,0.006426
0.020000,6.585533,23.816423,2.051093,3.945301,3.774795,-0.524283,0.005736
0.020000,6.665944,23.816854,2.131504,4.020582,3.764095,-0.534993,0.004957
0.020000,6.747856,23.817224,2.213417,4.095645,3.753125,-0.548517,0.004083
0.020000,6.831265,23.817525,2.296827,4.170486,3.742033,-0.554619,0.003110
0.020000,6.916166,23.817744,2.381729,4.245094,3.730418,-0.580751,0.002032
0.020000,7.002556,23.817869,2.468118,4.319471,3.718856,-0.578085,0.000846
0.020000,7.090428,23.817887,2.555990,4.393607,3.706804,-0.602618,6.282730
0.020000,7.179778,23.817783,2.645340,4.467498,3.694561,-0.612107,6.281310
0.020000,7.270600,23.817544,2.736163,4.541139,3.682054,-0.625373,6.279765
0.020000,7.362890,23.817151,2.828454,4.614527,3.669375,-0.633951,6.278090
0.020000,7.456641,23.816590,2.922207,4.687649,3.656121,-0.662692,6.276279
0.020000,7.551849,23.815840,3.017417,4.760510,3.643015,-0.655322,6.274328
0.020000,7.648506,23.814884,3.114079,4.833095,3.629248,-0.688336,6.272230
0.020000,7.746607,23.813699,3.212187,4.905402,3.615367,-0.694034,6.269979
0.020000,7.846145,23.812266,3.311735,4.977425,3.601164,-0.710147,6.267569
0.020000,7.947114,23.810560,3.412719,5.049161,3.586796,-0.718433,6.264995
0.020000,8.049506,23.808558,3.515131,5.120600,3.571926,-0.743506,6.262249
0.020000,8.153315,23.806234,3.618965,5.191739,3.556972,-0.747663,6.259326
0.020000,8.258532,23.803561,3.724217,5.262571,3.541572,-0.770034,6.256220
0.020000,8.365150,23.800510,3.830879,5.333091,3.526019,-0.777625,6.252923
0.020000,8.473161,23.797053,3.938944,5.403294,3.510144,-0.793736,6.249429
0.020000,8.582555,23.793158,4.048408,5.473173,3.493955,-0.809489,6.245732
0.020000,8.693324,23.788792,4.159262,5.542728,3.477768,-0.809338,6.241823
0.020000,8.805457,23.783921,4.271501,5.611947,3.460923,-0.842233,6.237698
0.020000,8.918945,23.778510,4.385118,5.680831,3.444217,-0.835305,6.233347
0.020000,9.033776,23.772520,4.500105,5.749375,3.427204,-0.850654,6.228764
0.020000,9.149940,23.765913,4.616457,5.817575,3.410016,-0.859416,6.223942
0.020000,9.267424,23.758648,4.734166,5.885428,3.392635,-0.869046,6.218874
0.020000,9.386216,23.750682,4.853224,5.952930,3.375088,-0.877364,6.213552
0.020000,9.506302,23.741971,4.973626,6.020086,3.357798,-0.864488,6.207969
0.020000,9.627668,23.732470,5.095364,6.086888,3.340082,-0.885764,6.202117
0.020000,9.750300,23.722131,5.218430,6.153340,3.322625,-0.872882,6.195989
0.020000,9.874181,23.710903,5.342819,6.219444,3.305216,-0.870465,6.189578
0.020000,9.999295,23.698737,5.468523,6.285203,3.287945,-0.863525,6.182877
0.020000,10.125624,23.685578,5.595536,6.350623,3.270999,-0.847278,6.175877
0.020000,10.253149,23.671372,5.723850,6.415708,3.254225,-0.838717,6.168573
0.020000,10.381851,23.656062,5.853459,6.480468,3.238003,-0.811093,6.160958
0.020000,10.511709,23.639590,5.984358,6.544912,3.222233,-0.788517,6.153024
0.020000,10.642700,23.621895,6.116539,6.609055,3.207138,-0.754740,6.144766
0.020000,10.774802,23.602916,6.249997,6.672910,3.192754,-0.719189,6.136177
0.020000,10.907990,23.582589,6.384727,6.736497,3.179351,-0.670189,6.127251
0.020000,11.042238,23.560849,6.520724,6.799837,3.166969,-0.619075,6.117985
0.020000,11.177519,23.537629,6.657983,6.862954,3.155845,-0.556187,6.108372
0.020000,11.313804,23.512862,6.796500,6.925872,3.145895,-0.497510,6.098409
0.020000,11.451063,23.486476,6.936273,6.988627,3.137787,-0.405420,6.088092
0.020000,11.589266,23.458402,7.077298,7.051250,3.131134,-0.332634,6.077419
0.020000,11.728378,23.428568,7.219573,7.113783,3.126654,-0.224015,6.066387
0.020000,11.868330,23.396909,7.363062,7.174426,3.032130,-4.726200,6.054999
0.020000,12.009015,23.363369,7.507689,7.231370,2.847211,-9.245932,6.043260
0.020000,12.150325,23.327897,7.653384,7.284716,2.667312,-8.994935,6.031179
0.020000,12.292153,23.290442,7.800074,7.334523,2.490358,-8.847728,6.018765
0.020000,12.434392,23.250958,7.947691,7.380868,2.317219,-8.656940,6.006028
0.020000,12.576935,23.209404,8.096168,7.423827,2.147950,-8.463448,5.992982
0.020000,12.719676,23.165740,8.245437,7.463478,1.982546,-8.270225,5.979639
0.020000,12.862508,23.119933,8.395435,7.499896,1.820946,-8.079988,5.966017
0.020000,13.005328,23.071954,8.546099,7.533157,1.663034,-7.895581,5.952132
0.020000,13.148031,23.021780,8.697365,7.563330,1.508636,-7.719898,5.938002
0.020000,13.290514,22.969390,8.849175,7.590477,1.357377,-7.562961,5.923649
0.020000,13.432676,22.914773,9.001467,7.614640,1.208140,-7.461839,5.909093
0.020000,13.574418,22.857921,9.154186,7.635915,1.063752,-7.219420,5.894356
0.020000,13.715641,22.798833,9.307272,7.654328,0.920657,-7.154758,5.879463
0.020000,13.856251,22.737514,9.460671,7.669918,0.779466,-7.059544,5.864437
0.020000,13.988277,22.677632,9.605642,7.248563,-21.067742,-1092.360373,5.851755
0.020000,14.146418,22.605402,9.779498,8.692807,72.212190,4663.996557,5.857592
