dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.788243,18.275449,0.000040,0.003993,0.199647,9.982354,6.282870
0.020000,5.788234,18.275449,0.000049,0.000446,-0.177326,-18.848646,6.282879
0.020000,5.788214,18.275449,0.000069,0.001004,0.027900,10.261271,6.282900
0.020000,5.788178,18.275449,0.000105,0.001785,0.039054,0.557715,6.282938
0.020000,5.788123,18.275449,0.000160,0.002789,0.050200,0.557291,6.282997
0.020000,5.788042,18.275449,0.000241,0.004016,0.061332,0.556596,6.283081
0.020000,5.788117,18.275449,0.000315,0.003731,-0.014263,-3.779721,0.000011
0.020000,5.790530,18.275449,0.002728,0.120640,5.845435,292.984913,0.000161
0.020000,5.793583,18.275450,0.005782,0.152686,1.602336,-212.154988,0.000351
0.020000,5.797354,18.275451,0.009552,0.188509,1.791111,9.438756,0.000586
0.020000,5.801916,18.275455,0.014114,0.228104,1.979776,9.433248,0.000869
0.020000,5.807345,18.275460,0.019544,0.271475,2.168525,9.437444,0.001206
0.020000,5.813718,18.275469,0.025916,0.318622,2.357391,9.443331,0.001602
0.020000,5.821109,18.275483,0.033307,0.369551,2.546444,9.452652,0.002060
0.020000,5.829594,18.275502,0.041792,0.424259,2.735386,9.447086,0.002585
0.020000,5.839249,18.275530,0.051447,0.482753,2.924687,9.465046,0.003182
0.020000,5.850149,18.275569,0.062348,0.545035,3.114103,9.470778,0.003854
0.020000,5.862371,18.275620,0.074570,0.611107,3.303619,9.475835,0.004607
0.020000,5.875991,18.275689,0.088190,0.680974,3.493354,9.486757,0.005444
0.020000,5.891083,18.275778,0.103283,0.754642,3.683388,9.501658,0.006369
0.020000,5.907687,18.275892,0.119887,0.830228,3.779301,4.795658,0.007384
0.020000,5.925804,18.276036,0.138004,0.905847,3.780959,0.082931,0.008488
0.020000,5.945433,18.276214,0.157634,0.981508,3.783021,0.103080,0.009681
0.020000,5.966576,18.276433,0.178778,1.057207,3.784981,0.097989,0.010962
0.020000,5.989234,18.276696,0.201437,1.132954,3.787356,0.118759,0.012328
0.020000,6.013407,18.277012,0.225612,1.208747,3.789644,0.114432,0.013781
0.020000,6.039096,18.277386,0.251304,1.284594,3.792340,0.134794,0.015318
0.020000,6.066302,18.277825,0.278514,1.360496,3.795107,0.138348,0.016938
0.020000,6.095027,18.278336,0.307243,1.436456,3.798009,0.145078,0.018641
0.020000,6.125271,18.278927,0.337493,1.512480,3.801201,0.159597,0.020424
0.020000,6.157035,18.279605,0.369264,1.588571,3.804545,0.167217,0.022286
0.020000,6.190320,18.280379,0.402559,1.664731,3.807983,0.171898,0.024226
0.020000,6.225129,18.281258,0.437378,1.740965,3.811727,0.187197,0.026243
0.020000,6.261461,18.282250,0.473724,1.817277,3.815573,0.192292,0.028334
0.020000,6.299318,18.283364,0.511597,1.893670,3.819657,0.204198,0.030498
0.020000,6.338701,18.284609,0.551000,1.970149,3.823954,0.214858,0.032734
0.020000,6.379612,18.285996,0.591934,2.046717,3.828392,0.221910,0.035038
0.020000,6.422051,18.287534,0.634402,2.123378,3.833056,0.233170,0.037410
0.020000,6.466021,18.289234,0.678405,2.200137,3.837934,0.243923,0.039848
0.020000,6.511523,18.291105,0.723945,2.276996,3.842974,0.251990,0.042348
