dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.787943,17.325449,0.000040,0.003993,0.199647,9.982354,6.282870
0.020000,5.787943,17.325449,0.000200,0.011979,0.399294,9.982354,6.282879
0.020000,5.787943,17.325449,0.000559,0.023958,0.598941,9.982354,6.282900
0.020000,5.787943,17.325449,0.001198,0.039929,0.798588,9.982354,6.282938
0.020000,5.787943,17.325449,0.002196,0.059894,0.998235,9.982354,6.282997
0.020000,5.787943,17.325449,0.003634,0.083852,1.197882,9.982354,6.283081
0.020000,5.788127,17.325449,0.005590,0.111802,1.397530,9.982354,0.000011
0.020000,5.790683,17.325449,0.008146,0.143746,1.597177,9.982354,0.000161
0.020000,5.793917,17.325450,0.011380,0.179682,1.796824,9.982354,0.000351
0.020000,5.797910,17.325452,0.015373,0.219612,1.996471,9.982354,0.000586
0.020000,5.802741,17.325455,0.020204,0.263534,2.196118,9.982354,0.000869
0.020000,5.808491,17.325461,0.025954,0.311449,2.395765,9.982354,0.001206
0.020000,5.815239,17.325470,0.032702,0.363358,2.595412,9.982354,0.001602
0.020000,5.823065,17.325485,0.040528,0.419259,2.795059,9.982354,0.002060
0.020000,5.832049,17.325506,0.049512,0.479153,2.994706,9.982354,0.002585
0.020000,5.842271,17.325535,0.059734,0.543040,3.194353,9.982354,0.003182
0.020000,5.853811,17.325576,0.071274,0.610920,3.394000,9.982354,0.003854
0.020000,5.866748,17.325630,0.084211,0.682793,3.593647,9.982354,0.004607
0.020000,5.881162,17.325703,0.098626,0.758659,3.793295,9.982354,0.005444
0.020000,5.897134,17.325797,0.114597,0.838518,3.992942,9.982354,0.006369
0.020000,5.914702,17.325918,0.132166,0.918377,3.992942,0.000000,0.007384
0.020000,5.933868,17.326070,0.151332,0.998235,3.992942,-0.000000,0.008488
0.020000,5.954630,17.326259,0.172096,1.078094,3.992942,0.000000,0.009681
0.020000,5.976989,17.326490,0.194456,1.157953,3.992942,-0.000000,0.010962
0.020000,6.000945,17.326769,0.218414,1.237812,3.992942,0.000000,0.012328
0.020000,6.026498,17.327102,0.243969,1.317671,3.992942,0.000000,0.013781
0.020000,6.053647,17.327497,0.271121,1.397530,3.992942,0.000000,0.015318
0.020000,6.082393,17.327961,0.299870,1.477388,3.992942,-0.000000,0.016938
0.020000,6.112734,17.328501,0.330216,1.557247,3.992942,-0.000000,0.018641
0.020000,6.144672,17.329125,0.362160,1.637106,3.992942,0.000000,0.020424
0.020000,6.178205,17.329841,0.395701,1.716965,3.992942,0.000000,0.022286
0.020000,6.213333,17.330658,0.430838,1.796824,3.992942,0.000000,0.024226
0.020000,6.250056,17.331585,0.467573,1.876683,3.992942,-0.000000,0.026243
0.020000,6.288374,17.332631,0.505906,1.956541,3.992942,0.000000,0.028334
0.020000,6.328287,17.333805,0.545835,2.036400,3.992942,-0.000000,0.030498
0.020000,6.369792,17.335118,0.587362,2.116259,3.992942,0.000000,0.032734
0.020000,6.412891,17.336579,0.630485,2.196118,3.992942,0.000000,0.035038
0.020000,6.457583,17.338199,0.675206,2.275977,3.992942,0.000000,0.037410
0.020000,6.503867,17.339988,0.721525,2.355836,3.992942,0.000000,0.039848
0.020000,6.551741,17.341956,0.769440,2.435694,3.992942,-0.000000,0.042348
0.020000,6.601207,17.344116,0.818952,2.515553,3.992942,0.000000,0.044909
0.020000,6.652262,17.346478,0.870062,2.595412,3.992942,0.000000,0.047529
0.020000,6.704906,17.349052,0.922769,2.675271,3.992942,-0.000000,0.050205
0.020000,6.759137,17.351852,0.977073,2.755130,3.992942,0.000000,0.052935
0.020000,6.814956,17.354887,1.032974,2.834989,3.992942,0.000000,0.055716
0.020000,6.872361,17.358170,1.090472,2.914847,3.992942,-0.000000,0.058546
0.020000,6.931350,17.361713,1.149568,2.994706,3.992942,0.000000,0.061422
0.020000,6.991923,17.365527,1.210261,3.074565,3.992942,0.000000,0.064340
0.020000,7.054078,17.369624,1.272550,3.154424,3.992942,0.000000,0.067299
0.020000,7.117813,17.374016,1.336438,3.234283,3.992942,-0.000000,0.070294
0.020000,7.183129,17.378715,1.401922,3.314142,3.992942,0.000000,0.073324
0.020000,7.250022,17.383732,1.469003,3.394000,3.992942,0.000000,0.076384
0.020000,7.318493,17.389079,1.537682,3.473859,3.992942,0.000000,0.079472
0.020000,7.388538,17.394767,1.607958,3.553718,3.992942,-0.000000,0.082585
0.020000,7.460156,17.400808,1.679831,3.633577,3.992942,0.000000,0.085718
0.020000,7.533347,17.407214,1.753301,3.713436,3.992942,0.000000,0.088868
0.020000,7.608107,17.413995,1.828368,3.793295,3.992942,-0.000000,0.092033
