dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.819502,25.887867,0.000040,0.003993,0.199644,9.982201,6.276530
0.020000,4.819507,25.887867,0.000045,0.000240,-0.187636,-19.363987,6.276525
0.020000,4.819518,25.887867,0.000056,0.000540,0.015010,10.132306,6.276513
0.020000,4.819537,25.887867,0.000075,0.000961,0.021015,0.300211,6.276493
0.020000,4.819567,25.887867,0.000105,0.001501,0.027019,0.300216,6.276461
0.020000,4.819610,25.887866,0.000148,0.002162,0.033023,0.300223,6.276416
0.020000,4.819669,25.887866,0.000207,0.002942,0.039028,0.300234,6.276354
0.020000,4.819746,25.887866,0.000284,0.003843,0.045033,0.300249,6.276273
0.020000,4.819843,25.887865,0.000381,0.004864,0.051038,0.300268,6.276171
0.020000,4.823088,25.887842,0.003625,0.162223,7.867987,390.847453,6.276044
0.020000,4.828064,25.887806,0.008602,0.248836,4.330628,-176.867982,6.275891
0.020000,4.833987,25.887762,0.014525,0.296132,2.364791,-98.291845,6.275709
0.020000,4.840938,25.887709,0.021476,0.347550,2.570923,10.306612,6.275496
0.020000,4.848999,25.887646,0.029537,0.403073,2.776158,10.261737,6.275248
0.020000,4.858253,25.887572,0.038791,0.462709,2.981778,10.280990,6.274963
0.020000,4.868782,25.887483,0.049321,0.526467,3.187925,10.307366,6.274640
0.020000,4.880668,25.887380,0.061207,0.594333,3.393289,10.268183,6.274274
0.020000,4.893994,25.887258,0.074534,0.666311,3.598909,10.281028,6.273864
0.020000,4.908841,25.887116,0.089382,0.742405,3.804670,10.288060,6.273408
0.020000,4.925293,25.886951,0.105834,0.822618,4.010661,10.299550,6.272902
0.020000,4.943389,25.886760,0.123932,0.904877,4.112976,5.115750,6.272345
0.020000,4.963131,25.886540,0.143675,0.987147,4.113470,0.024673,6.271737
0.020000,4.984518,25.886288,0.165063,1.069409,4.113093,-0.018847,6.271079
0.020000,5.007549,25.886001,0.188096,1.151683,4.113696,0.030173,6.270370
0.020000,5.032226,25.885676,0.212775,1.233952,4.113480,-0.010811,6.269610
0.020000,5.058548,25.885308,0.239100,1.316221,4.113459,-0.001081,6.268800
0.020000,5.086515,25.884893,0.267070,1.398497,4.113797,0.016911,6.267939
0.020000,5.116127,25.884428,0.296685,1.480773,4.113784,-0.000617,6.267026
0.020000,5.147383,25.883908,0.327946,1.563041,4.113401,-0.019176,6.266063
0.020000,5.180285,25.883328,0.360853,1.645329,4.114398,0.049836,6.265049
0.020000,5.214831,25.882683,0.395405,1.727603,4.113699,-0.034945,6.263984
0.020000,5.251021,25.881968,0.431602,1.809883,4.114012,0.015649,6.262868
0.020000,5.288857,25.881177,0.469446,1.892167,4.114208,0.009825,6.261700
0.020000,5.328336,25.880304,0.508935,1.974453,4.114291,0.004159,6.260482
0.020000,5.369460,25.879345,0.550070,2.056738,4.114265,-0.001340,6.259213
0.020000,5.412227,25.878291,0.592850,2.139023,4.114204,-0.003039,6.257892
0.020000,5.456638,25.877137,0.637276,2.221322,4.114950,0.037319,6.256520
0.020000,5.502693,25.875876,0.683349,2.303608,4.114307,-0.032178,6.255097
0.020000,5.550391,25.874500,0.731067,2.385900,4.114612,0.015274,6.253623
0.020000,5.599733,25.873004,0.780431,2.468199,4.114961,0.017444,6.252097
0.020000,5.650717,25.871378,0.831441,2.550496,4.114841,-0.005989,6.250520
0.020000,5.703343,25.869615,0.884097,2.632799,4.115145,0.015173,6.248892
0.020000,5.757612,25.867708,0.938399,2.715099,4.114988,-0.007812,6.247212
0.020000,5.813522,25.865647,0.994346,2.797395,4.114821,-0.008373,6.245480
0.020000,5.871073,25.863425,1.051941,2.879709,4.115694,0.043638,6.243697
