dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.806857,23.987909,0.000040,0.003993,0.199644,9.982201,6.276530
0.020000,4.806852,23.987909,0.000045,0.000240,-0.187636,-19.363987,6.276525
0.020000,4.806841,23.987909,0.000056,0.000540,0.015010,10.132306,6.276513
0.020000,4.806822,23.987909,0.000075,0.000961,0.021015,0.300211,6.276493
0.020000,4.806792,23.987910,0.000105,0.001501,0.027019,0.300216,6.276461
0.020000,4.806749,23.987910,0.000148,0.002162,0.033023,0.300223,6.276416
0.020000,4.806690,23.987910,0.000207,0.002942,0.039028,0.300234,6.276354
0.020000,4.806613,23.987911,0.000284,0.003843,0.045033,0.300249,6.276273
0.020000,4.806516,23.987912,0.000381,0.004864,0.051038,0.300268,6.276171
0.020000,4.809520,23.987890,0.003385,0.150214,7.267531,360.824609,6.276044
0.020000,4.814206,23.987856,0.008071,0.234304,4.204517,-153.150697,6.275891
0.020000,4.819783,23.987815,0.013648,0.278838,2.226653,-98.893168,6.275709
0.020000,4.826327,23.987766,0.020193,0.327252,2.420726,9.703617,6.275496
0.020000,4.833918,23.987706,0.027784,0.379531,2.613946,9.661040,6.275248
0.020000,4.842631,23.987636,0.036497,0.435681,2.807522,9.678796,6.274963
0.020000,4.852545,23.987553,0.046412,0.495713,3.001586,9.703203,6.274640
0.020000,4.863737,23.987455,0.057604,0.559611,3.194903,9.665824,6.274274
0.020000,4.876284,23.987341,0.070151,0.627380,3.388450,9.677376,6.273864
0.020000,4.890264,23.987207,0.084132,0.699023,3.582118,9.683393,6.273408
0.020000,4.905754,23.987052,0.099623,0.774542,3.775989,9.693545,6.272902
0.020000,4.922793,23.986872,0.116663,0.851987,3.872230,4.812034,6.272345
0.020000,4.941380,23.986665,0.135251,0.929439,3.872590,0.018005,6.271737
0.020000,4.961516,23.986428,0.155389,1.006881,3.872122,-0.023384,6.271079
0.020000,4.983201,23.986157,0.177076,1.084333,3.872570,0.022374,6.270370
0.020000,5.006435,23.985851,0.200311,1.161777,3.872238,-0.016592,6.269610
0.020000,5.031217,23.985504,0.225095,1.239219,3.872082,-0.007791,6.268800
0.020000,5.057547,23.985114,0.251429,1.316664,3.872258,0.008811,6.267939
0.020000,5.085426,23.984676,0.279311,1.394106,3.872098,-0.008009,6.267026
0.020000,5.114853,23.984187,0.308742,1.471538,3.871583,-0.025773,6.266063
0.020000,5.145828,23.983640,0.339721,1.548985,3.872361,0.038930,6.265049
0.020000,5.178350,23.983033,0.372250,1.626416,3.871539,-0.041128,6.263984
0.020000,5.212420,23.982360,0.406327,1.703849,3.871665,0.006291,6.262868
