dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.649200,18.229031,0.000040,0.003998,0.199879,9.993960,6.282650
0.020000,5.649184,18.229031,0.000056,0.000813,-0.159213,-17.954624,6.282667
0.020000,5.649147,18.229031,0.000093,0.001830,0.050830,10.502162,6.282705
0.020000,5.649082,18.229031,0.000158,0.003253,0.071155,1.016257,6.282774
0.020000,5.648981,18.229031,0.000260,0.005082,0.091470,1.015731,6.282881
0.020000,5.648834,18.229031,0.000406,0.007318,0.111767,1.014869,6.283035
0.020000,5.649188,18.229031,0.000760,0.017703,0.519243,20.373771,0.000059
0.020000,5.651487,18.229032,0.003058,0.114920,4.860865,217.081123,0.000333
0.020000,5.654396,18.229033,0.005967,0.145447,1.526331,-166.726716,0.000679
0.020000,5.657987,18.229036,0.009559,0.179568,1.706096,8.988265,0.001107
0.020000,5.662333,18.229042,0.013904,0.217288,1.885997,8.995050,0.001624
0.020000,5.667505,18.229052,0.019077,0.258606,2.065874,8.993872,0.002239
0.020000,5.673575,18.229068,0.025147,0.303520,2.245710,8.991790,0.002961
0.020000,5.680616,18.229092,0.032188,0.352031,2.425547,8.991827,0.003797
0.020000,5.688699,18.229126,0.040271,0.404153,2.606112,9.028245,0.004757
0.020000,5.697896,18.229175,0.049468,0.459877,2.786170,9.002923,0.005848
0.020000,5.708280,18.229242,0.059852,0.519212,2.966759,9.029468,0.007078
0.020000,5.719923,18.229333,0.071496,0.582161,3.147458,9.034946,0.008456
0.020000,5.732897,18.229452,0.084470,0.648728,3.328339,9.044033,0.009989
0.020000,5.747275,18.229608,0.098849,0.718917,3.509471,9.056608,0.011686
0.020000,5.763092,18.229808,0.114667,0.790941,3.601189,4.585890,0.013550
0.020000,5.780350,18.230059,0.131927,0.863001,3.603014,0.091239,0.015580
0.020000,5.799050,18.230371,0.150630,0.935109,3.605403,0.119446,0.017775
0.020000,5.819192,18.230753,0.170775,1.007263,3.607661,0.112892,0.020134
0.020000,5.840776,18.231215,0.192364,1.079469,3.610333,0.133623,0.022656
0.020000,5.863804,18.231768,0.215399,1.151734,3.613229,0.144823,0.025340
0.020000,5.888276,18.232423,0.239880,1.224060,3.616299,0.153458,0.028185
0.020000,5.914194,18.233192,0.265809,1.296461,3.620077,0.188943,0.031188
0.020000,5.941558,18.234089,0.293188,1.368931,3.623490,0.170608,0.034349
0.020000,5.970369,18.235127,0.322018,1.441484,3.627638,0.207400,0.037666
0.020000,6.000628,18.236320,0.352300,1.514124,3.632015,0.218867,0.041137
0.020000,6.032336,18.237683,0.384037,1.586858,3.636692,0.233849,0.044760
0.020000,6.065494,18.239231,0.417231,1.659694,3.641791,0.254967,0.048532
0.020000,6.100102,18.240980,0.451884,1.732634,3.647025,0.261683,0.052452
0.020000,6.136163,18.242946,0.487998,1.805694,3.652964,0.296950,0.056517
0.020000,6.173676,18.245148,0.525575,1.878876,3.659131,0.308362,0.060725
0.020000,6.212642,18.247602,0.564619,1.952187,3.665515,0.319185,0.065073
0.020000,6.253063,18.250328,0.605132,2.025640,3.672676,0.358048,0.069557
0.020000,6.294940,18.253342,0.647117,2.099241,3.680054,0.368889,0.074175
0.020000,6.338272,18.256666,0.690576,2.172997,3.687815,0.388073,0.078923
0.020000,6.383062,18.260318,0.735515,2.246921,3.696205,0.419477,0.083799
0.020000,6.429310,18.264320,0.781935,2.321020,3.704919,0.435738,0.088797
0.020000,6.477016,18.268690,0.829841,2.395304,3.714216,0.464827,0.093915
0.020000,6.526182,18.273451,0.879237,2.469782,3.723872,0.482819,0.099148
0.020000,6.576807,18.278624,0.930126,2.544462,3.734040,0.508407,0.104492
0.020000,6.628894,18.284230,0.982513,2.619361,3.744906,0.543269,0.109943
0.020000,6.682441,18.290292,1.036403,2.694479,3.755932,0.551316,0.115495
0.020000,6.737450,18.296831,1.091800,2.769833,3.767666,0.586694,0.121144
0.020000,6.793922,18.303871,1.148708,2.845431,3.779911,0.612232,0.126885
0.020000,6.851856,18.311434,1.207134,2.921282,3.792556,0.632273,0.132712
0.020000,6.911253,18.319542,1.267082,2.997397,3.805779,0.661157,0.138619
0.020000,6.972113,18.328219,1.328558,3.073786,3.819421,0.682099,0.144602
0.020000,7.034437,18.337488,1.391567,3.150459,3.833636,0.710722,0.150654
0.020000,7.098225,18.347371,1.456115,3.227425,3.848304,0.733402,0.156768
0.020000,7.163476,18.357892,1.522209,3.304692,3.863358,0.752703,0.162940
0.020000,7.230191,18.369073,1.589855,3.382271,3.878974,0.780795,0.169161
0.020000,7.298369,18.380938,1.659058,3.460170,3.894957,0.799159,0.175425
0.020000,7.368012,18.393509,1.729826,3.538399,3.911443,0.824299,0.181725
0.020000,7.439118,18.406809,1.802165,3.616964,3.928251,0.840388,0.188055
0.020000,7.511688,18.420859,1.876083,3.695875,3.945510,0.862966,0.194407
0.020000,7.585721,18.435681,1.951585,3.775137,3.963118,0.880413,0.200773
0.020000,7.661218,18.451297,2.028681,3.854759,3.981088,0.898502,0.207146
0.020000,7.738179,18.467729,2.107376,3.934746,3.999374,0.914282,0.213518
0.020000,7.816603,18.484995,2.187678,4.015105,4.017966,0.929616,0.219882
0.020000,7.896490,18.503117,2.269595,4.095842,4.036847,0.944028,0.226229
0.020000,7.977841,18.522113,2.353134,4.176962,4.055981,0.956739,0.232552
0.020000,8.060655,18.542003,2.438303,4.258469,4.075360,0.968937,0.238842
0.020000,8.144933,18.562805,2.525110,4.340368,4.094915,0.977744,0.245091
0.020000,8.230676,18.584534,2.613564,4.422662,4.114707,0.989581,0.251290
0.020000,8.317883,18.607209,2.703671,4.505354,4.134605,0.994914,0.257432
