dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.648182,16.329031,0.000040,0.003998,0.199879,9.993960,6.282650
0.020000,5.648199,16.329031,0.000056,0.000813,-0.159213,-17.954624,6.282667
0.020000,5.648235,16.329031,0.000093,0.001830,0.050830,10.502162,6.282705
0.020000,5.648300,16.329031,0.000158,0.003253,0.071155,1.016257,6.282774
0.020000,5.648402,16.329031,0.000260,0.005082,0.091470,1.015731,6.282881
0.020000,5.648548,16.329031,0.000406,0.007318,0.111767,1.014869,6.283035
0.020000,5.649301,16.329031,0.001158,0.037620,1.515112,70.167243,0.000059
0.020000,5.652119,16.329032,0.003977,0.140929,5.165473,182.518033,0.000333
0.020000,5.655686,16.329034,0.007544,0.178356,1.871352,-164.706033,0.000679
0.020000,5.660090,16.329038,0.011948,0.220186,2.091468,11.005824,0.001107
0.020000,5.665419,16.329045,0.017276,0.266418,2.311616,11.007401,0.001624
0.020000,5.671760,16.329057,0.023617,0.317050,2.531570,10.997656,0.002239
0.020000,5.679201,16.329076,0.031059,0.372075,2.751271,10.985056,0.002961
0.020000,5.687831,16.329106,0.039688,0.431490,2.970733,10.973103,0.003797
0.020000,5.697737,16.329148,0.049595,0.495306,3.190804,11.003559,0.004757
0.020000,5.709007,16.329208,0.060865,0.563504,3.409922,10.955916,0.005848
0.020000,5.721728,16.329290,0.073586,0.636090,3.629305,10.969154,0.007078
0.020000,5.735989,16.329401,0.087848,0.713058,3.848377,10.953591,0.008456
0.020000,5.751876,16.329547,0.103736,0.794401,4.067160,10.939150,0.009989
0.020000,5.769478,16.329738,0.121338,0.880114,4.285667,10.925330,0.011686
0.020000,5.788836,16.329982,0.140698,0.967996,4.394096,5.421451,0.013550
0.020000,5.809950,16.330290,0.161814,1.055836,4.391965,-0.106525,0.015580
0.020000,5.832820,16.330671,0.184687,1.143636,4.390037,-0.096424,0.017775
0.020000,5.857443,16.331138,0.209315,1.231385,4.387437,-0.129997,0.020134
0.020000,5.883819,16.331702,0.235697,1.319081,4.384809,-0.131414,0.022656
0.020000,5.911945,16.332378,0.263831,1.406719,4.381893,-0.145784,0.025340
0.020000,5.941820,16.333177,0.293717,1.494291,4.378600,-0.164635,0.028185
0.020000,5.973442,16.334116,0.325353,1.581802,4.375558,-0.152134,0.031188
0.020000,6.006809,16.335210,0.358737,1.669231,4.371422,-0.206778,0.034349
0.020000,6.041918,16.336475,0.393869,1.756581,4.367509,-0.195648,0.037666
0.020000,6.078766,16.337928,0.430746,1.843844,4.363170,-0.216969,0.041137
0.020000,6.117351,16.339586,0.469366,1.931013,4.358458,-0.235557,0.044760
0.020000,6.157669,16.341468,0.509728,2.018083,4.353493,-0.248254,0.048532
0.020000,6.199716,16.343593,0.551829,2.105041,4.347893,-0.280036,0.052452
0.020000,6.243488,16.345980,0.595666,2.191888,4.342319,-0.278685,0.056517
0.020000,6.288982,16.348650,0.641239,2.278611,4.336161,-0.307890,0.060725
0.020000,6.336193,16.351624,0.688543,2.365198,4.329376,-0.339282,0.065073
0.020000,6.385115,16.354922,0.737576,2.451651,4.322612,-0.338164,0.069557
0.020000,6.435743,16.358567,0.788335,2.537954,4.315164,-0.372432,0.074175
0.020000,6.488071,16.362580,0.840817,2.624098,4.307206,-0.397902,0.078923
0.020000,6.542093,16.366986,0.895018,2.710078,4.299008,-0.409873,0.083799
0.020000,6.597803,16.371805,0.950936,2.795882,4.290182,-0.441292,0.088797
0.020000,6.655192,16.377063,1.008566,2.881502,4.281017,-0.458276,0.093915
0.020000,6.714255,16.382782,1.067904,2.966927,4.271226,-0.489539,0.099148
0.020000,6.774981,16.388987,1.128947,3.052146,4.260978,-0.512419,0.104492
0.020000,6.837364,16.395702,1.191690,3.137156,4.250481,-0.524830,0.109943
0.020000,6.901394,16.402950,1.256129,3.221937,4.239084,-0.569834,0.115495
0.020000,6.967061,16.410757,1.322259,3.306486,4.227437,-0.582358,0.121144
0.020000,7.034356,16.419145,1.390075,3.390792,4.215301,-0.606799,0.126885
0.020000,7.103269,16.428141,1.459572,3.474843,4.202547,-0.637688,0.132712
0.020000,7.173787,16.437767,1.530744,3.558631,4.189393,-0.657744,0.138619
0.020000,7.245901,16.448049,1.603587,3.642144,4.175657,-0.686753,0.144602
0.020000,7.319598,16.459009,1.678095,3.725375,4.161539,-0.705949,0.150654
0.020000,7.394866,16.470671,1.754261,3.808313,4.146912,-0.731302,0.156768
0.020000,7.471693,16.483058,1.832080,3.890948,4.131722,-0.759509,0.162940
0.020000,7.550065,16.496193,1.911545,3.973272,4.116201,-0.776042,0.169161
0.020000,7.629970,16.510099,1.992651,4.055275,4.100151,-0.802538,0.175425
