dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.720252,25.655802,0.000040,0.003981,0.199072,9.953615,0.000098
0.020000,4.720254,25.655802,0.000042,0.000105,-0.193826,-19.644924,0.000096
0.020000,4.720259,25.655802,0.000047,0.000236,0.006558,10.019230,0.000091
0.020000,4.720267,25.655802,0.000055,0.000420,0.009184,0.131276,0.000082
0.020000,4.720280,25.655802,0.000068,0.000656,0.011813,0.131441,0.000068
0.020000,4.720299,25.655802,0.000087,0.000945,0.014447,0.131712,0.000048
0.020000,4.720325,25.655802,0.000113,0.001287,0.017089,0.132114,0.000021
0.020000,4.721381,25.655802,0.001169,0.052819,2.576610,127.976043,6.283171
0.020000,4.724649,25.655801,0.004437,0.163379,5.527980,147.568506,6.283126
0.020000,4.728683,25.655801,0.008471,0.201704,1.916270,-180.585491,6.283071
0.020000,4.733564,25.655800,0.013352,0.244066,2.118078,10.090365,6.283004
0.020000,4.739373,25.655799,0.019161,0.290463,2.319890,10.090603,6.282924
0.020000,4.746191,25.655797,0.025979,0.340898,2.521726,10.091819,6.282830
0.020000,4.754099,25.655794,0.033887,0.395370,2.723619,10.094631,6.282721
0.020000,4.763176,25.655789,0.042964,0.453881,2.925550,10.096557,6.282595
0.020000,4.773505,25.655782,0.053293,0.516433,3.127579,10.101470,6.282452
0.020000,4.785166,25.655773,0.064954,0.583024,3.329582,10.100126,6.282289
0.020000,4.798239,25.655760,0.078027,0.653660,3.531767,10.109238,6.282107
0.020000,4.812806,25.655743,0.092593,0.728339,3.733942,10.108773,6.281903
0.020000,4.828947,25.655720,0.108735,0.807064,3.936253,10.115544,6.281676
0.020000,4.846703,25.655691,0.126491,0.887819,4.037780,5.076347,6.281426
0.020000,4.866075,25.655654,0.145863,0.968588,4.038451,0.033531,6.281151
0.020000,4.887062,25.655608,0.166850,1.049373,4.039230,0.038956,6.280852
0.020000,4.909666,25.655552,0.189454,1.130174,4.040065,0.041764,6.280529
0.020000,4.933885,25.655483,0.213674,1.210993,4.040943,0.043889,6.280180
0.020000,4.959722,25.655401,0.239510,1.291831,4.041901,0.047929,6.279806
0.020000,4.987176,25.655303,0.266964,1.372689,4.042915,0.050688,6.279406
0.020000,5.016247,25.655187,0.296036,1.453570,4.044016,0.055054,6.278980
0.020000,5.046936,25.655051,0.326725,1.534473,4.045160,0.057188,6.278526
0.020000,5.079243,25.654892,0.359033,1.615400,4.046346,0.059319,6.278046
0.020000,5.113170,25.654709,0.392960,1.696353,4.047659,0.065650,6.277538
0.020000,5.148716,25.654499,0.428507,1.777332,4.048972,0.065636,6.277001
0.020000,5.185882,25.654259,0.465673,1.858340,4.050383,0.070542,6.276435
0.020000,5.224669,25.653985,0.504461,1.939377,4.051847,0.073219,6.275840
0.020000,5.265076,25.653676,0.544870,2.020445,4.053410,0.078142,6.275214
0.020000,5.307106,25.653327,0.586901,2.101545,4.054980,0.078484,6.274557
0.020000,5.350758,25.652936,0.630554,2.182678,4.056648,0.083429,6.273869
0.020000,5.396032,25.652497,0.675831,2.263845,4.058371,0.086120,6.273148
0.020000,5.442931,25.652009,0.722732,2.345049,4.060190,0.090988,6.272394
0.020000,5.491454,25.651466,0.771258,2.426289,4.062013,0.091106,6.271606
0.020000,5.541601,25.650865,0.821409,2.507568,4.063961,0.097436,6.270784
0.020000,5.593375,25.650201,0.873187,2.588888,4.065953,0.099607,6.269926
0.020000,5.646775,25.649469,0.926592,2.670247,4.067989,0.101789,6.269031
0.020000,5.701802,25.648664,0.981625,2.751650,4.070112,0.106137,6.268099
0.020000,5.758457,25.647782,1.038287,2.833095,4.072294,0.109114,6.267129
0.020000,5.816741,25.646817,1.096579,2.914587,4.074557,0.113133,6.266120
0.020000,5.876654,25.645763,1.156501,2.996124,4.076863,0.115330,6.265070
0.020000,5.938197,25.644614,1.218055,3.077708,4.079228,0.118213,6.263979
0.020000,6.001372,25.643365,1.281242,3.159342,4.081702,0.123714,6.262846
0.020000,6.066178,25.642009,1.346063,3.241026,4.084197,0.124757,6.261670
0.020000,6.132617,25.640539,1.412518,3.322762,4.086769,0.128579,6.260450
0.020000,6.200690,25.638948,1.480609,3.404550,4.089435,0.133319,6.259184
0.020000,6.270396,25.637229,1.550337,3.486392,4.092101,0.133288,6.257871
0.020000,6.341738,25.635374,1.621703,3.568290,4.094896,0.139741,6.256511
0.020000,6.414715,25.633375,1.694708,3.650245,4.097741,0.142285,6.255101
0.020000,6.489330,25.631225,1.769353,3.732258,4.100632,0.144520,6.253642
0.020000,6.565581,25.628914,1.845639,3.814329,4.103575,0.147149,6.252131
0.020000,6.643471,25.626434,1.923569,3.896462,4.106642,0.153340,6.250567
0.020000,6.723000,25.623774,2.003142,3.978656,4.109711,0.153465,6.248949
0.020000,6.804168,25.620927,2.084360,4.060914,4.112871,0.158019,6.247276
0.020000,6.886977,25.617880,2.167225,4.143236,4.116102,0.161559,6.245547
0.020000,6.971426,25.614625,2.251737,4.225623,4.119360,0.162899,6.243759
0.020000,7.057518,25.611149,2.337899,4.308077,4.122716,0.167790,6.241912
0.020000,7.145252,25.607442,2.425711,4.390600,4.126126,0.170481,6.240003
0.020000,7.234628,25.603492,2.515175,4.473192,4.129580,0.172701,6.238033
0.020000,7.325648,25.599287,2.606292,4.555854,4.133107,0.176342,6.235998
0.020000,7.418312,25.594814,2.699063,4.638587,4.136685,0.178926,6.233899
0.020000,7.512620,25.590060,2.793491,4.721394,4.140335,0.182510,6.231732
0.020000,7.608573,25.585011,2.889577,4.804275,4.144027,0.184594,6.229497
0.020000,7.706171,25.579654,2.987321,4.887230,4.147764,0.186819,6.227192
0.020000,7.805413,25.573973,3.086727,4.970262,4.151589,0.191281,6.224815
0.020000,7.906301,25.567954,3.187794,5.053370,4.155428,0.191930,6.222365
0.020000,8.008835,25.561580,3.290525,5.136557,4.159336,0.195402,6.219840
0.020000,8.113013,25.554837,3.394922,5.219823,4.163291,0.197763,6.217238
0.020000,8.218836,25.547706,3.500985,5.303169,4.167290,0.199953,6.214558
0.020000,8.326304,25.540170,3.608717,5.386595,4.171330,0.201981,6.211799
0.020000,8.435417,25.532212,3.718119,5.470103,4.175410,0.204015,6.208957
0.020000,8.546173,25.523813,3.829193,5.553694,4.179531,0.206019,6.206032
0.020000,8.658571,25.514954,3.941940,5.637368,4.183685,0.207746,6.203022
0.020000,8.772612,25.505616,4.056363,5.721125,4.187869,0.209171,6.199926
0.020000,8.888294,25.495777,4.172462,5.804967,4.192081,0.210625,6.196740
0.020000,9.005615,25.485416,4.290240,5.888893,4.196316,0.211710,6.193464
0.020000,9.124574,25.474513,4.409698,5.972905,4.200576,0.213017,6.190096
0.020000,9.245170,25.463044,4.530838,6.057001,4.204831,0.212759,6.186633
0.020000,9.367401,25.450986,4.653662,6.141184,4.209122,0.214524,6.183075
0.020000,9.491264,25.438316,4.778171,6.225452,4.213398,0.213834,6.179419
0.020000,9.616756,25.425010,4.904367,6.309805,4.217685,0.214326,6.175663
0.020000,9.743876,25.411041,5.032252,6.394244,4.221937,0.212597,6.171807
0.020000,9.872620,25.396385,5.161827,6.478768,4.226219,0.214098,6.167847
0.020000,10.002984,25.381014,5.293095,6.563377,4.230432,0.210649,6.163782
0.020000,10.134966,25.364901,5.426056,6.648070,4.234631,0.209956,6.159611
0.020000,10.268560,25.348018,5.560713,6.732846,4.238822,0.209547,6.155332
0.020000,10.403763,25.330336,5.697067,6.817704,4.242912,0.204498,6.150942
0.020000,10.540569,25.311825,5.835120,6.902644,4.246999,0.204390,6.146440
0.020000,10.678973,25.292455,5.974873,6.987664,4.250976,0.198834,6.141825
0.020000,10.818970,25.272195,6.116328,7.072762,4.254913,0.196818,6.137095
0.020000,10.960553,25.251013,6.259487,7.157937,4.258737,0.191224,6.132248
0.020000,11.103715,25.228876,6.404351,7.243187,4.262497,0.188000,6.127283
0.020000,11.248450,25.205750,6.550921,7.328508,4.266062,0.178226,6.122198
0.020000,11.394748,25.181602,6.699199,7.413900,4.269589,0.176375,6.116992
0.020000,11.542602,25.156397,6.849186,7.499358,4.272940,0.167527,6.111662
0.020000,11.692003,25.130098,7.000884,7.584883,4.276235,0.164750,6.106209
0.020000,11.842940,25.102669,7.154293,7.670467,4.279206,0.148578,6.100630
0.020000,11.989502,25.075200,7.303407,7.455705,-10.738105,-750.865571,6.095257
0.020000,12.142970,25.045594,7.459704,7.814849,17.957183,1434.764428,6.089992
0.020000,12.297809,25.014881,7.617560,7.892798,3.897448,-702.986741,6.084762
0.020000,12.454010,24.983050,7.776972,7.970574,3.888799,-0.432453,6.079571
0.020000,12.611564,24.950095,7.937935,8.048176,3.880113,-0.434318,6.074422
0.020000,12.770461,24.916007,8.100447,8.125603,3.871351,-0.438105,6.069320
0.020000,12.930692,24.880782,8.264504,8.202855,3.862586,-0.438257,6.064268
0.020000,13.092207,24.844422,8.430062,8.277881,3.751317,-5.563422,6.059271
0.020000,13.254920,24.806943,8.597035,8.348639,3.537888,-10.671478,6.054335
0.020000,13.418741,24.768362,8.765337,8.415138,3.324949,-10.646921,6.049466
0.020000,13.583584,24.728698,8.934885,8.477388,3.112528,-10.621074,6.044669
0.020000,13.749363,24.687974,9.105593,8.535401,2.900620,-10.595377,6.039951
0.020000,13.915993,24.646213,9.277377,8.589186,2.689257,-10.568177,6.035315
0.020000,14.083391,24.603442,9.450152,8.638756,2.478476,-10.539021,6.030767
0.020000,14.251472,24.559689,9.623834,8.684121,2.268253,-10.511172,6.026312
0.020000,14.420154,24.514986,9.798340,8.725293,2.058629,-10.481222,6.021954
0.020000,14.589357,24.469363,9.973586,8.762285,1.849600,-10.451434,6.017698
0.020000,14.759000,24.422856,10.149488,8.795109,1.641179,-10.421054,6.013547
0.020000,14.929003,24.375500,10.325964,8.823776,1.433368,-10.390533,6.009504
0.020000,15.099288,24.327334,10.502930,8.848300,1.226180,-10.359407,6.005575
0.020000,15.269777,24.278396,10.680304,8.868692,1.019606,-10.328717,6.001760
0.020000,15.440394,24.228728,10.858003,8.884965,0.813663,-10.297110,5.998064
0.020000,15.611063,24.178370,11.035946,8.897132,0.608332,-10.266550,5.994489
0.020000,15.781708,24.127367,11.214050,8.905204,0.403625,-10.235362,5.991038
0.020000,15.952255,24.075763,11.392234,8.909195,0.199542,-10.204139,5.987712
0.020000,16.122632,24.023603,11.570416,8.909116,-0.003931,-10.173668,5.984513
0.020000,16.292746,23.970940,11.748495,8.903948,-0.258409,-12.723905,5.981444
0.020000,16.462506,23.917828,11.926369,8.893705,-0.512140,-12.686548,5.978506
0.020000,16.631840,23.864314,12.103958,8.879434,-0.713597,-10.072830,5.975700
0.020000,16.800678,23.810448,12.281180,8.861145,-0.914450,-10.042655,5.973026
0.020000,16.968951,23.756278,12.457957,8.838850,-1.114724,-10.013690,5.970486
0.020000,17.136589,23.701855,12.634209,8.812561,-1.314431,-9.985393,5.968079
0.020000,17.303524,23.647228,12.809854,8.782290,-1.513582,-9.957535,5.965806
0.020000,17.469688,23.592447,12.984815,8.748047,-1.712156,-9.928691,5.963666
0.020000,17.625965,23.540864,13.149385,8.228475,-25.978586,-1213.321497,5.968732
0.020000,17.779945,23.491714,13.311019,8.081720,-7.337740,932.042300,5.979193
0.020000,17.936161,23.443402,13.474536,8.175817,4.704851,602.129529,5.986833
0.020000,18.094361,23.395558,13.639812,8.263827,4.400509,-15.217108,5.991699
0.020000,18.254294,23.347799,13.806724,8.345585,4.087905,-15.630170,5.993836
0.020000,18.415711,23.299735,13.975144,8.421007,3.771095,-15.840494,5.993296
0.020000,18.578360,23.250976,14.144945,8.490039,3.451589,-15.975322,5.990127
0.020000,18.741987,23.201126,14.315997,8.552612,3.128641,-16.147395,5.984383
0.020000,18.906330,23.149797,14.488169,8.608602,2.799523,-16.455892,5.976118
0.020000,19.071114,23.096606,14.661325,8.657799,2.459854,-16.983479,5.965391
0.020000,19.236049,23.041185,14.835323,8.699876,2.103848,-17.800272,5.952268
0.020000,19.400826,22.983184,15.010010,8.734372,1.724762,-18.954319,5.936825
0.020000,19.565135,22.922270,15.185246,8.761808,1.371823,-17.646940,5.919148
0.020000,19.728680,22.858126,15.360921,8.783732,1.096178,-13.782223,5.899333
0.020000,19.891163,22.790458,15.536931,8.800526,0.839708,-12.823499,5.877486
0.020000,20.052260,22.719014,15.713159,8.811391,0.543232,-14.823825,5.853734
0.020000,20.211619,22.643588,15.889468,8.815428,0.201864,-17.068410,5.828220
0.020000,20.368872,22.564026,16.065702,8.811692,-0.186813,-19.433851,5.801108
0.020000,20.511484,22.487441,16.227576,8.093719,-35.898633,-1785.591007,5.784332
0.020000,20.646816,22.413070,16.381998,7.721083,-18.631808,863.341268,5.776832
0.020000,20.781218,22.337778,16.536052,7.702714,-0.918434,885.668708,5.768043
0.020000,20.914561,22.261421,16.689710,7.682901,-0.990667,-3.611663,5.757994
0.020000,21.046715,22.183860,16.842943,7.661635,-1.063260,-3.629620,5.746716
0.020000,21.177548,22.104971,16.995720,7.638872,-1.138161,-3.745058,5.734240
0.020000,21.306927,22.024636,17.148011,7.614525,-1.217345,-3.959224,5.720601
0.020000,21.434712,21.942753,17.299780,7.588472,-1.302658,-4.265651,5.705833
0.020000,21.560763,21.859231,17.450991,7.560552,-1.395993,-4.666720,5.689977
0.020000,21.684934,21.773994,17.601602,7.530570,-1.499130,-5.156879,5.673075
0.020000,21.807078,21.686984,17.751569,7.498301,-1.613424,-5.714701,5.655176
0.020000,21.927043,21.598159,17.900838,7.463497,-1.740223,-6.339918,5.636334
0.020000,22.044677,21.507496,18.049356,7.425889,-1.880374,-7.007563,5.616606
0.020000,22.159826,21.414991,18.197060,7.385202,-2.034361,-7.699370,5.596058
0.020000,22.272339,21.320663,18.343883,7.341159,-2.202160,-8.389945,5.574761
