dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.720345,24.705802,0.000040,0.003981,0.199072,9.953615,0.000098
0.020000,4.720345,24.705802,0.000199,0.011944,0.398145,9.953615,0.000096
0.020000,4.720345,24.705802,0.000557,0.023889,0.597217,9.953615,0.000091
0.020000,4.720345,24.705802,0.001194,0.039814,0.796289,9.953615,0.000082
0.020000,4.720345,24.705802,0.002190,0.059722,0.995361,9.953615,0.000068
0.020000,4.720345,24.705802,0.003623,0.083610,1.194434,9.953615,0.000048
0.020000,4.720345,24.705802,0.005574,0.111480,1.393506,9.953615,0.000021
0.020000,4.721368,24.705802,0.008122,0.143332,1.592578,9.953615,6.283171
0.020000,4.724593,24.705801,0.011347,0.179165,1.791651,9.953615,6.283126
0.020000,4.728574,24.705801,0.015329,0.218980,1.990723,9.953615,6.283071
0.020000,4.733392,24.705800,0.020146,0.262775,2.189795,9.953615,6.283004
0.020000,4.739125,24.705799,0.025879,0.310553,2.388868,9.953615,6.282924
0.020000,4.745854,24.705797,0.032608,0.362312,2.587940,9.953615,6.282830
0.020000,4.753657,24.705794,0.040412,0.418052,2.787012,9.953615,6.282721
0.020000,4.762615,24.705789,0.049370,0.477774,2.986084,9.953615,6.282595
0.020000,4.772808,24.705782,0.059562,0.541477,3.185157,9.953615,6.282452
0.020000,4.784314,24.705773,0.071069,0.609161,3.384229,9.953615,6.282289
0.020000,4.797214,24.705760,0.083969,0.680827,3.583301,9.953615,6.282107
0.020000,4.811587,24.705743,0.098342,0.756475,3.782374,9.953615,6.281903
0.020000,4.827513,24.705721,0.114267,0.836104,3.981446,9.953615,6.281676
0.020000,4.845031,24.705692,0.131786,0.915733,3.981446,0.000000,6.281426
0.020000,4.864142,24.705656,0.150897,0.995361,3.981446,0.000000,6.281151
0.020000,4.884846,24.705611,0.171600,1.074990,3.981446,-0.000000,6.280852
0.020000,4.907142,24.705555,0.193896,1.154619,3.981446,0.000000,6.280529
0.020000,4.931030,24.705488,0.217785,1.234248,3.981446,0.000000,6.280180
0.020000,4.956511,24.705406,0.243266,1.313877,3.981446,-0.000000,6.279806
0.020000,4.983585,24.705310,0.270340,1.393506,3.981446,0.000000,6.279406
0.020000,5.012251,24.705195,0.299007,1.473135,3.981446,-0.000000,6.278980
0.020000,5.042510,24.705061,0.329266,1.552764,3.981446,0.000000,6.278526
0.020000,5.074361,24.704905,0.361117,1.632393,3.981446,-0.000000,6.278046
0.020000,5.107805,24.704725,0.394561,1.712022,3.981446,0.000000,6.277538
0.020000,5.142841,24.704517,0.429598,1.791651,3.981446,-0.000000,6.277001
0.020000,5.179469,24.704280,0.466227,1.871280,3.981446,0.000000,6.276435
0.020000,5.217690,24.704011,0.504449,1.950908,3.981446,0.000000,6.275840
0.020000,5.257504,24.703706,0.544264,2.030537,3.981446,0.000000,6.275214
0.020000,5.298909,24.703363,0.585671,2.110166,3.981446,-0.000000,6.274557
0.020000,5.341907,24.702977,0.628670,2.189795,3.981446,0.000000,6.273869
0.020000,5.386497,24.702545,0.673262,2.269424,3.981446,0.000000,6.273148
0.020000,5.432680,24.702064,0.719447,2.349053,3.981446,0.000000,6.272394
0.020000,5.480454,24.701530,0.767225,2.428682,3.981446,-0.000000,6.271606
0.020000,5.529820,24.700938,0.816595,2.508311,3.981446,0.000000,6.270784
0.020000,5.580779,24.700284,0.867557,2.587940,3.981446,0.000000,6.269926
0.020000,5.633329,24.699564,0.920112,2.667569,3.981446,-0.000000,6.269031
0.020000,5.687471,24.698772,0.974260,2.747198,3.981446,-0.000000,6.268099
0.020000,5.743204,24.697905,1.030000,2.826827,3.981446,0.000000,6.267129
0.020000,5.800529,24.696955,1.087333,2.906455,3.981446,0.000000,6.266120
0.020000,5.859445,24.695919,1.146258,2.986084,3.981446,0.000000,6.265070
0.020000,5.919953,24.694790,1.206776,3.065713,3.981446,-0.000000,6.263979
0.020000,5.982051,24.693562,1.268887,3.145342,3.981446,0.000000,6.262846
0.020000,6.045740,24.692229,1.332590,3.224971,3.981446,0.000000,6.261670
0.020000,6.111020,24.690784,1.397886,3.304600,3.981446,0.000000,6.260450
0.020000,6.177890,24.689221,1.464774,3.384229,3.981446,-0.000000,6.259184
0.020000,6.246350,24.687533,1.533255,3.463858,3.981446,0.000000,6.257871
0.020000,6.316400,24.685712,1.603328,3.543487,3.981446,0.000000,6.256511
0.020000,6.388039,24.683750,1.674994,3.623116,3.981446,0.000000,6.255101
0.020000,6.461267,24.681640,1.748253,3.702745,3.981446,-0.000000,6.253642
0.020000,6.536084,24.679372,1.823104,3.782374,3.981446,0.000000,6.252131
0.020000,6.612489,24.676939,1.899548,3.862003,3.981446,0.000000,6.250567
0.020000,6.690482,24.674331,1.977584,3.941631,3.981446,-0.000000,6.248949
0.020000,6.770062,24.671539,2.057213,4.021260,3.981446,0.000000,6.247276
0.020000,6.851228,24.668553,2.138435,4.100889,3.981446,-0.000000,6.245547
0.020000,6.933981,24.665363,2.221249,4.180518,3.981446,0.000000,6.243759
0.020000,7.018319,24.661958,2.305655,4.260147,3.981446,0.000000,6.241912
0.020000,7.104242,24.658328,2.391655,4.339776,3.981446,-0.000000,6.240003
0.020000,7.191748,24.654461,2.479246,4.419405,3.981446,0.000000,6.238033
0.020000,7.280837,24.650345,2.568431,4.499034,3.981446,-0.000000,6.235998
0.020000,7.371509,24.645968,2.659208,4.578663,3.981446,0.000000,6.233899
0.020000,7.463761,24.641317,2.751577,4.658292,3.981446,0.000000,6.231732
0.020000,7.557593,24.636380,2.845539,4.737921,3.981446,-0.000000,6.229497
0.020000,7.653004,24.631143,2.941094,4.817550,3.981446,0.000000,6.227192
0.020000,7.749993,24.625591,3.038241,4.897178,3.981446,-0.000000,6.224815
0.020000,7.848557,24.619710,3.136981,4.976807,3.981446,0.000000,6.222365
0.020000,7.948697,24.613486,3.237314,5.056436,3.981446,0.000000,6.219840
0.020000,8.050409,24.606902,3.339239,5.136065,3.981446,-0.000000,6.217238
0.020000,8.153692,24.599942,3.442756,5.215694,3.981446,0.000000,6.214558
0.020000,8.258545,24.592590,3.547866,5.295323,3.981446,0.000000,6.211799
0.020000,8.364965,24.584828,3.654569,5.374952,3.981446,-0.000000,6.208957
0.020000,8.472950,24.576639,3.762865,5.454581,3.981446,0.000000,6.206032
0.020000,8.582498,24.568005,3.872752,5.534210,3.981446,-0.000000,6.203022
0.020000,8.693607,24.558907,3.984233,5.613839,3.981446,0.000000,6.199926
0.020000,8.806273,24.549324,4.097306,5.693468,3.981446,0.000000,6.196740
0.020000,8.920494,24.539237,4.211972,5.773097,3.981446,-0.000000,6.193464
0.020000,9.036267,24.528626,4.328230,5.852725,3.981446,0.000000,6.190096
0.020000,9.153588,24.517468,4.446081,5.932354,3.981446,0.000000,6.186633
0.020000,9.272455,24.505743,4.565524,6.011983,3.981446,-0.000000,6.183075
0.020000,9.392862,24.493426,4.686560,6.091612,3.981446,0.000000,6.179419
0.020000,9.514807,24.480496,4.809188,6.171241,3.981446,0.000000,6.175663
0.020000,9.638285,24.466928,4.933410,6.250870,3.981446,-0.000000,6.171807
0.020000,9.763291,24.452697,5.059223,6.330499,3.981446,0.000000,6.167847
0.020000,9.889821,24.437778,5.186630,6.410128,3.981446,0.000000,6.163782
0.020000,10.017869,24.422145,5.315628,6.489757,3.981446,0.000000,6.159611
0.020000,10.147430,24.405772,5.446220,6.569386,3.981446,-0.000000,6.155332
0.020000,10.278497,24.388631,5.578404,6.649015,3.981446,0.000000,6.150942
0.020000,10.411066,24.370693,5.712180,6.728644,3.981446,0.000000,6.146440
0.020000,10.545128,24.351931,5.847550,6.808272,3.981446,0.000000,6.141825
0.020000,10.680678,24.332315,5.984511,6.887901,3.981446,0.000000,6.137095
0.020000,10.817707,24.311814,6.123066,6.967530,3.981446,-0.000000,6.132248
0.020000,10.956208,24.290398,6.263213,7.047159,3.981446,0.000000,6.127283
0.020000,11.096172,24.268034,6.404952,7.126788,3.981446,0.000000,6.122198
0.020000,11.237590,24.244692,6.548284,7.206417,3.981446,-0.000000,6.116992
0.020000,11.380453,24.220337,6.693209,7.286046,3.981446,0.000000,6.111662
0.020000,11.524752,24.194936,6.839726,7.365675,3.981446,-0.000000,6.106209
0.020000,11.670475,24.168455,6.987836,7.445304,3.981446,0.000000,6.100630
0.020000,11.812020,24.141926,7.137538,7.524933,3.981446,0.000000,6.095257
0.020000,11.960576,24.113268,7.288833,7.604562,3.981446,-0.000000,6.089992
0.020000,12.110541,24.083521,7.441721,7.684191,3.981446,0.000000,6.084762
0.020000,12.261910,24.052675,7.596201,7.763819,3.981446,-0.000000,6.079571
0.020000,12.414677,24.020721,7.752273,7.843448,3.981446,0.000000,6.074422
0.020000,12.568834,23.987650,7.909939,7.923077,3.981446,-0.000000,6.069320
0.020000,12.724378,23.953456,8.069196,8.002706,3.981446,0.000000,6.064268
0.020000,12.881262,23.918138,8.230007,8.078354,3.782374,-9.953615,6.059271
0.020000,13.039405,23.881712,8.392291,8.150020,3.583301,-9.953615,6.054335
0.020000,13.198723,23.844191,8.555968,8.217704,3.384229,-9.953615,6.049466
0.020000,13.359136,23.805593,8.720959,8.281407,3.185157,-9.953615,6.044669
0.020000,13.520562,23.765938,8.887184,8.341129,2.986084,-9.953615,6.039951
0.020000,13.682920,23.725248,9.054564,8.396869,2.787012,-9.953615,6.035315
0.020000,13.846132,23.683546,9.223019,8.448628,2.587940,-9.953615,6.030767
0.020000,14.010117,23.640860,9.392470,8.496406,2.388868,-9.953615,6.026312
0.020000,14.174798,23.597216,9.562836,8.540201,2.189795,-9.953615,6.021954
0.020000,14.340097,23.552646,9.734038,8.580016,1.990723,-9.953615,6.017698
0.020000,14.505936,23.507182,9.905997,8.615849,1.791651,-9.953615,6.013547
0.020000,14.672240,23.460857,10.078632,8.647700,1.592578,-9.953615,6.009504
0.020000,14.838933,23.413707,10.251865,8.675571,1.393506,-9.953615,6.005575
0.020000,15.005939,23.365769,10.425615,8.699459,1.194434,-9.953615,6.001760
0.020000,15.173184,23.317081,10.599803,8.719366,0.995361,-9.953615,5.998064
0.020000,15.340595,23.267685,10.774350,8.735292,0.796289,-9.953615,5.994489
0.020000,15.508099,23.217621,10.949175,8.747237,0.597217,-9.953615,5.991038
0.020000,15.675622,23.166932,11.124200,8.755200,0.398145,-9.953615,5.987712
0.020000,15.843094,23.115661,11.299343,8.759181,0.199072,-9.953615,5.984513
0.020000,16.010422,23.063861,11.474507,8.757149,-0.101574,-15.032328,5.981444
0.020000,16.177518,23.011582,11.649590,8.751137,-0.300647,-9.953615,5.978506
0.020000,16.344310,22.958871,11.824512,8.741142,-0.499719,-9.953615,5.975700
0.020000,16.510728,22.905777,11.999195,8.727166,-0.698791,-9.953615,5.973026
0.020000,16.676704,22.852347,12.173559,8.709209,-0.897863,-9.953615,5.970486
0.020000,16.842168,22.798629,12.347524,8.687270,-1.096936,-9.953615,5.968079
0.020000,17.007050,22.744674,12.521010,8.661350,-1.296008,-9.953615,5.965806
0.020000,17.171283,22.690529,12.693938,8.631449,-1.495080,-9.953615,5.963666
0.020000,17.332133,22.637447,12.866228,8.597566,-1.694153,-9.953615,5.968732
