dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.720438,23.755802,0.000040,0.003981,0.199072,9.953615,0.000098
0.020000,4.720436,23.755802,0.000042,0.000105,-0.193826,-19.644924,0.000096
0.020000,4.720431,23.755802,0.000047,0.000236,0.006558,10.019230,0.000091
0.020000,4.720423,23.755802,0.000055,0.000420,0.009184,0.131276,0.000082
0.020000,4.720410,23.755802,0.000068,0.000656,0.011813,0.131441,0.000068
0.020000,4.720391,23.755802,0.000087,0.000945,0.014447,0.131712,0.000048
0.020000,4.720365,23.755802,0.000113,0.001287,0.017089,0.132114,0.000021
0.020000,4.721354,23.755802,0.001102,0.049456,2.408449,119.568008,6.283171
0.020000,4.724537,23.755802,0.004284,0.159119,5.483157,153.735395,6.283126
0.020000,4.728465,23.755801,0.008213,0.196440,1.866072,-180.854253,6.283071
0.020000,4.733219,23.755800,0.012967,0.237689,2.062455,9.819160,6.283004
0.020000,4.738876,23.755799,0.018624,0.282865,2.258786,9.816504,6.282924
0.020000,4.745516,23.755797,0.025264,0.331967,2.455070,9.814225,6.282830
0.020000,4.753216,23.755794,0.032963,0.384993,2.651328,9.812873,6.282721
0.020000,4.762055,23.755789,0.041802,0.441944,2.847527,9.809977,6.282595
0.020000,4.772111,23.755783,0.051859,0.502818,3.043712,9.809257,6.282452
0.020000,4.783463,23.755773,0.063211,0.567613,3.239745,9.801660,6.282289
0.020000,4.796190,23.755761,0.075937,0.636329,3.435813,9.803405,6.282107
0.020000,4.810369,23.755744,0.090117,0.708963,3.631712,9.794934,6.281903
0.020000,4.826079,23.755722,0.105827,0.785515,3.827563,9.792564,6.281676
0.020000,4.843360,23.755694,0.123107,0.864017,3.925139,4.878794,6.281426
0.020000,4.862210,23.755658,0.141957,0.942506,3.924411,-0.036398,6.281151
0.020000,4.882629,23.755614,0.162377,1.020979,3.923663,-0.037413,6.280852
0.020000,4.904618,23.755559,0.184366,1.099436,3.922844,-0.040981,6.280529
0.020000,4.928175,23.755492,0.207923,1.177875,3.921939,-0.045217,6.280180
0.020000,4.953301,23.755412,0.233049,1.256294,3.920987,-0.047597,6.279806
0.020000,4.979995,23.755316,0.259743,1.334694,3.919963,-0.051228,6.279406
0.020000,5.008256,23.755203,0.288004,1.413071,3.918897,-0.053304,6.278980
0.020000,5.038084,23.755071,0.317833,1.491426,3.917745,-0.057556,6.278526
0.020000,5.069479,23.754917,0.349228,1.569757,3.916509,-0.061817,6.278046
0.020000,5.102440,23.754740,0.382189,1.648062,3.915269,-0.062004,6.277538
0.020000,5.136966,23.754535,0.416716,1.726340,3.913902,-0.068364,6.277001
0.020000,5.173057,23.754302,0.452808,1.804590,3.912503,-0.069951,6.276435
0.020000,5.210712,23.754037,0.490464,1.882811,3.911029,-0.073711,6.275840
0.020000,5.249931,23.753736,0.529684,1.961001,3.909523,-0.075299,6.275214
0.020000,5.290713,23.753398,0.570467,2.039159,3.907896,-0.081341,6.274557
0.020000,5.333057,23.753018,0.612813,2.117284,3.906237,-0.082923,6.273869
0.020000,5.376962,23.752593,0.656720,2.195374,3.904503,-0.086700,6.273148
0.020000,5.422428,23.752120,0.702189,2.273428,3.902736,-0.088373,6.272394
0.020000,5.469454,23.751594,0.749218,2.351445,3.900843,-0.094660,6.271606
0.020000,5.518039,23.751011,0.797806,2.429424,3.898944,-0.094930,6.270784
0.020000,5.568182,23.750368,0.847954,2.507363,3.896959,-0.099239,6.269926
0.020000,5.619883,23.749659,0.899659,2.585261,3.894888,-0.103542,6.269031
0.020000,5.673139,23.748881,0.952921,2.663117,3.892773,-0.105752,6.268099
0.020000,5.727951,23.748027,1.007740,2.740928,3.890587,-0.109295,6.267129
0.020000,5.784318,23.747094,1.064114,2.818695,3.888351,-0.111833,6.266120
0.020000,5.842237,23.746075,1.122042,2.896416,3.886028,-0.116135,6.265070
0.020000,5.901708,23.744965,1.181524,2.974089,3.883633,-0.119773,6.263979
0.020000,5.962731,23.743758,1.242558,3.051713,3.881215,-0.120881,6.262846
0.020000,6.025303,23.742449,1.305144,3.129287,3.878689,-0.126294,6.261670
0.020000,6.089423,23.741030,1.369280,3.206809,3.876109,-0.129017,6.260450
0.020000,6.155091,23.739495,1.434966,3.284279,3.873492,-0.130848,6.259184
0.020000,6.222304,23.737837,1.502199,3.361694,3.870746,-0.137272,6.257871
0.020000,6.291062,23.736050,1.570981,3.439054,3.867998,-0.137428,6.256511
0.020000,6.361363,23.734125,1.641308,3.516357,3.865171,-0.141340,6.255101
0.020000,6.433205,23.732054,1.713180,3.593602,3.862260,-0.145529,6.253642
0.020000,6.506587,23.729830,1.786595,3.670788,3.859274,-0.149312,6.252131
0.020000,6.581507,23.727444,1.861554,3.747913,3.856281,-0.149640,6.250567
0.020000,6.657964,23.724888,1.938053,3.824977,3.853166,-0.155772,6.248949
0.020000,6.735956,23.722151,2.016093,3.901977,3.850014,-0.157604,6.247276
0.020000,6.815480,23.719226,2.095671,3.978913,3.846807,-0.160366,6.245547
0.020000,6.896536,23.716101,2.176787,4.055783,3.843503,-0.165190,6.243759
0.020000,6.979120,23.712767,2.259438,4.132587,3.840172,-0.166544,6.241912
0.020000,7.063232,23.709214,2.343625,4.209322,3.836773,-0.169945,6.240003
0.020000,7.148868,23.705429,2.429345,4.285988,3.833299,-0.173721,6.238033
0.020000,7.236026,23.701402,2.516596,4.362584,3.829778,-0.176048,6.235998
0.020000,7.324705,23.697122,2.605378,4.439107,3.826192,-0.179293,6.233899
0.020000,7.414902,23.692575,2.695690,4.515559,3.822562,-0.181474,6.231732
0.020000,7.506614,23.687749,2.787528,4.591936,3.818863,-0.184971,6.229497
0.020000,7.599838,23.682632,2.880893,4.668238,3.815099,-0.188199,6.227192
0.020000,7.694572,23.677209,2.975782,4.744464,3.811316,-0.189144,6.224815
0.020000,7.790814,23.671467,3.072195,4.820613,3.807445,-0.193570,6.222365
0.020000,7.888559,23.665391,3.170128,4.896684,3.803542,-0.195120,6.219840
0.020000,7.987804,23.658967,3.269582,4.972676,3.799592,-0.197535,6.217238
0.020000,8.088548,23.652178,3.370554,5.048588,3.795594,-0.199896,6.214558
0.020000,8.190785,23.645009,3.473042,5.124419,3.791550,-0.202176,6.211799
0.020000,8.294513,23.637444,3.577045,5.200168,3.787466,-0.204192,6.208957
0.020000,8.399727,23.629466,3.682562,5.275835,3.783347,-0.205955,6.206032
0.020000,8.506425,23.621056,3.789590,5.351419,3.779194,-0.207675,6.203022
0.020000,8.614601,23.612197,3.898129,5.426919,3.775007,-0.209349,6.199926
0.020000,8.724252,23.602871,4.008175,5.502335,3.770794,-0.210633,6.196740
0.020000,8.835373,23.593058,4.119729,5.577666,3.766556,-0.211875,6.193464
0.020000,8.947959,23.582739,4.232787,5.652912,3.762307,-0.212483,6.190096
0.020000,9.062006,23.571893,4.347348,5.728073,3.758025,-0.214116,6.186633
0.020000,9.177508,23.560499,4.463411,5.803148,3.753758,-0.213342,6.183075
0.020000,9.294461,23.548536,4.580974,5.878137,3.749470,-0.214361,6.179419
0.020000,9.412858,23.535982,4.700035,5.953041,3.745197,-0.213693,6.175663
0.020000,9.532694,23.522814,4.820592,6.027859,3.740906,-0.214509,6.171807
0.020000,9.653962,23.509009,4.942644,6.102593,3.736674,-0.211627,6.167847
0.020000,9.776657,23.494542,5.066189,6.177241,3.732420,-0.212711,6.163782
0.020000,9.900772,23.479389,5.191225,6.251805,3.728211,-0.210453,6.159611
0.020000,10.026299,23.463526,5.317751,6.326287,3.724068,-0.207137,6.155332
0.020000,10.153232,23.446925,5.445764,6.400685,3.719921,-0.207340,6.150942
0.020000,10.281563,23.429562,5.575264,6.475003,3.715881,-0.202004,6.146440
0.020000,10.411283,23.411407,5.706249,6.549240,3.711864,-0.200835,6.141825
0.020000,10.542386,23.392434,5.838717,6.623399,3.707957,-0.195344,6.137095
0.020000,10.674861,23.372615,5.972667,6.697481,3.704114,-0.192149,6.132248
0.020000,10.808700,23.351919,6.108097,6.771489,3.700402,-0.185622,6.127283
0.020000,10.943894,23.330318,6.245005,6.845424,3.696721,-0.184051,6.122198
0.020000,11.080432,23.307781,6.383391,6.919289,3.693244,-0.173847,6.116992
