dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.614626,18.221129,0.000040,0.003977,0.198832,9.941598,0.000264
0.020000,5.614635,18.221129,0.000049,0.000467,-0.175464,-18.714816,0.000254
0.020000,5.614656,18.221129,0.000070,0.001051,0.029193,10.232886,0.000232
0.020000,5.614694,18.221129,0.000107,0.001868,0.040826,0.581611,0.000193
0.020000,5.614752,18.221129,0.000166,0.002916,0.052389,0.578149,0.000131
0.020000,5.614836,18.221129,0.000250,0.004192,0.063838,0.572481,0.000043
0.020000,5.616202,18.221129,0.001616,0.068293,3.205051,157.060641,6.283108
0.020000,5.618895,18.221128,0.004309,0.134671,3.318866,5.690734,6.282952
0.020000,5.622303,18.221127,0.007717,0.170409,1.786930,-76.596763,6.282755
0.020000,5.626510,18.221125,0.011924,0.210332,1.996140,10.460461,6.282513
0.020000,5.631598,18.221121,0.017012,0.254428,2.204788,10.432417,6.282222
0.020000,5.637652,18.221114,0.023066,0.302685,2.412857,10.403441,6.281877
0.020000,5.644754,18.221103,0.030168,0.355087,2.620082,10.361253,6.281476
0.020000,5.652986,18.221087,0.038400,0.411619,2.826631,10.327457,6.281015
0.020000,5.662431,18.221064,0.047845,0.472260,3.032032,10.270060,6.280491
0.020000,5.673171,18.221032,0.058585,0.536986,3.236331,10.214938,6.279902
0.020000,5.685286,18.220988,0.070700,0.605771,3.439254,10.146151,6.279246
0.020000,5.698858,18.220930,0.084272,0.678586,3.640743,10.074461,6.278522
0.020000,5.713966,18.220853,0.099380,0.755397,3.840514,9.988543,6.277730
0.020000,5.730689,18.220755,0.116103,0.836164,4.038386,9.893600,6.276871
0.020000,5.749064,18.220630,0.134479,0.918762,4.129880,4.574674,6.275947
0.020000,5.769084,18.220476,0.154500,1.001070,4.115386,-0.724667,6.274964
0.020000,5.790745,18.220286,0.176161,1.083060,4.099522,-0.793212,6.273929
0.020000,5.814038,18.220058,0.199455,1.164710,4.082491,-0.851553,6.272851
0.020000,5.838956,18.219786,0.224375,1.245991,4.064058,-0.921631,6.271735
0.020000,5.865492,18.219467,0.250913,1.326880,4.044437,-0.981050,6.270590
0.020000,5.893636,18.219096,0.279060,1.407349,4.023471,-1.048301,6.269426
0.020000,5.923381,18.218669,0.308807,1.487375,4.001293,-1.108934,6.268252
0.020000,5.954716,18.218183,0.340146,1.566931,3.977788,-1.175227,6.267077
0.020000,5.987631,18.217633,0.373066,1.645992,3.953054,-1.236697,6.265912
0.020000,6.022116,18.217018,0.407556,1.724534,3.927094,-1.297990,6.264768
0.020000,6.058160,18.216333,0.443607,1.802530,3.899818,-1.363831,6.263656
0.020000,6.095752,18.215579,0.481206,1.879957,3.871334,-1.424165,6.262589
0.020000,6.134879,18.214753,0.520342,1.956788,3.841562,-1.488621,6.261578
0.020000,6.175529,18.213855,0.561002,2.032999,3.810568,-1.549704,6.260638
0.020000,6.217689,18.212885,0.603173,2.108565,3.778273,-1.614743,6.259780
0.020000,6.261346,18.211846,0.646842,2.183460,3.744745,-1.676419,6.259021
0.020000,6.306485,18.210740,0.691996,2.257658,3.709914,-1.741539,6.258374
0.020000,6.353093,18.209571,0.738618,2.331134,3.673806,-1.805399,6.257854
0.020000,6.401155,18.208343,0.786696,2.403862,3.636379,-1.871340,6.257478
0.020000,6.450655,18.207065,0.836212,2.475814,3.597633,-1.937300,6.257261
0.020000,6.501577,18.205742,0.887151,2.546965,3.557535,-2.004926,6.257221
0.020000,6.553905,18.204387,0.939497,2.617286,3.516058,-2.073832,6.257374
0.020000,6.607622,18.203009,0.993232,2.686750,3.473169,-2.144451,6.257740
0.020000,6.662712,18.201622,1.048338,2.755327,3.428849,-2.215999,6.258336
0.020000,6.719154,18.200242,1.104798,2.822988,3.383042,-2.290329,6.259182
0.020000,6.776933,18.198886,1.162592,2.889702,3.335710,-2.366610,6.260298
0.020000,6.836027,18.197573,1.221701,2.955438,3.286818,-2.444627,6.261705
0.020000,6.896417,18.196326,1.282104,3.020164,3.236309,-2.525436,6.263423
0.020000,6.958083,18.195169,1.343781,3.083848,3.184179,-2.606519,6.265475
0.020000,7.021004,18.194129,1.406710,3.146454,3.130305,-2.693692,6.267883
0.020000,7.085156,18.193235,1.470869,3.207949,3.074752,-2.777619,6.270671
0.020000,7.150518,18.192519,1.536235,3.268296,3.017360,-2.869616,6.273863
0.020000,7.217066,18.192017,1.602784,3.327461,2.958257,-2.955149,6.277483
0.020000,7.284773,18.191767,1.670493,3.385406,2.897257,-3.050022,6.281558
0.020000,7.353615,18.191809,1.739335,3.442098,2.834584,-3.133648,0.002929
0.020000,7.423564,18.192189,1.809284,3.497499,2.770061,-3.226115,0.007993
0.020000,7.494592,18.192952,1.880316,3.551575,2.703804,-3.312882,0.013593
0.020000,7.566668,18.194151,1.952402,3.604297,2.636061,-3.387128,0.019757
0.020000,7.639761,18.195840,2.025515,3.655632,2.566791,-3.463504,0.026515
0.020000,7.713838,18.198075,2.099626,3.705557,2.496232,-3.527974,0.033896
0.020000,7.788866,18.200917,2.174707,3.754053,2.424775,-3.572832,0.041931
0.020000,7.864806,18.204431,2.250729,3.801106,2.352662,-3.605651,0.050649
0.020000,7.941623,18.208684,2.327663,3.846714,2.280422,-3.612019,0.060082
0.020000,8.019276,18.213748,2.405481,3.890886,2.208577,-3.592242,0.070258
0.020000,8.097724,18.219696,2.484154,3.933642,2.137829,-3.537379,0.081210
