dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.614876,17.271129,0.000040,0.003955,0.197729,9.886451,1.581764
0.020000,5.614876,17.271129,0.000198,0.011864,0.395458,9.886451,1.581795
0.020000,5.614876,17.271129,0.000554,0.023727,0.593187,9.886451,1.581866
0.020000,5.614876,17.271129,0.001186,0.039546,0.790916,9.886451,1.581992
0.020000,5.614876,17.271129,0.002175,0.059319,0.988645,9.886451,1.582189
0.020000,5.614876,17.271129,0.003599,0.083046,1.186374,9.886451,1.582472
0.020000,5.614865,17.272121,0.005536,0.110728,1.384103,9.886451,1.582857
0.020000,5.614833,17.274652,0.008067,0.142365,1.581832,9.886451,1.583359
0.020000,5.614792,17.277855,0.011271,0.177956,1.779561,9.886451,1.583993
0.020000,5.614738,17.281809,0.015225,0.217502,1.977290,9.886451,1.584773
0.020000,5.614669,17.286594,0.020010,0.261002,2.175019,9.886451,1.585713
0.020000,5.614581,17.292288,0.025705,0.308457,2.372748,9.886451,1.586826
0.020000,5.614470,17.298970,0.032388,0.359867,2.570477,9.886451,1.588127
0.020000,5.614330,17.306720,0.040139,0.415231,2.768206,9.886451,1.589625
0.020000,5.614154,17.315616,0.049037,0.474550,2.965935,9.886451,1.591333
0.020000,5.613937,17.325737,0.059161,0.537823,3.163664,9.886451,1.593260
0.020000,5.613668,17.337163,0.070589,0.605051,3.361393,9.886451,1.595414
0.020000,5.613337,17.349971,0.083402,0.676233,3.559122,9.886451,1.597804
0.020000,5.612933,17.364242,0.097678,0.751370,3.756851,9.886451,1.600434
0.020000,5.612441,17.380052,0.113496,0.830462,3.954580,9.886451,1.603308
0.020000,5.611848,17.397442,0.130897,0.909553,3.954580,0.000000,1.606421
0.020000,5.611141,17.416411,0.149879,0.988645,3.954580,0.000000,1.609760
0.020000,5.610303,17.436958,0.170442,1.067737,3.954580,0.000000,1.613309
0.020000,5.609320,17.459082,0.192588,1.146828,3.954580,-0.000000,1.617053
