dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.564819,17.281547,0.000040,0.003955,0.197729,9.886451,1.581764
0.020000,6.564819,17.281577,0.000070,0.001498,-0.122819,-16.027384,1.581795
0.020000,6.564818,17.281645,0.000137,0.003370,0.093602,10.821040,1.581866
0.020000,6.564817,17.281765,0.000257,0.005989,0.130943,1.867037,1.581992
0.020000,6.564815,17.281952,0.000444,0.009352,0.168130,1.859356,1.582189
0.020000,6.564812,17.282221,0.000713,0.013453,0.205066,1.846780,1.582472
0.020000,6.564796,17.283579,0.002071,0.067928,2.723756,125.934502,1.582857
0.020000,6.564758,17.286587,0.005079,0.150384,4.122817,69.953080,1.583359
0.020000,6.564709,17.290391,0.008884,0.190256,1.993581,-106.461803,1.583993
0.020000,6.564646,17.295086,0.013580,0.234772,2.225805,11.611193,1.584773
0.020000,6.564564,17.300764,0.019258,0.283907,2.456728,11.546130,1.585713
0.020000,6.564459,17.307516,0.026010,0.337634,2.686380,11.482612,1.586826
0.020000,6.564327,17.315433,0.033929,0.395922,2.914383,11.400180,1.588127
0.020000,6.564161,17.324606,0.043103,0.458727,3.140255,11.293591,1.589625
0.020000,6.563954,17.335124,0.053624,0.526009,3.364077,11.191072,1.591333
0.020000,6.563697,17.347076,0.065578,0.597715,3.585302,11.061269,1.593260
0.020000,6.563380,17.360548,0.079053,0.673777,3.803105,10.890140,1.595414
0.020000,6.562991,17.375625,0.094136,0.754142,4.018251,10.757323,1.597804
0.020000,6.562516,17.392393,0.110911,0.838723,4.229053,10.540105,1.600434
0.020000,6.561939,17.410933,0.129460,0.927443,4.435999,10.347295,1.603308
0.020000,6.561246,17.431279,0.149817,1.017888,4.522241,4.312077,1.606421
0.020000,6.560420,17.453417,0.171971,1.107689,4.490043,-1.609911,1.609760
0.020000,6.559445,17.477333,0.195907,1.196774,4.454293,-1.787489,1.613309
0.020000,6.558304,17.503010,0.221609,1.285103,4.416443,-1.892489,1.617053
0.020000,6.556981,17.530430,0.249061,1.372610,4.375324,-2.055944,1.620974
0.020000,6.555457,17.559575,0.278246,1.459248,4.331896,-2.171389,1.625053
0.020000,6.553716,17.590425,0.309145,1.544955,4.285387,-2.325497,1.629272
0.020000,6.551741,17.622959,0.341739,1.629688,4.236647,-2.436999,1.633610
0.020000,6.549513,17.657155,0.376007,1.713398,4.185473,-2.558674,1.638045
0.020000,6.547018,17.692988,0.411927,1.796033,4.131761,-2.685591,1.642554
0.020000,6.544240,17.730437,0.449478,1.877551,4.075875,-2.794334,1.647115
0.020000,6.541164,17.769474,0.488636,1.957897,4.017311,-2.928193,1.651702
0.020000,6.537778,17.810073,0.529377,2.037041,3.957223,-3.004386,1.656290
0.020000,6.534069,17.852209,0.571676,2.114934,3.894646,-3.128871,1.660853
0.020000,6.530028,17.895853,0.615506,2.191535,3.830063,-3.229115,1.665363
0.020000,6.525646,17.940977,0.660843,2.266809,3.763660,-3.320150,1.669793
0.020000,6.520918,17.987552,0.707657,2.340713,3.695219,-3.422075,1.674114
0.020000,6.515839,18.035548,0.755921,2.413214,3.625050,-3.508440,1.678296
0.020000,6.510407,18.084936,0.805607,2.484270,3.552814,-3.611809,1.682309
0.020000,6.504625,18.135684,0.856683,2.553846,3.478766,-3.702394,1.686122
0.020000,6.498497,18.187763,0.909122,2.621906,3.403023,-3.787148,1.689702
0.020000,6.492028,18.241141,0.962890,2.688404,3.324921,-3.905103,1.693018
0.020000,6.485230,18.295786,1.017956,2.753303,3.244929,-3.999579,1.696034
0.020000,6.478117,18.351666,1.074287,2.816562,3.162930,-4.099960,1.698717
0.020000,6.470706,18.408749,1.131849,2.878125,3.078181,-4.237469,1.701031
0.020000,6.463017,18.467003,1.190608,2.937947,2.991098,-4.354156,1.702940
0.020000,6.455076,18.526394,1.250528,2.995971,2.901202,-4.494769,1.704404
0.020000,6.446912,18.586888,1.311571,3.052133,2.808080,-4.656101,1.705387
0.020000,6.438559,18.648451,1.373698,3.106365,2.711604,-4.823817,1.705845
0.020000,6.430054,18.711048,1.436870,3.158591,2.611308,-5.014792,1.705739
0.020000,6.421440,18.774642,1.501044,3.208727,2.506800,-5.225415,1.705022
0.020000,6.412764,18.839195,1.566178,3.256680,2.397657,-5.457156,1.703650
0.020000,6.404079,18.904669,1.632225,3.302347,2.283346,-5.715516,1.701575
0.020000,6.395443,18.971021,1.699137,3.345617,2.163501,-5.992261,1.698745
0.020000,6.386919,19.038210,1.766864,3.386369,2.037589,-6.295598,1.695108
0.020000,6.378575,19.106189,1.835354,3.424466,1.904867,-6.636127,1.690608
0.020000,6.370486,19.174910,1.904549,3.459775,1.765437,-6.971474,1.685187
0.020000,6.362730,19.244321,1.974392,3.492142,1.618371,-7.353317,1.678781
0.020000,6.355395,19.314366,2.044820,3.521418,1.463759,-7.730608,1.671327
0.020000,6.348571,19.384986,2.115769,3.547443,1.301289,-8.123494,1.662756
0.020000,6.342354,19.456117,2.187171,3.570071,1.131399,-8.494474,1.652996
0.020000,6.336847,19.527688,2.258954,3.589155,0.954181,-8.860901,1.641974
0.020000,6.332157,19.599627,2.331045,3.604573,0.770913,-9.163418,1.629610
0.020000,6.328394,19.671854,2.403370,3.616232,0.582913,-9.399970,1.615827
0.020000,6.325676,19.744284,2.475852,3.624082,0.392509,-9.520240,1.600545
0.020000,6.324119,19.816830,2.548414,3.628137,0.202777,-9.486574,1.583683
0.020000,6.323846,19.889400,2.620984,3.628505,0.018404,-9.218647,1.565163
0.020000,6.324978,19.961899,2.693492,3.625392,-0.155682,-8.704331,1.544914
0.020000,6.327637,20.034233,2.765875,3.619159,-0.311659,-7.798818,1.522868
0.020000,6.331946,20.106311,2.838082,3.610330,-0.441434,-6.488773,1.498972
0.020000,6.338026,20.178047,2.910075,3.599643,-0.534340,-4.645298,1.473185
0.020000,6.345996,20.249364,2.981836,3.588061,-0.579081,-2.237021,1.445491
0.020000,6.355974,20.320201,3.053372,3.576802,-0.562955,0.806299,1.415894
0.020000,6.368078,20.390513,3.124719,3.567333,-0.473450,4.475231,1.384433
0.020000,6.382427,20.460280,3.195946,3.561348,-0.299291,8.707971,1.351182
0.020000,6.399144,20.529505,3.267161,3.560739,-0.030414,13.443820,1.316253
0.020000,6.418358,20.598219,3.338510,3.567483,0.337193,18.380336,1.279801
0.020000,6.440208,20.666478,3.410181,3.583559,0.803782,23.329454,1.242024
0.020000,6.464846,20.734361,3.482397,3.610803,1.362206,27.921197,1.203154
0.020000,6.492434,20.801964,3.555413,3.650761,1.997916,31.785515,1.163461
0.020000,6.523150,20.869387,3.629503,3.704525,2.688177,34.513052,1.123236
0.020000,6.557178,20.936733,3.704957,3.772715,3.409531,36.067698,1.082781
0.020000,6.594705,21.004091,3.782064,3.855333,4.130869,36.066900,1.042400
0.020000,6.635917,21.071532,3.861100,3.951789,4.822827,34.597916,1.002384
0.020000,6.680987,21.139099,3.942320,4.060995,5.460287,31.872986,0.963003
0.020000,6.730069,21.206811,4.025949,4.181467,6.023610,28.166142,0.924493
0.020000,6.784226,21.276409,4.114136,4.409352,11.394242,268.531612,0.894631
0.020000,6.843276,21.347633,4.206655,4.625933,10.829035,-28.260374,0.862313
0.020000,6.904749,21.416994,4.299336,4.634068,0.406771,-521.113160,0.828710
0.020000,6.968685,21.484344,4.392201,4.643220,0.457582,2.540530,0.793926
0.020000,7.035126,21.549560,4.485301,4.654996,0.588827,6.562273,0.758100
0.020000,7.104125,21.612537,4.578719,4.670911,0.795734,10.345332,0.721402
0.020000,7.175739,21.673194,4.672569,4.692498,1.079359,14.181270,0.684035
0.020000,7.250033,21.731467,4.766990,4.721065,1.428321,17.448102,0.646229
0.020000,7.327074,21.787311,4.862142,4.757600,1.826754,19.921643,0.608234
0.020000,7.406931,21.840690,4.958196,4.802721,2.256062,21.465386,0.570315
0.020000,7.489666,21.891580,5.055329,4.856631,2.695486,21.971196,0.532741
0.020000,7.575327,21.939964,5.153710,4.919052,3.121076,21.279520,0.495772
0.020000,7.663947,21.985829,5.253496,4.989294,3.512092,19.550806,0.459658
0.020000,7.755535,22.029171,5.354822,5.066280,3.849316,16.861163,0.424623
0.020000,7.850073,22.069989,5.457795,5.148665,4.119239,13.496184,0.390865
0.020000,7.947514,22.108291,5.562493,5.234929,4.313187,9.697378,0.358547
0.020000,8.047782,22.144098,5.668963,5.323477,4.427398,5.710573,0.327802
0.020000,8.150774,22.177440,5.777218,5.412739,4.463095,1.784818,0.298727
0.020000,8.256365,22.208361,5.887243,5.501243,4.425213,-1.894078,0.271391
0.020000,8.364376,22.236913,5.998964,5.586067,4.241208,-9.200241,0.245839
0.020000,8.474613,22.263165,6.112284,5.665976,3.995450,-12.287921,0.222091
0.020000,8.586899,22.287209,6.227115,5.741576,3.780002,-10.772388,0.200141
0.020000,8.701052,22.309150,6.343357,5.812113,3.526815,-12.659342,0.179966
0.020000,8.816886,22.329103,6.460898,5.877014,3.245053,-14.088134,0.161528
0.020000,8.934216,22.347197,6.579615,5.935867,2.942663,-15.119490,0.144786
0.020000,9.052860,22.363565,6.699382,5.988380,2.625667,-15.849798,0.129688
0.020000,9.172639,22.378347,6.820070,6.034397,2.300840,-16.241326,0.116181
0.020000,9.293381,22.391691,6.941547,6.073825,1.971411,-16.471461,0.104209
0.020000,9.414918,22.403742,7.063680,6.106654,1.641446,-16.498243,0.093718
0.020000,9.537090,22.414652,7.186338,6.132912,1.312894,-16.427608,0.084651
0.020000,9.659743,22.424571,7.309392,6.152681,0.988456,-16.221904,0.076956
0.020000,9.782730,22.433646,7.432713,6.166049,0.668383,-16.003642,0.070581
0.020000,9.905908,22.442026,7.556175,6.173126,0.353853,-15.726500,0.065476
0.020000,10.029140,22.449854,7.679656,6.174021,0.044778,-15.453740,0.061596
0.020000,10.152294,22.457271,7.803033,6.168853,-0.258400,-15.158946,0.058896
0.020000,10.244758,22.461485,7.895594,4.628040,-77.040653,-3839.112615,0.030241
0.020000,10.340564,22.462970,7.991411,4.790869,8.141447,4259.105003,0.001360
0.020000,10.437867,22.461821,8.088720,4.865472,3.730112,-220.566761,6.258773
0.020000,10.536425,22.458265,8.187343,4.931116,3.282207,-22.395270,6.236004
0.020000,10.636027,22.452543,8.287109,4.988304,2.859406,-21.140018,6.216102
0.020000,10.736502,22.444901,8.387874,5.038251,2.497370,-18.101826,6.198916
0.020000,10.837694,22.435586,8.489494,5.081015,2.138196,-17.958673,6.184296
0.020000,10.939465,22.424841,8.591831,5.116826,1.790564,-17.381610,6.172094
0.020000,11.041692,22.412904,8.694752,5.146075,1.462413,-16.407573,6.162172
0.020000,11.144269,22.400007,8.798137,5.169227,1.157612,-15.240031,6.154403
0.020000,11.247105,22.386372,8.901873,5.186790,0.878171,-13.972058,6.148669
0.020000,11.350122,22.372214,9.005858,5.199272,0.624060,-12.705560,6.144862
0.020000,11.453254,22.357738,9.110001,5.207164,0.394631,-11.471414,6.142887
0.020000,11.556445,22.343137,9.214220,5.210921,0.187834,-10.339889,6.142656
0.020000,11.659645,22.328600,9.318439,5.210958,0.001857,-9.298856,6.144090
0.020000,11.762812,22.314302,9.422592,5.207638,-0.165991,-8.392389,6.147120
0.020000,11.865906,22.300413,9.526617,5.201276,-0.318104,-7.605657,6.151681
0.020000,11.968891,22.287095,9.630460,5.192130,-0.457280,-6.958760,6.157715
0.020000,12.071731,22.274501,9.734068,5.180400,-0.586519,-6.461987,6.165167
0.020000,12.174388,22.262775,9.837393,5.166246,-0.707701,-6.059064,6.173986
0.020000,12.276824,22.252059,9.940388,5.149751,-0.824750,-5.852471,6.184123
0.020000,12.378996,22.242481,10.043007,5.130971,-0.938979,-5.711425,6.195530
0.020000,12.480854,22.234167,10.145205,5.109879,-1.054605,-5.781348,6.208158
0.020000,12.582346,22.227231,10.246933,5.086437,-1.172120,-5.875741,6.221958
0.020000,12.683410,22.221782,10.348144,5.060534,-1.295150,-6.151475,6.236878
0.020000,12.783976,22.217918,10.448784,5.032017,-1.425843,-6.534670,6.252862
0.020000,12.883967,22.215726,10.548799,5.000722,-1.564740,-6.944826,6.269853
0.020000,12.983294,22.215283,10.648127,4.966425,-1.714868,-7.506432,0.004602
0.020000,13.081863,22.216656,10.746706,4.928905,-1.875987,-8.055936,0.023411
0.020000,13.179567,22.219895,10.844464,4.887913,-2.049586,-8.679962,0.043023
0.020000,13.276295,22.225038,10.941328,4.843213,-2.235020,-9.271678,0.063359
0.020000,13.371926,22.232106,11.037219,4.794566,-2.432340,-9.865987,0.084336
0.020000,13.466333,22.241106,11.132055,4.741760,-2.640307,-10.398360,0.105866
0.020000,13.559387,22.252024,11.225747,4.684618,-2.857109,-10.840092,0.127859
0.020000,13.650955,22.264834,11.318207,4.622998,-3.080979,-11.193501,0.150219
0.020000,13.740906,22.279487,11.409343,4.556825,-3.308656,-11.383856,0.172851
0.020000,13.829109,22.295922,11.499065,4.486056,-3.538458,-11.490119,0.195659
0.020000,13.915439,22.314058,11.587279,4.410724,-3.766618,-11.407972,0.218546
0.020000,13.999778,22.333801,11.673898,4.330949,-3.988747,-11.106480,0.241418
0.020000,14.082016,22.355043,11.758835,4.246846,-4.205117,-10.818497,0.264184
0.020000,14.162054,22.377664,11.842008,4.158655,-4.409552,-10.221735,0.286760
0.020000,14.239804,22.401536,11.923341,4.066625,-4.601502,-9.597520,0.309062
0.020000,14.315193,22.426521,12.002762,3.971063,-4.778114,-8.830581,0.331018
0.020000,14.388159,22.452478,12.080207,3.872273,-4.939511,-8.069857,0.352559
0.020000,14.458655,22.479262,12.155620,3.770634,-5.081929,-7.120897,0.373625
0.020000,14.526647,22.506726,12.228950,3.666489,-5.207279,-6.267498,0.394164
0.020000,14.592115,22.534726,12.300153,3.560188,-5.315045,-5.388330,0.414129
0.020000,14.655049,22.563118,12.369196,3.452103,-5.404244,-4.459921,0.433485
0.020000,14.715451,22.591765,12.436047,3.342579,-5.476220,-3.598817,0.452199
0.020000,14.773334,22.620532,12.500684,3.231852,-5.536353,-3.006642,0.470247
0.020000,14.828719,22.649290,12.563090,3.120302,-5.577494,-2.057053,0.487612
0.020000,14.881633,22.677920,12.623253,3.008140,-5.608071,-1.528823,0.504281
0.020000,14.932112,22.706306,12.681166,2.895643,-5.624844,-0.838691,0.520246
0.020000,14.980195,22.734343,12.736826,2.783010,-5.631689,-0.342217,0.535504
0.020000,15.025925,22.761928,12.790232,2.670305,-5.635237,-0.177427,0.550056
0.020000,15.069350,22.788972,12.841389,2.557857,-5.622386,0.642581,0.563905
0.020000,15.110518,22.815387,12.890303,2.445696,-5.608037,0.717434,0.577057
0.020000,15.149477,22.841096,12.936980,2.333847,-5.592467,0.778498,0.589521
0.020000,15.186278,22.866027,12.981431,2.222544,-5.565128,1.366935,0.601305
0.020000,15.220972,22.890113,13.023666,2.111763,-5.539087,1.302072,0.612423
0.020000,15.253606,22.913296,13.063696,2.001490,-5.513623,1.273170,0.622884
0.020000,15.284229,22.935520,13.101534,1.891875,-5.480778,1.642283,0.632703
0.020000,15.312886,22.956737,13.137190,1.782843,-5.451593,1.459229,0.641891
0.020000,15.339623,22.976902,13.170680,1.674453,-5.419468,1.606285,0.650462
0.020000,15.364482,22.995975,13.202013,1.566651,-5.390124,1.467153,0.658428
0.020000,15.387502,23.013919,13.231200,1.459379,-5.363580,1.327238,0.665802
0.020000,15.408722,23.030703,13.258255,1.352733,-5.332309,1.563558,0.672596
0.020000,15.428177,23.046298,13.283188,1.246674,-5.302951,1.467901,0.678822
0.020000,15.445898,23.060677,13.306010,1.141082,-5.279600,1.167507,0.684489
0.020000,15.461917,23.073819,13.326729,1.035972,-5.255489,1.205558,0.689610
0.020000,15.476299,23.085735,13.345407,0.933873,-5.104979,7.525493,0.694204
0.020000,15.489146,23.096474,13.362151,0.837206,-4.833337,13.582135,0.698306
0.020000,15.500557,23.106088,13.377072,0.746031,-4.558764,13.728643,0.701947
0.020000,15.510626,23.114630,13.390276,0.660232,-4.289943,13.441016,0.705159
0.020000,15.519448,23.122160,13.401875,0.579930,-4.015121,13.741139,0.707971
0.020000,15.527111,23.128736,13.411972,0.504876,-3.752681,13.121969,0.710413
0.020000,15.533703,23.134419,13.420676,0.435169,-3.485332,13.367447,0.712513
0.020000,15.539308,23.139270,13.428089,0.370687,-3.224126,13.060326,0.714298
0.020000,15.544012,23.143354,13.434318,0.311443,-2.962212,13.095689,0.715796
0.020000,15.547895,23.146736,13.439467,0.257444,-2.699904,13.115410,0.717032
0.020000,15.551037,23.149478,13.443637,0.208508,-2.446814,12.654474,0.718032
0.020000,15.553519,23.151648,13.446935,0.164894,-2.180701,13.305687,0.718822
0.020000,15.555419,23.153312,13.449460,0.126259,-1.931740,12.448046,0.719426
0.020000,15.556817,23.154536,13.451318,0.092901,-1.667929,13.190542,0.719871
0.020000,15.557788,23.155389,13.452611,0.064643,-1.412895,12.751691,0.720180
0.020000,15.558412,23.155936,13.453441,0.041494,-1.157468,12.771374,0.720378
0.020000,15.558765,23.156246,13.453910,0.023458,-0.901774,12.784660,0.720490
0.020000,15.558923,23.156385,13.454121,0.010540,-0.645918,12.792807,0.720541
0.020000,15.558964,23.156421,13.454176,0.002740,-0.389977,12.797085,0.720554
0.020000,15.558965,23.156422,13.454177,0.000060,-0.134001,12.798771,0.720554
0.020000,15.558965,23.156422,13.454177,0.000000,-0.003005,6.549806,0.720554
