dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.414620,18.020611,0.000040,0.003994,0.199686,9.984312,6.282911
0.020000,5.414617,18.020611,0.000043,0.000152,-0.192097,-19.589171,6.282914
0.020000,5.414610,18.020611,0.000050,0.000341,0.009486,10.079141,6.282921
0.020000,5.414598,18.020611,0.000062,0.000607,0.013278,0.189617,6.282934
0.020000,5.414579,18.020611,0.000081,0.000948,0.017067,0.189471,6.282954
0.020000,5.414551,18.020611,0.000108,0.001365,0.020852,0.189230,6.282982
0.020000,5.414514,18.020611,0.000145,0.001858,0.024629,0.188873,6.283022
0.020000,5.414466,18.020611,0.000194,0.002426,0.028397,0.188375,6.283073
0.020000,5.414404,18.020611,0.000255,0.003069,0.032151,0.187714,6.283137
0.020000,5.415915,18.020611,0.001766,0.075523,3.622694,179.527148,0.000032
0.020000,5.420656,18.020611,0.006507,0.237042,8.075956,222.663096,0.000128
0.020000,5.426298,18.020612,0.012149,0.282103,2.253043,-291.145655,0.000243
0.020000,5.432919,18.020614,0.018770,0.331086,2.449171,9.806407,0.000377
0.020000,5.440599,18.020618,0.026450,0.383989,2.645130,9.797956,0.000533
0.020000,5.449416,18.020623,0.035266,0.440816,2.841354,9.811208,0.000711
0.020000,5.459447,18.020632,0.045298,0.501564,3.037408,9.802700,0.000914
0.020000,5.470772,18.020643,0.056622,0.566237,3.233645,9.811819,0.001143
0.020000,5.483468,18.020659,0.069319,0.634836,3.429936,9.814568,0.001398
0.020000,5.497615,18.020681,0.083466,0.707362,3.626289,9.817633,0.001683
0.020000,5.513292,18.020710,0.099143,0.783816,3.822710,9.821040,0.001997
0.020000,5.530537,18.020747,0.116388,0.862240,3.921222,4.925601,0.002342
0.020000,5.549350,18.020795,0.135201,0.940676,3.921807,0.029247,0.002717
0.020000,5.569732,18.020854,0.155584,1.019128,3.922594,0.039349,0.003122
0.020000,5.591684,18.020928,0.177535,1.097592,3.923187,0.029649,0.003557
0.020000,5.615205,18.021017,0.201057,1.176073,3.924065,0.043943,0.004021
0.020000,5.640297,18.021124,0.226148,1.254571,3.924882,0.040823,0.004514
0.020000,5.666958,18.021251,0.252810,1.333086,3.925764,0.044082,0.005036
0.020000,5.695190,18.021401,0.281042,1.411621,3.926722,0.047941,0.005585
0.020000,5.724993,18.021576,0.310846,1.490175,3.927726,0.050182,0.006163
0.020000,5.756367,18.021779,0.342221,1.568752,3.928853,0.056336,0.006768
