dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.414359,17.070611,0.000040,0.003994,0.199686,9.984312,6.282911
0.020000,5.414359,17.070611,0.000200,0.011981,0.399372,9.984312,6.282914
0.020000,5.414359,17.070611,0.000559,0.023962,0.599059,9.984312,6.282921
0.020000,5.414359,17.070611,0.001198,0.039937,0.798745,9.984312,6.282934
0.020000,5.414359,17.070611,0.002197,0.059906,0.998431,9.984312,6.282954
0.020000,5.414359,17.070611,0.003634,0.083868,1.198117,9.984312,6.282982
0.020000,5.414359,17.070611,0.005591,0.111824,1.397804,9.984312,6.283022
0.020000,5.414359,17.070611,0.008147,0.143774,1.597490,9.984312,6.283073
0.020000,5.414359,17.070611,0.011382,0.179718,1.797176,9.984312,6.283137
0.020000,5.415945,17.070611,0.015376,0.219655,1.996862,9.984312,0.000032
0.020000,5.420777,17.070611,0.020208,0.263586,2.196549,9.984312,0.000128
0.020000,5.426528,17.070612,0.025959,0.311511,2.396235,9.984312,0.000243
0.020000,5.433278,17.070614,0.032709,0.363429,2.595921,9.984312,0.000377
0.020000,5.441105,17.070618,0.040536,0.419341,2.795607,9.984312,0.000533
0.020000,5.450091,17.070624,0.049522,0.479247,2.995294,9.984312,0.000711
0.020000,5.460315,17.070632,0.059746,0.543147,3.194980,9.984312,0.000914
0.020000,5.471857,17.070644,0.071288,0.611040,3.394666,9.984312,0.001143
0.020000,5.484797,17.070660,0.084228,0.682927,3.594352,9.984312,0.001398
0.020000,5.499214,17.070682,0.098645,0.758808,3.794039,9.984312,0.001683
0.020000,5.515189,17.070712,0.114620,0.838682,3.993725,9.984312,0.001997
0.020000,5.532761,17.070750,0.132192,0.918557,3.993725,0.000000,0.002342
0.020000,5.551931,17.070798,0.151362,0.998431,3.993725,0.000000,0.002717
0.020000,5.572698,17.070859,0.172130,1.078306,3.993725,0.000000,0.003122
0.020000,5.595063,17.070934,0.194494,1.158180,3.993725,0.000000,0.003557
0.020000,5.619025,17.071025,0.218457,1.238055,3.993725,0.000000,0.004021
0.020000,5.644585,17.071134,0.244017,1.317929,3.993725,-0.000000,0.004514
0.020000,5.671742,17.071263,0.271174,1.397804,3.993725,0.000000,0.005036
0.020000,5.700496,17.071416,0.299929,1.477678,3.993725,0.000000,0.005585
0.020000,5.730848,17.071594,0.330281,1.557553,3.993725,0.000000,0.006163
0.020000,5.762797,17.071801,0.362231,1.637427,3.993725,-0.000000,0.006768
0.020000,5.796344,17.072039,0.395778,1.717302,3.993725,0.000000,0.007400
0.020000,5.831487,17.072310,0.430923,1.797176,3.993725,0.000000,0.008058
0.020000,5.868228,17.072619,0.467665,1.877051,3.993725,0.000000,0.008742
0.020000,5.906567,17.072968,0.506005,1.956925,3.993725,0.000000,0.009452
0.020000,5.946502,17.073360,0.545942,2.036800,3.993725,-0.000000,0.010186
0.020000,5.988034,17.073799,0.587477,2.116674,3.993725,0.000000,0.010944
0.020000,6.031164,17.074288,0.630609,2.196549,3.993725,-0.000000,0.011726
0.020000,6.075890,17.074830,0.675339,2.276423,3.993725,0.000000,0.012530
0.020000,6.122213,17.075430,0.721666,2.356298,3.993725,0.000000,0.013357
0.020000,6.170134,17.076090,0.769591,2.436172,3.993725,0.000000,0.014205
0.020000,6.219650,17.076815,0.819113,2.516047,3.993725,0.000000,0.015075
0.020000,6.270764,17.077608,0.870233,2.595921,3.993725,-0.000000,0.015964
0.020000,6.323474,17.078474,0.922950,2.675796,3.993725,0.000000,0.016872
0.020000,6.377781,17.079416,0.977264,2.755670,3.993725,0.000000,0.017799
0.020000,6.433683,17.080437,1.033177,2.835545,3.993725,-0.000000,0.018744
0.020000,6.491182,17.081543,1.090686,2.915419,3.993725,0.000000,0.019705
0.020000,6.550277,17.082736,1.149793,2.995294,3.993725,0.000000,0.020683
0.020000,6.610968,17.084022,1.210498,3.075168,3.993725,-0.000000,0.021675
