dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.414167,16.120611,0.000040,0.003975,0.198766,9.938317,6.282984
0.020000,5.414170,16.120611,0.000042,0.000135,-0.192021,-19.539381,6.282987
0.020000,5.414176,16.120611,0.000049,0.000304,0.008431,10.022592,6.282993
0.020000,5.414187,16.120611,0.000059,0.000540,0.011801,0.168505,6.283004
0.020000,5.414204,16.120611,0.000076,0.000843,0.015168,0.168342,6.283022
0.020000,5.414228,16.120611,0.000100,0.001213,0.018529,0.168076,6.283048
0.020000,5.414261,16.120611,0.000133,0.001651,0.021883,0.167679,6.283082
0.020000,5.414304,16.120611,0.000177,0.002156,0.025225,0.167127,6.283128
0.020000,5.414359,16.120611,0.000231,0.002727,0.028553,0.166393,6.283185
0.020000,5.418395,16.120611,0.004267,0.201811,9.954195,496.282079,0.000071
0.020000,5.423286,16.120612,0.009159,0.244574,2.138175,-390.800977,0.000156
0.020000,5.429107,16.120613,0.014980,0.291059,2.324224,9.302446,0.000258
0.020000,5.435939,16.120615,0.021812,0.341583,2.526198,10.098712,0.000377
0.020000,5.443862,16.120618,0.029735,0.396146,2.728172,10.098713,0.000516
0.020000,5.452957,16.120624,0.038829,0.454747,2.930045,10.093622,0.000674
0.020000,5.463305,16.120632,0.049177,0.517385,3.131902,10.092835,0.000854
0.020000,5.474986,16.120643,0.060858,0.584059,3.333691,10.089470,0.001056
0.020000,5.488081,16.120658,0.073954,0.654767,3.535404,10.085642,0.001283
0.020000,5.502671,16.120679,0.088544,0.729507,3.737030,10.081326,0.001535
0.020000,5.518837,16.120706,0.104709,0.808279,3.938569,10.076956,0.001813
0.020000,5.536618,16.120741,0.122491,0.889059,4.039024,5.022717,0.002118
0.020000,5.556014,16.120785,0.141887,0.969825,4.038300,-0.036191,0.002450
0.020000,5.577026,16.120840,0.162899,1.050577,4.037563,-0.036862,0.002807
0.020000,5.599652,16.120908,0.185525,1.131312,4.036763,-0.039989,0.003191
0.020000,5.623892,16.120991,0.209765,1.212030,4.035892,-0.043536,0.003600
0.020000,5.649747,16.121089,0.235620,1.292729,4.034951,-0.047045,0.004034
0.020000,5.677215,16.121206,0.263088,1.373407,4.033941,-0.050514,0.004493
0.020000,5.706296,16.121344,0.292169,1.454066,4.032902,-0.051930,0.004976
0.020000,5.736989,16.121505,0.322864,1.534701,4.031753,-0.057500,0.005483
0.020000,5.769295,16.121690,0.355170,1.615313,4.030605,-0.057365,0.006013
0.020000,5.803212,16.121904,0.389088,1.695899,4.029328,-0.063868,0.006566
0.020000,5.838741,16.122147,0.424617,1.776460,4.028019,-0.065444,0.007141
0.020000,5.875880,16.122423,0.461757,1.856993,4.026648,-0.068546,0.007738
0.020000,5.914628,16.122735,0.500507,1.937497,4.025224,-0.071222,0.008355
0.020000,5.954986,16.123085,0.540866,2.017971,4.023693,-0.076544,0.008994
0.020000,5.996953,16.123477,0.582834,2.098414,4.022164,-0.076419,0.009651
0.020000,6.040527,16.123912,0.626411,2.178824,4.020511,-0.082655,0.010328
0.020000,6.085708,16.124394,0.671595,2.259201,4.018830,-0.084082,0.011023
0.020000,6.132496,16.124927,0.718386,2.339543,4.017079,-0.087539,0.011736
0.020000,6.180890,16.125512,0.766783,2.419848,4.015260,-0.090932,0.012465
0.020000,6.230888,16.126154,0.816785,2.500115,4.013375,-0.094263,0.013211
0.020000,6.282490,16.126856,0.868392,2.580344,4.011450,-0.096228,0.013972
0.020000,6.335695,16.127620,0.921603,2.660533,4.009421,-0.101471,0.014747
0.020000,6.390502,16.128450,0.976416,2.740680,4.007371,-0.102478,0.015535
0.020000,6.446911,16.129349,1.032832,2.820785,4.005229,-0.107112,0.016337
0.020000,6.504920,16.130320,1.090849,2.900845,4.003033,-0.109811,0.017149
0.020000,6.564528,16.131367,1.150466,2.980861,4.000774,-0.112967,0.017973
0.020000,6.625734,16.132493,1.211683,3.060830,3.998460,-0.115670,0.018806
0.020000,6.688537,16.133701,1.274498,3.140751,3.996064,-0.119817,0.019648
0.020000,6.752937,16.134994,1.338910,3.220624,3.993621,-0.122120,0.020498
0.020000,6.818931,16.136375,1.404919,3.300446,3.991106,-0.125777,0.021354
0.020000,6.886520,16.137848,1.472523,3.380217,3.988534,-0.128583,0.022216
0.020000,6.955701,16.139415,1.541722,3.459934,3.985897,-0.131860,0.023083
0.020000,7.026473,16.141080,1.612514,3.539598,3.983196,-0.135070,0.023952
0.020000,7.098836,16.142845,1.684898,3.619207,3.980431,-0.138222,0.024824
0.020000,7.172787,16.144714,1.758873,3.698759,3.977605,-0.141320,0.025697
