dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.290000,0.000096,0.009624,0.481204,24.060180,0.000000
0.020000,0.000000,0.290000,0.000096,0.000000,-0.481204,-48.120359,0.000000
0.020000,0.000000,0.290000,0.000096,0.000000,0.000000,24.060180,0.000000
0.020000,0.000000,0.290000,0.000096,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.290000,0.000096,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.290000,0.000096,0.000000,0.000000,0.000000,0.000000
0.020000,0.002992,0.290000,0.003089,0.149625,7.481242,374.062123,0.000000
0.020000,0.008286,0.290000,0.008382,0.264662,5.751856,-86.469307,0.000000
0.020000,0.014541,0.290000,0.014638,0.312782,2.406018,-167.291918,0.000000
0.020000,0.021759,0.290000,0.021856,0.360903,2.406018,-0.000000,0.000000
0.020000,0.029940,0.290000,0.030036,0.409023,2.406018,0.000000,0.000000
0.020000,0.039083,0.290000,0.039179,0.457143,2.406018,0.000000,0.000000
0.020000,0.049188,0.290000,0.049284,0.505264,2.406018,-0.000000,0.000000
0.020000,0.060256,0.290000,0.060352,0.553384,2.406018,0.000000,0.000000
0.020000,0.072286,0.290000,0.072382,0.601504,2.406018,-0.000000,0.000000
0.020000,0.085278,0.290000,0.085375,0.649625,2.406018,0.000000,0.000000
0.020000,0.099233,0.290000,0.099329,0.697745,2.406018,0.000000,0.000000
0.020000,0.114151,0.290000,0.114247,0.745866,2.406018,-0.000000,0.000000
0.020000,0.130030,0.290000,0.130126,0.793986,2.406018,0.000000,0.000000
0.020000,0.146872,0.290000,0.146969,0.842106,2.406018,0.000000,0.000000
0.020000,0.164677,0.290000,0.164773,0.890227,2.406018,0.000000,0.000000
0.020000,0.183444,0.290000,0.183540,0.938347,2.406018,-0.000000,0.000000
0.020000,0.203173,0.290000,0.203269,0.986467,2.406018,0.000000,0.000000
0.020000,0.223865,0.290000,0.223961,1.034588,2.406018,-0.000000,0.000000
0.020000,0.245519,0.290000,0.245615,1.082708,2.406018,0.000000,0.000000
0.020000,0.268136,0.290000,0.268232,1.130828,2.406018,-0.000000,0.000000
0.020000,0.291715,0.290000,0.291811,1.178949,2.406018,-0.000000,0.000000
0.020000,0.316256,0.290000,0.316352,1.227069,2.406018,0.000000,0.000000
0.020000,0.341760,0.290000,0.341856,1.275190,2.406018,-0.000000,0.000000
0.020000,0.368226,0.290000,0.368322,1.323310,2.406018,0.000000,0.000000
0.020000,0.395655,0.290000,0.395751,1.371430,2.406018,0.000000,0.000000
0.020000,0.424046,0.290000,0.424142,1.419551,2.406018,-0.000000,0.000000
0.020000,0.453399,0.290000,0.453495,1.467671,2.406018,0.000000,0.000000
0.020000,0.483715,0.290000,0.483811,1.515791,2.406018,-0.000000,0.000000
0.020000,0.514993,0.290000,0.515089,1.563912,2.406018,0.000000,0.000000
0.020000,0.547234,0.290000,0.547330,1.612032,2.406018,0.000000,0.000000
0.020000,0.580437,0.290000,0.580533,1.660152,2.406018,0.000000,0.000000
0.020000,0.614602,0.290000,0.614699,1.708273,2.406018,0.000000,0.000000
0.020000,0.649730,0.290000,0.649826,1.756393,2.406018,0.000000,0.000000
0.020000,0.685820,0.290000,0.685917,1.804513,2.406018,-0.000000,0.000000
0.020000,0.722873,0.290000,0.722969,1.852634,2.406018,0.000000,0.000000
0.020000,0.760888,0.290000,0.760984,1.900754,2.406018,0.000000,0.000000
0.020000,0.799866,0.290000,0.799962,1.948875,2.406018,-0.000000,0.000000
0.020000,0.839806,0.290000,0.839902,1.996995,2.406018,0.000000,0.000000
0.020000,0.880708,0.290000,0.880804,2.045115,2.406018,-0.000000,0.000000
0.020000,0.922573,0.290000,0.922669,2.093236,2.406018,0.000000,0.000000
0.020000,0.965400,0.290000,0.965496,2.141356,2.406018,-0.000000,0.000000
0.020000,1.009189,0.290000,1.009285,2.189476,2.406018,-0.000000,0.000000
0.020000,1.053941,0.290000,1.054037,2.237597,2.406018,-0.000000,0.000000
0.020000,1.099655,0.290000,1.099752,2.285717,2.406018,0.000000,0.000000
0.020000,1.146332,0.290000,1.146428,2.333837,2.406018,-0.000000,0.000000
0.020000,1.193971,0.290000,1.194068,2.381958,2.406018,0.000000,0.000000
0.020000,1.242573,0.290000,1.242669,2.430078,2.406018,0.000000,0.000000
0.020000,1.292137,0.290000,1.292233,2.478198,2.406018,-0.000000,0.000000
0.020000,1.342663,0.290000,1.342760,2.526319,2.406018,0.000000,0.000000
0.020000,1.394152,0.290000,1.394248,2.574439,2.406018,-0.000000,0.000000
0.020000,1.446603,0.290000,1.446700,2.622560,2.406018,-0.000000,0.000000
0.020000,1.500017,0.290000,1.500113,2.670680,2.406018,0.000000,0.000000
0.020000,1.554393,0.290000,1.554489,2.718800,2.406018,-0.000000,0.000000
0.020000,1.609731,0.290000,1.609828,2.766921,2.406018,0.000000,0.000000
0.020000,1.666032,0.290000,1.666128,2.815041,2.406018,-0.000000,0.000000
0.020000,1.723295,0.290000,1.723392,2.863161,2.406018,-0.000000,0.000000
0.020000,1.781521,0.290000,1.781617,2.911282,2.406018,0.000000,0.000000
0.020000,1.840709,0.290000,1.840805,2.959402,2.406018,-0.000000,0.000000
0.020000,1.900859,0.290000,1.900956,3.007522,2.406018,0.000000,0.000000
0.020000,1.961972,0.290000,1.962069,3.055643,2.406018,-0.000000,0.000000
0.020000,2.024048,0.290000,2.024144,3.103763,2.406018,0.000000,0.000000
0.020000,2.087085,0.290000,2.087181,3.151884,2.406018,-0.000000,0.000000
0.020000,2.151085,0.290000,2.151182,3.200004,2.406018,0.000000,0.000000
0.020000,2.216048,0.290000,2.216144,3.248124,2.406018,-0.000000,0.000000
0.020000,2.281973,0.290000,2.282069,3.296245,2.406018,0.000000,0.000000
0.020000,2.348860,0.290000,2.348956,3.344365,2.406018,-0.000000,0.000000
0.020000,2.416710,0.290000,2.416806,3.392485,2.406018,0.000000,0.000000
0.020000,2.485522,0.290000,2.485618,3.440606,2.406018,0.000000,0.000000
0.020000,2.555296,0.290000,2.555393,3.488726,2.406018,-0.000000,0.000000
0.020000,2.626033,0.290000,2.626130,3.536846,2.406018,-0.000000,0.000000
0.020000,2.697733,0.290000,2.697829,3.584967,2.406018,0.000000,0.000000
0.020000,2.770394,0.290000,2.770491,3.633087,2.406018,0.000000,0.000000
0.020000,2.844019,0.290000,2.844115,3.681207,2.406018,-0.000000,0.000000
0.020000,2.918605,0.290000,2.918701,3.729328,2.406018,0.000000,0.000000
0.020000,2.994154,0.290000,2.994250,3.777448,2.406018,-0.000000,0.000000
0.020000,3.070665,0.290000,3.070762,3.825569,2.406018,-0.000000,0.000000
0.020000,3.148139,0.290000,3.148235,3.873689,2.406018,0.000000,0.000000
0.020000,3.226575,0.290000,3.226672,3.921809,2.406018,0.000000,0.000000
0.020000,3.305974,0.290000,3.306070,3.969930,2.406018,0.000000,0.000000
0.020000,3.386335,0.290000,3.386431,4.018050,2.406018,0.000000,0.000000
0.020000,3.467658,0.290000,3.467755,4.066170,2.406018,-0.000000,0.000000
0.020000,3.549944,0.290000,3.550040,4.114291,2.406018,0.000000,0.000000
0.020000,3.633192,0.290000,3.633289,4.162411,2.406018,-0.000000,0.000000
0.020000,3.717403,0.290000,3.717499,4.210531,2.406018,0.000000,0.000000
0.020000,3.802576,0.290000,3.802672,4.258652,2.406018,-0.000000,0.000000
0.020000,3.888712,0.290000,3.888808,4.306772,2.406018,0.000000,0.000000
0.020000,3.975809,0.290000,3.975906,4.354893,2.406018,-0.000000,0.000000
0.020000,4.063870,0.290000,4.063966,4.403013,2.406018,0.000000,0.000000
0.020000,4.152892,0.290000,4.152989,4.451133,2.406018,-0.000000,0.000000
0.020000,4.242877,0.290000,4.242974,4.499254,2.406018,0.000000,0.000000
0.020000,4.333825,0.290000,4.333921,4.547374,2.406018,-0.000000,0.000000
0.020000,4.425735,0.290000,4.425831,4.595494,2.406018,0.000000,0.000000
0.020000,4.518607,0.290000,4.518703,4.643615,2.406018,0.000000,0.000000
0.020000,4.612442,0.290000,4.612538,4.691735,2.406018,-0.000000,0.000000
0.020000,4.707143,0.290000,4.707239,4.735043,2.165416,-12.030090,0.000000
0.020000,4.802517,0.290000,4.802613,4.768728,1.684213,-24.060180,0.000000
0.020000,4.898373,0.290000,4.898469,4.792788,1.203009,-24.060180,0.000000
0.020000,4.994517,0.290000,4.994614,4.807224,0.721805,-24.060180,0.000000
0.020000,5.090663,0.290000,5.090759,4.807272,0.002413,-35.969608,0.000000
0.020000,5.186521,0.290000,5.186618,4.792933,-0.716979,-35.969608,0.000000
0.020000,5.281901,0.290000,5.281997,4.768969,-1.198183,-24.060180,0.000000
0.020000,5.376608,0.290000,5.376705,4.735381,-1.679386,-24.060180,0.000000
0.020000,5.470452,0.290000,5.470548,4.692169,-2.160590,-24.060180,0.000000
0.020000,5.563334,0.290000,5.563430,4.644097,-2.403605,-12.150751,0.000000
0.020000,5.655253,0.290000,5.655350,4.595977,-2.406018,-0.120661,0.000000
0.020000,5.746210,0.290000,5.746307,4.547857,-2.406018,0.000000,0.000000
0.020000,5.836205,0.290000,5.836301,4.499736,-2.406018,-0.000000,0.000000
0.020000,5.925237,0.290000,5.925334,4.451616,-2.406018,0.000000,0.000000
0.020000,6.013307,0.290000,6.013404,4.403496,-2.406018,-0.000000,0.000000
0.020000,6.100415,0.290000,6.100511,4.355375,-2.406018,0.000000,0.000000
0.020000,6.186560,0.290000,6.186656,4.307255,-2.406018,-0.000000,0.000000
0.020000,6.271743,0.290000,6.271839,4.259134,-2.406018,0.000000,0.000000
0.020000,6.355963,0.290000,6.356059,4.211014,-2.406018,0.000000,0.000000
0.020000,6.439221,0.290000,6.439317,4.162894,-2.406018,-0.000000,0.000000
0.020000,6.521516,0.290000,6.521613,4.114773,-2.406018,0.000000,0.000000
0.020000,6.602849,0.290000,6.602946,4.066653,-2.406018,-0.000000,0.000000
0.020000,6.683220,0.290000,6.683316,4.018533,-2.406018,0.000000,0.000000
0.020000,6.762628,0.290000,6.762725,3.970412,-2.406018,0.000000,0.000000
0.020000,6.841074,0.290000,6.841170,3.922292,-2.406018,-0.000000,0.000000
0.020000,6.918558,0.290000,6.918654,3.874172,-2.406018,0.000000,0.000000
0.020000,6.995079,0.290000,6.995175,3.826051,-2.406018,0.000000,0.000000
0.020000,7.070637,0.290000,7.070733,3.777931,-2.406018,-0.000000,0.000000
0.020000,7.145233,0.290000,7.145330,3.729810,-2.406018,-0.000000,0.000000
0.020000,7.218867,0.290000,7.218963,3.681690,-2.406018,0.000000,0.000000
0.020000,7.291539,0.290000,7.291635,3.633570,-2.406018,0.000000,0.000000
0.020000,7.363248,0.290000,7.363344,3.585449,-2.406018,0.000000,0.000000
0.020000,7.433994,0.290000,7.434090,3.537329,-2.406018,-0.000000,0.000000
0.020000,7.503778,0.290000,7.503875,3.489209,-2.406018,0.000000,0.000000
0.020000,7.572600,0.290000,7.572696,3.441088,-2.406018,-0.000000,0.000000
0.020000,7.640459,0.290000,7.640556,3.392968,-2.406018,0.000000,0.000000
0.020000,7.707356,0.290000,7.707453,3.344848,-2.406018,-0.000000,0.000000
0.020000,7.773291,0.290000,7.773387,3.296727,-2.406018,0.000000,0.000000
0.020000,7.838263,0.290000,7.838359,3.248607,-2.406018,0.000000,0.000000
