dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000040,0.003984,0.199217,9.960871,0.000000
0.020000,0.000000,0.000000,0.000199,0.011953,0.398435,9.960871,0.000000
0.020000,0.000000,0.000000,0.000558,0.023906,0.597652,9.960871,0.000000
0.020000,0.000000,0.000000,0.001195,0.039843,0.796870,9.960871,0.000000
0.020000,0.000000,0.000000,0.002191,0.059765,0.996087,9.960871,0.000000
0.020000,0.000000,0.000000,0.003626,0.083671,1.195304,9.960871,0.000000
0.020000,0.000000,0.000000,0.005578,0.111562,1.394522,9.960871,0.000000
0.020000,0.000000,0.000000,0.008128,0.143437,1.593739,9.960871,0.000000
0.020000,0.001355,0.000000,0.011355,0.179296,1.792957,9.960871,0.000000
0.020000,0.005340,0.000000,0.015340,0.219139,1.992174,9.960871,0.000000
0.020000,0.010161,0.000000,0.020161,0.262967,2.191392,9.960871,0.000000
0.020000,0.015898,0.000000,0.025898,0.310779,2.390609,9.960871,0.000000
0.020000,0.022632,0.000000,0.032632,0.362576,2.589826,9.960871,0.000000
0.020000,0.030441,0.000000,0.040441,0.418357,2.789044,9.960871,0.000000
0.020000,0.039406,0.000000,0.049406,0.478122,2.988261,9.960871,0.000000
0.020000,0.049606,0.000000,0.059606,0.541871,3.187479,9.960871,0.000000
0.020000,0.061121,0.000000,0.071121,0.609605,3.386696,9.960871,0.000000
0.020000,0.074030,0.000000,0.084030,0.681324,3.585913,9.960871,0.000000
0.020000,0.088413,0.000000,0.098413,0.757026,3.785131,9.960871,0.000000
0.020000,0.104351,0.000000,0.114351,0.836713,3.984348,9.960871,0.000000
0.020000,0.121882,0.000000,0.131882,0.916400,3.984348,0.000000,0.000000
0.020000,0.141007,0.000000,0.151007,0.996087,3.984348,0.000000,0.000000
0.020000,0.161725,0.000000,0.171725,1.075774,3.984348,0.000000,0.000000
0.020000,0.184038,0.000000,0.194038,1.155461,3.984348,0.000000,0.000000
0.020000,0.207944,0.000000,0.217944,1.235148,3.984348,0.000000,0.000000
0.020000,0.233444,0.000000,0.243444,1.314835,3.984348,-0.000000,0.000000
0.020000,0.260537,0.000000,0.270537,1.394522,3.984348,0.000000,0.000000
0.020000,0.289225,0.000000,0.299225,1.474209,3.984348,0.000000,0.000000
0.020000,0.319506,0.000000,0.329506,1.553896,3.984348,0.000000,0.000000
0.020000,0.351380,0.000000,0.361380,1.633583,3.984348,-0.000000,0.000000
0.020000,0.384849,0.000000,0.394849,1.713270,3.984348,0.000000,0.000000
