dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-0.950000,0.000040,0.003984,0.199217,9.960871,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,-0.199217,-19.921741,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,9.960871,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-0.950000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,0.001355,-0.950000,0.001395,0.067770,3.388481,169.424048,0.000000
0.020000,0.005340,-0.950000,0.005380,0.199217,6.572390,159.195429,0.000000
0.020000,0.010161,-0.950000,0.010201,0.241053,2.091783,-224.030337,0.000000
0.020000,0.015898,-0.950000,0.015938,0.286873,2.291000,9.960871,0.000000
0.020000,0.022632,-0.950000,0.022672,0.336677,2.490218,9.960871,0.000000
0.020000,0.030441,-0.950000,0.030481,0.390466,2.689435,9.960871,0.000000
0.020000,0.039406,-0.950000,0.039446,0.448239,2.888652,9.960871,0.000000
0.020000,0.049606,-0.950000,0.049646,0.509997,3.087870,9.960871,0.000000
0.020000,0.061121,-0.950000,0.061160,0.575738,3.287087,9.960871,0.000000
0.020000,0.074030,-0.950000,0.074070,0.645464,3.486305,9.960871,0.000000
0.020000,0.088413,-0.950000,0.088453,0.719175,3.685522,9.960871,0.000000
0.020000,0.104351,-0.950000,0.104391,0.796870,3.884740,9.960871,0.000000
0.020000,0.121882,-0.950000,0.121922,0.876557,3.984348,4.980435,0.000000
0.020000,0.141007,-0.950000,0.141047,0.956244,3.984348,0.000000,0.000000
0.020000,0.161725,-0.950000,0.161765,1.035931,3.984348,-0.000000,0.000000
0.020000,0.184038,-0.950000,0.184078,1.115617,3.984348,0.000000,0.000000
0.020000,0.207944,-0.950000,0.207984,1.195304,3.984348,0.000000,0.000000
0.020000,0.233444,-0.950000,0.233484,1.274991,3.984348,-0.000000,0.000000
0.020000,0.260537,-0.950000,0.260577,1.354678,3.984348,0.000000,0.000000
0.020000,0.289225,-0.950000,0.289264,1.434365,3.984348,-0.000000,0.000000
0.020000,0.319506,-0.950000,0.319545,1.514052,3.984348,-0.000000,0.000000
0.020000,0.351380,-0.950000,0.351420,1.593739,3.984348,0.000000,0.000000
0.020000,0.384849,-0.950000,0.384889,1.673426,3.984348,-0.000000,0.000000
0.020000,0.419911,-0.950000,0.419951,1.753113,3.984348,0.000000,0.000000
0.020000,0.456567,-0.950000,0.456607,1.832800,3.984348,-0.000000,0.000000
0.020000,0.494817,-0.950000,0.494857,1.912487,3.984348,0.000000,0.000000
0.020000,0.534660,-0.950000,0.534700,1.992174,3.984348,-0.000000,0.000000
0.020000,0.576098,-0.950000,0.576137,2.071861,3.984348,0.000000,0.000000
0.020000,0.619129,-0.950000,0.619168,2.151548,3.984348,-0.000000,0.000000
0.020000,0.663753,-0.950000,0.663793,2.231235,3.984348,-0.000000,0.000000
0.020000,0.709972,-0.950000,0.710012,2.310922,3.984348,0.000000,0.000000
0.020000,0.757784,-0.950000,0.757824,2.390609,3.984348,0.000000,0.000000
0.020000,0.807190,-0.950000,0.807230,2.470296,3.984348,-0.000000,0.000000
0.020000,0.858189,-0.950000,0.858229,2.549983,3.984348,-0.000000,0.000000
0.020000,0.910783,-0.950000,0.910823,2.629670,3.984348,0.000000,0.000000
0.020000,0.964970,-0.950000,0.965010,2.709357,3.984348,-0.000000,0.000000
0.020000,1.020751,-0.950000,1.020791,2.789044,3.984348,-0.000000,0.000000
0.020000,1.078125,-0.950000,1.078165,2.868731,3.984348,0.000000,0.000000
0.020000,1.137094,-0.950000,1.137134,2.948418,3.984348,0.000000,0.000000
0.020000,1.197656,-0.950000,1.197696,3.028105,3.984348,-0.000000,0.000000
0.020000,1.259812,-0.950000,1.259852,3.107792,3.984348,0.000000,0.000000
0.020000,1.323561,-0.950000,1.323601,3.187479,3.984348,-0.000000,0.000000
0.020000,1.388905,-0.950000,1.388944,3.267166,3.984348,0.000000,0.000000
0.020000,1.455842,-0.950000,1.455882,3.346852,3.984348,-0.000000,0.000000
0.020000,1.524372,-0.950000,1.524412,3.426539,3.984348,0.000000,0.000000
0.020000,1.594497,-0.950000,1.594537,3.506226,3.984348,0.000000,0.000000
0.020000,1.666215,-0.950000,1.666255,3.585913,3.984348,0.000000,0.000000
0.020000,1.739527,-0.950000,1.739567,3.665600,3.984348,-0.000000,0.000000
0.020000,1.814433,-0.950000,1.814473,3.745287,3.984348,0.000000,0.000000
0.020000,1.890933,-0.950000,1.890972,3.824974,3.984348,-0.000000,0.000000
0.020000,1.969026,-0.950000,1.969066,3.904661,3.984348,0.000000,0.000000
0.020000,2.048713,-0.950000,2.048753,3.984348,3.984348,-0.000000,0.000000
0.020000,2.129993,-0.950000,2.130033,4.064035,3.984348,0.000000,0.000000
0.020000,2.212868,-0.950000,2.212908,4.143722,3.984348,0.000000,0.000000
0.020000,2.297336,-0.950000,2.297376,4.223409,3.984348,0.000000,0.000000
0.020000,2.383398,-0.950000,2.383438,4.303096,3.984348,-0.000000,0.000000
0.020000,2.471054,-0.950000,2.471093,4.382783,3.984348,0.000000,0.000000
0.020000,2.560303,-0.950000,2.560343,4.462470,3.984348,0.000000,0.000000
0.020000,2.651146,-0.950000,2.651186,4.542157,3.984348,-0.000000,0.000000
0.020000,2.743583,-0.950000,2.743623,4.621844,3.984348,0.000000,0.000000
0.020000,2.837614,-0.950000,2.837654,4.701531,3.984348,0.000000,0.000000
0.020000,2.933238,-0.950000,2.933278,4.781218,3.984348,0.000000,0.000000
0.020000,3.030416,-0.950000,3.030456,4.858913,3.884740,-4.980435,0.000000
0.020000,3.129069,-0.950000,3.129109,4.932623,3.685522,-9.960871,0.000000
0.020000,3.229116,-0.950000,3.229156,5.002349,3.486305,-9.960871,0.000000
0.020000,3.330478,-0.950000,3.330517,5.068091,3.287087,-9.960871,0.000000
0.020000,3.433075,-0.950000,3.433114,5.129848,3.087870,-9.960871,0.000000
0.020000,3.536827,-0.950000,3.536867,5.187621,2.888652,-9.960871,0.000000
0.020000,3.641655,-0.950000,3.641695,5.241410,2.689435,-9.960871,0.000000
0.020000,3.747479,-0.950000,3.747519,5.291214,2.490218,-9.960871,0.000000
0.020000,3.854220,-0.950000,3.854260,5.337034,2.291000,-9.960871,0.000000
0.020000,3.961798,-0.950000,3.961837,5.378870,2.091783,-9.960871,0.000000
0.020000,4.070132,-0.950000,4.070172,5.416721,1.892565,-9.960871,0.000000
0.020000,4.179144,-0.950000,4.179184,5.450588,1.693348,-9.960871,0.000000
0.020000,4.288753,-0.950000,4.288793,5.480471,1.494131,-9.960871,0.000000
0.020000,4.398881,-0.950000,4.398920,5.506369,1.294913,-9.960871,0.000000
0.020000,4.509446,-0.950000,4.509486,5.528283,1.095696,-9.960871,0.000000
0.020000,4.620370,-0.950000,4.620410,5.546213,0.896478,-9.960871,0.000000
0.020000,4.731574,-0.950000,4.731613,5.560158,0.697261,-9.960871,0.000000
0.020000,4.842976,-0.950000,4.843016,5.570119,0.498044,-9.960871,0.000000
0.020000,4.954498,-0.950000,4.954538,5.576095,0.298826,-9.960871,0.000000
0.020000,5.066049,-0.950000,5.066089,5.577542,0.072325,-11.325044,0.000000
0.020000,5.177538,-0.950000,5.177578,5.574458,-0.154176,-11.325044,0.000000
0.020000,5.288886,-0.950000,5.288926,5.567390,-0.353393,-9.960871,0.000000
0.020000,5.400012,-0.950000,5.400052,5.556338,-0.552610,-9.960871,0.000000
0.020000,5.510838,-0.950000,5.510878,5.541302,-0.751828,-9.960871,0.000000
0.020000,5.621284,-0.950000,5.621324,5.522281,-0.951045,-9.960871,0.000000
0.020000,5.731270,-0.950000,5.731309,5.499276,-1.150263,-9.960871,0.000000
0.020000,5.840715,-0.950000,5.840755,5.472286,-1.349480,-9.960871,0.000000
0.020000,5.949542,-0.950000,5.949581,5.441312,-1.548698,-9.960871,0.000000
0.020000,6.057669,-0.950000,6.057708,5.406354,-1.747915,-9.960871,0.000000
0.020000,6.165017,-0.950000,6.165057,5.367411,-1.947132,-9.960871,0.000000
0.020000,6.271507,-0.950000,6.271546,5.324484,-2.146350,-9.960871,0.000000
0.020000,6.377058,-0.950000,6.377098,5.277573,-2.345567,-9.960871,0.000000
0.020000,6.481592,-0.950000,6.481631,5.226677,-2.544785,-9.960871,0.000000
0.020000,6.585027,-0.950000,6.585067,5.171797,-2.744002,-9.960871,0.000000
0.020000,6.687286,-0.950000,6.687326,5.112933,-2.943219,-9.960871,0.000000
0.020000,6.788288,-0.950000,6.788328,5.050084,-3.142437,-9.960871,0.000000
0.020000,6.887953,-0.950000,6.887993,4.983251,-3.341654,-9.960871,0.000000
0.020000,6.986201,-0.950000,6.986241,4.912433,-3.540872,-9.960871,0.000000
0.020000,7.082954,-0.950000,7.082994,4.837632,-3.740089,-9.960871,0.000000
0.020000,7.178142,-0.950000,7.178182,4.759391,-3.912023,-8.596697,0.000000
0.020000,7.271736,-0.950000,7.271776,4.679704,-3.984348,-3.616262,0.000000
0.020000,7.363736,-0.950000,7.363776,4.600017,-3.984348,-0.000000,0.000000
0.020000,7.454143,-0.950000,7.454183,4.520330,-3.984348,0.000000,0.000000
0.020000,7.542956,-0.950000,7.542996,4.440643,-3.984348,0.000000,0.000000
0.020000,7.630175,-0.950000,7.630215,4.360956,-3.984348,0.000000,0.000000
0.020000,7.715800,-0.950000,7.715840,4.281269,-3.984348,-0.000000,0.000000
0.020000,7.799832,-0.950000,7.799872,4.201582,-3.984348,0.000000,0.000000
0.020000,7.882270,-0.950000,7.882310,4.121895,-3.984348,-0.000000,0.000000
0.020000,7.963114,-0.950000,7.963154,4.042208,-3.984348,0.000000,0.000000
0.020000,8.042364,-0.950000,8.042404,3.962521,-3.984348,-0.000000,0.000000
