dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.033183,0.949420,0.000040,0.003978,0.198921,9.946035,6.248249
0.020000,0.033251,0.949418,0.000109,0.003449,-0.026480,-11.270025,6.248177
0.020000,0.033406,0.949412,0.000264,0.007754,0.215274,12.087679,6.248013
0.020000,0.033682,0.949403,0.000539,0.013766,0.300608,4.266720,6.247724
0.020000,0.034111,0.949387,0.000968,0.021462,0.384755,4.207359,6.247272
0.020000,0.035892,0.949323,0.002751,0.089127,3.383250,149.924731,6.246623
0.020000,0.038674,0.949220,0.005534,0.139176,2.502482,-44.038407,6.245745
0.020000,0.042299,0.949082,0.009163,0.181402,2.111301,-19.559056,6.244607
0.020000,0.046875,0.948902,0.013742,0.228983,2.379051,13.387503,6.243178
0.020000,0.052506,0.948672,0.019378,0.281777,2.639680,13.031466,6.241434
0.020000,0.059292,0.948381,0.026170,0.339595,2.890893,12.560647,6.239352
0.020000,0.067328,0.948019,0.034214,0.402228,3.131680,12.039328,6.236914
0.020000,0.076706,0.947571,0.043603,0.469456,3.361372,11.484608,6.234108
0.020000,0.087512,0.947023,0.054423,0.540964,3.575431,10.702938,6.230928
0.020000,0.099824,0.946357,0.066752,0.616483,3.775911,10.024016,6.227372
0.020000,0.113713,0.945554,0.080665,0.695615,3.956605,9.034692,6.223448
0.020000,0.129243,0.944592,0.096225,0.778031,4.120840,8.211789,6.219171
0.020000,0.146472,0.943447,0.113492,0.863341,4.265493,7.232614,6.214564
0.020000,0.165446,0.942096,0.132514,0.951091,4.387494,6.100074,6.209659
0.020000,0.186204,0.940513,0.153332,1.040889,4.489899,5.120216,6.204497
0.020000,0.208723,0.938676,0.175926,1.129696,4.440366,-2.476620,6.199140
0.020000,0.232926,0.936570,0.200220,1.214725,4.251418,-9.447425,6.193668
0.020000,0.258732,0.934181,0.226137,1.295833,4.055396,-9.801102,6.188164
0.020000,0.286059,0.931500,0.253595,1.372911,3.853895,-10.075032,6.182712
0.020000,0.314822,0.928522,0.282512,1.445852,3.647091,-10.340205,6.177400
0.020000,0.344937,0.925246,0.312804,1.514598,3.437271,-10.490991,6.172316
0.020000,0.376315,0.921676,0.344385,1.579049,3.222532,-10.736963,6.167550
0.020000,0.408870,0.917821,0.377167,1.639106,3.002893,-10.981941,6.163194
0.020000,0.442511,0.913697,0.411060,1.694650,2.777166,-11.286335,6.159345
0.020000,0.477147,0.909326,0.445970,1.745521,2.543581,-11.679278,6.156099
0.020000,0.512682,0.904738,0.481800,1.791490,2.298455,-12.256274,6.153561
0.020000,0.549015,0.899967,0.518446,1.832266,2.038771,-12.984232,6.151840
0.020000,0.586000,0.895063,0.555754,1.865446,1.659023,-18.987376,6.151054
0.020000,0.623447,0.890088,0.593530,1.888790,1.167168,-24.592743,6.151325
0.020000,0.661162,0.885109,0.631572,1.902098,0.665406,-25.088103,6.152782
0.020000,0.698945,0.880203,0.669673,1.905043,0.147270,-25.906819,6.155559
0.020000,0.736589,0.875449,0.707616,1.897152,-0.394565,-27.091749,6.159800
0.020000,0.773872,0.870930,0.745172,1.877777,-0.968763,-28.709898,6.165664
0.020000,0.810554,0.866735,0.782093,1.846053,-1.586162,-30.869951,6.173326
0.020000,0.846373,0.862952,0.818111,1.800912,-2.257091,-33.546429,6.182985
0.020000,0.881038,0.859667,0.852931,1.741004,-2.995377,-36.914291,6.194869
0.020000,0.914221,0.856959,0.886225,1.664678,-3.816313,-41.046807,6.209239
0.020000,0.945553,0.854898,0.917624,1.569964,-4.735705,-45.969623,6.226399
0.020000,0.974611,0.853529,0.946714,1.454522,-5.772068,-51.818132,6.246700
0.020000,1.000915,0.852869,0.973027,1.315634,-6.944408,-58.617025,6.270554
0.020000,1.023921,0.852882,0.996033,1.150307,-8.266337,-66.096438,0.015247
0.020000,1.043020,0.853464,1.015140,0.955362,-9.747252,-74.045759,0.047690
0.020000,1.057545,0.854410,1.029696,0.727777,-11.379250,-81.599880,0.085302
0.020000,1.066800,0.855379,1.039002,0.465309,-13.123432,-87.209115,0.128732
0.020000,1.070115,0.855864,1.042352,0.167496,-14.890654,-88.361070,0.178642
0.020000,1.066936,0.855164,1.045607,0.162731,-0.238224,732.621481,0.235630
0.020000,1.056979,0.852398,1.055941,0.516737,17.700305,896.926464,0.300107
0.020000,1.040413,0.846576,1.073501,0.877963,18.061307,18.050105,0.372135
0.020000,1.018049,0.836779,1.097916,1.220762,17.139936,-46.068586,0.451242
0.020000,0.991437,0.822430,1.128150,1.511683,14.546054,-129.694069,0.536253
0.020000,0.962763,0.803596,1.162456,1.715346,10.183135,-218.145955,0.625246
0.020000,0.934491,0.781171,1.198542,1.804274,4.446415,-286.836009,0.715721
0.020000,0.908856,0.756798,1.233914,1.768606,-1.783400,-311.490758,0.804969
0.020000,0.887407,0.732516,1.266313,1.619967,-7.431951,-282.427567,0.890527
0.020000,0.870820,0.710285,1.294050,1.386830,-11.656861,-211.245472,0.970532
0.020000,0.858999,0.691624,1.316140,1.104516,-14.115680,-122.940957,1.043864
0.020000,0.851341,0.677446,1.332254,0.805689,-14.941350,-41.283518,1.110094
0.020000,0.847017,0.668098,1.342554,0.514988,-14.535060,20.314524,1.169307
0.020000,0.845181,0.663491,1.347513,0.247961,-13.351338,59.186093,1.221920
0.020000,0.845085,0.663258,1.347765,0.012588,-11.768669,79.133442,1.268516
0.020000,0.846120,0.666885,1.351536,0.188554,8.798295,1028.348195,1.309732
0.020000,0.847820,0.673797,1.358655,0.355929,8.368755,-21.476974,1.346195
0.020000,0.849846,0.683423,1.368491,0.491809,6.794020,-78.736751,1.378486
0.020000,0.851960,0.695218,1.380474,0.599157,5.367378,-71.332115,1.407119
0.020000,0.854002,0.708686,1.394096,0.681099,4.097100,-63.513918,1.432547
0.020000,0.855872,0.723380,1.408908,0.740625,2.976287,-56.040604,1.455160
0.020000,0.857513,0.738904,1.424519,0.780518,1.994685,-49.080140,1.475290
0.020000,0.858900,0.754929,1.440604,0.804271,1.187643,-40.352084,1.493247
0.020000,0.860030,0.771190,1.456904,0.814986,0.535732,-32.595573,1.509301
0.020000,0.860913,0.787463,1.473201,0.814878,-0.005392,-27.056198,1.523684
0.020000,0.861566,0.803561,1.489312,0.805554,-0.466197,-23.040245,1.536587
0.020000,0.862013,0.819326,1.505084,0.788567,-0.849374,-19.158835,1.548174
0.020000,0.862278,0.834623,1.520383,0.764972,-1.179735,-16.518059,1.558581
