dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000040,0.003978,0.198921,9.946035,6.248249
0.020000,0.000000,0.000000,0.000199,0.011935,0.397841,9.946035,6.248177
0.020000,0.000000,0.000000,0.000557,0.023870,0.596762,9.946035,6.248013
0.020000,0.000000,0.000000,0.001194,0.039784,0.795683,9.946035,6.247724
0.020000,0.000000,0.000000,0.002188,0.059676,0.994603,9.946035,6.247272
0.020000,0.001166,-0.000042,0.003620,0.083547,1.193524,9.946035,6.246623
0.020000,0.003114,-0.000114,0.005570,0.111396,1.392445,9.946035,6.245745
0.020000,0.005658,-0.000211,0.008116,0.143223,1.591366,9.946035,6.244607
0.020000,0.008878,-0.000338,0.011338,0.179029,1.790286,9.946035,6.243178
0.020000,0.012854,-0.000500,0.015317,0.218813,1.989207,9.946035,6.241434
0.020000,0.017663,-0.000706,0.020131,0.262575,2.188128,9.946035,6.239352
0.020000,0.023386,-0.000964,0.025860,0.310316,2.387048,9.946035,6.236914
0.020000,0.030102,-0.001285,0.032583,0.362036,2.585969,9.946035,6.234108
0.020000,0.037890,-0.001680,0.040381,0.417733,2.784890,9.946035,6.230928
0.020000,0.046828,-0.002163,0.049332,0.477410,2.983810,9.946035,6.227372
0.020000,0.056996,-0.002752,0.059517,0.541064,3.182731,9.946035,6.223448
0.020000,0.068471,-0.003463,0.071015,0.608697,3.381652,9.946035,6.219171
0.020000,0.081333,-0.004317,0.083905,0.680309,3.580572,9.946035,6.214564
0.020000,0.095659,-0.005337,0.098267,0.755899,3.779493,9.946035,6.209659
0.020000,0.111526,-0.006548,0.114180,0.835467,3.978414,9.946035,6.204497
0.020000,0.128973,-0.007971,0.131685,0.915035,3.978414,0.000000,6.199140
0.020000,0.147998,-0.009627,0.150782,0.994603,3.978414,0.000000,6.193668
0.020000,0.168598,-0.011534,0.171470,1.074172,3.978414,-0.000000,6.188164
0.020000,0.190770,-0.013709,0.193749,1.153740,3.978414,0.000000,6.182712
0.020000,0.214514,-0.016167,0.217619,1.233308,3.978414,0.000000,6.177400
0.020000,0.239826,-0.018921,0.243081,1.312877,3.978414,-0.000000,6.172316
0.020000,0.266706,-0.021980,0.270134,1.392445,3.978414,0.000000,6.167550
0.020000,0.295152,-0.025348,0.298779,1.472013,3.978414,0.000000,6.163194
0.020000,0.325163,-0.029027,0.329015,1.551581,3.978414,-0.000000,6.159345
0.020000,0.356740,-0.033012,0.360842,1.631150,3.978414,0.000000,6.156099
0.020000,0.389883,-0.037292,0.394261,1.710718,3.978414,-0.000000,6.153561
0.020000,0.424596,-0.041851,0.429271,1.790286,3.978414,0.000000,6.151840
0.020000,0.460840,-0.046656,0.465832,1.865876,3.779493,-9.946035,6.151054
0.020000,0.498542,-0.051665,0.503866,1.937488,3.580572,-9.946035,6.151325
0.020000,0.537629,-0.056825,0.543292,2.005121,3.381652,-9.946035,6.152782
0.020000,0.578029,-0.062070,0.584031,2.068775,3.182731,-9.946035,6.155559
0.020000,0.619671,-0.067329,0.626003,2.128451,2.983810,-9.946035,6.159800
0.020000,0.662484,-0.072517,0.669129,2.184149,2.784890,-9.946035,6.165664
0.020000,0.706398,-0.077537,0.713330,2.235869,2.585969,-9.946035,6.173326
0.020000,0.751342,-0.082283,0.758524,2.283610,2.387048,-9.946035,6.182985
0.020000,0.797247,-0.086631,0.804634,2.327372,2.188128,-9.946035,6.194869
0.020000,0.844036,-0.090444,0.851579,2.367156,1.989207,-9.946035,6.209239
0.020000,0.891634,-0.093571,0.899281,2.402962,1.790286,-9.946035,6.226399
0.020000,0.939958,-0.095839,0.947658,2.434789,1.591366,-9.946035,6.246700
0.020000,0.988916,-0.097055,0.996632,2.462638,1.392445,-9.946035,6.270554
0.020000,1.038406,-0.097007,1.046124,2.486509,1.193524,-9.946035,0.015247
0.020000,1.088309,-0.095455,1.096053,2.506401,0.994603,-9.946035,0.047690
0.020000,1.138483,-0.092136,1.146340,2.522314,0.795683,-9.946035,0.085302
0.020000,1.188758,-0.086760,1.196906,2.534250,0.596762,-9.946035,0.128732
0.020000,1.238923,-0.079018,1.247670,2.542206,0.397841,-9.946035,0.178642
0.020000,1.288719,-0.068585,1.298554,2.546185,0.198921,-9.946035,0.235630
0.020000,1.337820,-0.055142,1.349471,2.545498,-0.034351,-11.663605,0.300107
0.020000,1.385837,-0.038399,1.400334,2.540832,-0.233272,-9.946035,0.372135
0.020000,1.432328,-0.018131,1.451065,2.532189,-0.432193,-9.946035,0.451242
0.020000,1.476810,0.005783,1.501582,2.519566,-0.631113,-9.946035,0.536253
0.020000,1.518794,0.033318,1.551807,2.502966,-0.830034,-9.946035,0.625246
0.020000,1.557845,0.064281,1.601661,2.482387,-1.028955,-9.946035,0.715721
0.020000,1.593625,0.098322,1.651063,2.457829,-1.227876,-9.946035,0.804969
0.020000,1.625940,0.134963,1.699934,2.429293,-1.426796,-9.946035,0.890527
0.020000,1.654747,0.173667,1.748195,2.396779,-1.625717,-9.946035,0.970532
0.020000,1.680135,0.213884,1.795766,2.360286,-1.824638,-9.946035,1.043864
0.020000,1.702294,0.255097,1.842567,2.319815,-2.023558,-9.946035,1.110094
0.020000,1.721473,0.296848,1.888519,2.275365,-2.222479,-9.946035,1.169307
0.020000,1.737951,0.338741,1.933542,2.226937,-2.421400,-9.946035,1.221920
0.020000,1.752012,0.380445,1.977556,2.174531,-2.620320,-9.946035,1.268516
0.020000,1.763930,0.421681,2.020483,2.118146,-2.819241,-9.946035,1.309732
0.020000,1.773959,0.462216,2.062242,2.057783,-3.018162,-9.946035,1.346195
0.020000,1.782333,0.501851,2.102755,1.993441,-3.217083,-9.946035,1.378486
0.020000,1.789263,0.540418,2.141940,1.925121,-3.416003,-9.946035,1.407119
0.020000,1.794938,0.577767,2.179720,1.852823,-3.614924,-9.946035,1.432547
0.020000,1.799528,0.613769,2.216013,1.776546,-3.813845,-9.946035,1.455160
0.020000,1.803184,0.648311,2.250749,1.696977,-3.978414,-8.228464,1.475290
0.020000,1.806045,0.681331,2.283892,1.617409,-3.978414,0.000000,1.493247
0.020000,1.808234,0.712806,2.315445,1.537841,-3.978414,-0.000000,1.509301
0.020000,1.809858,0.742723,2.345406,1.458273,-3.978414,0.000000,1.523684
