dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.011178,-0.317303,0.000651,0.065085,3.254234,162.711676,6.247971
0.020000,-0.010753,-0.317319,0.001076,0.021270,-2.190710,-272.247154,6.246789
0.020000,-0.005733,-0.317508,0.006100,0.251206,11.496778,684.374382,6.244164
0.020000,0.002667,-0.317854,0.014507,0.420323,8.455837,-152.047050,6.239892
0.020000,0.014491,-0.318401,0.026344,0.591841,8.575893,6.002791,6.234125
0.020000,0.029801,-0.319207,0.041675,0.766570,8.736490,8.029851,6.227066
0.020000,0.048671,-0.320345,0.060580,0.945223,8.932624,9.806705,6.218960
0.020000,0.071185,-0.321895,0.083146,1.128337,9.155680,11.152814,6.210090
0.020000,0.097432,-0.323942,0.109473,1.316338,9.400069,12.219413,6.200763
0.020000,0.127508,-0.326573,0.139664,1.509536,9.659887,12.990933,6.191307
0.020000,0.161510,-0.329869,0.173826,1.708104,9.928442,13.427743,6.182060
0.020000,0.199541,-0.333901,0.212070,1.912190,10.204263,13.791039,6.173368
0.020000,0.241704,-0.338722,0.254508,2.121912,10.486129,14.093317,6.165589
0.020000,0.288112,-0.344366,0.301257,2.337454,10.777064,14.546730,6.159087
0.020000,0.338883,-0.350834,0.352439,2.559100,11.082334,15.263506,6.154247
0.020000,0.394156,-0.358090,0.408186,2.787349,11.412451,16.505829,6.151486
0.020000,0.454090,-0.366050,0.468646,3.022995,11.782265,18.490714,6.151269
0.020000,0.518877,-0.374569,0.533991,3.267274,12.213960,21.584776,6.154140
0.020000,0.588760,-0.383424,0.604432,3.522048,12.738696,26.236789,6.160761
0.020000,0.664041,-0.392286,0.680234,3.790085,13.401889,33.159650,6.171968
0.020000,0.745117,-0.400683,0.761743,4.075458,14.268627,43.336897,6.188852
0.020000,0.832499,-0.407938,0.849426,4.384154,15.434782,58.307748,6.212887
0.020000,0.926860,-0.413071,0.943927,4.725021,17.043344,80.428083,6.246102
0.020000,1.029068,-0.414636,1.046146,5.110984,19.298156,112.740634,0.008157
0.020000,1.140194,-0.410444,1.157352,5.560267,22.464190,158.301693,0.069427
0.020000,1.260547,-0.397259,1.278425,6.053666,24.669924,110.286669,0.151581
0.020000,1.388950,-0.370717,1.409542,6.555866,25.110022,22.004905,0.259312
0.020000,1.521356,-0.326076,1.549271,6.986418,21.527563,-179.122937,0.394231
0.020000,1.650284,-0.260346,1.693988,7.235845,12.471372,-452.809543,0.551005
0.020000,1.766499,-0.175030,1.838156,7.208445,-1.370018,-692.069513,0.716214
0.020000,1.862935,-0.076683,1.975896,6.886966,-16.073944,-735.196282,0.873331
0.020000,1.937946,0.026693,2.103619,6.386149,-25.040860,-448.345788,1.011073
0.020000,1.993944,0.128847,2.220114,5.824770,-28.068943,-151.404164,1.125634
0.020000,2.034904,0.226323,2.325847,5.286645,-26.906249,58.134691,1.218515
0.020000,2.064597,0.317718,2.421944,4.804833,-24.090568,140.784028,1.293295
0.020000,2.085998,0.402700,2.509579,4.381777,-21.152832,146.886828,1.353697
0.020000,2.101300,0.481394,2.589747,4.008389,-18.669378,124.172698,1.402863
0.020000,2.112090,0.554077,2.663226,3.673975,-16.720699,97.433943,1.443252
0.020000,2.119523,0.621046,2.730607,3.369030,-15.247262,73.671857,1.476725
0.020000,2.124449,0.682575,2.792333,3.086308,-14.136115,55.557340,1.504682
0.020000,2.127506,0.738896,2.848736,2.820152,-13.307801,41.415712,1.528176
0.020000,2.129178,0.790205,2.900073,2.566850,-12.665101,32.135006,1.548007
0.020000,2.129843,0.836662,2.946535,2.323075,-12.188742,23.817921,1.564784
0.020000,2.129795,0.878400,2.988273,2.086898,-11.808836,18.995335,1.578979
0.020000,2.129267,0.915524,3.025400,1.856380,-11.525920,14.145790,1.590958
0.020000,2.128445,0.948124,3.058011,1.630522,-11.292879,11.652038,1.601007
0.020000,2.127476,0.976272,3.086175,1.408231,-11.114538,8.917065,1.609350
0.020000,2.126478,1.000025,3.109949,1.188687,-10.977217,6.866043,1.616161
0.020000,2.125545,1.019426,3.129373,0.971171,-10.875813,5.070194,1.621575
0.020000,2.124747,1.034513,3.144481,0.755416,-10.787738,4.403752,1.625695
0.020000,2.124137,1.045313,3.155298,0.540866,-10.727477,3.013032,1.628598
0.020000,2.123754,1.051842,3.161838,0.327003,-10.693155,1.716117,1.630334
0.020000,2.123576,1.054799,3.164801,0.148113,-8.944506,87.432454,1.631116
0.020000,2.123529,1.055581,3.165584,0.039166,-5.447357,174.857436,1.631322
0.020000,2.123528,1.055605,3.165608,0.001205,-1.898044,177.465657,1.631328
0.020000,2.123528,1.055605,3.165608,0.000000,-0.060262,91.889109,1.631328
